Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
50	Zaragoza	2006	Secano	1496718,0	709533,0	309499,0	330822,0	69212,0	180352,0	0,0	41341,0	139011,0	460972,0	163107,0	139068,0	158797,0	145861,0	3005,0	51146,0	71723,0	19987,0
22	Huesca	2005	Regadío	208110,0	205983,0	138608,0	48313,0	19062,0	1422,0	1422,0	0,0	0,0	705,0	705,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2005	Secano	1343314,0	340647,0	195127,0	124279,0	21241,0	420547,0	21361,0	109468,0	289718,0	450067,0	233262,0	89288,0	127517,0	132053,0	0,0	88351,0	19195,0	24507,0
44	Teruel	2005	Regadío	39488,0	36295,0	19705,0	12238,0	4352,0	1072,0	1072,0	0,0	0,0	2121,0	2121,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2005	Secano	1438963,0	406925,0	183959,0	177517,0	45449,0	563881,0	13456,0	188308,0	362117,0	403381,0	175463,0	104525,0	123393,0	64776,0	1147,0	21258,0	36564,0	5807,0
50	Zaragoza	2005	Regadío	208994,0	208582,0	123987,0	53542,0	31053,0	10,0	10,0	0,0	0,0	402,0	402,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2005	Secano	1425164,0	681967,0	311663,0	309322,0	60982,0	176380,0	0,0	42254,0	134126,0	428944,0	151366,0	129617,0	147961,0	137873,0	2938,0	47478,0	68300,0	19157,0
22	Huesca	2004	Regadío	204413,0	201092,0	154742,0	27763,0	18587,0	1452,0	1452,0	0,0	0,0	1869,0	1869,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2004	Secano	1344051,0	342039,0	194722,0	125530,0	21787,0	420786,0	20797,0	108623,0	291366,0	448379,0	232304,0	90463,0	125612,0	132847,0	60,0	94152,0	17241,0	21394,0
44	Teruel	2004	Regadío	38313,0	35120,0	20290,0	10593,0	4237,0	1072,0	1072,0	0,0	0,0	2121,0	2121,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2004	Secano	1439621,0	407563,0	193666,0	168955,0	44942,0	563901,0	13456,0	188328,0	362117,0	403381,0	175463,0	104525,0	123393,0	64776,0	1147,0	21258,0	36564,0	5807,0
50	Zaragoza	2004	Regadío	209360,0	208762,0	133956,0	43355,0	31451,0	10,0	10,0	0,0	0,0	588,0	588,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2004	Secano	1498859,0	704964,0	303013,0	335199,0	66752,0	185190,0	0,0	46818,0	138372,0	462823,0	164074,0	140393,0	158356,0	145882,0	3005,0	51034,0	71670,0	20173,0
22	Huesca	2003	Regadío	222522,0	219344,0	168063,0	28295,0	22986,0	1695,0	1695,0	0,0	0,0	1483,0	1483,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2003	Secano	1345809,0	346098,0	220735,0	100845,0	24518,0	422439,0	4231,0	128172,0	290036,0	428429,0	223240,0	82686,0	122503,0	148843,0	0,0	112663,0	16120,0	20060,0
44	Teruel	2003	Regadío	42527,0	36350,0	22107,0	9036,0	5207,0	4127,0	4127,0	0,0	0,0	2050,0	2050,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2003	Secano	1438813,0	409513,0	196828,0	162562,0	50123,0	565601,0	24022,0	377606,0	163973,0	400035,0	175563,0	104497,0	119975,0	63664,0	1523,0	19770,0	36564,0	5807,0
50	Zaragoza	2003	Regadío	190731,0	189945,0	143633,0	6214,0	40098,0	44,0	44,0	0,0	0,0	742,0	742,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2003	Secano	1539627,0	587230,0	304720,0	203609,0	78901,0	303992,0	0,0	94753,0	209239,0	489964,0	172587,0	148590,0	168787,0	158441,0	3005,0	52383,0	82329,0	20724,0
