Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción provincia nombre	Inscripción provincia código	Sexo	Personas
2009	1	Europa	02	Resto de Europa	132	Suiza	Zaragoza	50	Hombre	274,0
2009	1	Europa	02	Resto de Europa	132	Suiza	Zaragoza	50	Mujer	356,0
2009	1	Europa	02	Resto de Europa	135	Ucrania	Zaragoza	50	Hombre	2,0
2009	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Zaragoza	50	Hombre	5,0
2009	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Zaragoza	50	Mujer	2,0
2009	1	Europa	02	Resto de Europa	146	Croacia	Teruel	44	Hombre	2,0
2009	1	Europa	02	Resto de Europa	146	Croacia	Zaragoza	50	Mujer	1,0
2009	1	Europa	02	Resto de Europa	154	Rusia	Huesca	22	Hombre	3,0
2009	1	Europa	02	Resto de Europa	154	Rusia	Huesca	22	Mujer	3,0
2009	1	Europa	02	Resto de Europa	154	Rusia	Zaragoza	50	Hombre	8,0
2009	1	Europa	02	Resto de Europa	154	Rusia	Zaragoza	50	Mujer	11,0
2009	1	Europa	02	Resto de Europa	156	Macedonia	Zaragoza	50	Mujer	1,0
2009	1	Europa	02	Resto de Europa	157	Serbia	Huesca	22	Mujer	2,0
2009	1	Europa	02	Resto de Europa	157	Serbia	Zaragoza	50	Hombre	4,0
2009	1	Europa	02	Resto de Europa	436	Turquía	Zaragoza	50	Mujer	1,0
2009	2	África	03	Magreb	203	Argelia	Huesca	22	Hombre	1,0
2009	2	África	03	Magreb	203	Argelia	Teruel	44	Mujer	1,0
2009	2	África	03	Magreb	203	Argelia	Zaragoza	50	Hombre	2,0
2009	2	África	03	Magreb	224	Libia	Huesca	22	Hombre	1,0
2009	2	África	03	Magreb	224	Libia	Huesca	22	Mujer	1,0
2009	2	África	03	Magreb	224	Libia	Zaragoza	50	Hombre	1,0
2009	2	África	03	Magreb	224	Libia	Zaragoza	50	Mujer	1,0
2009	2	África	03	Magreb	228	Marruecos	Huesca	22	Hombre	6,0
2009	2	África	03	Magreb	228	Marruecos	Huesca	22	Mujer	9,0
2009	2	África	03	Magreb	228	Marruecos	Teruel	44	Hombre	5,0
2009	2	África	03	Magreb	228	Marruecos	Teruel	44	Mujer	5,0
2009	2	África	03	Magreb	228	Marruecos	Zaragoza	50	Hombre	27,0
2009	2	África	03	Magreb	228	Marruecos	Zaragoza	50	Mujer	31,0
2009	2	África	03	Magreb	230	Mauritania	Huesca	22	Hombre	1,0
2009	2	África	03	Magreb	230	Mauritania	Zaragoza	50	Mujer	1,0
2009	2	África	03	Magreb	248	Túnez	Zaragoza	50	Hombre	17,0
2009	2	África	03	Magreb	248	Túnez	Zaragoza	50	Mujer	16,0
2009	2	África	04	Resto de África	202	Angola	Huesca	22	Hombre	1,0
2009	2	África	04	Resto de África	202	Angola	Zaragoza	50	Hombre	4,0
2009	2	África	04	Resto de África	202	Angola	Zaragoza	50	Mujer	1,0
2009	2	África	04	Resto de África	207	Cabo Verde	Zaragoza	50	Hombre	2,0
2009	2	África	04	Resto de África	207	Cabo Verde	Zaragoza	50	Mujer	1,0
2009	2	África	04	Resto de África	208	Camerún	Huesca	22	Mujer	2,0
2009	2	África	04	Resto de África	208	Camerún	Zaragoza	50	Hombre	7,0
2009	2	África	04	Resto de África	208	Camerún	Zaragoza	50	Mujer	2,0
2009	2	África	04	Resto de África	211	Costa de Marfil	Huesca	22	Mujer	4,0
2009	2	África	04	Resto de África	211	Costa de Marfil	Zaragoza	50	Hombre	4,0
2009	2	África	04	Resto de África	211	Costa de Marfil	Zaragoza	50	Mujer	4,0
2009	2	África	04	Resto de África	213	Egipto	Huesca	22	Hombre	1,0
2009	2	África	04	Resto de África	213	Egipto	Huesca	22	Mujer	1,0
2009	2	África	04	Resto de África	213	Egipto	Zaragoza	50	Hombre	8,0
2009	2	África	04	Resto de África	213	Egipto	Zaragoza	50	Mujer	4,0
2009	2	África	04	Resto de África	214	Etiopía	Huesca	22	Mujer	1,0
2009	2	África	04	Resto de África	214	Etiopía	Zaragoza	50	Hombre	3,0
2009	2	África	04	Resto de África	215	Gabón	Zaragoza	50	Hombre	4,0
2009	2	África	04	Resto de África	215	Gabón	Zaragoza	50	Mujer	5,0
