Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	225	0	0
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	61	6121	100,344262295081967213114754098360655738
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	606	26807	44,23597359735973597359735973597359735974
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	7	0	0
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	705	30657	43,48510638297872340425531914893617021277
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	56	0	0
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	20	1857	92,85
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	115	0	0
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	30	2530	84,33333333333333333333333333333333333333
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	1	360	360
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	6	5537	922,833333333333333333333333333333333333
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	2	2157	1078,5
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	3	2735	911,666666666666666666666666666666666667
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	5	4700	940
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	5	900	180
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	300	300
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	4	720	180
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Temporal	Otros	8	Otros	Otros	1	3	302	100,666666666666666666666666666666666667
Septiembre 2021	202109	Septiembre	2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Temporal	Otros	8	Otros	Otros	1	2	1620	810
Septiembre 2021	202109	Septiembre	2021	07	Somontano de Barbastro	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	85	0	0
