Municipio código	Municipio nombre	Municipio montaña	Municipio zona desfavorecida	Municipio superficie, medida
22248	Vicién	No es zona montañosa	No es zona desfavorecida	13,76
22249	Villanova	Pirineos	No es zona desfavorecida	7,05
22250	Villanúa	Pirineos	No es zona desfavorecida	58,19
22251	Villanueva de Sigena	No es zona montañosa	No es zona desfavorecida	146,37
22252	Yebra de Basa	Pirineos	No es zona desfavorecida	90,87
22253	Yésero	Pirineos	No es zona desfavorecida	30,23
22254	Zaidín	No es zona montañosa	No es zona desfavorecida	92,55
22901	Valle de Hecho	Pirineos	No es zona desfavorecida	234,43
22902	Puente la Reina de Jaca	Pirineos	No es zona desfavorecida	48,13
22903	San Miguel del Cinca	No es zona montañosa	No es zona desfavorecida	106,49
22904	Sotonera (La)	No es zona montañosa	No es zona desfavorecida	165,54
22905	Lupiñén-Ortilla	No es zona montañosa	No es zona desfavorecida	110,08
22906	Santa María de Dulcis	No es zona montañosa	Zona desfavorecida	27,16
22907	Aínsa-Sobrarbe	Pirineos	No es zona desfavorecida	284,77
22908	Hoz y Costeán	No es zona montañosa	Zona desfavorecida	57,48
22909	Vencillón	No es zona montañosa	No es zona desfavorecida	10,37
44001	Ababuj	Sistema Ibérico	No es zona desfavorecida	54,3
44002	Abejuela	Sistema Ibérico	No es zona desfavorecida	86,67
44003	Aguatón	Sistema Ibérico	No es zona desfavorecida	21,64
44004	Aguaviva	Sistema Ibérico	No es zona desfavorecida	42,15
44005	Aguilar del Alfambra	Sistema Ibérico	No es zona desfavorecida	39,04
44006	Alacón	No es zona montañosa	Zona desfavorecida	47,5
44007	Alba	No es zona montañosa	Zona desfavorecida	69,53
44008	Albalate del Arzobispo	No es zona montañosa	Zona desfavorecida	205,69
44009	Albarracín	Sistema Ibérico	No es zona desfavorecida	452,72
44010	Albentosa	Sistema Ibérico	No es zona desfavorecida	68,0
44011	Alcaine	Sistema Ibérico	No es zona desfavorecida	57,38
44012	Alcalá de la Selva	Sistema Ibérico	No es zona desfavorecida	104,95
44013	Alcañiz	No es zona montañosa	Zona desfavorecida	472,12
44014	Alcorisa	No es zona montañosa	Zona desfavorecida	121,2
44016	Alfambra	Sistema Ibérico	No es zona desfavorecida	122,44
44017	Aliaga	Sistema Ibérico	No es zona desfavorecida	193,08
44018	Almohaja	Sistema Ibérico	No es zona desfavorecida	25,55
44019	Alobras	Sistema Ibérico	No es zona desfavorecida	30,72
44020	Alpeñés	Sistema Ibérico	No es zona desfavorecida	28,62
44021	Allepuz	Sistema Ibérico	No es zona desfavorecida	67,26
44022	Alloza	Sistema Ibérico	No es zona desfavorecida	81,6
44023	Allueva	Sistema Ibérico	No es zona desfavorecida	18,65
44024	Anadón	Sistema Ibérico	No es zona desfavorecida	24,62
44025	Andorra	No es zona montañosa	Zona desfavorecida	141,36
44026	Arcos de las Salinas	Sistema Ibérico	No es zona desfavorecida	112,99
44027	Arens de Lledó	No es zona montañosa	Zona desfavorecida	34,27
44028	Argente	Sistema Ibérico	No es zona desfavorecida	62,58
44029	Ariño	No es zona montañosa	Zona desfavorecida	81,93
44031	Azaila	No es zona montañosa	Zona desfavorecida	81,44
44032	Bádenas	Sistema Ibérico	No es zona desfavorecida	31,31
44033	Báguena	Sistema Ibérico	No es zona desfavorecida	25,17
44034	Bañón	No es zona montañosa	Zona desfavorecida	54,27
44035	Barrachina	Sistema Ibérico	No es zona desfavorecida	24,86
44036	Bea	Sistema Ibérico	No es zona desfavorecida	23,37
44037	Beceite	Sistema Ibérico	No es zona desfavorecida	96,72
44038	Belmonte de San José	Sistema Ibérico	No es zona desfavorecida	33,96
44039	Bello	No es zona montañosa	Zona desfavorecida	52,49
44040	Berge	Sistema Ibérico	No es zona desfavorecida	42,64
44041	Bezas	Sistema Ibérico	No es zona desfavorecida	26,32
44042	Blancas	Sistema Ibérico	No es zona desfavorecida	73,8
44043	Blesa	No es zona montañosa	Zona desfavorecida	80,39
44044	Bordón	Sistema Ibérico	No es zona desfavorecida	29,98
44045	Bronchales	Sistema Ibérico	No es zona desfavorecida	59,6
44046	Bueña	Sistema Ibérico	No es zona desfavorecida	40,75
44047	Burbáguena	Sistema Ibérico	No es zona desfavorecida	39,02
44048	Cabra de Mora	Sistema Ibérico	No es zona desfavorecida	34,31
44049	Calaceite	No es zona montañosa	Zona desfavorecida	81,33
44050	Calamocha	No es zona montañosa	Zona desfavorecida	316,63
44051	Calanda	No es zona montañosa	Zona desfavorecida	112,25
44052	Calomarde	Sistema Ibérico	No es zona desfavorecida	28,18
44053	Camañas	Sistema Ibérico	No es zona desfavorecida	78,67
44054	Camarena de la Sierra	Sistema Ibérico	No es zona desfavorecida	79,54
44055	Camarillas	Sistema Ibérico	No es zona desfavorecida	50,55
44056	Caminreal	No es zona montañosa	Zona desfavorecida	44,39
44059	Cantavieja	Sistema Ibérico	No es zona desfavorecida	124,56
44060	Cañada de Benatanduz	Sistema Ibérico	No es zona desfavorecida	34,89
44061	Cañada de Verich (La)	Sistema Ibérico	No es zona desfavorecida	10,86
44062	Cañada Vellida	Sistema Ibérico	No es zona desfavorecida	23,3
44063	Cañizar del Olivar	Sistema Ibérico	No es zona desfavorecida	22,29
44064	Cascante del Río	Sistema Ibérico	No es zona desfavorecida	32,38
44065	Castejón de Tornos	No es zona montañosa	Zona desfavorecida	30,9
44066	Castel de Cabra	Sistema Ibérico	No es zona desfavorecida	29,44
44067	Castelnou	No es zona montañosa	Zona desfavorecida	37,09
44068	Castelserás	No es zona montañosa	Zona desfavorecida	31,52
44070	Castellar (El)	Sistema Ibérico	No es zona desfavorecida	50,33
44071	Castellote	Sistema Ibérico	No es zona desfavorecida	235,18
44074	Cedrillas	Sistema Ibérico	No es zona desfavorecida	73,57
44075	Celadas	Sistema Ibérico	No es zona desfavorecida	100,45
44076	Cella	No es zona montañosa	Zona desfavorecida	124,68
44077	Cerollera (La)	Sistema Ibérico	No es zona desfavorecida	33,75
44080	Codoñera (La)	No es zona montañosa	Zona desfavorecida	20,97
44082	Corbalán	Sistema Ibérico	No es zona desfavorecida	82,44
44084	Cortes de Aragón	No es zona montañosa	Zona desfavorecida	24,43
44085	Cosa	Sistema Ibérico	No es zona desfavorecida	54,81
44086	Cretas	No es zona montañosa	Zona desfavorecida	52,66
44087	Crivillén	Sistema Ibérico	No es zona desfavorecida	42,03
44088	Cuba (La)	Sistema Ibérico	No es zona desfavorecida	6,51
44089	Cubla	Sistema Ibérico	No es zona desfavorecida	48,63
44090	Cucalón	No es zona montañosa	Zona desfavorecida	31,93
44092	Cuervo (El)	Sistema Ibérico	No es zona desfavorecida	20,76
44093	Cuevas de Almudén	Sistema Ibérico	No es zona desfavorecida	35,85
44094	Cuevas Labradas	Sistema Ibérico	No es zona desfavorecida	40,81
44096	Ejulve	Sistema Ibérico	No es zona desfavorecida	109,49
44097	Escorihuela	Sistema Ibérico	No es zona desfavorecida	56,99
44099	Escucha	Sistema Ibérico	No es zona desfavorecida	41,57
44100	Estercuel	Sistema Ibérico	No es zona desfavorecida	55,59
