Mes y año	Municipio código	Municipio nombre	Temporalidad	Sexo	Afiliaciones en alta
Diciembre 2016	50098	Encinacorba	Temporal	Hombres	2
Diciembre 2016	50098	Encinacorba	Temporal	Mujeres	4
Diciembre 2016	50099	Épila	Temporal	Hombres	254
Diciembre 2016	50099	Épila	Temporal	Mujeres	147
Diciembre 2016	50100	Erla	Temporal	Hombres	3
Diciembre 2016	50100	Erla	Temporal	Mujeres	6
Diciembre 2016	50101	Escatrón	Temporal	Hombres	31
Diciembre 2016	50101	Escatrón	Temporal	Mujeres	35
Diciembre 2016	50102	Fabara	Temporal	Hombres	43
Diciembre 2016	50102	Fabara	Temporal	Mujeres	34
Diciembre 2016	50104	Farlete	Temporal	Hombres	5
Diciembre 2016	50104	Farlete	Temporal	Mujeres	3
Diciembre 2016	50105	Fayón	Temporal	Hombres	9
Diciembre 2016	50105	Fayón	Temporal	Mujeres	6
Diciembre 2016	50106	Fayos (Los)	Temporal	Hombres	1
Diciembre 2016	50106	Fayos (Los)	Temporal	Mujeres	1
Diciembre 2016	50107	Figueruelas	Temporal	Hombres	1413
Diciembre 2016	50107	Figueruelas	Temporal	Mujeres	162
Diciembre 2016	50108	Fombuena	Temporal	Hombres	1
Diciembre 2016	50109	Frago (El)	Temporal	Hombres	3
Diciembre 2016	50109	Frago (El)	Temporal	Mujeres	1
Diciembre 2016	50110	Frasno (El)	Temporal	Hombres	21
Diciembre 2016	50110	Frasno (El)	Temporal	Mujeres	5
Diciembre 2016	50111	Fréscano	Temporal	Hombres	5
Diciembre 2016	50111	Fréscano	Temporal	Mujeres	1
Diciembre 2016	50113	Fuendejalón	Temporal	Hombres	83
Diciembre 2016	50113	Fuendejalón	Temporal	Mujeres	27
Diciembre 2016	50114	Fuendetodos	Temporal	Hombres	3
Diciembre 2016	50114	Fuendetodos	Temporal	Mujeres	7
Diciembre 2016	50115	Fuentes de Ebro	Temporal	Hombres	156
Diciembre 2016	50115	Fuentes de Ebro	Temporal	Mujeres	130
Diciembre 2016	50116	Fuentes de Jiloca	Temporal	Hombres	5
Diciembre 2016	50116	Fuentes de Jiloca	Temporal	Mujeres	1
Diciembre 2016	50117	Gallocanta	Temporal	Hombres	3
Diciembre 2016	50117	Gallocanta	Temporal	Mujeres	2
Diciembre 2016	50118	Gallur	Temporal	Hombres	173
Diciembre 2016	50118	Gallur	Temporal	Mujeres	107
Diciembre 2016	50119	Gelsa	Temporal	Hombres	21
Diciembre 2016	50119	Gelsa	Temporal	Mujeres	8
Diciembre 2016	50120	Godojos	Temporal	Hombres	1
Diciembre 2016	50121	Gotor	Temporal	Hombres	7
Diciembre 2016	50121	Gotor	Temporal	Mujeres	4
Diciembre 2016	50122	Grisel	Temporal	Hombres	2
Diciembre 2016	50122	Grisel	Temporal	Mujeres	1
Diciembre 2016	50123	Grisén	Temporal	Hombres	5
Diciembre 2016	50123	Grisén	Temporal	Mujeres	6
Diciembre 2016	50124	Herrera de los Navarros	Temporal	Hombres	7
Diciembre 2016	50124	Herrera de los Navarros	Temporal	Mujeres	8
Diciembre 2016	50125	Ibdes	Temporal	Hombres	6
Diciembre 2016	50125	Ibdes	Temporal	Mujeres	5
Diciembre 2016	50126	Illueca	Temporal	Hombres	125
Diciembre 2016	50126	Illueca	Temporal	Mujeres	120
Diciembre 2016	50129	Jaraba	Temporal	Hombres	2
Diciembre 2016	50129	Jaraba	Temporal	Mujeres	6
Diciembre 2016	50130	Jarque de Moncayo	Temporal	Hombres	14
Diciembre 2016	50130	Jarque de Moncayo	Temporal	Mujeres	3
Diciembre 2016	50131	Jaulín	Temporal	Hombres	5
Diciembre 2016	50131	Jaulín	Temporal	Mujeres	7
Diciembre 2016	50132	Joyosa (La)	Temporal	Hombres	14
Diciembre 2016	50132	Joyosa (La)	Temporal	Mujeres	11
Diciembre 2016	50133	Lagata	Temporal	Hombres	2
Diciembre 2016	50133	Lagata	Temporal	Mujeres	2
Diciembre 2016	50135	Layana	Temporal	Hombres	1
Diciembre 2016	50136	Lécera	Temporal	Hombres	14
Diciembre 2016	50136	Lécera	Temporal	Mujeres	5
Diciembre 2016	50137	Leciñena	Temporal	Hombres	33
Diciembre 2016	50137	Leciñena	Temporal	Mujeres	18
Diciembre 2016	50138	Lechón	Temporal	Hombres	1
Diciembre 2016	50139	Letux	Temporal	Hombres	5
Diciembre 2016	50139	Letux	Temporal	Mujeres	8
Diciembre 2016	50140	Litago	Temporal	Hombres	2
Diciembre 2016	50140	Litago	Temporal	Mujeres	2
Diciembre 2016	50142	Lobera de Onsella	Temporal	Hombres	1
Diciembre 2016	50143	Longares	Temporal	Hombres	35
Diciembre 2016	50143	Longares	Temporal	Mujeres	18
Diciembre 2016	50144	Longás	Temporal	Hombres	2
Diciembre 2016	50146	Lucena de Jalón	Temporal	Hombres	2
Diciembre 2016	50146	Lucena de Jalón	Temporal	Mujeres	5
Diciembre 2016	50147	Luceni	Temporal	Hombres	29
Diciembre 2016	50147	Luceni	Temporal	Mujeres	4
Diciembre 2016	50148	Luesia	Temporal	Hombres	4
Diciembre 2016	50148	Luesia	Temporal	Mujeres	8
Diciembre 2016	50149	Luesma	Temporal	Mujeres	1
Diciembre 2016	50150	Lumpiaque	Temporal	Hombres	38
Diciembre 2016	50150	Lumpiaque	Temporal	Mujeres	10
Diciembre 2016	50151	Luna	Temporal	Hombres	9
Diciembre 2016	50151	Luna	Temporal	Mujeres	11
Diciembre 2016	50152	Maella	Temporal	Hombres	221
Diciembre 2016	50152	Maella	Temporal	Mujeres	54
Diciembre 2016	50153	Magallón	Temporal	Hombres	50
Diciembre 2016	50153	Magallón	Temporal	Mujeres	31
Diciembre 2016	50154	Mainar	Temporal	Hombres	12
Diciembre 2016	50154	Mainar	Temporal	Mujeres	2
Diciembre 2016	50155	Malanquilla	Temporal	Hombres	1
Diciembre 2016	50155	Malanquilla	Temporal	Mujeres	1
Diciembre 2016	50156	Maleján	Temporal	Hombres	8
Diciembre 2016	50156	Maleján	Temporal	Mujeres	2
Diciembre 2016	50157	Malón	Temporal	Hombres	9
Diciembre 2016	50157	Malón	Temporal	Mujeres	8
Diciembre 2016	50159	Maluenda	Temporal	Hombres	46
Diciembre 2016	50159	Maluenda	Temporal	Mujeres	23
Diciembre 2016	50160	Mallén	Temporal	Hombres	123
Diciembre 2016	50160	Mallén	Temporal	Mujeres	95
Diciembre 2016	50161	Manchones	Temporal	Hombres	3
Diciembre 2016	50162	Mara	Temporal	Hombres	8
Diciembre 2016	50162	Mara	Temporal	Mujeres	2
Diciembre 2016	50163	María de Huerva	Temporal	Hombres	100
Diciembre 2016	50163	María de Huerva	Temporal	Mujeres	120
Diciembre 2016	50164	Mediana de Aragón	Temporal	Hombres	4
Diciembre 2016	50164	Mediana de Aragón	Temporal	Mujeres	5
Diciembre 2016	50165	Mequinenza	Temporal	Hombres	101
Diciembre 2016	50165	Mequinenza	Temporal	Mujeres	78
Diciembre 2016	50166	Mesones de Isuela	Temporal	Hombres	2
Diciembre 2016	50166	Mesones de Isuela	Temporal	Mujeres	2
Diciembre 2016	50167	Mezalocha	Temporal	Hombres	13
Diciembre 2016	50167	Mezalocha	Temporal	Mujeres	3
Diciembre 2016	50169	Miedes de Aragón	Temporal	Hombres	5
Diciembre 2016	50169	Miedes de Aragón	Temporal	Mujeres	7
Diciembre 2016	50170	Monegrillo	Temporal	Hombres	4
Diciembre 2016	50170	Monegrillo	Temporal	Mujeres	5
Diciembre 2016	50171	Moneva	Temporal	Hombres	1
Diciembre 2016	50171	Moneva	Temporal	Mujeres	2
Diciembre 2016	50172	Monreal de Ariza	Temporal	Hombres	10
Diciembre 2016	50172	Monreal de Ariza	Temporal	Mujeres	3
Diciembre 2016	50173	Monterde	Temporal	Hombres	5
Diciembre 2016	50173	Monterde	Temporal	Mujeres	1
Diciembre 2016	50174	Montón	Temporal	Hombres	3
Diciembre 2016	50175	Morata de Jalón	Temporal	Hombres	21
Diciembre 2016	50175	Morata de Jalón	Temporal	Mujeres	12
Diciembre 2016	50176	Morata de Jiloca	Temporal	Hombres	30
Diciembre 2016	50176	Morata de Jiloca	Temporal	Mujeres	3
Diciembre 2016	50177	Morés	Temporal	Hombres	13
Diciembre 2016	50177	Morés	Temporal	Mujeres	11
Diciembre 2016	50178	Moros	Temporal	Hombres	2
Diciembre 2016	50179	Moyuela	Temporal	Hombres	1
Diciembre 2016	50179	Moyuela	Temporal	Mujeres	4
Diciembre 2016	50180	Mozota	Temporal	Hombres	2
Diciembre 2016	50180	Mozota	Temporal	Mujeres	3
Diciembre 2016	50181	Muel	Temporal	Hombres	104
Diciembre 2016	50181	Muel	Temporal	Mujeres	33
Diciembre 2016	50182	Muela (La)	Temporal	Hombres	553
Diciembre 2016	50182	Muela (La)	Temporal	Mujeres	248
Diciembre 2016	50183	Munébrega	Temporal	Hombres	12
Diciembre 2016	50183	Munébrega	Temporal	Mujeres	1
Diciembre 2016	50184	Murero	Temporal	Hombres	8
Diciembre 2016	50185	Murillo de Gállego	Temporal	Hombres	9
Diciembre 2016	50185	Murillo de Gállego	Temporal	Mujeres	4
Diciembre 2016	50187	Nigüella	Temporal	Hombres	3
Diciembre 2016	50189	Nonaspe	Temporal	Hombres	25
Diciembre 2016	50189	Nonaspe	Temporal	Mujeres	12
Diciembre 2016	50190	Novallas	Temporal	Hombres	19
Diciembre 2016	50190	Novallas	Temporal	Mujeres	8
Diciembre 2016	50191	Novillas	Temporal	Hombres	14
Diciembre 2016	50191	Novillas	Temporal	Mujeres	6
Diciembre 2016	50192	Nuévalos	Temporal	Hombres	17
Diciembre 2016	50192	Nuévalos	Temporal	Mujeres	13
Diciembre 2016	50193	Nuez de Ebro	Temporal	Hombres	20
Diciembre 2016	50193	Nuez de Ebro	Temporal	Mujeres	13
Diciembre 2016	50194	Olvés	Temporal	Hombres	6
Diciembre 2016	50194	Olvés	Temporal	Mujeres	1
Diciembre 2016	50196	Orera	Temporal	Hombres	1
Diciembre 2016	50196	Orera	Temporal	Mujeres	1
Diciembre 2016	50197	Orés	Temporal	Hombres	4
Diciembre 2016	50197	Orés	Temporal	Mujeres	5
Diciembre 2016	50198	Oseja	Temporal	Hombres	1
Diciembre 2016	50199	Osera de Ebro	Temporal	Hombres	16
Diciembre 2016	50199	Osera de Ebro	Temporal	Mujeres	2
Diciembre 2016	50200	Paniza	Temporal	Hombres	54
Diciembre 2016	50200	Paniza	Temporal	Mujeres	21
Diciembre 2016	50201	Paracuellos de Jiloca	Temporal	Hombres	20
Diciembre 2016	50201	Paracuellos de Jiloca	Temporal	Mujeres	11
Diciembre 2016	50202	Paracuellos de la Ribera	Temporal	Hombres	5
Diciembre 2016	50202	Paracuellos de la Ribera	Temporal	Mujeres	2
Diciembre 2016	50203	Pastriz	Temporal	Hombres	21
Diciembre 2016	50203	Pastriz	Temporal	Mujeres	16
Diciembre 2016	50204	Pedrola	Temporal	Hombres	591
Diciembre 2016	50204	Pedrola	Temporal	Mujeres	134
Diciembre 2016	50205	Pedrosas (Las)	Temporal	Mujeres	5
Diciembre 2016	50206	Perdiguera	Temporal	Hombres	8
Diciembre 2016	50206	Perdiguera	Temporal	Mujeres	5
Diciembre 2016	50207	Piedratajada	Temporal	Hombres	3
Diciembre 2016	50208	Pina de Ebro	Temporal	Hombres	109
Diciembre 2016	50208	Pina de Ebro	Temporal	Mujeres	57
Diciembre 2016	50209	Pinseque	Temporal	Hombres	382
Diciembre 2016	50209	Pinseque	Temporal	Mujeres	128
Diciembre 2016	50210	Pintanos (Los)	Temporal	Hombres	1
Diciembre 2016	50210	Pintanos (Los)	Temporal	Mujeres	1
Diciembre 2016	50211	Plasencia de Jalón	Temporal	Hombres	11
Diciembre 2016	50211	Plasencia de Jalón	Temporal	Mujeres	6
Diciembre 2016	50213	Plenas	Temporal	Hombres	1
Diciembre 2016	50213	Plenas	Temporal	Mujeres	1
Diciembre 2016	50214	Pomer	Temporal	Hombres	1
Diciembre 2016	50216	Pozuelo de Aragón	Temporal	Hombres	12
