Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
16	Valdejalón	2016	Regadío	15223,0	15172,0	5419,0	987,0	8766,0	0,0	0,0	0,0	0,0	51,0	51,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
16	Valdejalón	2016	Secano	78108,0	34656,0	14601,0	14553,0	5502,0	30233,0	0,0	9276,0	20957,0	6344,0	5072,0	1272,0	0,0	6875,0	0,0	1933,0	3932,0	1010,0
17	D.C. Zaragoza	2016	Regadío	27433,0	27351,0	24825,0	906,0	1620,0	0,0	0,0	0,0	0,0	82,0	82,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17	D.C. Zaragoza	2016	Secano	198312,0	56610,0	30755,0	25422,0	433,0	95987,0	0,0	40121,0	55866,0	18466,0	15548,0	2918,0	0,0	27249,0	0,0	9124,0	15873,0	2252,0
18	Ribera Baja del Ebro	2016	Regadío	14260,0	14256,0	11701,0	509,0	2046,0	0,0	0,0	0,0	0,0	4,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
18	Ribera Baja del Ebro	2016	Secano	84730,0	41220,0	20979,0	20085,0	156,0	32056,0	0,0	10985,0	21071,0	5150,0	2281,0	2869,0	0,0	6304,0	0,0	1107,0	3016,0	2181,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Regadío	11817,0	11817,0	4327,0	838,0	6652,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Secano	87903,0	23041,0	6788,0	7349,0	8904,0	33693,0	0,0	9120,0	24573,0	22342,0	12846,0	9496,0	0,0	8827,0	0,0	554,0	2688,0	5585,0
20	Comunidad de Calatayud	2016	Regadío	8014,0	7937,0	3390,0	618,0	3929,0	0,0	0,0	0,0	0,0	77,0	77,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
20	Comunidad de Calatayud	2016	Secano	243894,0	61451,0	29646,0	17307,0	14498,0	103187,0	0,0	47900,0	55287,0	67325,0	37517,0	14086,0	15722,0	11931,0	0,0	1460,0	6290,0	4181,0
21	Campo de Cariñena	2016	Regadío	7946,0	7935,0	1878,0	799,0	5258,0	0,0	0,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21	Campo de Cariñena	2016	Secano	69249,0	36155,0	12947,0	12508,0	10700,0	17558,0	0,0	9613,0	7945,0	11441,0	10749,0	692,0	0,0	4095,0	0,0	744,0	2502,0	849,0
22	Campo de Belchite	2016	Regadío	4132,0	4121,0	1281,0	772,0	2068,0	0,0	0,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Campo de Belchite	2016	Secano	100240,0	62042,0	31521,0	28659,0	1862,0	29243,0	0,0	9361,0	19882,0	5543,0	4812,0	731,0	0,0	3412,0	0,0	480,0	2116,0	816,0
23	Bajo Martín	2016	Regadío	4160,0	4154,0	2613,0	702,0	839,0	0,0	0,0	0,0	0,0	6,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
23	Bajo Martín	2016	Secano	75360,0	45742,0	21187,0	21268,0	3287,0	19893,0	0,0	5602,0	14291,0	6919,0	6540,0	379,0	0,0	2806,0	0,0	656,0	1702,0	448,0
24	Campo de Daroca	2016	Regadío	1591,0	1562,0	1398,0	102,0	62,0	0,0	0,0	0,0	0,0	29,0	29,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
24	Campo de Daroca	2016	Secano	110230,0	54346,0	39770,0	11775,0	2801,0	10825,0	0,0	2393,0	8432,0	39637,0	19064,0	7155,0	13418,0	5422,0	0,0	422,0	2903,0	2097,0
25	Jiloca	2016	Regadío	6022,0	5959,0	4795,0	1147,0	17,0	0,0	0,0	0,0	0,0	63,0	63,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
25	Jiloca	2016	Secano	185978,0	86119,0	56444,0	28572,0	1103,0	24457,0	0,0	8123,0	16334,0	67210,0	20053,0	16176,0	30981,0	8192,0	0,0	1498,0	5506,0	1188,0
26	Cuencas Mineras	2016	Regadío	810,0	807,0	478,0	317,0	12,0	0,0	0,0	0,0	0,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
26	Cuencas Mineras	2016	Secano	139957,0	30791,0	15797,0	14068,0	926,0	63977,0	0,0	48898,0	15079,0	41138,0	23637,0	7096,0	10405,0	4051,0	0,0	717,0	2355,0	979,0
27	Andorra-Sierra de Arcos	2016	Regadío	378,0	342,0	191,0	66,0	85,0	0,0	0,0	0,0	0,0	36,0	36,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
27	Andorra-Sierra de Arcos	2016	Secano	67132,0	15804,0	6614,0	6535,0	2655,0	28978,0	0,0	16409,0	12569,0	17893,0	13378,0	4515,0	0,0	4457,0	0,0	2139,0	1921,0	397,0
28	Bajo Aragón	2016	Regadío	9577,0	9528,0	5418,0	508,0	3602,0	0,0	0,0	0,0	0,0	49,0	49,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
28	Bajo Aragón	2016	Secano	120843,0	43407,0	12607,0	13835,0	16965,0	45923,0	0,0	19980,0	25943,0	25135,0	16156,0	8979,0	0,0	6378,0	0,0	1757,0	3214,0	1407,0
29	Comunidad de Teruel	2016	Regadío	7743,0	7603,0	5828,0	1724,0	51,0	0,0	0,0	0,0	0,0	140,0	140,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
29	Comunidad de Teruel	2016	Secano	271457,0	90503,0	51669,0	38320,0	514,0	96825,0	106,0	39701,0	57018,0	72092,0	24854,0	29204,0	18034,0	12037,0	0,0	1660,0	7202,0	3175,0
30	Maestrazgo	2016	Regadío	417,0	416,0	261,0	41,0	114,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
