Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
2020	50	50100	Erla	Extranjeros	01	UE-28	Europa	Hombres	4
2020	50	50101	Escatrón	Españoles	01	UE-28	Europa	Hombres	465
2020	50	50101	Escatrón	Extranjeros	01	UE-28	Europa	Hombres	26
2020	50	50101	Escatrón	Extranjeros	03	Magreb	África	Hombres	37
2020	50	50101	Escatrón	Extranjeros	04	Resto de África	África	Hombres	2
2020	50	50101	Escatrón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	1
2020	50	50102	Fabara	Españoles	01	UE-28	Europa	Hombres	474
2020	50	50102	Fabara	Extranjeros	01	UE-28	Europa	Hombres	44
2020	50	50102	Fabara	Extranjeros	02	Resto de Europa	Europa	Hombres	3
2020	50	50102	Fabara	Extranjeros	03	Magreb	África	Hombres	1
2020	50	50102	Fabara	Extranjeros	04	Resto de África	África	Hombres	39
2020	50	50102	Fabara	Extranjeros	06	Resto de América	América	Hombres	5
2020	50	50102	Fabara	Extranjeros	07	Asia	Asia	Hombres	33
2020	50	50104	Farlete	Españoles	01	UE-28	Europa	Hombres	170
2020	50	50104	Farlete	Extranjeros	01	UE-28	Europa	Hombres	7
2020	50	50104	Farlete	Extranjeros	03	Magreb	África	Hombres	2
2020	50	50104	Farlete	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50105	Fayón	Españoles	01	UE-28	Europa	Hombres	164
2020	50	50105	Fayón	Extranjeros	01	UE-28	Europa	Hombres	18
2020	50	50105	Fayón	Extranjeros	02	Resto de Europa	Europa	Hombres	3
2020	50	50105	Fayón	Extranjeros	03	Magreb	África	Hombres	1
2020	50	50105	Fayón	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50105	Fayón	Extranjeros	07	Asia	Asia	Hombres	13
2020	50	50106	Fayos (Los)	Españoles	01	UE-28	Europa	Hombres	67
2020	50	50106	Fayos (Los)	Extranjeros	01	UE-28	Europa	Hombres	1
2020	50	50106	Fayos (Los)	Extranjeros	06	Resto de América	América	Hombres	1
2020	50	50107	Figueruelas	Españoles	01	UE-28	Europa	Hombres	586
2020	50	50107	Figueruelas	Extranjeros	01	UE-28	Europa	Hombres	25
2020	50	50107	Figueruelas	Extranjeros	03	Magreb	África	Hombres	7
2020	50	50107	Figueruelas	Extranjeros	06	Resto de América	América	Hombres	13
2020	50	50108	Fombuena	Españoles	01	UE-28	Europa	Hombres	33
2020	50	50108	Fombuena	Extranjeros	01	UE-28	Europa	Hombres	1
