Municipio código	Municipio nombre	Salario Percepciones	Salario Retribución	Salario medio por percepción	Pensión Percepciones	Pensión Retribución	Pensión media por percepción	Desempleo Perceptores	Desempleo Retribución	Desempleo prestación media anual	Año
22011	Albero Alto	10,0	79400,92	7940,092	24,0	130899,57	5454,14875				2002
22011	Albero Alto	10,0	58397,39	5839,739	27,0	148184,39	5488,31074074074	0,0	0,0		2003
22011	Albero Alto	10,0	71372,35	7137,235	23,0	134063,94	5828,86695652174				2004
22011	Albero Alto	18,0	110816,55	6156,475	24,0	146600,82	6108,3675	0,0	0,0		2005
22011	Albero Alto	13,0	164775,47	12675,0361538462	27,0	169116,68	6263,58074074074				2006
22011	Albero Alto	15,0	187360,78	12490,7186666667	27,0	176705,79	6544,65888888889				2007
22011	Albero Alto	23,0	332348,53	14449,9360869565	32,0	215133,85	6722,9328125				2008
22011	Albero Alto	29,0	320450,85	11050,0293103448	34,0	235951,76	6939,75764705882				2009
22011	Albero Alto	36,0	332334,18	9231,505	28,0	212594,39	7592,65678571429				2010
22012	Albero Bajo	25,0	162714,94	6508,5976	27,0	133692,51	4951,57444444444	0,0	0,0		1999
22012	Albero Bajo	28,0	236154,6	8434,09285714286	24,0	116608,7	4858,69583333333				2000
22012	Albero Bajo	32,0	277974,04	8686,68875	28,0	138341,99	4940,78535714286				2001
22012	Albero Bajo	37,0	279883,33	7564,41432432432	29,0	160120,47	5521,39551724138				2002
22012	Albero Bajo	35,0	281634,62	8046,70342857143	26,0	153044,94	5886,34384615385				2003
22012	Albero Bajo	42,0	353121,51	8407,655	26,0	141413,53	5438,98192307692	0,0	0,0		2004
22012	Albero Bajo	42,0	378708,43	9016,86738095238	26,0	152071,36	5848,89846153846				2005
22012	Albero Bajo	41,0	449087,08	10953,3434146341	27,0	175404,96	6496,48				2006
22012	Albero Bajo	54,0	598434,96	11082,1288888889	25,0	175209,12	7008,3648				2007
22012	Albero Bajo	50,0	544646,47	10892,9294	30,0	238476,64	7949,22133333333				2008
22012	Albero Bajo	32,0	510209,31	15944,0409375	33,0	238581,81	7229,75181818182				2009
22012	Albero Bajo	34,0	550454,12	16189,8270588235	31,0	244666,46	7892,4664516129				2010
22013	Alberuela de Tubo	87,0	580997,22	6678,12896551724	95,0	439333,42	4624,56231578947				1999
22013	Alberuela de Tubo	96,0	580757,34	6049,555625	96,0	449890,04	4686,35458333333	8,0	8558,13	1069,76625	2000
22013	Alberuela de Tubo	90,0	687461,59	7638,46211111111	92,0	474267,59	5155,0825	7,0	7051,68	1007,38285714286	2001
22013	Alberuela de Tubo	113,0	824046,46	7292,44654867257	81,0	457884,98	5652,90098765432				2002
22013	Alberuela de Tubo	112,0	955308,68	8529,54178571429	78,0	474243,05	6080,0391025641	8,0	19706,34	2463,2925	2003
22013	Alberuela de Tubo	104,0	1083678,37	10419,9843269231	81,0	504342,48	6226,45037037037	11,0	33455,58	3041,41636363636	2004
22013	Alberuela de Tubo	125,0	1060658,46	8485,26768	87,0	548554,37	6305,22264367816	14,0	35850,08	2560,72	2005
22013	Alberuela de Tubo	118,0	1234271,06	10459,9242372881	81,0	526048,28	6494,42320987654	17,0	38904,5	2288,5	2006
22013	Alberuela de Tubo	123,0	1305232,12	10611,6432520325	81,0	584055,11	7210,55691358025	13,0	34308,16	2639,08923076923	2007
22013	Alberuela de Tubo	110,0	1327970,28	12072,4570909091	94,0	719286,14	7651,98021276596	8,0	16884,38	2110,5475	2008
22013	Alberuela de Tubo	118,0	1267323,73	10740,0316101695	84,0	717726,78	8544,36642857143	10,0	39113,88	3911,388	2009
22013	Alberuela de Tubo	100,0	1216801,37	12168,0137	92,0	831112,43	9033,83076086957	10,0	45656,57	4565,657	2010
22014	Alcalá de Gurrea	99,0	691076,73	6980,57303030303	113,0	597280,86	5285,67132743363				1999
22014	Alcalá de Gurrea	90,0	725300,36	8058,89288888889	106,0	594269,06	5606,31188679245				2000
22014	Alcalá de Gurrea	98,0	740496,86	7556,09040816327	109,0	611566,84	5610,70495412844				2001
22014	Alcalá de Gurrea	77,0	713959,93	9272,20688311688	104,0	623831,33	5998,37817307692				2002
22014	Alcalá de Gurrea	76,0	738831,5	9721,46710526316	102,0	625532,78	6132,67431372549				2003
22014	Alcalá de Gurrea	70,0	725709,93	10367,2847142857	99,0	645185,34	6517,02363636364				2004
22014	Alcalá de Gurrea	75,0	726070,55	9680,94066666667	93,0	638518,19	6865,78698924731				2005
22014	Alcalá de Gurrea	85,0	906911,61	10669,5483529412	91,0	664191,68	7298,80967032967				2006
22014	Alcalá de Gurrea	94,0	903896,66	9615,92191489362	89,0	642910,62	7223,71483146068	7,0	24112,13	3444,59	2007
22014	Alcalá de Gurrea	87,0	926597,76	10650,5489655172	97,0	783634,4	8078,70515463918	9,0	39677,45	4408,60555555556	2008
22014	Alcalá de Gurrea	77,0	723919,08	9401,54649350649	95,0	843428,24	8878,192	12,0	36749,89	3062,49083333333	2009
22014	Alcalá de Gurrea	64,0	683715,76	10683,05875	94,0	886180,7	9427,45425531915	13,0	57540,65	4426,20384615385	2010
22015	Alcalá del Obispo	68,0	507520,15	7463,53161764706	117,0	576535,51	4927,65393162393				1999
22015	Alcalá del Obispo	70,0	565104,39	8072,91985714286	113,0	606219,36	5364,77309734513				2000
22015	Alcalá del Obispo	74,0	684271,36	9246,91027027027	108,0	627005,52	5805,60666666667	8,0	27195,12	3399,39	2001
22015	Alcalá del Obispo	90,0	828879,6	9209,77333333333	108,0	617183,6	5714,66296296296	11,0	20523,68	1865,78909090909	2002
22015	Alcalá del Obispo	107,0	880038,37	8224,6576635514	103,0	639768,79	6211,34747572816	13,0	32964,09	2535,69923076923	2003
22015	Alcalá del Obispo	125,0	1109025,89	8872,20712	97,0	628651,55	6480,94381443299	11,0	32094,69	2917,69909090909	2004
22015	Alcalá del Obispo	123,0	1196621,03	9728,6262601626	92,0	626869,92	6813,80347826087	17,0	47186,58	2775,68117647059	2005
22015	Alcalá del Obispo	128,0	1245721,83	9732,201796875	86,0	620396,59	7213,9138372093	17,0	66468,91	3909,93588235294	2006
22015	Alcalá del Obispo	144,0	1470964,56	10215,0316666667	91,0	690471,4	7587,5978021978	21,0	69304,66	3300,2219047619	2007
22015	Alcalá del Obispo	133,0	1591651,89	11967,307443609	108,0	865577,49	8014,60638888889	21,0	82688,7	3937,55714285714	2008
22015	Alcalá del Obispo	124,0	1416678,36	11424,825483871	103,0	974349,1	9459,7	18,0	74061,66	4114,53666666667	2009
22015	Alcalá del Obispo	105,0	1324741,94	12616,5899047619	101,0	999985,23	9900,84386138614	23,0	123105,84	5352,42782608696	2010
22016	Alcampell	231,0	1521345,41	6585,91086580087	359,0	1643668,34	4578,46334261839	13,0	29903,17	2300,24384615385	1999
