Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22200	Sahún	Presupuestos	Consolidada	681632,22	40025,0	308214,05	12900,0	81706,68	14750,0	224036,49
2010	22201	Salas Altas	Presupuestos	Consolidada	661900,0	0,0	115900,0	73100,0	410300,0	0,0	62600,0
2010	22202	Salas Bajas	Presupuestos	Consolidada	588200,0	3500,0	53500,0	74800,0	0,0	295400,0	161000,0
2010	22203	Salillas	Presupuestos	Sin información							
2010	22204	Sallent de Gállego	Presupuestos	Consolidada	3413083,69	90670,72	0,0	0,0	0,0	601481,98	2720930,99
2010	22205	San Esteban de Litera	Presupuestos	Consolidada	746240,0	13200,0	237600,0	0,0	268100,0	10000,0	217340,0
2010	22206	Sangarrén	Presupuestos	Consolidada	285900,0	30070,0	82100,0	0,0	15000,0	155130,0	3600,0
2010	22207	San Juan de Plan	Presupuestos	Sin información							
2010	22208	Santa Cilia	Presupuestos	Consolidada	362763,0	28000,0	29000,0	22000,0	15000,0	151113,0	117650,0
2010	22209	Santa Cruz de la Serós	Presupuestos	Consolidada	166112,96	19200,0	10240,0	15541,01	4580,6	26440,31	90111,04
2010	22212	Santaliestra y San Quílez	Presupuestos	Sin información							
2010	22213	Sariñena	Presupuestos	Consolidada	6032555,43	337310,48	1488021,81	459197,0	970233,13	971509,4	1806283,61
2010	22214	Secastilla	Presupuestos	Consolidada	448446,85	50477,05	100526,83	22600,0	36500,0	68732,01	169610,96
2010	22215	Seira	Presupuestos	Consolidada	373893,0	21048,0	147630,0	32640,0	63400,0	0,0	109175,0
2010	22217	Sena	Presupuestos	Consolidada	751100,0	9900,0	0,0	32500,0	562400,0	0,0	146300,0
2010	22218	Senés de Alcubierre	Presupuestos	Consolidada	75740,0	0,0	0,0	1890,0	12600,0	0,0	61250,0
2010	22220	Sesa	Presupuestos	Consolidada	218130,0	4250,0	127810,0	0,0	17850,0	0,0	68220,0
2010	22221	Sesué	Presupuestos	Consolidada	312000,0	36400,0	0,0	21100,0	21390,0	93700,0	139410,0
2010	22222	Siétamo	Presupuestos	Sin información							
2010	22223	Sopeira	Presupuestos	Sin información							
2010	22225	Tamarite de Litera	Presupuestos	Sin información							
2010	22226	Tardienta	Presupuestos	Consolidada	3160501,76	27051,0	298826,67	1728394,25	687816,0	76000,0	342413,84
2010	22227	Tella-Sin	Presupuestos	Consolidada	473700,0	0,0	120000,0	0,0	15000,0	58000,0	280700,0
2010	22228	Tierz	Presupuestos	Consolidada	707300,0	1690,0	12000,0	47000,0	27000,0	331287,68	288322,32
2010	22229	Tolva	Presupuestos	Consolidada	196855,73	4427,28	89505,13	11200,0	47600,0	0,0	44123,32
2010	22230	Torla-Ordesa	Presupuestos	Consolidada	735959,0	0,0	572059,0	9000,0	21000,0	0,0	133900,0
