Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2015,0	20	Comunidad de Calatayud	227	Leves	1	01	General
2015,0	20	Comunidad de Calatayud	14	Leves	1	05	Trabajadores Autónomos
2015,0	21	Campo de Cariñena	115	Leves	1	01	General
2015,0	21	Campo de Cariñena	17	Leves	1	05	Trabajadores Autónomos
2015,0	22	Campo de Belchite	22	Leves	1	01	General
2015,0	22	Campo de Belchite	3	Leves	1	05	Trabajadores Autónomos
2015,0	23	Bajo Martín	63	Leves	1	01	General
2015,0	23	Bajo Martín	3	Leves	1	05	Trabajadores Autónomos
2015,0	24	Campo de Daroca	56	Leves	1	01	General
2015,0	25	Jiloca	72	Leves	1	01	General
2015,0	25	Jiloca	7	Leves	1	05	Trabajadores Autónomos
2015,0	26	Cuencas Mineras	77	Leves	1	01	General
2015,0	26	Cuencas Mineras	5	Leves	1	05	Trabajadores Autónomos
2015,0	27	Andorra-Sierra de Arcos	64	Leves	1	01	General
2015,0	27	Andorra-Sierra de Arcos	60	Leves	1	09	Especial Minería del Carbón
2015,0	28	Bajo Aragón	137	Leves	1	01	General
2015,0	28	Bajo Aragón	10	Leves	1	05	Trabajadores Autónomos
2015,0	29	Comunidad de Teruel	332	Leves	1	01	General
2015,0	29	Comunidad de Teruel	14	Leves	1	05	Trabajadores Autónomos
2015,0	30	Maestrazgo	8	Leves	1	01	General
2015,0	30	Maestrazgo	4	Leves	1	05	Trabajadores Autónomos
2015,0	31	Sierra de Albarracín	18	Leves	1	01	General
2015,0	31	Sierra de Albarracín	3	Leves	1	05	Trabajadores Autónomos
2015,0	32	Gúdar-Javalambre	54	Leves	1	01	General
2015,0	32	Gúdar-Javalambre	3	Leves	1	05	Trabajadores Autónomos
2015,0	33	Matarraña / Matarranya	49	Leves	1	01	General
2015,0	33	Matarraña / Matarranya	5	Leves	1	05	Trabajadores Autónomos
2015,0	NC	Municipio del centro de trabajo fuera de Aragón	71	Leves	1	01	General
2015,0	NC	Municipio del centro de trabajo fuera de Aragón	3	Leves	1	05	Trabajadores Autónomos
2014,0	01	La Jacetania	127	Leves	1	01	General
2014,0	01	La Jacetania	4	Leves	1	05	Trabajadores Autónomos
