Año	Comarca código	Comarca nombre	Población
1981	33	Matarraña / Matarranya	10647,0
1991	01	La Jacetania	16007,0
1991	02	Alto Gállego	12297,0
1991	03	Sobrarbe	6638,0
1991	04	La Ribagorza	11915,0
1991	05	Cinco Villas	32656,0
1991	06	Hoya de Huesca / Plana de Uesca	58743,0
1991	07	Somontano de Barbastro	23105,0
1991	08	Cinca Medio	22265,0
1991	09	La Litera / La Llitera	19477,0
1991	10	Los Monegros	23253,0
1991	11	Bajo Cinca / Baix Cinca	22666,0
1991	12	Tarazona y el Moncayo	14520,0
1991	13	Campo de Borja	14632,0
1991	14	Aranda	8248,0
1991	15	Ribera Alta del Ebro	21622,0
1991	16	Valdejalón	21354,0
1991	17	D.C. Zaragoza	626447,0
1991	18	Ribera Baja del Ebro	10104,0
1991	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13554,0
1991	20	Comunidad de Calatayud	41954,0
1991	21	Campo de Cariñena	10173,0
1991	22	Campo de Belchite	6147,0
1991	23	Bajo Martín	8484,0
1991	24	Campo de Daroca	7360,0
1991	25	Jiloca	15640,0
1991	26	Cuencas Mineras	11226,0
1991	27	Andorra-Sierra de Arcos	12606,0
1991	28	Bajo Aragón	26195,0
1991	29	Comunidad de Teruel	42243,0
1991	30	Maestrazgo	4184,0
1991	31	Sierra de Albarracín	5417,0
1991	32	Gúdar-Javalambre	8082,0
1991	33	Matarraña / Matarranya	9603,0
2001	01	La Jacetania	16676,0
2001	02	Alto Gállego	12176,0
2001	03	Sobrarbe	6803,0
2001	04	La Ribagorza	11792,0
2001	05	Cinco Villas	32209,0
2001	06	Hoya de Huesca / Plana de Uesca	60254,0
2001	07	Somontano de Barbastro	22772,0
2001	08	Cinca Medio	22132,0
2001	09	La Litera / La Llitera	18487,0
2001	10	Los Monegros	20989,0
2001	11	Bajo Cinca / Baix Cinca	22254,0
2001	12	Tarazona y el Moncayo	14168,0
2001	13	Campo de Borja	14181,0
2001	14	Aranda	7967,0
2001	15	Ribera Alta del Ebro	22286,0
2001	16	Valdejalón	22865,0
2001	17	D.C. Zaragoza	656746,0
2001	18	Ribera Baja del Ebro	9211,0
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13005,0
2001	20	Comunidad de Calatayud	39144,0
2001	21	Campo de Cariñena	10243,0
2001	22	Campo de Belchite	5530,0
2001	23	Bajo Martín	7329,0
2001	24	Campo de Daroca	6467,0
2001	25	Jiloca	13653,0
2001	26	Cuencas Mineras	9485,0
2001	27	Andorra-Sierra de Arcos	11034,0
2001	28	Bajo Aragón	26516,0
2001	29	Comunidad de Teruel	42767,0
2001	30	Maestrazgo	3713,0
2001	31	Sierra de Albarracín	4903,0
2001	32	Gúdar-Javalambre	7742,0
2001	33	Matarraña / Matarranya	8716,0
2011	01	La Jacetania	18175,0
2011	02	Alto Gállego	14558,0
2011	03	Sobrarbe	7661,0
2011	04	La Ribagorza	13036,0
2011	05	Cinco Villas	32501,0
2011	06	Hoya de Huesca / Plana de Uesca	70330,0
2011	07	Somontano de Barbastro	24305,0
2011	08	Cinca Medio	24031,0
2011	09	La Litera / La Llitera	18850,0
2011	10	Los Monegros	20575,0
2011	11	Bajo Cinca / Baix Cinca	24552,0
2011	12	Tarazona y el Moncayo	14557,0
2011	13	Campo de Borja	15166,0
2011	14	Aranda	7402,0
2011	15	Ribera Alta del Ebro	27760,0
2011	16	Valdejalón	29671,0
2011	17	D.C. Zaragoza	752937,0
2011	18	Ribera Baja del Ebro	9366,0
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	14934,0
2011	20	Comunidad de Calatayud	40929,0
2011	21	Campo de Cariñena	11052,0
2011	22	Campo de Belchite	5197,0
2011	23	Bajo Martín	6931,0
2011	24	Campo de Daroca	6202,0
2011	25	Jiloca	13591,0
2011	26	Cuencas Mineras	8883,0
2011	27	Andorra-Sierra de Arcos	11206,0
2011	28	Bajo Aragón	30038,0
2011	29	Comunidad de Teruel	47063,0
2011	30	Maestrazgo	3578,0
2011	31	Sierra de Albarracín	4916,0
2011	32	Gúdar-Javalambre	8275,0
2011	33	Matarraña / Matarranya	8683,0
