Año	Sexo	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2012,0	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	20	Leves	1
2012,0	Mujeres	20	Comunidad de Calatayud	76	Leves	1
2012,0	Mujeres	21	Campo de Cariñena	19	Leves	1
2012,0	Mujeres	22	Campo de Belchite	3	Leves	1
2012,0	Mujeres	23	Bajo Martín	6	Leves	1
2012,0	Mujeres	24	Campo de Daroca	4	Leves	1
2012,0	Mujeres	25	Jiloca	15	Leves	1
2012,0	Mujeres	26	Cuencas Mineras	22	Leves	1
2012,0	Mujeres	27	Andorra-Sierra de Arcos	23	Leves	1
2012,0	Mujeres	28	Bajo Aragón	50	Leves	1
2012,0	Mujeres	29	Comunidad de Teruel	127	Leves	1
2012,0	Mujeres	30	Maestrazgo	5	Leves	1
2012,0	Mujeres	31	Sierra de Albarracín	7	Leves	1
2012,0	Mujeres	32	Gúdar-Javalambre	14	Leves	1
2012,0	Mujeres	33	Matarraña / Matarranya	6	Leves	1
2012,0	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	15	Leves	1
2011,0	Hombres	01	La Jacetania	118	Leves	1
2011,0	Hombres	02	Alto Gállego	93	Leves	1
2011,0	Hombres	03	Sobrarbe	33	Leves	1
2011,0	Hombres	04	La Ribagorza	101	Leves	1
2011,0	Hombres	05	Cinco Villas	267	Leves	1
2011,0	Hombres	06	Hoya de Huesca / Plana de Uesca	516	Leves	1
2011,0	Hombres	07	Somontano de Barbastro	146	Leves	1
2011,0	Hombres	08	Cinca Medio	280	Leves	1
2011,0	Hombres	09	La Litera / La Llitera	211	Leves	1
2011,0	Hombres	10	Los Monegros	124	Leves	1
2011,0	Hombres	11	Bajo Cinca / Baix Cinca	228	Leves	1
2011,0	Hombres	12	Tarazona y el Moncayo	107	Leves	1
2011,0	Hombres	13	Campo de Borja	124	Leves	1
2011,0	Hombres	14	Aranda	37	Leves	1
2011,0	Hombres	15	Ribera Alta del Ebro	501	Leves	1
2011,0	Hombres	16	Valdejalón	386	Leves	1
2011,0	Hombres	17	D.C. Zaragoza	5518	Leves	1
2011,0	Hombres	18	Ribera Baja del Ebro	91	Leves	1
2011,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	94	Leves	1
2011,0	Hombres	20	Comunidad de Calatayud	219	Leves	1
2011,0	Hombres	21	Campo de Cariñena	103	Leves	1
2011,0	Hombres	22	Campo de Belchite	22	Leves	1
2011,0	Hombres	23	Bajo Martín	49	Leves	1
2011,0	Hombres	24	Campo de Daroca	36	Leves	1
2011,0	Hombres	25	Jiloca	81	Leves	1
2011,0	Hombres	26	Cuencas Mineras	89	Leves	1
2011,0	Hombres	27	Andorra-Sierra de Arcos	174	Leves	1
2011,0	Hombres	28	Bajo Aragón	198	Leves	1
2011,0	Hombres	29	Comunidad de Teruel	339	Leves	1
2011,0	Hombres	30	Maestrazgo	16	Leves	1
2011,0	Hombres	31	Sierra de Albarracín	22	Leves	1
2011,0	Hombres	32	Gúdar-Javalambre	68	Leves	1
2011,0	Hombres	33	Matarraña / Matarranya	54	Leves	1
2011,0	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	153	Leves	1
2011,0	Mujeres	01	La Jacetania	58	Leves	1
2011,0	Mujeres	02	Alto Gállego	38	Leves	1
2011,0	Mujeres	03	Sobrarbe	13	Leves	1
2011,0	Mujeres	04	La Ribagorza	32	Leves	1
2011,0	Mujeres	05	Cinco Villas	78	Leves	1
2011,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	177	Leves	1
2011,0	Mujeres	07	Somontano de Barbastro	59	Leves	1
2011,0	Mujeres	08	Cinca Medio	53	Leves	1
2011,0	Mujeres	09	La Litera / La Llitera	42	Leves	1
2011,0	Mujeres	10	Los Monegros	17	Leves	1
2011,0	Mujeres	11	Bajo Cinca / Baix Cinca	70	Leves	1
2011,0	Mujeres	12	Tarazona y el Moncayo	36	Leves	1
2011,0	Mujeres	13	Campo de Borja	54	Leves	1
2011,0	Mujeres	14	Aranda	14	Leves	1
2011,0	Mujeres	15	Ribera Alta del Ebro	148	Leves	1
2011,0	Mujeres	16	Valdejalón	149	Leves	1
2011,0	Mujeres	17	D.C. Zaragoza	3026	Leves	1
2011,0	Mujeres	18	Ribera Baja del Ebro	44	Leves	1
2011,0	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	32	Leves	1
2011,0	Mujeres	20	Comunidad de Calatayud	88	Leves	1
2011,0	Mujeres	21	Campo de Cariñena	22	Leves	1
2011,0	Mujeres	22	Campo de Belchite	3	Leves	1
2011,0	Mujeres	23	Bajo Martín	4	Leves	1
2011,0	Mujeres	24	Campo de Daroca	16	Leves	1
2011,0	Mujeres	25	Jiloca	12	Leves	1
2011,0	Mujeres	26	Cuencas Mineras	43	Leves	1
2011,0	Mujeres	27	Andorra-Sierra de Arcos	25	Leves	1
2011,0	Mujeres	28	Bajo Aragón	72	Leves	1
2011,0	Mujeres	29	Comunidad de Teruel	156	Leves	1
2011,0	Mujeres	30	Maestrazgo	4	Leves	1
2011,0	Mujeres	31	Sierra de Albarracín	6	Leves	1
2011,0	Mujeres	32	Gúdar-Javalambre	17	Leves	1
2011,0	Mujeres	33	Matarraña / Matarranya	13	Leves	1
2011,0	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	24	Leves	1
2010,0	Hombres	01	La Jacetania	111	Leves	1
2010,0	Hombres	02	Alto Gállego	127	Leves	1
2010,0	Hombres	03	Sobrarbe	47	Leves	1
2010,0	Hombres	04	La Ribagorza	96	Leves	1
2010,0	Hombres	05	Cinco Villas	305	Leves	1
2010,0	Hombres	06	Hoya de Huesca / Plana de Uesca	551	Leves	1
2010,0	Hombres	07	Somontano de Barbastro	175	Leves	1
2010,0	Hombres	08	Cinca Medio	295	Leves	1
2010,0	Hombres	09	La Litera / La Llitera	179	Leves	1
2010,0	Hombres	10	Los Monegros	117	Leves	1
2010,0	Hombres	11	Bajo Cinca / Baix Cinca	198	Leves	1
2010,0	Hombres	12	Tarazona y el Moncayo	135	Leves	1
2010,0	Hombres	13	Campo de Borja	177	Leves	1
2010,0	Hombres	14	Aranda	50	Leves	1
2010,0	Hombres	15	Ribera Alta del Ebro	638	Leves	1
2010,0	Hombres	16	Valdejalón	388	Leves	1
2010,0	Hombres	17	D.C. Zaragoza	6247	Leves	1
2010,0	Hombres	18	Ribera Baja del Ebro	81	Leves	1
2010,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	100	Leves	1
2010,0	Hombres	20	Comunidad de Calatayud	235	Leves	1
2010,0	Hombres	21	Campo de Cariñena	105	Leves	1
2010,0	Hombres	22	Campo de Belchite	18	Leves	1
2010,0	Hombres	23	Bajo Martín	71	Leves	1
2010,0	Hombres	24	Campo de Daroca	48	Leves	1
2010,0	Hombres	25	Jiloca	84	Leves	1
2010,0	Hombres	26	Cuencas Mineras	118	Leves	1
2010,0	Hombres	27	Andorra-Sierra de Arcos	193	Leves	1
2010,0	Hombres	28	Bajo Aragón	227	Leves	1
2010,0	Hombres	29	Comunidad de Teruel	398	Leves	1
2010,0	Hombres	30	Maestrazgo	31	Leves	1
2010,0	Hombres	31	Sierra de Albarracín	15	Leves	1
2010,0	Hombres	32	Gúdar-Javalambre	68	Leves	1
2010,0	Hombres	33	Matarraña / Matarranya	63	Leves	1
