Año	Residencia área código	Residencia continente nombre	Residencia país código	Residencia país nombre	Residencia área nombre	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Inscripcion municipio estrato	Sexo	Personas
2009	01	Europa	109	Finlandia	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	3,0
2009	01	Europa	109	Finlandia	UE-27_2007	44	Teruel	44216	Teruel	7	Hombre	4,0
2009	01	Europa	109	Finlandia	UE-27_2007	44	Teruel	44216	Teruel	7	Mujer	4,0
2009	01	Europa	109	Finlandia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	18,0
2009	01	Europa	109	Finlandia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	11,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22048	Barbastro	6	Hombre	50,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22048	Barbastro	6	Mujer	43,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22112	Fraga	6	Hombre	7,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22112	Fraga	6	Mujer	14,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	136,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	94,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22130	Jaca	6	Hombre	63,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22130	Jaca	6	Mujer	84,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22158	Monzón	6	Hombre	24,0
2009	01	Europa	110	Francia	UE-27_2007	22	Huesca	22158	Monzón	6	Mujer	32,0
2009	01	Europa	110	Francia	UE-27_2007	44	Teruel	44013	Alcañiz	6	Hombre	31,0
2009	01	Europa	110	Francia	UE-27_2007	44	Teruel	44013	Alcañiz	6	Mujer	43,0
2009	01	Europa	110	Francia	UE-27_2007	44	Teruel	44216	Teruel	7	Hombre	86,0
2009	01	Europa	110	Francia	UE-27_2007	44	Teruel	44216	Teruel	7	Mujer	85,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Hombre	11,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Mujer	14,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50089	Cuarte de Huerva	6	Hombre	5,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50089	Cuarte de Huerva	6	Mujer	3,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Hombre	21,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	36,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Hombre	6,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Mujer	9,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50272	Utebo	6	Hombre	11,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50272	Utebo	6	Mujer	6,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	824,0
2009	01	Europa	110	Francia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	916,0
2009	01	Europa	111	Grecia	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	2,0
2009	01	Europa	111	Grecia	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	1,0
2009	01	Europa	111	Grecia	UE-27_2007	22	Huesca	22158	Monzón	6	Mujer	3,0
2009	01	Europa	111	Grecia	UE-27_2007	44	Teruel	44216	Teruel	7	Hombre	1,0
2009	01	Europa	111	Grecia	UE-27_2007	44	Teruel	44216	Teruel	7	Mujer	1,0
2009	01	Europa	111	Grecia	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Hombre	1,0
2009	01	Europa	111	Grecia	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	1,0
2009	01	Europa	111	Grecia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	10,0
2009	01	Europa	111	Grecia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	24,0
2009	01	Europa	112	Hungría	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Mujer	1,0
2009	01	Europa	112	Hungría	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	5,0
2009	01	Europa	112	Hungría	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	1,0
2009	01	Europa	113	Irlanda	UE-27_2007	22	Huesca	22048	Barbastro	6	Hombre	2,0
2009	01	Europa	113	Irlanda	UE-27_2007	22	Huesca	22048	Barbastro	6	Mujer	2,0
2009	01	Europa	113	Irlanda	UE-27_2007	22	Huesca	22112	Fraga	6	Hombre	1,0
2009	01	Europa	113	Irlanda	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	1,0
2009	01	Europa	113	Irlanda	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	6,0
2009	01	Europa	113	Irlanda	UE-27_2007	22	Huesca	22130	Jaca	6	Hombre	3,0
2009	01	Europa	113	Irlanda	UE-27_2007	22	Huesca	22130	Jaca	6	Mujer	2,0
2009	01	Europa	113	Irlanda	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Hombre	2,0
2009	01	Europa	113	Irlanda	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	1,0
2009	01	Europa	113	Irlanda	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Hombre	1,0
2009	01	Europa	113	Irlanda	UE-27_2007	50	Zaragoza	50272	Utebo	6	Mujer	2,0
2009	01	Europa	113	Irlanda	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	27,0
2009	01	Europa	113	Irlanda	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	28,0
2009	01	Europa	115	Italia	UE-27_2007	22	Huesca	22048	Barbastro	6	Hombre	1,0
2009	01	Europa	115	Italia	UE-27_2007	22	Huesca	22048	Barbastro	6	Mujer	1,0
2009	01	Europa	115	Italia	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	1,0
2009	01	Europa	115	Italia	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	12,0
2009	01	Europa	115	Italia	UE-27_2007	22	Huesca	22130	Jaca	6	Hombre	2,0
2009	01	Europa	115	Italia	UE-27_2007	22	Huesca	22130	Jaca	6	Mujer	1,0
2009	01	Europa	115	Italia	UE-27_2007	44	Teruel	44013	Alcañiz	6	Hombre	1,0
2009	01	Europa	115	Italia	UE-27_2007	44	Teruel	44216	Teruel	7	Hombre	1,0
2009	01	Europa	115	Italia	UE-27_2007	44	Teruel	44216	Teruel	7	Mujer	2,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Mujer	3,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50089	Cuarte de Huerva	6	Mujer	2,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	1,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Hombre	1,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Mujer	1,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50272	Utebo	6	Hombre	1,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50272	Utebo	6	Mujer	1,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	69,0
2009	01	Europa	115	Italia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	181,0
2009	01	Europa	117	Luxemburgo	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	1,0
2009	01	Europa	117	Luxemburgo	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	1,0
2009	01	Europa	117	Luxemburgo	UE-27_2007	22	Huesca	22130	Jaca	6	Hombre	1,0
2009	01	Europa	117	Luxemburgo	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Mujer	1,0
2009	01	Europa	117	Luxemburgo	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	19,0
2009	01	Europa	117	Luxemburgo	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	29,0
2009	01	Europa	121	Países Bajos	UE-27_2007	22	Huesca	22112	Fraga	6	Mujer	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	7,0
2009	01	Europa	121	Países Bajos	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	10,0
2009	01	Europa	121	Países Bajos	UE-27_2007	22	Huesca	22130	Jaca	6	Mujer	2,0
2009	01	Europa	121	Países Bajos	UE-27_2007	22	Huesca	22158	Monzón	6	Mujer	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Hombre	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Mujer	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50089	Cuarte de Huerva	6	Hombre	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Hombre	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Hombre	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Mujer	1,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	74,0
2009	01	Europa	121	Países Bajos	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	110,0
2009	01	Europa	122	Polonia	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	1,0
2009	01	Europa	122	Polonia	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	1,0
2009	01	Europa	122	Polonia	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	6,0
