Mes y año	Comarca código	Comarca nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Febrero 2013	24	Campo de Daroca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	6
Febrero 2013	25	Jiloca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	320
Febrero 2013	25	Jiloca	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	64
Febrero 2013	25	Jiloca	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	20
Febrero 2013	25	Jiloca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	95
Febrero 2013	25	Jiloca	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Febrero 2013	25	Jiloca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	282
Febrero 2013	25	Jiloca	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	34
Febrero 2013	25	Jiloca	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	13
Febrero 2013	25	Jiloca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	38
Febrero 2013	25	Jiloca	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Febrero 2013	26	Cuencas Mineras	Españoles	ESPAÑA	Españoles	Españoles	Hombres	319
Febrero 2013	26	Cuencas Mineras	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	15
Febrero 2013	26	Cuencas Mineras	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3
Febrero 2013	26	Cuencas Mineras	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	107
Febrero 2013	26	Cuencas Mineras	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Febrero 2013	26	Cuencas Mineras	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	359
Febrero 2013	26	Cuencas Mineras	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	13
Febrero 2013	26	Cuencas Mineras	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2
Febrero 2013	26	Cuencas Mineras	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	43
Febrero 2013	27	Andorra-Sierra de Arcos	Españoles	ESPAÑA	Españoles	Españoles	Hombres	475
Febrero 2013	27	Andorra-Sierra de Arcos	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	41
Febrero 2013	27	Andorra-Sierra de Arcos	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	35
Febrero 2013	27	Andorra-Sierra de Arcos	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	59
Febrero 2013	27	Andorra-Sierra de Arcos	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	361
Febrero 2013	27	Andorra-Sierra de Arcos	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	21
Febrero 2013	27	Andorra-Sierra de Arcos	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	20
Febrero 2013	27	Andorra-Sierra de Arcos	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	24
Febrero 2013	28	Bajo Aragón		No consta		No consta	Hombres	1
Febrero 2013	28	Bajo Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1001
Febrero 2013	28	Bajo Aragón	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	219
Febrero 2013	28	Bajo Aragón	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	20
Febrero 2013	28	Bajo Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	311
Febrero 2013	28	Bajo Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	936
Febrero 2013	28	Bajo Aragón	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	190
Febrero 2013	28	Bajo Aragón	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	21
Febrero 2013	28	Bajo Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	156
Febrero 2013	29	Comunidad de Teruel	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1362
Febrero 2013	29	Comunidad de Teruel	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	183
Febrero 2013	29	Comunidad de Teruel	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	18
Febrero 2013	29	Comunidad de Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	316
Febrero 2013	29	Comunidad de Teruel	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	1446
Febrero 2013	29	Comunidad de Teruel	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	119
Febrero 2013	29	Comunidad de Teruel	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	12
Febrero 2013	29	Comunidad de Teruel	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	207
Febrero 2013	29	Comunidad de Teruel	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Febrero 2013	30	Maestrazgo	Españoles	ESPAÑA	Españoles	Españoles	Hombres	84
Febrero 2013	30	Maestrazgo	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	18
Febrero 2013	30	Maestrazgo	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2
Febrero 2013	30	Maestrazgo	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	24
Febrero 2013	30	Maestrazgo	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	63
Febrero 2013	30	Maestrazgo	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	13
Febrero 2013	30	Maestrazgo	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Febrero 2013	30	Maestrazgo	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	12
Febrero 2013	31	Sierra de Albarracín	Españoles	ESPAÑA	Españoles	Españoles	Hombres	143
Febrero 2013	31	Sierra de Albarracín	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2
Febrero 2013	31	Sierra de Albarracín	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	5
Febrero 2013	31	Sierra de Albarracín	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	26
Febrero 2013	31	Sierra de Albarracín	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	139
Febrero 2013	31	Sierra de Albarracín	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Febrero 2013	31	Sierra de Albarracín	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Febrero 2013	31	Sierra de Albarracín	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	12
Febrero 2013	32	Gúdar-Javalambre	Españoles	ESPAÑA	Españoles	Españoles	Hombres	220
Febrero 2013	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	33
Febrero 2013	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2
Febrero 2013	32	Gúdar-Javalambre	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	82
Febrero 2013	32	Gúdar-Javalambre	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	242
Febrero 2013	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	31
Febrero 2013	32	Gúdar-Javalambre	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	5
Febrero 2013	32	Gúdar-Javalambre	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	51
Febrero 2013	33	Matarraña / Matarranya	Españoles	ESPAÑA	Españoles	Españoles	Hombres	228
Febrero 2013	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	45
Febrero 2013	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Febrero 2013	33	Matarraña / Matarranya	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	43
Febrero 2013	33	Matarraña / Matarranya	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Febrero 2013	33	Matarraña / Matarranya	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	197
Febrero 2013	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	16
Febrero 2013	33	Matarraña / Matarranya	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	5
Febrero 2013	33	Matarraña / Matarranya	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	23
Febrero 2013	33	Matarraña / Matarranya	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Enero 2013	01	La Jacetania	Españoles	ESPAÑA	Españoles	Españoles	Hombres	505
Enero 2013	01	La Jacetania	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	28
Enero 2013	01	La Jacetania	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	20
Enero 2013	01	La Jacetania	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	50
Enero 2013	01	La Jacetania	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	2
Enero 2013	01	La Jacetania	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	527
Enero 2013	01	La Jacetania	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	17
Enero 2013	01	La Jacetania	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Enero 2013	01	La Jacetania	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	41
Enero 2013	01	La Jacetania	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Enero 2013	02	Alto Gállego	Españoles	ESPAÑA	Españoles	Españoles	Hombres	433
Enero 2013	02	Alto Gállego	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	67
Enero 2013	02	Alto Gállego	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	41
Enero 2013	02	Alto Gállego	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	66
Enero 2013	02	Alto Gállego	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	355
Enero 2013	02	Alto Gállego	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	37
Enero 2013	02	Alto Gállego	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	23
Enero 2013	02	Alto Gállego	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	39
Enero 2013	02	Alto Gállego	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Enero 2013	03	Sobrarbe	Españoles	ESPAÑA	Españoles	Españoles	Hombres	220
Enero 2013	03	Sobrarbe	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	34
Enero 2013	03	Sobrarbe	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	8
Enero 2013	03	Sobrarbe	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	12
Enero 2013	03	Sobrarbe	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	187
Enero 2013	03	Sobrarbe	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	40
Enero 2013	03	Sobrarbe	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	17
Enero 2013	03	Sobrarbe	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	8
Enero 2013	03	Sobrarbe	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Enero 2013	04	La Ribagorza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	273
Enero 2013	04	La Ribagorza	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	84
Enero 2013	04	La Ribagorza	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	14
Enero 2013	04	La Ribagorza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	35
Enero 2013	04	La Ribagorza	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Enero 2013	04	La Ribagorza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	237
Enero 2013	04	La Ribagorza	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	38
Enero 2013	04	La Ribagorza	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	5
Enero 2013	04	La Ribagorza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	15
Enero 2013	04	La Ribagorza	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	2
Enero 2013	05	Cinco Villas	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1057
Enero 2013	05	Cinco Villas	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	181
Enero 2013	05	Cinco Villas	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	14
Enero 2013	05	Cinco Villas	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	160
Enero 2013	05	Cinco Villas	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	1184
Enero 2013	05	Cinco Villas	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	175
Enero 2013	05	Cinco Villas	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	14
Enero 2013	05	Cinco Villas	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	107
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	2160
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	126
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	44
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	359
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	2091
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	113
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	28
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	226
Enero 2013	06	Hoya de Huesca / Plana de Uesca	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Enero 2013	07	Somontano de Barbastro	Españoles	ESPAÑA	Españoles	Españoles	Hombres	758
Enero 2013	07	Somontano de Barbastro	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	54
Enero 2013	07	Somontano de Barbastro	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	15
Enero 2013	07	Somontano de Barbastro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	146
Enero 2013	07	Somontano de Barbastro	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	773
Enero 2013	07	Somontano de Barbastro	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	49
Enero 2013	07	Somontano de Barbastro	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	9
Enero 2013	07	Somontano de Barbastro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	118
Enero 2013	08	Cinca Medio	Españoles	ESPAÑA	Españoles	Españoles	Hombres	692
Enero 2013	08	Cinca Medio	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	91
Enero 2013	08	Cinca Medio	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	20
Enero 2013	08	Cinca Medio	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	201
Enero 2013	08	Cinca Medio	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	789
Enero 2013	08	Cinca Medio	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	84
Enero 2013	08	Cinca Medio	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	16
Enero 2013	08	Cinca Medio	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	113
Enero 2013	09	La Litera / La Llitera	Españoles	ESPAÑA	Españoles	Españoles	Hombres	427
Enero 2013	09	La Litera / La Llitera	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	45
Enero 2013	09	La Litera / La Llitera	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	5
Enero 2013	09	La Litera / La Llitera	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	116
Enero 2013	09	La Litera / La Llitera	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	418
Enero 2013	09	La Litera / La Llitera	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	40
Enero 2013	09	La Litera / La Llitera	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	9
Enero 2013	09	La Litera / La Llitera	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	58
Enero 2013	09	La Litera / La Llitera	Extranjeros no comunitarios	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Enero 2013	10	Los Monegros	Españoles	ESPAÑA	Españoles	Españoles	Hombres	434
Enero 2013	10	Los Monegros	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	57
Enero 2013	10	Los Monegros	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	5
Enero 2013	10	Los Monegros	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	76
Enero 2013	10	Los Monegros	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	355
Enero 2013	10	Los Monegros	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	38
Enero 2013	10	Los Monegros	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Enero 2013	10	Los Monegros	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	44
Enero 2013	11	Bajo Cinca / Baix Cinca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	546
Enero 2013	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	183
Enero 2013	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	30
Enero 2013	11	Bajo Cinca / Baix Cinca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	104
Enero 2013	11	Bajo Cinca / Baix Cinca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	617
Enero 2013	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	254
Enero 2013	11	Bajo Cinca / Baix Cinca	Extranjeros comunitarios (UE-27)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	50
Enero 2013	11	Bajo Cinca / Baix Cinca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	89
Enero 2013	12	Tarazona y el Moncayo	Españoles	ESPAÑA	Españoles	Españoles	Hombres	542
