Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Edad (grandes grupos)	Sexo	Personas
1998	22	22024	Alquézar	0 a 15	Mujeres	11
1998	22	22024	Alquézar	16 a 64	Mujeres	85
1998	22	22024	Alquézar	65 y más	Mujeres	51
1998	22	22025	Altorricón	0 a 15	Mujeres	73
1998	22	22025	Altorricón	16 a 64	Mujeres	419
1998	22	22025	Altorricón	65 y más	Mujeres	206
1998	22	22027	Angüés	0 a 15	Mujeres	17
1998	22	22027	Angüés	16 a 64	Mujeres	107
1998	22	22027	Angüés	65 y más	Mujeres	71
1998	22	22028	Ansó	0 a 15	Mujeres	25
1998	22	22028	Ansó	16 a 64	Mujeres	152
1998	22	22028	Ansó	65 y más	Mujeres	88
1998	22	22029	Antillón	0 a 15	Mujeres	7
1998	22	22029	Antillón	16 a 64	Mujeres	51
1998	22	22029	Antillón	65 y más	Mujeres	25
1998	22	22032	Aragüés del Puerto	0 a 15	Mujeres	5
1998	22	22032	Aragüés del Puerto	16 a 64	Mujeres	35
1998	22	22032	Aragüés del Puerto	65 y más	Mujeres	16
1998	22	22035	Arén	0 a 15	Mujeres	25
1998	22	22035	Arén	16 a 64	Mujeres	101
1998	22	22035	Arén	65 y más	Mujeres	67
1998	22	22036	Argavieso	0 a 15	Mujeres	5
1998	22	22036	Argavieso	16 a 64	Mujeres	27
1998	22	22036	Argavieso	65 y más	Mujeres	22
1998	22	22037	Arguis	0 a 15	Mujeres	1
1998	22	22037	Arguis	16 a 64	Mujeres	17
1998	22	22037	Arguis	65 y más	Mujeres	9
1998	22	22039	Ayerbe	0 a 15	Mujeres	42
1998	22	22039	Ayerbe	16 a 64	Mujeres	283
1998	22	22039	Ayerbe	65 y más	Mujeres	215
1998	22	22040	Azanuy-Alins	0 a 15	Mujeres	7
1998	22	22040	Azanuy-Alins	16 a 64	Mujeres	51
1998	22	22040	Azanuy-Alins	65 y más	Mujeres	48
1998	22	22041	Azara	0 a 15	Mujeres	14
1998	22	22041	Azara	16 a 64	Mujeres	67
1998	22	22041	Azara	65 y más	Mujeres	32
1998	22	22042	Azlor	0 a 15	Mujeres	5
1998	22	22042	Azlor	16 a 64	Mujeres	49
1998	22	22042	Azlor	65 y más	Mujeres	29
1998	22	22043	Baells	0 a 15	Mujeres	2
1998	22	22043	Baells	16 a 64	Mujeres	40
1998	22	22043	Baells	65 y más	Mujeres	26
1998	22	22044	Bailo	0 a 15	Mujeres	13
1998	22	22044	Bailo	16 a 64	Mujeres	80
1998	22	22044	Bailo	65 y más	Mujeres	41
1998	22	22045	Baldellou	0 a 15	Mujeres	5
1998	22	22045	Baldellou	16 a 64	Mujeres	33
1998	22	22045	Baldellou	65 y más	Mujeres	35
1998	22	22046	Ballobar	0 a 15	Mujeres	78
1998	22	22046	Ballobar	16 a 64	Mujeres	295
1998	22	22046	Ballobar	65 y más	Mujeres	168
1998	22	22047	Banastás	0 a 15	Mujeres	14
1998	22	22047	Banastás	16 a 64	Mujeres	60
1998	22	22047	Banastás	65 y más	Mujeres	9
1998	22	22048	Barbastro	0 a 15	Mujeres	1198
1998	22	22048	Barbastro	16 a 64	Mujeres	4586
1998	22	22048	Barbastro	65 y más	Mujeres	1651
1998	22	22049	Barbués	0 a 15	Mujeres	7
1998	22	22049	Barbués	16 a 64	Mujeres	31
1998	22	22049	Barbués	65 y más	Mujeres	20
1998	22	22050	Barbuñales	0 a 15	Mujeres	8
1998	22	22050	Barbuñales	16 a 64	Mujeres	21
1998	22	22050	Barbuñales	65 y más	Mujeres	25
1998	22	22051	Bárcabo	0 a 15	Mujeres	7
1998	22	22051	Bárcabo	16 a 64	Mujeres	36
1998	22	22051	Bárcabo	65 y más	Mujeres	11
1998	22	22052	Belver de Cinca	0 a 15	Mujeres	90
1998	22	22052	Belver de Cinca	16 a 64	Mujeres	403
1998	22	22052	Belver de Cinca	65 y más	Mujeres	176
1998	22	22053	Benabarre	0 a 15	Mujeres	51
1998	22	22053	Benabarre	16 a 64	Mujeres	299
1998	22	22053	Benabarre	65 y más	Mujeres	216
1998	22	22054	Benasque	0 a 15	Mujeres	96
1998	22	22054	Benasque	16 a 64	Mujeres	431
1998	22	22054	Benasque	65 y más	Mujeres	92
1998	22	22055	Berbegal	0 a 15	Mujeres	32
1998	22	22055	Berbegal	16 a 64	Mujeres	122
1998	22	22055	Berbegal	65 y más	Mujeres	81
1998	22	22057	Bielsa	0 a 15	Mujeres	31
1998	22	22057	Bielsa	16 a 64	Mujeres	117
1998	22	22057	Bielsa	65 y más	Mujeres	74
1998	22	22058	Bierge	0 a 15	Mujeres	6
1998	22	22058	Bierge	16 a 64	Mujeres	50
1998	22	22058	Bierge	65 y más	Mujeres	40
1998	22	22059	Biescas	0 a 15	Mujeres	67
1998	22	22059	Biescas	16 a 64	Mujeres	337
1998	22	22059	Biescas	65 y más	Mujeres	188
1998	22	22060	Binaced	0 a 15	Mujeres	111
1998	22	22060	Binaced	16 a 64	Mujeres	446
1998	22	22060	Binaced	65 y más	Mujeres	225
1998	22	22061	Binéfar	0 a 15	Mujeres	562
1998	22	22061	Binéfar	16 a 64	Mujeres	2602
1998	22	22061	Binéfar	65 y más	Mujeres	897
1998	22	22062	Bisaurri	0 a 15	Mujeres	9
1998	22	22062	Bisaurri	16 a 64	Mujeres	48
1998	22	22062	Bisaurri	65 y más	Mujeres	40
1998	22	22063	Biscarrués	0 a 15	Mujeres	9
1998	22	22063	Biscarrués	16 a 64	Mujeres	59
1998	22	22063	Biscarrués	65 y más	Mujeres	36
1998	22	22064	Blecua y Torres	16 a 64	Mujeres	54
1998	22	22064	Blecua y Torres	65 y más	Mujeres	29
1998	22	22066	Boltaña	0 a 15	Mujeres	49
1998	22	22066	Boltaña	16 a 64	Mujeres	248
1998	22	22066	Boltaña	65 y más	Mujeres	112
1998	22	22067	Bonansa	0 a 15	Mujeres	5
1998	22	22067	Bonansa	16 a 64	Mujeres	19
1998	22	22067	Bonansa	65 y más	Mujeres	12
1998	22	22068	Borau	0 a 15	Mujeres	4
1998	22	22068	Borau	16 a 64	Mujeres	19
1998	22	22068	Borau	65 y más	Mujeres	14
1998	22	22069	Broto	0 a 15	Mujeres	34
1998	22	22069	Broto	16 a 64	Mujeres	149
1998	22	22069	Broto	65 y más	Mujeres	67
1998	22	22072	Caldearenas	0 a 15	Mujeres	11
1998	22	22072	Caldearenas	16 a 64	Mujeres	62
1998	22	22072	Caldearenas	65 y más	Mujeres	43
1998	22	22074	Campo	0 a 15	Mujeres	18
1998	22	22074	Campo	16 a 64	Mujeres	111
1998	22	22074	Campo	65 y más	Mujeres	60
1998	22	22075	Camporrells	0 a 15	Mujeres	5
1998	22	22075	Camporrells	16 a 64	Mujeres	63
1998	22	22075	Camporrells	65 y más	Mujeres	56
1998	22	22076	Canal de Berdún	0 a 15	Mujeres	22
1998	22	22076	Canal de Berdún	16 a 64	Mujeres	98
1998	22	22076	Canal de Berdún	65 y más	Mujeres	74
1998	22	22077	Candasnos	0 a 15	Mujeres	25
1998	22	22077	Candasnos	16 a 64	Mujeres	169
1998	22	22077	Candasnos	65 y más	Mujeres	80
1998	22	22078	Canfranc	0 a 15	Mujeres	37
