Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2010	50	Zaragoza	65 y más	Hombre	508,0	3	Graduado escolar o ESO
2010	50	Zaragoza	65 y más	Hombre	361,0	4	BUP, Bachiller, LOGSE ó superior
2010	50	Zaragoza	65 y más	Mujer	945,0	0	Sin clasificar
2010	50	Zaragoza	65 y más	Mujer	4,0	1	No sabe leer ni escribir
2010	50	Zaragoza	65 y más	Mujer	251,0	2	Inferior a graduado escolar o ESO
2010	50	Zaragoza	65 y más	Mujer	713,0	3	Graduado escolar o ESO
2010	50	Zaragoza	65 y más	Mujer	359,0	4	BUP, Bachiller, LOGSE ó superior
2011	22	Huesca	0-15	Hombre	251,0	0	Sin clasificar
2011	22	Huesca	0-15	Hombre	6,0	1	No sabe leer ni escribir
2011	22	Huesca	0-15	Hombre	60,0	2	Inferior a graduado escolar o ESO
2011	22	Huesca	0-15	Hombre	10,0	3	Graduado escolar o ESO
2011	22	Huesca	0-15	Hombre	4,0	4	BUP, Bachiller, LOGSE ó superior
2011	22	Huesca	0-15	Mujer	276,0	0	Sin clasificar
2011	22	Huesca	0-15	Mujer	4,0	1	No sabe leer ni escribir
2011	22	Huesca	0-15	Mujer	40,0	2	Inferior a graduado escolar o ESO
2011	22	Huesca	0-15	Mujer	6,0	3	Graduado escolar o ESO
2011	22	Huesca	0-15	Mujer	2,0	4	BUP, Bachiller, LOGSE ó superior
2011	22	Huesca	16-64	Hombre	435,0	0	Sin clasificar
2011	22	Huesca	16-64	Hombre	1,0	1	No sabe leer ni escribir
2011	22	Huesca	16-64	Hombre	62,0	2	Inferior a graduado escolar o ESO
2011	22	Huesca	16-64	Hombre	299,0	3	Graduado escolar o ESO
2011	22	Huesca	16-64	Hombre	726,0	4	BUP, Bachiller, LOGSE ó superior
2011	22	Huesca	16-64	Mujer	451,0	0	Sin clasificar
2011	22	Huesca	16-64	Mujer	52,0	2	Inferior a graduado escolar o ESO
2011	22	Huesca	16-64	Mujer	267,0	3	Graduado escolar o ESO
2011	22	Huesca	16-64	Mujer	831,0	4	BUP, Bachiller, LOGSE ó superior
2011	22	Huesca	65 y más	Hombre	470,0	0	Sin clasificar
2011	22	Huesca	65 y más	Hombre	3,0	1	No sabe leer ni escribir
2011	22	Huesca	65 y más	Hombre	126,0	2	Inferior a graduado escolar o ESO
2011	22	Huesca	65 y más	Hombre	234,0	3	Graduado escolar o ESO
2011	22	Huesca	65 y más	Hombre	175,0	4	BUP, Bachiller, LOGSE ó superior
2011	22	Huesca	65 y más	Mujer	428,0	0	Sin clasificar
2011	22	Huesca	65 y más	Mujer	1,0	1	No sabe leer ni escribir
2011	22	Huesca	65 y más	Mujer	160,0	2	Inferior a graduado escolar o ESO
2011	22	Huesca	65 y más	Mujer	307,0	3	Graduado escolar o ESO
2011	22	Huesca	65 y más	Mujer	182,0	4	BUP, Bachiller, LOGSE ó superior
2011	44	Teruel	0-15	Hombre	125,0	0	Sin clasificar
2011	44	Teruel	0-15	Hombre	3,0	1	No sabe leer ni escribir
2011	44	Teruel	0-15	Hombre	28,0	2	Inferior a graduado escolar o ESO
2011	44	Teruel	0-15	Hombre	6,0	3	Graduado escolar o ESO
2011	44	Teruel	0-15	Hombre	2,0	4	BUP, Bachiller, LOGSE ó superior
2011	44	Teruel	0-15	Mujer	150,0	0	Sin clasificar
2011	44	Teruel	0-15	Mujer	1,0	1	No sabe leer ni escribir
