Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
2014	02	Aragón	80 a 84	Hombres	-20804	-0,0869191268162343570953085104662886940836
2015	02	Aragón	80 a 84	Hombres	-20739	-0,0866475567699425270044031531705614894539
1998	02	Aragón	75 a 79	Mujeres	28232	0,1179533161063222634836930334303144785314
1999	02	Aragón	75 a 79	Mujeres	29838	0,1246631852500865577297546306139743344581
2000	02	Aragón	75 a 79	Mujeres	31323	0,1308675163076768298065924088317420094587
2001	02	Aragón	75 a 79	Mujeres	31679	0,1323548845612136223044740580206479301996
2002	02	Aragón	75 a 79	Mujeres	32043	0,1338756768204478708135440588767202761257
2003	02	Aragón	75 a 79	Mujeres	31902	0,1332865787200302086163493607429120322368
2004	02	Aragón	75 a 79	Mujeres	32351	0,1351625010397999272442955980626276457555
2005	02	Aragón	75 a 79	Mujeres	32621	0,1362905612320890676219024668294944957556
2006	02	Aragón	75 a 79	Mujeres	33255	0,1389394136836124565085793364524336916818
2007	02	Aragón	75 a 79	Mujeres	33255	0,1389394136836124565085793364524336916818
2008	02	Aragón	75 a 79	Mujeres	33912	0,1416843601515160314274227171184763600155
2009	02	Aragón	75 a 79	Mujeres	34184	0,1428207763452295358078266738021348163119
2010	02	Aragón	75 a 79	Mujeres	34004	0,1420687362170367755560887612908902496452
2011	02	Aragón	75 a 79	Mujeres	33617	0,1404518499414223410148522493917144313116
2012	02	Aragón	75 a 79	Mujeres	66292	0,2769680232119692367122760899745822970673
2013	02	Aragón	75 a 79	Mujeres	32037	0,1338506088161747788051527951263454572368
2014	02	Aragón	75 a 79	Mujeres	29664	0,1239362131261668894864079818531045866802
2015	02	Aragón	75 a 79	Mujeres	27377	0,1143811254974066522879379490019027868643
1998	02	Aragón	75 a 79	Hombres	-20770	-0,0867770747920201690477580158808313870465
1999	02	Aragón	75 a 79	Hombres	-22377	-0,0934911219364966452952181570228870461213
2000	02	Aragón	75 a 79	Hombres	-23974	-0,1001633890738513015286928585809846737146
2001	02	Aragón	75 a 79	Hombres	-24531	-0,1024905354705366763076818434074470272334
2002	02	Aragón	75 a 79	Hombres	-24614	-0,1028373095296477824237609919542986885298
2003	02	Aragón	75 a 79	Hombres	-24920	-0,1041157777475754748517154432234144518632
2004	02	Aragón	75 a 79	Hombres	-25371	-0,1060000560687695574824587684599216716782
2005	02	Aragón	75 a 79	Hombres	-25568	-0,1068231222090694117579719282638948918635
2006	02	Aragón	75 a 79	Hombres	-25936	-0,1083606264711523882726361049535504503822
2007	02	Aragón	75 a 79	Hombres	-26477	-0,1106209248564428510292483864456799535306
2008	02	Aragón	75 a 79	Hombres	-26763	-0,1118158330601269034292319585468796539011
2009	02	Aragón	75 a 79	Hombres	-27036	-0,1129564272545525898110344591889339133457
2010	02	Aragón	75 a 79	Hombres	-26921	-0,1124759571726516596502019039734165513086
2011	02	Aragón	75 a 79	Hombres	-26675	-0,111448168997454887306160090208048976864
2012	02	Aragón	75 a 79	Hombres	-51886	-0,2167797449522753245648518253246421448385
2013	02	Aragón	75 a 79	Hombres	-25045	-0,1046380278365982250265334380228898453818
2014	02	Aragón	75 a 79	Hombres	-23315	-0,0974100866045233626070523899981503990847
2015	02	Aragón	75 a 79	Hombres	-21493	-0,089797769306927756058905297800997063158
1998	02	Aragón	70 a 74	Mujeres	34202	0,1428959803580488118330004650532592729786
1999	02	Aragón	70 a 74	Mujeres	34966	0,1460879729021558609014880492676528781641
2000	02	Aragón	70 a 74	Mujeres	35538	0,1484777893095239657014551934700522789051
2001	02	Aragón	70 a 74	Mujeres	36238	0,1514023898080513666804359643471144826091
2002	02	Aragón	70 a 74	Mujeres	36235	0,1513898558059148206762403324719270731647
2003	02	Aragón	70 a 74	Mujeres	36802	0,1537587822097220154692147568823474581649
2004	02	Aragón	70 a 74	Mujeres	36960	0,1544189063222467716901847023088843555724
2005	02	Aragón	70 a 74	Mujeres	36728	0,153449610157020547365722503961058025202
2006	02	Aragón	70 a 74	Mujeres	36046	0,1506002136713124224119155243351202781646
2007	02	Aragón	70 a 74	Mujeres	36061	0,1506628836819951524328936837110573253868
2008	02	Aragón	70 a 74	Mujeres	34430	0,1438485645204263081518684875675023907565
2009	02	Aragón	70 a 74	Mujeres	31942	0,1334536987485174886722911190787441581627
2010	02	Aragón	70 a 74	Mujeres	29541	0,1234223190385685033143870749704207994579
2011	02	Aragón	70 a 74	Mujeres	28992	0,1211285966475805845465864418111248711243
2012	02	Aragón	70 a 74	Mujeres	53814	0,224834930325362223261244577111750614469
2013	02	Aragón	70 a 74	Mujeres	27545	0,1150830296170532285228933340123977157533
2014	02	Aragón	70 a 74	Mujeres	29133	0,1217176947479982467437811399449331150133
2015	02	Aragón	70 a 74	Mujeres	31101	0,1299400001495724254961156500678737105698
1998	02	Aragón	70 a 74	Hombres	-29350	-0,1226243209025417410472651789168223981615
1999	02	Aragón	70 a 74	Hombres	-30005	-0,1253609113690209519633114716660734601989
2000	02	Aragón	70 a 74	Hombres	-30312	-0,1266435575876608263926644668935850266805
2001	02	Aragón	70 a 74	Hombres	-30827	-0,128795227954434557112914605467423647977
2002	02	Aragón	70 a 74	Hombres	-31208	-0,1303870462257758996457598536162246474217
2003	02	Aragón	70 a 74	Hombres	-31525	-0,1317114724515375940890982884276942453848
2004	02	Aragón	70 a 74	Hombres	-31839	-0,1330233646751627425282410913639764339034
2005	02	Aragón	70 a 74	Hombres	-31738	-0,1326013866032323603869881515660003159404
2006	02	Aragón	70 a 74	Hombres	-31249	-0,1305583442549753617031001559104525764957
2007	02	Aragón	70 a 74	Hombres	-30757	-0,1285027679045818170150165283797174276066
2008	02	Aragón	70 a 74	Hombres	-29400	-0,122833220938150841117192376836612555569
2009	02	Aragón	70 a 74	Hombres	-27269	-0,1139299014204909961368952014951560468643
2010	02	Aragón	70 a 74	Hombres	-25038	-0,1046087818316129510167436303141192233448
2011	02	Aragón	70 a 74	Hombres	-24802	-0,1036227736635379986866872561327096803817
2012	02	Aragón	70 a 74	Hombres	-46674	-0,195004005240382733275640714165716136688
2013	02	Aragón	70 a 74	Hombres	-24149	-0,1008945391984831517734380513002502246407
2014	02	Aragón	70 a 74	Hombres	-25466	-0,1063969661364268476153204445075229707524
2015	02	Aragón	70 a 74	Hombres	-27400	-0,1144772195137868383201044600450062592718
1998	02	Aragón	65 a 69	Mujeres	37692	0,1574772028435639967139188798546122600172
1999	02	Aragón	65 a 69	Mujeres	38216	0,1596664752167473654467559140540131096471
2000	02	Aragón	65 a 69	Mujeres	38107	0,1592110731391195272943146225888705664989
2001	02	Aragón	65 a 69	Mujeres	37417	0,1563282526477139463293192912957663942763
2002	02	Aragón	65 a 69	Mujeres	37330	0,1559647665857541122076459669153315203874
2003	02	Aragón	65 a 69	Mujeres	35688	0,1491044894163512659112367872294227511274
2004	02	Aragón	65 a 69	Mujeres	33060	0,1381247035447369662358632645652520777929
2005	02	Aragón	65 a 69	Mujeres	30544	0,127612853752887050717126665241411357051
2006	02	Aragón	65 a 69	Mujeres	30042	0,1255154973953716860150575981267181766804
2007	02	Aragón	65 a 69	Mujeres	28507	0,1191022663021723138682926219891603442723
2008	02	Aragón	65 a 69	Mujeres	28557	0,1193111663377814139382198199089505016797
2009	02	Aragón	65 a 69	Mujeres	30336	0,1267438296047531944262295218950843022361
2010	02	Aragón	65 a 69	Mujeres	32380	0,1352836630604532052848533728561059370518
2011	02	Aragón	65 a 69	Mujeres	32980	0,137790463487762406123979747893587825941
2012	02	Aragón	65 a 69	Mujeres	66384	0,277352399277489980840942134146996186697
2013	02	Aragón	65 a 69	Mujeres	35093	0,146618578992602975079103131983919877979
2014	02	Aragón	65 a 69	Mujeres	35748	0,1493551694590821859951494247331709400163
2015	02	Aragón	65 a 69	Mujeres	36188	0,1511934897724422666105087664273243252017
1998	02	Aragón	65 a 69	Hombres	-34239	-0,1430505663843995458847465915139039894601
1999	02	Aragón	65 a 69	Hombres	-34770	-0,145269084762568188627373433422075461127
2000	02	Aragón	65 a 69	Hombres	-34908	-0,1458456488608493048203724996806962955715
2001	02	Aragón	65 a 69	Hombres	-34283	-0,1432343984157355539462825256833193279786
2002	02	Aragón	65 a 69	Hombres	-33734	-0,140940676024747635178481892524023399645
2003	02	Aragón	65 a 69	Hombres	-32289	-0,1349034649956446431575858726420878505703
2004	02	Aragón	65 a 69	Hombres	-29984	-0,1252731733540651299339420485397615940878
2005	02	Aragón	65 a 69	Hombres	-27582	-0,1152376156434039625746394604730424322348
2006	02	Aragón	65 a 69	Hombres	-27372	-0,1143602354938457422809452292099237711236
2007	02	Aragón	65 a 69	Hombres	-26344	-0,1100652507617226448432420399790381348268
2008	02	Aragón	65 a 69	Hombres	-26597	-0,1111222849419046911970736614531763313084
2009	02	Aragón	65 a 69	Hombres	-28077	-0,1173057259959340532669187198789649905684
2010	02	Aragón	65 a 69	Hombres	-30136	-0,1259082294623167941465207302159236726063
2011	02	Aragón	65 a 69	Hombres	-30658	-0,1280891458340757988765606764985329159399
2012	02	Aragón	65 a 69	Hombres	-61816	-0,2582672920242425984523933321949674059541
2013	02	Aragón	65 a 69	Hombres	-32504	-0,1358017351487637734582728236971855274222
2014	02	Aragón	65 a 69	Hombres	-33189	-0,138663665636608444416275435198310683904
2015	02	Aragón	65 a 69	Hombres	-33468	-0,1398293278353072228064691995907397622375
1998	02	Aragón	60 a 64	Mujeres	35607	0,1487660713586645237979547265993626961274
1999	02	Aragón	60 a 64	Mujeres	33298	0,1391190677142362825687167266634532270522
2000	02	Aragón	60 a 64	Mujeres	30970	0,1293926820562765833129063915180234981623
2001	02	Aragón	60 a 64	Mujeres	30446	0,1272034096830932145800693573186226485324
2002	02	Aragón	60 a 64	Mujeres	28785	0,1202637505001589102570878424231936194576
2003	02	Aragón	60 a 64	Mujeres	28903	0,1207567545841963864221160295138983909391
2004	02	Aragón	60 a 64	Mujeres	30767	0,1285445479117036370290019679636754590881
2005	02	Aragón	60 a 64	Mujeres	32940	0,137623343459275126068037989557755700015
2006	02	Aragón	60 a 64	Mujeres	33531	0,1400925418801746888945774689696753605709
2007	02	Aragón	60 a 64	Mujeres	34878	0,145720308839483844778416180928822201127
2008	02	Aragón	60 a 64	Mujeres	35803	0,1495849594982521960720693424449401131645
2009	02	Aragón	60 a 64	Mujeres	36722	0,1534245421527474553573312402106832063131
2010	02	Aragón	60 a 64	Mujeres	37280	0,15575586655014501213771876899554136298
2011	02	Aragón	60 a 64	Mujeres	36995	0,1545651363471731417391337408527374657576
2012	02	Aragón	60 a 64	Mujeres	70426	0,2942398781561296304938568139828325115136
2013	02	Aragón	60 a 64	Mujeres	37707	0,1575398728542467267348970392305493072394
2014	02	Aragón	60 a 64	Mujeres	37341	0,156010724593588114223029950457685355017
2015	02	Aragón	60 a 64	Mujeres	37358	0,1560817506056952082468051977504140085356
1998	02	Aragón	60 a 64	Hombres	-33501	-0,1399672018588092288526211502178012661264
1999	02	Aragón	60 a 64	Hombres	-31431	-0,1313187403845924859576351563384887494588
2000	02	Aragón	60 a 64	Hombres	-28985	-0,1210993506425953105367966341023542490873
2001	02	Aragón	60 a 64	Hombres	-28760	-0,1201593004823543602221242434632985407539
2002	02	Aragón	60 a 64	Hombres	-27596	-0,1152961076533745105942190758905836763089
2003	02	Aragón	60 a 64	Hombres	-27915	-0,1166288898805605690403545986188448805683
2004	02	Aragón	60 a 64	Hombres	-29664	-0,1239362131261668894864079818531045866802
2005	02	Aragón	60 a 64	Hombres	-32000	-0,1336960227898240447534066686657007407553
2006	02	Aragón	60 a 64	Hombres	-32493	-0,1357557771409297714428888401548316927926
2007	02	Aragón	60 a 64	Hombres	-33719	-0,1408780060140649051575037331480863524228
2008	02	Aragón	60 a 64	Hombres	-34582	-0,144483620628677972364447169243664469275
2009	02	Aragón	60 a 64	Hombres	-35416	-0,147968073222637761530832830545764294831
2010	02	Aragón	60 a 64	Hombres	-35775	-0,1494679754783111000329101116098576250163
2011	02	Aragón	60 a 64	Hombres	-35789	-0,1495264674882816480524897270273988690904
2012	02	Aragón	60 a 64	Hombres	-68452	-0,2859925047502823597331310401095170970683
2013	02	Aragón	60 a 64	Hombres	-36417	-0,1521502519355319449307753328999632461277
2014	02	Aragón	60 a 64	Hombres	-36056	-0,1506419936784342424259009639190783096461
2015	02	Aragón	60 a 64	Hombres	-36147	-0,1510221917432428045531684641330963961276
1998	02	Aragón	55 a 59	Mujeres	28491	0,1190354182907774018459159186548274939019
1999	02	Aragón	55 a 59	Mujeres	30507	0,1274582677265363166653805387807666405695
2000	02	Aragón	55 a 59	Mujeres	32826	0,1371470513780863779086039783006341411261
2001	02	Aragón	55 a 59	Mujeres	33499	0,1399588458573848648498240623010096598301
2002	02	Aragón	55 a 59	Mujeres	34847	0,1455907908174062027350613182185523035344
2003	02	Aragón	55 a 59	Mujeres	35702	0,1491629814263218139308164026469639952015
2004	02	Aragón	55 a 59	Mujeres	36745	0,1535206361691276413894977512537866787205
2005	02	Aragón	55 a 59	Mujeres	37320	0,1559229865786322921936605273313734889059
2006	02	Aragón	55 a 59	Mujeres	37087	0,1549495124126938858677997850251513553873
2007	02	Aragón	55 a 59	Mujeres	37270	0,1557140865430231921237333294115833314985
2008	02	Aragón	55 a 59	Mujeres	38136	0,1593322351597728053348723973823488577952
2009	02	Aragón	55 a 59	Mujeres	38199	0,1595954492046402714229806667612844561285
2010	02	Aragón	55 a 59	Mujeres	38305	0,1600383172801315635712263263512395898323
2011	02	Aragón	55 a 59	Mujeres	39399	0,1646090500592586731012334168362482339069
2012	02	Aragón	55 a 59	Mujeres	74740	0,3122637732284827845271754505023272926267
2013	02	Aragón	55 a 59	Mujeres	41522	0,1734789455712210620703422405105383174264
2014	02	Aragón	55 a 59	Mujeres	42304	0,1767461421281473871640036159760563792786
2015	02	Aragón	55 a 59	Mujeres	43628	0,1822778150710763570156758168920997474273
1998	02	Aragón	55 a 59	Hombres	-28352	-0,1184546761917841036515183084378108563092
1999	02	Aragón	55 a 59	Hombres	-30216	-0,1262424695192913542584042468875879244582
2000	02	Aragón	55 a 59	Hombres	-32808	-0,1370718473652671018834301870495096844594
