Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
2005	02	Aragón	05 a 09	Mujeres	25367	0,1059833440659208294768645926263384590857
2006	02	Aragón	05 a 09	Mujeres	25751	0,1075876963393987180139054726503268679747
2007	02	Aragón	05 a 09	Mujeres	26538	0,1108757828998859531145595679078239455677
2008	02	Aragón	05 a 09	Mujeres	27456	0,1147111875536690303984229217151712355681
2009	02	Aragón	05 a 09	Mujeres	28678	0,1198167044239554361074436388748426826057
2010	02	Aragón	05 a 09	Mujeres	29581	0,1235894390670557833703288333062529253839
2011	02	Aragón	05 a 09	Mujeres	30075	0,1256533714188736920612095487537796805693
2012	02	Aragón	05 a 09	Mujeres	55152	0,2304250952782617411324963934453352266918
2013	02	Aragón	05 a 09	Mujeres	31379	0,1311014843475590218849108705019069857551
2014	02	Aragón	05 a 09	Mujeres	31321	0,1308591603062524658037953209149504031624
2015	02	Aragón	05 a 09	Mujeres	31366	0,1310471703383006558667297990427615448291
1998	02	Aragón	05 a 09	Hombres	-25441	-0,1062925161186222975803568455476278920487
1999	02	Aragón	05 a 09	Hombres	-25224	-0,1053858899640788032768728065757386089004
2000	02	Aragón	05 a 09	Hombres	-25192	-0,1052521939412889792321193999070729081596
2001	02	Aragón	05 a 09	Hombres	-25046	-0,10464220583731040702793198198128564853I5
2002	02	Aragón	05 a 09	Hombres	-25352	-0,1059206740552380994558864332504014118634
2003	02	Aragón	05 a 09	Hombres	-25714	-0,1074331103130479839621593461896821514932
2004	02	Aragón	05 a 09	Hombres	-26286	-0,1098229267204160887621264903920815522342
2005	02	Aragón	05 a 09	Hombres	-26848	-0,1121709631206623735481081950105229214937
2006	02	Aragón	05 a 09	Hombres	-27484	-0,1148281715736101264375821525502537237162
2007	02	Aragón	05 a 09	Hombres	-28499	-0,1190688422964748578571042703219939190871
2008	02	Aragón	05 a 09	Hombres	-29442	-0,1230086969680624851759312230892362877912
2009	02	Aragón	05 a 09	Hombres	-30386	-0,1269527296403622944961567198148744596435
2010	02	Aragón	05 a 09	Hombres	-31129	-0,1300569841695135215352748809029561987179
2011	02	Aragón	05 a 09	Hombres	-31569	-0,1318953044828736021506342225971095839033
2012	02	Aragón	05 a 09	Hombres	-58592	-0,244797417728167825943487610326898056323
2013	02	Aragón	05 a 09	Hombres	-32918	-0,1375314274436071220372700224730480307558
2014	02	Aragón	05 a 09	Hombres	-33278	-0,1390355076999926425407458474955371640893
2015	02	Aragón	05 a 09	Hombres	-33478	-0,139871107842429042820454639174697793719
1998	02	Aragón	00 a 04	Mujeres	21834	0,0912224675497818185358087876139659366766
1999	02	Aragón	00 a 04	Mujeres	20977	0,0876419209394418433372566152687626387133
2000	02	Aragón	00 a 04	Mujeres	21734	0,0908046674785636183959543917743856218618
2001	02	Aragón	00 a 04	Mujeres	21658	0,0904871394244377862896650509363045826025
2002	02	Aragón	00 a 04	Mujeres	22875	0,0955717662911632819916930483039970138993
2003	02	Aragón	00 a 04	Mujeres	23978	0,1001801010767000295342870344145678863072
2004	02	Aragón	00 a 04	Mujeres	24871	0,1039110557126785567831867892620200976039
2005	02	Aragón	00 a 04	Mujeres	26036	0,1087784265423705884124905007931307651971
2006	02	Aragón	00 a 04	Mujeres	26711	0,1115985770230934393565076727102978901974
2007	02	Aragón	00 a 04	Mujeres	27706	0,1157556877317145307480589113141220226052
2008	02	Aragón	00 a 04	Mujeres	29301	0,1224195988676448229787365249554280439023
2009	02	Aragón	00 a 04	Mujeres	30814	0,1287409139451761910947335340082782070511
2010	02	Aragón	00 a 04	Mujeres	31315	0,1308340923019793737954040571645755842736
2011	02	Aragón	00 a 04	Mujeres	31619	0,1321042045184827022205614205168997413107
2012	02	Aragón	00 a 04	Mujeres	61544	0,2571308758305290940719893755113089496577
2013	02	Aragón	00 a 04	Mujeres	31052	0,1297352781146755074275869961064793563105
2014	02	Aragón	00 a 04	Mujeres	30066	0,1256157694124640540486226531282174522359
2015	02	Aragón	00 a 04	Mujeres	29284	0,1223485728555377289549612776626993903837
1998	02	Aragón	00 a 04	Hombres	-22719	-0,0949199981800628897735201907942517227881
1999	02	Aragón	00 a 04	Hombres	-22038	-0,0920747796950669468211117551267097788989
2000	02	Aragón	00 a 04	Hombres	-23097	-0,0964992824492676863021698070678653127883
2001	02	Aragón	00 a 04	Hombres	-23109	-0,0965494184578138703189523345686149505661
2002	02	Aragón	00 a 04	Hombres	-24398	-0,1019348613758164701216754969408052085297
2003	02	Aragón	00 a 04	Hombres	-25609	-0,1069944202382688738153122305581228209376
2004	02	Aragón	00 a 04	Hombres	-26578	-0,1110429029283732331705013262436560714936
2005	02	Aragón	00 a 04	Hombres	-27625	-0,1154172696740277886347768506840619676052
2006	02	Aragón	00 a 04	Hombres	-28402	-0,1186635762273932037214455063576010137167
2007	02	Aragón	00 a 04	Hombres	-29470	-0,1231256809880035812150904539243187759394
2008	02	Aragón	00 a 04	Hombres	-31161	-0,1301906801923033455800282875716218994587
2009	02	Aragón	00 a 04	Hombres	-32736	-0,1367710313139899977827350220450118577927
2010	02	Aragón	00 a 04	Hombres	-33482	-0,1398878198452777708260488150082810063116
2011	02	Aragón	00 a 04	Hombres	-33742	-0,1409741000304450911896702441911898248302
2012	02	Aragón	00 a 04	Hombres	-65480	-0,2735754866336774515766583957571901407706
2013	02	Aragón	00 a 04	Hombres	-32718	-0,136695827301170721757561230793887401126
2014	02	Aragón	00 a 04	Hombres	-31481	-0,1315276404202015860275623542582789068662
2015	02	Aragón	00 a 04	Hombres	-30777	-0,1285863279188254570429874075476334905696
