Año	Mes y año	Mes (código)	Mes nombre	AÑO-CNO	Comarca código	Comarca nombre	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	6
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	21
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	9	Ocupaciones elementales	Hombres	29
2021	Octubre 2021	202110	Octubre	CNO - 2011	04	La Ribagorza	9	Ocupaciones elementales	Mujeres	43
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	1	Directores y gerentes	Hombres	2
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	1	Directores y gerentes	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	2	Técnicos y profesionales científicos e intelectuales	Hombres	11
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	2	Técnicos y profesionales científicos e intelectuales	Mujeres	20
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	3	Técnicos; profesionales de apoyo	Hombres	13
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	3	Técnicos; profesionales de apoyo	Mujeres	14
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	13
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	15
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	45
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	101
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	19
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	4
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	75
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	14
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	65
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	9	Ocupaciones elementales	Hombres	214
2021	Octubre 2021	202110	Octubre	CNO - 2011	05	Cinco Villas	9	Ocupaciones elementales	Mujeres	126
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	1	Directores y gerentes	Hombres	4
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	1	Directores y gerentes	Mujeres	10
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	2	Técnicos y profesionales científicos e intelectuales	Hombres	89
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	147
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	3	Técnicos; profesionales de apoyo	Hombres	118
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	3	Técnicos; profesionales de apoyo	Mujeres	98
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	75
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	145
2021	Octubre 2021	202110	Octubre	CNO - 2011	06	Hoya de Huesca / Plana de Uesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	372
