Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	1	Europa	01	UE-27_2007	110	Francia	30	Maestrazgo	Hombre	22,0
2009	1	Europa	01	UE-27_2007	110	Francia	31	Sierra de Albarracín	Hombre	30,0
2009	1	Europa	01	UE-27_2007	110	Francia	32	Gúdar-Javalambre	Hombre	31,0
2009	1	Europa	01	UE-27_2007	110	Francia	33	Matarraña / Matarranya	Hombre	72,0
2009	1	Europa	01	UE-27_2007	111	Grecia	05	Cinco Villas	Hombre	1,0
2009	1	Europa	01	UE-27_2007	111	Grecia	06	Hoya de Huesca / Plana de Uesca	Hombre	2,0
2009	1	Europa	01	UE-27_2007	111	Grecia	09	La Litera / La Llitera	Hombre	1,0
2009	1	Europa	01	UE-27_2007	111	Grecia	17	D.C. Zaragoza	Hombre	10,0
2009	1	Europa	01	UE-27_2007	111	Grecia	26	Cuencas Mineras	Hombre	1,0
2009	1	Europa	01	UE-27_2007	111	Grecia	29	Comunidad de Teruel	Hombre	1,0
2009	1	Europa	01	UE-27_2007	112	Hungría	04	La Ribagorza	Hombre	1,0
2009	1	Europa	01	UE-27_2007	112	Hungría	17	D.C. Zaragoza	Hombre	7,0
2009	1	Europa	01	UE-27_2007	112	Hungría	23	Bajo Martín	Hombre	1,0
2009	1	Europa	01	UE-27_2007	112	Hungría	33	Matarraña / Matarranya	Hombre	2,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	01	La Jacetania	Hombre	5,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	02	Alto Gállego	Hombre	1,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	05	Cinco Villas	Hombre	2,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	06	Hoya de Huesca / Plana de Uesca	Hombre	2,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	07	Somontano de Barbastro	Hombre	2,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	09	La Litera / La Llitera	Hombre	1,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	10	Los Monegros	Hombre	1,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	11	Bajo Cinca / Baix Cinca	Hombre	3,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	12	Tarazona y el Moncayo	Hombre	1,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	17	D.C. Zaragoza	Hombre	27,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	27	Andorra-Sierra de Arcos	Hombre	1,0
2009	1	Europa	01	UE-27_2007	113	Irlanda	28	Bajo Aragón	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	01	La Jacetania	Hombre	2,0
2009	1	Europa	01	UE-27_2007	115	Italia	03	Sobrarbe	Hombre	2,0
2009	1	Europa	01	UE-27_2007	115	Italia	04	La Ribagorza	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	05	Cinco Villas	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	06	Hoya de Huesca / Plana de Uesca	Hombre	3,0
2009	1	Europa	01	UE-27_2007	115	Italia	07	Somontano de Barbastro	Hombre	2,0
2009	1	Europa	01	UE-27_2007	115	Italia	09	La Litera / La Llitera	Hombre	2,0
2009	1	Europa	01	UE-27_2007	115	Italia	11	Bajo Cinca / Baix Cinca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	12	Tarazona y el Moncayo	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	13	Campo de Borja	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	16	Valdejalón	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	17	D.C. Zaragoza	Hombre	70,0
2009	1	Europa	01	UE-27_2007	115	Italia	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	20	Comunidad de Calatayud	Hombre	2,0
2009	1	Europa	01	UE-27_2007	115	Italia	21	Campo de Cariñena	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	24	Campo de Daroca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	25	Jiloca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	27	Andorra-Sierra de Arcos	Hombre	2,0
2009	1	Europa	01	UE-27_2007	115	Italia	28	Bajo Aragón	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	29	Comunidad de Teruel	Hombre	1,0
2009	1	Europa	01	UE-27_2007	115	Italia	32	Gúdar-Javalambre	Hombre	1,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	01	La Jacetania	Hombre	1,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	04	La Ribagorza	Hombre	2,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	06	Hoya de Huesca / Plana de Uesca	Hombre	1,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	14	Aranda	Hombre	1,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	15	Ribera Alta del Ebro	Hombre	1,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	16	Valdejalón	Hombre	1,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	17	D.C. Zaragoza	Hombre	19,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	20	Comunidad de Calatayud	Hombre	2,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	27	Andorra-Sierra de Arcos	Hombre	1,0
2009	1	Europa	01	UE-27_2007	117	Luxemburgo	29	Comunidad de Teruel	Hombre	1,0
2009	1	Europa	01	UE-27_2007	118	Malta	29	Comunidad de Teruel	Hombre	1,0
2009	1	Europa	01	UE-27_2007	121	Países Bajos	02	Alto Gállego	Hombre	3,0
