Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	Código	Municipio
2007,0	42	Menos de 10 trabajadores	Leves	1	50074	Caspe
2007,0	152	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2007,0	108	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2007,0	43	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2007,0	86	Menos de 10 trabajadores	Leves	1	50272	Utebo
2007,0	1845	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2006,0	74	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2006,0	119	Menos de 10 trabajadores	Leves	1	22112	Fraga
2006,0	265	Menos de 10 trabajadores	Leves	1	22125	Huesca
2006,0	89	Menos de 10 trabajadores	Leves	1	22130	Jaca
2006,0	76	Menos de 10 trabajadores	Leves	1	22158	Monzón
2006,0	91	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2006,0	109	Menos de 10 trabajadores	Leves	1	44216	Teruel
2006,0	72	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2006,0	57	Menos de 10 trabajadores	Leves	1	50074	Caspe
2006,0	146	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2006,0	136	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2006,0	67	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2006,0	86	Menos de 10 trabajadores	Leves	1	50272	Utebo
2006,0	1785	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2005,0	60	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2005,0	97	Menos de 10 trabajadores	Leves	1	22112	Fraga
2005,0	238	Menos de 10 trabajadores	Leves	1	22125	Huesca
2005,0	86	Menos de 10 trabajadores	Leves	1	22130	Jaca
2005,0	52	Menos de 10 trabajadores	Leves	1	22158	Monzón
2005,0	119	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2005,0	125	Menos de 10 trabajadores	Leves	1	44216	Teruel
2005,0	85	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2005,0	45	Menos de 10 trabajadores	Leves	1	50074	Caspe
2005,0	155	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2005,0	118	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2005,0	31	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2005,0	73	Menos de 10 trabajadores	Leves	1	50272	Utebo
2005,0	1835	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2004,0	66	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2004,0	72	Menos de 10 trabajadores	Leves	1	22112	Fraga
2004,0	205	Menos de 10 trabajadores	Leves	1	22125	Huesca
2004,0	50	Menos de 10 trabajadores	Leves	1	22130	Jaca
2004,0	61	Menos de 10 trabajadores	Leves	1	22158	Monzón
2004,0	80	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2004,0	124	Menos de 10 trabajadores	Leves	1	44216	Teruel
2004,0	76	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2004,0	45	Menos de 10 trabajadores	Leves	1	50074	Caspe
2004,0	108	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2004,0	120	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2004,0	49	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2004,0	67	Menos de 10 trabajadores	Leves	1	50272	Utebo
2004,0	1588	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2003,0	78	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2003,0	106	Menos de 10 trabajadores	Leves	1	22112	Fraga
2003,0	235	Menos de 10 trabajadores	Leves	1	22125	Huesca
2003,0	64	Menos de 10 trabajadores	Leves	1	22130	Jaca
2003,0	51	Menos de 10 trabajadores	Leves	1	22158	Monzón
