Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2001	Mujeres	91	02	Aragón	1262	0,0052726368987736857649624754955035729635
2002	Hombres	91	02	Aragón	-567	-0,0023689264038071947929744244104203850003
2002	Mujeres	91	02	Aragón	1396	0,0058324889942060739523673659205411948155
2003	Hombres	91	02	Aragón	-589	-0,0024608424194751988237423914951280542595
2003	Mujeres	91	02	Aragón	1369	0,0057196829749771599146066790438545098154
2004	Hombres	91	02	Aragón	-698	-0,0029162444971030369761836829602705974077
2004	Mujeres	91	02	Aragón	1480	0,0061834410540293620698450584257886592599
2005	Hombres	91	02	Aragón	-603	-0,0025193344294457468433220069126692983336
2005	Mujeres	91	02	Aragón	1467	0,006129127044770996051663986966643218334
2006	Hombres	91	02	Aragón	-651	-0,0027198784636304829104521169156678494447
2006	Mujeres	91	02	Aragón	1547	0,0064633671017455561635475036383074701859
2007	Hombres	91	02	Aragón	-680	-0,0028410404842837609510098917091461407411
2007	Mujeres	91	02	Aragón	1520	0,0063505610825166421257868167616207851859
2008	Hombres	91	02	Aragón	-612	-0,0025569364358553848559089025382315266669
2008	Mujeres	91	02	Aragón	1486	0,0062085090583024540782363221761634781488
2009	Hombres	91	02	Aragón	-660	-0,0027574804700401209230390125412300777781
2009	Mujeres	91	02	Aragón	1576	0,0065845291223988342041052784317857614822
2010	Hombres	91	02	Aragón	-679	-0,0028368624835715789496113477507503375929
2010	Mujeres	91	02	Aragón	1703	0,0071151352128459483817203611480527612971
2011	Hombres	91	02	Aragón	-718	-0,0029998045113466770041545621281866603707
2011	Mujeres	91	02	Aragón	1772	0,0074034172619865064782198942773631785193
2012	Hombres	91	02	Aragón	-1800	-0,0075204012819276025173791251124456666675
2012	Mujeres	91	02	Aragón	4112	0,0171799389284923897508127569235425451871
2013	Hombres	91	02	Aragón	-1037	-0,0043325867385327354502900848564478646301
2013	Mujeres	91	02	Aragón	2144	0,0089576335269182109984782468006019496306
2014	Hombres	91	02	Aragón	-1049	-0,0043827227470789194670726123571975024079
2014	Mujeres	91	02	Aragón	2282	0,0095341976251993271914773130592227840751
2015	Hombres	91	02	Aragón	-1119	-0,0046751827969316595649706894449037227783
2015	Mujeres	91	02	Aragón	2355	0,00983919167718861329357102202211641389
1998	Hombres	90	02	Aragón	-676	-0,0028243284814350329454157158755629281485
1998	Mujeres	90	02	Aragón	1282	0,0053561969130173257929333546634196359265
1999	Hombres	90	02	Aragón	-743	-0,0031042545291512270391181610880817390744
1999	Mujeres	90	02	Aragón	1397	0,0058366669949182559537659098789369979636
2000	Hombres	90	02	Aragón	-679	-0,0028368624835715789496113477507503375929
2000	Mujeres	90	02	Aragón	1471	0,0061458390476197240572581628002264309266
2001	Hombres	90	02	Aragón	-742	-0,0031000765284390450377196171296859359263
2001	Mujeres	90	02	Aragón	1668	0,0069689051879195783327713226041996511119
2002	Hombres	90	02	Aragón	-746	-0,0031167885312877730433137929632691485189
2002	Mujeres	90	02	Aragón	1619	0,0067641831530226602642426686428052968526
2003	Hombres	90	02	Aragón	-859	-0,0035889026117643392013492602619949042597
2003	Mujeres	90	02	Aragón	1743	0,007282255241333228437662119483884887223
2004	Hombres	90	02	Aragón	-764	-0,0031919925441070490684875842143936051855
2004	Mujeres	90	02	Aragón	1741	0,0072738992399088644348650315670932809267
2005	Hombres	90	02	Aragón	-805	-0,0033632905733065111258278865086215342596
2005	Mujeres	90	02	Aragón	1886	0,0078797093431752546376539055344847374083
2006	Hombres	90	02	Aragón	-845	-0,0035304106017937911817696448444536601856
2006	Mujeres	90	02	Aragón	1791	0,0074827992755179645047922294868834383342
2007	Hombres	90	02	Aragón	-780	-0,0032588405555019610908642875487264555559
2007	Mujeres	90	02	Aragón	1767	0,0073825272584255964712271744853841627786
2008	Hombres	90	02	Aragón	-801	-0,003346578570457783120233710675038321667
2008	Mujeres	90	02	Aragón	1812	0,0075705372904737865341616526131953044453
2009	Hombres	90	02	Aragón	-820	-0,0034259605839892411468060458845585814819
2009	Mujeres	90	02	Aragón	1978	0,0082640854086959987663199497068986270379
2010	Hombres	90	02	Aragón	-875	-0,00365575062315925122372596359632775463
2010	Mujeres	90	02	Aragón	2019	0,008435383437895460823660252001126556112
2011	Hombres	90	02	Aragón	-1136	-0,0047462088090387535887459367376323762968
2011	Mujeres	90	02	Aragón	2402	0,0100355577106611673593025880667191618529
2012	Hombres	90	02	Aragón	-2470	-0,0103196617590895434544035772376337759271
2012	Mujeres	90	02	Aragón	4932	0,0206058995124816308976188028081011266689
2013	Hombres	90	02	Aragón	-1274	-0,0053227729073198697817450029962532107413
2013	Mujeres	90	02	Aragón	2652	0,0110800578887066677089385776656699488901
2014	Hombres	90	02	Aragón	-1360	-0,0056820809685675219020197834182922814821
2014	Mujeres	90	02	Aragón	2728	0,0113975859428324998152279185037509881494
2015	Hombres	90	02	Aragón	-1432	-0,0059828970198446260027149484227901081488
2015	Mujeres	90	02	Aragón	2841	0,0118697000233090659732633858024767438902
1998	Hombres	89	02	Aragón	-883	-0,0036891746288567072349143152634941798152
1998	Mujeres	89	02	Aragón	1599	0,0066806231387790202362717894748892338896
1999	Hombres	89	02	Aragón	-810	-0,0033841805768674211328206063006005500004
1999	Mujeres	89	02	Aragón	1696	0,00708588920786067437193055343928213926
2000	Hombres	89	02	Aragón	-871	-0,0036390386203105232181317877627445420374
2000	Mujeres	89	02	Aragón	1916	0,0080050493645407146796102242863588318527
2001	Hombres	89	02	Aragón	-909	-0,0037978026473734392712764581817850616671
2001	Mujeres	89	02	Aragón	1891	0,007900599346736164644646625326463753149
2002	Hombres	89	02	Aragón	-1015	-0,0042406707228647314195221177717401953708
