Año	Comarca código	Comarca nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie certificaciones privadas	Superficie sin clasificar
2015	09	La Litera / La Llitera	1006881,55	287270,11	1,8	33,49	0	48,11
2015	10	Los Monegros	2226055,44	2089071,27	140,7	61,82	1975,11	123,34
2015	11	Bajo Cinca / Baix Cinca	167,27	142,54	8,19	0	0	16,54
2015	12	Tarazona y el Moncayo	73,85	10,08	5,22	0	55,76	2,79
2015	13	Campo de Borja	2892622,88	238,79	227852,02	51,11	1347,3	0
2015	14	Aranda	40,17	38,18	1,99	0	0	0
2015	15	Ribera Alta del Ebro	196641,78	92210,15	10,39	0,65	530,98	0
2015	16	Valdejalón	42261703,05	2817,68	39,26	120286,53	9520726,24	293960,74
2015	17	Central	3458238,69	2212701,65	81716,64	15700,4	2625,2	4186757,43
2015	18	Ribera Baja del Ebro	5103777,02	1228,13	138690,51	4,97	500,23	32646,3
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18629479,04	14379752,7	80,15	68,43	146,9	409714,87
2015	20	Comunidad de Calatayud	173730,08	255,15	0	10109,6105	345313,63	357,8
2015	21	Campo de Cariñena	1142,97	888,18	43,46	1,65	198,59	11,09
2015	22	Campo de Belchite	40000514,22	5874,51	160,77	2887546,19	556,72	287,01
2015	23	Bajo Martín	6331124,41	13050,45	14,64	96,38	30,36	444165,11
2015	24	Campo de Daroca	403,55	361,56	1,53	12,23	0	28,23
2015	25	Jiloca	934,72	654,25	1,1	25,57	35,48	218,32
2015	26	Cuencas Mineras	245,71	149,12	95,04	0	0	1,55
2015	27	Andorra-Sierra de Arcos	1558496,23	1538057,53	2,7	0	0	20436
2015	28	Bajo Aragón	13204422,43	5700999,77	4627,51	8073	0	1924017,58
2015	29	Comunidad de Teruel	1162613,12	87757,72	10,57	0,95	414051,82	24,39
2015	30	Maestrazgo	12,17	12,17	0	0	0	0
2015	31	Sierra de Albarracín	1562,13	1554,16	7,97	0	0	0
2015	32	Gúdar-Javalambre	5440685,94	2144048,71	0	3052235	0	213441,42
2015	33	Matarraña / Matarranya	16147250,94	11426831,1	85502,58	628542,2	40,76	870550,7
2016	01	La Jacetania	15,77	9,96	4,88	0,93	0	0
2016	02	Alto Gállego	184760,46	163046,11	17553,5	294,72	0	0
2016	03	Sobrarbe	855,41	97,38	587,25	170,78	0	0
2016	04	La Ribagorza	107909,2571	66724,99	2682,84	8,8771	0	0
2016	05	Cinco Villas	1404,12	786,7	135,1	110,1	372,22	0
2016	06	Hoya de Huesca / Plana de Uesca	2565862,47	554592,66	12,42	0,613	227,9	0
2016	07	Somontano de Barbastro	2509179,08	958769,31	10765,67	28345,56	0	0
2016	08	Cinca Medio	656,85	586,1	22,37	22,13	26,25	0
2016	09	La Litera / La Llitera	1712498,28	293280,27	19,55	140,38	0	0
2016	10	Los Monegros	2573167,24	2071985,34	782,48	135016,94	1882,02	0
2016	11	Bajo Cinca / Baix Cinca	173,38	136,68	36,7	0	0	0
2016	12	Tarazona y el Moncayo	255179,31	10,99	4,73	17732	55,33	0
2016	13	Campo de Borja	1670,88	15744,53	13140,66	39,57	1327,51	0
2016	14	Aranda	38,37	38,28	0,09	0	0	0
2016	15	Ribera Alta del Ebro	627,12	101,93	0,65	0	524,54	0
2016	16	Valdejalón	42850604,28	2792,39	1999408,27	1702328,87	8432933,32	0
2016	17	Central	21613560,09	12472489,77	2636964,7	123238,82	1006,29	0
2016	18	Ribera Baja del Ebro	4253738,47	1159,25	28300,14	1,49	500,01	0
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2511,03	1791,72	529,99	42,41	146,91	0
2016	20	Comunidad de Calatayud	1295678,1023	207,6023	884959,38	21,38	730,72	0
2016	21	Campo de Cariñena	1232,1	905,65	69,57	8	248,88	0
2016	22	Campo de Belchite	30708086,54	13364213,7	585,88	61769,75	745,46	0
2016	23	Bajo Martín	8256072,23	13101,64	2573956,18	64,22	14,44	0
2016	24	Campo de Daroca	406,01	354,57	25,74	25,7	0	0
2016	25	Jiloca	659376,22	621,79	796,22	728,3935	60,54	0
2016	26	Cuencas Mineras	293,93	243,72	50,21	0	0	0
2016	27	Andorra-Sierra de Arcos	233,81	205,13	25,17	3,51	0	0
2016	28	Bajo Aragón	7784247,63	5137985,08	14457,15	74,82	329,84	0
2016	29	Comunidad de Teruel	1855,52	924,28	241,17	5,09	684,98	0
