Año	Comarca código	Comarca nombre	Incendios	Superficie forestal afectada
2014	29	Comunidad de Teruel	13	30,59
2014	30	Maestrazgo	10	4,95
2014	31	Sierra de Albarracín	9	1,04
2014	32	Gúdar-Javalambre	15	6,9
2014	33	Matarraña / Matarranya	14	2,63
2015	01	La Jacetania	3	0,11
2015	02	Alto Gállego	5	0,97
2015	03	Sobrarbe	11	0,23
2015	04	La Ribagorza	10	11
2015	05	Cinco Villas	24	7184,64
2015	06	Hoya de Huesca / Plana de Uesca	34	121,53
2015	07	Somontano de Barbastro	17	92,17
2015	08	Cinca Medio	13	237,18
2015	09	La Litera / La Llitera	2	0,02
2015	10	Los Monegros	17	23,98
2015	11	Bajo Cinca / Baix Cinca	17	6,35
2015	12	Tarazona y el Moncayo	8	15,22
2015	13	Campo de Borja	1	0,01
2015	14	Aranda	3	2,48
2015	15	Ribera Alta del Ebro	2	1,81
2015	16	Valdejalón	10	7,75
2015	17	Central	14	27,23
2015	18	Ribera Baja del Ebro	8	18,14
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	20	15,29
2015	20	Comunidad de Calatayud	27	39,78
2015	21	Campo de Cariñena	3	2,82
2015	22	Campo de Belchite	3	1,34
2015	23	Bajo Martín	6	5,1
2015	24	Campo de Daroca	5	4,73
2015	25	Jiloca	12	23,16
2015	26	Cuencas Mineras	8	1,82
2015	27	Andorra-Sierra de Arcos	5	0,63
2015	28	Bajo Aragón	12	1,63
2015	29	Comunidad de Teruel	10	1,33
2015	30	Maestrazgo	4	1,12
2015	31	Sierra de Albarracín	10	4,28
2015	32	Gúdar-Javalambre	5	0,05
2015	33	Matarraña / Matarranya	12	1,97
2016	01	La Jacetania	2	135,11
2016	02	Alto Gállego	4	0,18
2016	03	Sobrarbe	5	75,09
2016	04	La Ribagorza	16	16,16
2016	05	Cinco Villas	9	2,66
2016	06	Hoya de Huesca / Plana de Uesca	19	152,71
2016	07	Somontano de Barbastro	9	4,9
2016	08	Cinca Medio	9	2,74
2016	09	La Litera / La Llitera	6	2,36
2016	10	Los Monegros	8	7,19
2016	11	Bajo Cinca / Baix Cinca	9	12,09
2016	12	Tarazona y el Moncayo	6	10,69
2016	13	Campo de Borja	11	8,97
2016	14	Aranda	3	2,89
2016	15	Ribera Alta del Ebro	2	0,29
2016	16	Valdejalón	5	2,65
2016	17	Central	19	125,46
2016	18	Ribera Baja del Ebro	5	0,95
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12	5,2
2016	20	Comunidad de Calatayud	33	39,01
2016	21	Campo de Cariñena	4	0,46
2016	22	Campo de Belchite	13	72,06
2016	23	Bajo Martín	14	9,1
2016	24	Campo de Daroca	2	2,69
2016	25	Jiloca	5	6
2016	26	Cuencas Mineras	6	4,09
2016	27	Andorra-Sierra de Arcos	10	148,99
2016	28	Bajo Aragón	18	20,86
2016	29	Comunidad de Teruel	7	30,31
2016	30	Maestrazgo	3	0,03
2016	31	Sierra de Albarracín	3	0,42
2016	32	Gúdar-Javalambre	16	1,15
2016	33	Matarraña / Matarranya	13	4,9
2017	01	La Jacetania	9	3,56
2017	02	Alto Gállego	8	1,64
2017	03	Sobrarbe	8	71,23
2017	04	La Ribagorza	13	191,91
2017	05	Cinco Villas	30	32,8
2017	06	Hoya de Huesca / Plana de Uesca	34	44,51
2017	07	Somontano de Barbastro	11	22,2
2017	08	Cinca Medio	12	5,41
2017	09	La Litera / La Llitera	3	2,96
