Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2002	50284	Villafeliche	369,0	2693,0	2693,0	13466,0
2002	50285	Villafranca de Ebro	501,0	21340,0	21340,0	142977,0
2002	50286	Villalba de Perejil	84,0	493,0	493,0	1971,0
2002	50287	Villalengua	471,0	2283,0	2283,0	13695,0
2002	50288	Villanueva de Gállego	2157,0	141767,0	81204,0	406020,0
2002	50289	Villanueva de Jiloca	197,0	960,0	960,0	3842,0
2002	50290	Villanueva de Huerva	563,0	5349,0	5349,0	32091,0
2002	50291	Villar de los Navarros	377,0	1959,0	1959,0	11755,0
2002	50292	Villarreal de Huerva	229,0	3360,0	3360,0	13438,0
2002	50293	Villarroya de la Sierra	820,0	4166,0	4166,0	24994,0
2002	50294	Villarroya del Campo	132,0	931,0	931,0	3726,0
2002	50295	Vistabella	209,0	915,0	915,0	5947,0
2002	50296	Zaida (La)	480,0	16977,0	12743,0	50971,0
2002	50297	Zaragoza	406798,0	15829049,0	15829049,0	63316196,0
2002	50298	Zuera	3887,0	92437,0	92437,0	554623,0
2002	50901	Biel	468,0	3010,0	3010,0	16554,0
2002	50902	Marracos	105,0	1187,0	1187,0	7718,0
