Mes y año	'Aragón'	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Febrero 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	21
Febrero 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4481
Febrero 2021	Aragón	No consta	No consta		No consta	Hombres	11
Febrero 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	5
Febrero 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	39201
Febrero 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4385
Febrero 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	601
Febrero 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	16
Febrero 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	7190
Febrero 2021	Aragón	No consta	No consta		No consta	Mujeres	6
Febrero 2021	Aragón	No consta	No consta	No consta	No consta	Mujeres	2
Enero 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27590
Enero 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2845
Enero 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	468
Enero 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	18
