Año	Provincia nombre	Municipio código	Municipio nombre	Tasa bruta de saldo vegetativo	Tasa bruta de natalidad	Tasa bruta de mortalidad	Tasa global de fecundidad	Tasa bruta de nupcialidad
2015	Huesca	22163	Nueno	-9,04977375565611	0,0	9,04977375565611	0,0	1,80995475113122
2015	Huesca	22164	Olvena	-22,2222222222222	0,0	22,2222222222222	0,0	0,0
2015	Huesca	22165	Ontiñena	-17,7147918511958	0,0	17,7147918511958	0,0	0,0
2015	Huesca	22167	Osso de Cinca	-12,2033898305085	0,0	12,2033898305085	0,0	4,06779661016949
2015	Huesca	22168	Palo	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22170	Panticosa	-10,4166666666667	0,0	10,4166666666667	0,0	6,51041666666667
2015	Huesca	22172	Peñalba	-8,6767895878525	0,0	8,6767895878525	0,0	0,0
2015	Huesca	22173	Peñas de Riglos (Las)	-3,83141762452107	0,0	3,83141762452107	0,0	0,0
2015	Huesca	22174	Peralta de Alcofea	-21,8671152228764	0,0	21,8671152228764	0,0	3,36417157275021
2015	Huesca	22175	Peralta de Calasanz	-13,0151843817787	0,0	13,0151843817787	0,0	0,0
2015	Huesca	22176	Peraltilla	-5,0251256281407	0,0	5,0251256281407	0,0	0,0
2015	Huesca	22177	Perarrúa	-26,7857142857143	0,0	26,7857142857143	0,0	0,0
2015	Huesca	22178	Pertusa	-8,36820083682008	0,0	8,36820083682008	0,0	0,0
2015	Huesca	22181	Piracés	-9,52380952380952	0,0	9,52380952380952	0,0	0,0
2015	Huesca	22182	Plan	-19,9335548172758	0,0	19,9335548172758	0,0	3,32225913621262
2015	Huesca	22184	Poleñino	-18,7793427230047	0,0	18,7793427230047	0,0	0,0
2015	Huesca	22186	Pozán de Vero	-32,9411764705882	0,0	32,9411764705882	0,0	0,0
2015	Huesca	22187	Puebla de Castro (La)	-10,498687664042	0,0	10,498687664042	0,0	2,6246719160105
2015	Huesca	22188	Puente de Montañana	-9,52380952380952	0,0	9,52380952380952	0,0	0,0
2015	Huesca	22189	Puértolas	-14,2857142857143	0,0	14,2857142857143	0,0	4,76190476190476
2015	Huesca	22190	Pueyo de Araguás (El)	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22193	Pueyo de Santa Cruz	-12,4031007751938	0,0	12,4031007751938	0,0	6,2015503875969
2015	Huesca	22195	Quicena	-6,99300699300699	0,0	6,99300699300699	0,0	0,0
2015	Huesca	22197	Robres	-13,8528138528139	0,0	13,8528138528139	0,0	3,46320346320346
2015	Huesca	22199	Sabiñánigo	-9,81685755000792	0,0	9,81685755000792	0,0	3,27228585000264
2015	Huesca	22200	Sahún	-9,81996726677578	0,0	9,81996726677578	0,0	0,0
2015	Huesca	22201	Salas Altas	-25,6821829855538	0,0	25,6821829855538	0,0	0,0
2015	Huesca	22202	Salas Bajas	-29,673590504451	0,0	29,673590504451	0,0	0,0
2015	Huesca	22203	Salillas	-20,1005025125628	0,0	20,1005025125628	0,0	0,0
2015	Huesca	22204	Sallent de Gállego	-6,2026188835286	0,0	6,2026188835286	0,0	2,75671950379049
2015	Huesca	22205	San Esteban de Litera	-22,0883534136546	0,0	22,0883534136546	0,0	0,0
2015	Huesca	22206	Sangarrén	-17,5054704595186	0,0	17,5054704595186	0,0	4,37636761487965
2015	Huesca	22207	San Juan de Plan	-20,5479452054795	0,0	20,5479452054795	0,0	0,0
2015	Huesca	22208	Santa Cilia	0,0	0,0	0,0	0,0	4,69483568075117
2015	Huesca	22209	Santa Cruz de la Serós	-5,37634408602151	0,0	5,37634408602151	0,0	0,0
2015	Huesca	22212	Santaliestra y San Quílez	-10,0502512562814	0,0	10,0502512562814	0,0	0,0
2015	Huesca	22213	Sariñena	-10,7002734514326	0,0	10,7002734514326	0,0	4,51789323504934
2015	Huesca	22214	Secastilla	-27,5862068965517	0,0	27,5862068965517	0,0	0,0
2015	Huesca	22215	Seira	-13,6986301369863	0,0	13,6986301369863	0,0	0,0
2015	Huesca	22217	Sena	-9,78473581213307	0,0	9,78473581213307	0,0	0,0
2015	Huesca	22218	Senés de Alcubierre	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22220	Sesa	-27,027027027027	0,0	27,027027027027	0,0	0,0
2015	Huesca	22221	Sesué	-27,027027027027	0,0	27,027027027027	0,0	0,0
2015	Huesca	22222	Siétamo	-5,91715976331361	0,0	5,91715976331361	0,0	1,4792899408284
2015	Huesca	22223	Sopeira	0,0	0,0	0,0	0,0	0,0
2015	Huesca	22225	Tamarite de Litera	-16,749467707594	0,0	16,749467707594	0,0	3,40667139815472
2015	Huesca	22226	Tardienta	-20,5128205128205	0,0	20,5128205128205	0,0	5,12820512820513
