Año	Municipio código	Municipio nombre	Incendios	Superficie forestal afectada
2001	22112	Fraga	6	20,2
2001	22113	Fueva (La)	0	0
2001	22114	Gistaín	0	0
2001	22115	Grado (El)	1	0,06
2001	22116	Grañén	2	1,3
2001	22117	Graus	1	0,01
2001	22119	Gurrea de Gállego	2	4,06
2001	22122	Hoz de Jaca	0	0
2001	22124	Huerto	0	0
2001	22125	Huesca	1	0,06
2001	22126	Ibieca	0	0
2001	22127	Igriés	0	0
2001	22128	Ilche	0	0
2001	22129	Isábena	0	0
2001	22130	Jaca	7	395,85
2001	22131	Jasa	0	0
2001	22133	Labuerda	0	0
2001	22135	Laluenga	0	0
2001	22136	Lalueza	0	0
2001	22137	Lanaja	0	0
2001	22139	Laperdiguera	0	0
2001	22141	Lascellas-Ponzano	0	0
2001	22142	Lascuarre	1	0,02
2001	22143	Laspaúles	0	0
2001	22144	Laspuña	0	0
2001	22149	Loarre	0	0
2001	22150	Loporzano	8	90,47
2001	22151	Loscorrales	0	0
2001	22155	Monesma y Cajigar	0	0
2001	22156	Monflorite-Lascasas	0	0
2001	22157	Montanuy	1	2,5
2001	22158	Monzón	3	0,3
2001	22160	Naval	0	0
2001	22162	Novales	0	0
2001	22163	Nueno	1	0,08
2001	22164	Olvena	0	0
2001	22165	Ontiñena	0	0
2001	22167	Osso de Cinca	0	0
2001	22168	Palo	0	0
2001	22170	Panticosa	0	0
2001	22172	Peñalba	1	1
2001	22173	Peñas de Riglos (Las)	3	2870,65
2001	22174	Peralta de Alcofea	1	0,07
2001	22175	Peralta de Calasanz	2	21
2001	22176	Peraltilla	0	0
2001	22177	Perarrúa	0	0
2001	22178	Pertusa	0	0
2001	22181	Piracés	0	0
2001	22182	Plan	0	0
2001	22184	Poleñino	0	0
2001	22186	Pozán de Vero	0	0
2001	22187	Puebla de Castro (La)	0	0
2001	22188	Puente de Montañana	0	0
2001	22189	Puértolas	0	0
2001	22190	Pueyo de Araguás (El)	0	0
2001	22193	Pueyo de Santa Cruz	0	0
2001	22195	Quicena	0	0
2001	22197	Robres	1	0,02
2001	22199	Sabiñánigo	0	0
2001	22200	Sahún	0	0
2001	22201	Salas Altas	0	0
2001	22202	Salas Bajas	0	0
2001	22203	Salillas	0	0
2001	22204	Sallent de Gállego	0	0
2001	22205	San Esteban de Litera	0	0
2001	22206	Sangarrén	0	0
2001	22207	San Juan de Plan	0	0
2001	22208	Santa Cilia	0	0
2001	22209	Santa Cruz de la Serós	0	0
2001	22212	Santaliestra y San Quílez	0	0
