Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
50123	Grisén	2015	636,0	481,0	406,0	75,0	10,0	13,0	383,0	84,4074844074844
50124	Herrera de los Navarros	2007	670,0	541,0	474,0	67,0	3,0	6,0	465,0	87,6155268022181
50124	Herrera de los Navarros	2011	616,0	486,0	440,0	46,0	8,0	9,0	423,0	90,5349794238683
50124	Herrera de los Navarros	2015	565,0	430,0	335,0	95,0	5,0	22,0	308,0	77,906976744186
50125	Ibdes	2007	501,0	489,0	411,0	78,0	6,0	1,0	404,0	84,0490797546012
50125	Ibdes	2011	490,0	432,0	355,0	77,0	2,0	3,0	350,0	82,1759259259259
50125	Ibdes	2015	483,0	385,0	306,0	79,0	2,0	5,0	299,0	79,4805194805195
50126	Illueca	2007	3288,0	2509,0	1883,0	626,0	24,0	43,0	1816,0	75,0498206456756
50126	Illueca	2011	3348,0	2546,0	1892,0	654,0	18,0	64,0	1810,0	74,3126472898665
50126	Illueca	2015	3159,0	2461,0	1661,0	800,0	46,0	42,0	1573,0	67,4928890694839
50128	Isuerre	2007	50,0	47,0	34,0	13,0	0,0	2,0	32,0	72,3404255319149
50128	Isuerre	2011	37,0	35,0	33,0	2,0	0,0	3,0	30,0	94,2857142857143
50128	Isuerre	2015	33,0	31,0	25,0	6,0	1,0	1,0	23,0	80,6451612903226
50129	Jaraba	2007	324,0	267,0	201,0	66,0	2,0	1,0	198,0	75,2808988764045
50129	Jaraba	2011	360,0	273,0	222,0	51,0	2,0	1,0	219,0	81,3186813186813
50129	Jaraba	2015	329,0	254,0	195,0	59,0	0,0	3,0	192,0	76,7716535433071
50130	Jarque	2007	541,0	454,0	381,0	73,0	4,0	12,0	365,0	83,920704845815
50130	Jarque	2011	550,0	425,0	333,0	92,0	4,0	11,0	318,0	78,3529411764706
50130	Jarque	2015	501,0	397,0	288,0	109,0	1,0	4,0	283,0	72,544080604534
