Año	Inscripción comarca código	Inscripción comarca nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2016	04	La Ribagorza	0-15	Hombre	5,0	1	No sabe leer ni escribir
2016	04	La Ribagorza	0-15	Hombre	4,0	2	Inferior a graduado escolar o ESO
2016	04	La Ribagorza	0-15	Hombre	2,0	3	Graduado escolar o ESO
2016	04	La Ribagorza	0-15	Mujer	26,0	0	Sin clasificar
2016	04	La Ribagorza	0-15	Mujer	1,0	1	No sabe leer ni escribir
2016	04	La Ribagorza	0-15	Mujer	5,0	2	Inferior a graduado escolar o ESO
2016	04	La Ribagorza	0-15	Mujer	1,0	3	Graduado escolar o ESO
2016	04	La Ribagorza	16-64	Hombre	52,0	0	Sin clasificar
2016	04	La Ribagorza	16-64	Hombre	1,0	1	No sabe leer ni escribir
2016	04	La Ribagorza	16-64	Hombre	7,0	2	Inferior a graduado escolar o ESO
2016	04	La Ribagorza	16-64	Hombre	29,0	3	Graduado escolar o ESO
2016	04	La Ribagorza	16-64	Hombre	89,0	4	BUP, Bachiller, LOGSE ó superior
2016	04	La Ribagorza	16-64	Mujer	64,0	0	Sin clasificar
2016	04	La Ribagorza	16-64	Mujer	8,0	2	Inferior a graduado escolar o ESO
2016	04	La Ribagorza	16-64	Mujer	30,0	3	Graduado escolar o ESO
2016	04	La Ribagorza	16-64	Mujer	104,0	4	BUP, Bachiller, LOGSE ó superior
2016	04	La Ribagorza	65 y más	Hombre	46,0	0	Sin clasificar
2016	04	La Ribagorza	65 y más	Hombre	18,0	2	Inferior a graduado escolar o ESO
2016	04	La Ribagorza	65 y más	Hombre	30,0	3	Graduado escolar o ESO
2016	04	La Ribagorza	65 y más	Hombre	20,0	4	BUP, Bachiller, LOGSE ó superior
2016	04	La Ribagorza	65 y más	Mujer	40,0	0	Sin clasificar
2016	04	La Ribagorza	65 y más	Mujer	21,0	2	Inferior a graduado escolar o ESO
2016	04	La Ribagorza	65 y más	Mujer	29,0	3	Graduado escolar o ESO
2016	04	La Ribagorza	65 y más	Mujer	21,0	4	BUP, Bachiller, LOGSE ó superior
2016	05	Cinco Villas	0-15	Hombre	50,0	0	Sin clasificar
2016	05	Cinco Villas	0-15	Hombre	1,0	1	No sabe leer ni escribir
2016	05	Cinco Villas	0-15	Hombre	5,0	2	Inferior a graduado escolar o ESO
2016	05	Cinco Villas	0-15	Hombre	3,0	3	Graduado escolar o ESO
2016	05	Cinco Villas	0-15	Mujer	56,0	0	Sin clasificar
2016	05	Cinco Villas	0-15	Mujer	1,0	1	No sabe leer ni escribir
2016	05	Cinco Villas	0-15	Mujer	10,0	2	Inferior a graduado escolar o ESO
2016	05	Cinco Villas	0-15	Mujer	4,0	3	Graduado escolar o ESO
2016	05	Cinco Villas	16-64	Hombre	86,0	0	Sin clasificar
2016	05	Cinco Villas	16-64	Hombre	17,0	2	Inferior a graduado escolar o ESO
2016	05	Cinco Villas	16-64	Hombre	74,0	3	Graduado escolar o ESO
2016	05	Cinco Villas	16-64	Hombre	220,0	4	BUP, Bachiller, LOGSE ó superior
2016	05	Cinco Villas	16-64	Mujer	96,0	0	Sin clasificar
2016	05	Cinco Villas	16-64	Mujer	20,0	2	Inferior a graduado escolar o ESO
2016	05	Cinco Villas	16-64	Mujer	83,0	3	Graduado escolar o ESO
2016	05	Cinco Villas	16-64	Mujer	269,0	4	BUP, Bachiller, LOGSE ó superior
2016	05	Cinco Villas	65 y más	Hombre	67,0	0	Sin clasificar
2016	05	Cinco Villas	65 y más	Hombre	15,0	2	Inferior a graduado escolar o ESO
2016	05	Cinco Villas	65 y más	Hombre	47,0	3	Graduado escolar o ESO
2016	05	Cinco Villas	65 y más	Hombre	74,0	4	BUP, Bachiller, LOGSE ó superior
2016	05	Cinco Villas	65 y más	Mujer	73,0	0	Sin clasificar
2016	05	Cinco Villas	65 y más	Mujer	25,0	2	Inferior a graduado escolar o ESO
2016	05	Cinco Villas	65 y más	Mujer	86,0	3	Graduado escolar o ESO
2016	05	Cinco Villas	65 y más	Mujer	74,0	4	BUP, Bachiller, LOGSE ó superior
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	208,0	0	Sin clasificar
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	25,0	2	Inferior a graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	7,0	3	Graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	2,0	4	BUP, Bachiller, LOGSE ó superior
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	182,0	0	Sin clasificar
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	2,0	1	No sabe leer ni escribir
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	28,0	2	Inferior a graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	4,0	3	Graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	2,0	4	BUP, Bachiller, LOGSE ó superior
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	177,0	0	Sin clasificar
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	1,0	1	No sabe leer ni escribir
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	46,0	2	Inferior a graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	135,0	3	Graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	351,0	4	BUP, Bachiller, LOGSE ó superior
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	160,0	0	Sin clasificar
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	35,0	2	Inferior a graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	100,0	3	Graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	387,0	4	BUP, Bachiller, LOGSE ó superior
2016	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	96,0	0	Sin clasificar
2016	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	24,0	2	Inferior a graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	62,0	3	Graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	71,0	4	BUP, Bachiller, LOGSE ó superior
2016	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	84,0	0	Sin clasificar
2016	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	33,0	2	Inferior a graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	88,0	3	Graduado escolar o ESO
2016	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	73,0	4	BUP, Bachiller, LOGSE ó superior
2016	07	Somontano de Barbastro	0-15	Hombre	62,0	0	Sin clasificar
2016	07	Somontano de Barbastro	0-15	Hombre	1,0	1	No sabe leer ni escribir
2016	07	Somontano de Barbastro	0-15	Hombre	3,0	2	Inferior a graduado escolar o ESO
2016	07	Somontano de Barbastro	0-15	Hombre	2,0	3	Graduado escolar o ESO
2016	07	Somontano de Barbastro	0-15	Hombre	1,0	4	BUP, Bachiller, LOGSE ó superior
