Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas
2016	50	Zaragoza	65 y más	Mujer	2726,0
2017	22	Huesca	0-15	Hombre	707,0
2017	22	Huesca	0-15	Mujer	624,0
2017	22	Huesca	16-64	Hombre	2488,0
2017	22	Huesca	16-64	Mujer	2479,0
2017	22	Huesca	65 y más	Hombre	1079,0
2017	22	Huesca	65 y más	Mujer	1232,0
2017	44	Teruel	0-15	Hombre	268,0
2017	44	Teruel	0-15	Mujer	286,0
2017	44	Teruel	16-64	Hombre	1537,0
2017	44	Teruel	16-64	Mujer	1438,0
2017	44	Teruel	65 y más	Hombre	829,0
2017	44	Teruel	65 y más	Mujer	934,0
2017	50	Zaragoza	0-15	Hombre	2744,0
2017	50	Zaragoza	0-15	Mujer	2586,0
2017	50	Zaragoza	16-64	Hombre	8583,0
2017	50	Zaragoza	16-64	Mujer	9047,0
2017	50	Zaragoza	65 y más	Hombre	2274,0
2017	50	Zaragoza	65 y más	Mujer	2790,0
