Año	Renta disponible bruta	Renta disponible bruta per cápita	Código	Comarca
2014	177586185,0	14067,3467205323	04	La Ribagorza
2014	374163843,0	11900,1285859678	05	Cinco Villas
2014	1134335595,0	16611,5396274493	06	Hoya de Huesca / Plana de Uesca
2014	341656559,0	14184,8608735365	07	Somontano de Barbastro
2014	325409715,0	13548,0126150131	08	Cinca Medio
2014	234508829,0	12543,2621416346	09	La Litera / La Llitera
2014	208988552,0	10541,1354786644	10	Los Monegros
2014	301198761,0	12136,7917556514	11	Bajo Cinca / Baix Cinca
2014	167860075,0	11652,9035057272	12	Tarazona y el Moncayo
2014	162544613,0	11133,1926712329	13	Campo de Borja
2014	74785451,0	10433,2381417411	14	Aranda
2014	327770471,0	11971,6012637423	15	Ribera Alta del Ebro
2014	313928044,0	10758,6978306316	16	Valdejalón
2014	12136005371,0	16330,5582489063	17	D.C. Zaragoza
