Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2006	02	Alto Gállego	21839,0	484327,0	419265,0	3095495,0	3084013,0
2006	03	Sobrarbe	7750,0	144114,0	123023,0	782697,0	771420,0
2006	04	La Ribagorza	16518,0	398358,0	290133,0	1957540,0	1950647,0
2006	05	Cinco Villas	27635,0	727994,0	526158,0	3360037,0	3346466,0
2006	06	Hoya de Huesca / Plana de Uesca	57558,0	1585241,0	1283282,0	10932203,0	10832468,0
2006	07	Somontano de Barbastro	19844,0	499372,0	407749,0	2909015,0	2904203,0
2006	08	Cinca Medio	17507,0	322367,0	317555,0	2815448,0	2813262,0
2006	09	La Litera / La Llitera	14652,0	280958,0	264622,0	2101251,0	2098293,0
2006	10	Los Monegros	15845,0	332866,0	265814,0	1660139,0	1654496,0
2006	11	Bajo Cinca / Baix Cinca	16035,0	319327,0	303949,0	2361467,0	2349542,0
2006	12	Tarazona y el Moncayo	15220,0	194853,0	191907,0	1501599,0	1489232,0
2006	13	Campo de Borja	12740,0	174549,0	172170,0	1143960,0	1142770,0
2006	14	Aranda	9539,0	94601,0	93080,0	467883,0	437363,0
2006	15	Ribera Alta del Ebro	17384,0	738524,0	548968,0	3170806,0	3156366,0
2006	16	Valdejalón	20287,0	498875,0	498875,0	3024103,0	3022919,0
2006	17	D.C. Zaragoza	469995,0	19627294,0	19215080,0	104858897,0	104037437,0
2006	18	Ribera Baja del Ebro	7582,0	144616,0	141142,0	731447,0	726324,0
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11739,0	210958,0	210958,0	1494739,0	1412183,0
2006	20	Comunidad de Calatayud	46087,0	722597,0	662391,0	3721986,0	3710001,0
2006	21	Campo de Cariñena	10032,0	158367,0	143455,0	897456,0	896789,0
2006	22	Campo de Belchite	6776,0	58875,0	58875,0	301378,0	301373,0
2006	23	Bajo Martín	8068,0	108726,0	97502,0	566433,0	515183,0
2006	24	Campo de Daroca	10891,0	118521,0	104987,0	541935,0	541897,0
2006	25	Jiloca	19918,0	231253,0	229105,0	1212781,0	1123415,0
2006	26	Cuencas Mineras	13402,0	104828,0	99023,0	608658,0	558665,0
2006	27	Andorra-Sierra de Arcos	10785,0	190509,0	190509,0	1106544,0	1026636,0
2006	28	Bajo Aragón	26662,0	427024,0	421323,0	2888819,0	2659398,0
2006	29	Comunidad de Teruel	42399,0	1024069,0	1024069,0	5280324,0	4697104,0
2006	30	Maestrazgo	6463,0	49499,0	49499,0	260906,0	239357,0
2006	31	Sierra de Albarracín	9526,0	117803,0	91031,0	497596,0	460946,0
2006	32	Gúdar-Javalambre	17855,0	218887,0	199281,0	1164035,0	1067426,0
2006	33	Matarraña / Matarranya	10162,0	165550,0	142976,0	832612,0	762132,0
2007	01	La Jacetania	38288,0	906642,0	880182,0	6566756,0	6512782,0
2007	02	Alto Gállego	22929,0	503602,0	454303,0	3336106,0	3311527,0
2007	03	Sobrarbe	7899,0	145980,0	129230,0	821835,0	813699,0
2007	04	La Ribagorza	16971,0	414308,0	317822,0	2127691,0	2124277,0
2007	05	Cinco Villas	28091,0	763715,0	575143,0	3685094,0	3655336,0
2007	06	Hoya de Huesca / Plana de Uesca	59161,0	1627830,0	1386147,0	11828314,0	11720280,0
2007	07	Somontano de Barbastro	20093,0	516494,0	432596,0	3184820,0	3156006,0
2007	08	Cinca Medio	17630,0	350043,0	333550,0	2982721,0	2981190,0
2007	09	La Litera / La Llitera	14508,0	329855,0	276252,0	2242125,0	2239559,0
2007	10	Los Monegros	15924,0	358069,0	287452,0	1808263,0	1799577,0
2007	11	Bajo Cinca / Baix Cinca	16207,0	324964,0	315517,0	2464147,0	2438143,0
2007	12	Tarazona y el Moncayo	15264,0	202976,0	198617,0	1586252,0	1579702,0
2007	13	Campo de Borja	12850,0	179750,0	177894,0	1204514,0	1203806,0
2007	14	Aranda	9593,0	98103,0	96803,0	486376,0	469376,0
2007	15	Ribera Alta del Ebro	17849,0	856512,0	626167,0	3617439,0	3601755,0
2007	16	Valdejalón	20486,0	519163,0	519163,0	3169050,0	3166435,0
2007	17	D.C. Zaragoza	478772,0	21309185,0	20275916,0	110659633,0	108184790,0
2007	18	Ribera Baja del Ebro	7627,0	170792,0	149706,0	765894,0	763344,0
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11671,0	204272,0	204272,0	1472281,0	1432619,0
2007	20	Comunidad de Calatayud	46529,0	773627,0	699935,0	3862964,0	3834068,0
2007	21	Campo de Cariñena	10128,0	165954,0	149570,0	940025,0	937757,0
2007	22	Campo de Belchite	6766,0	60458,0	60458,0	309627,0	309618,0
2007	23	Bajo Martín	8097,0	112231,0	101520,0	589481,0	563712,0
2007	24	Campo de Daroca	10967,0	121907,0	107524,0	552979,0	551330,0
2007	25	Jiloca	19944,0	240843,0	235228,0	1355498,0	1310994,0
2007	26	Cuencas Mineras	13483,0	123566,0	99895,0	614593,0	588177,0
2007	27	Andorra-Sierra de Arcos	10808,0	211924,0	197272,0	1147161,0	1106453,0
2007	28	Bajo Aragón	26793,0	478256,0	445027,0	3046382,0	2931150,0
2007	29	Comunidad de Teruel	42898,0	1061833,0	1061833,0	5478463,0	5135773,0
2007	30	Maestrazgo	6475,0	50572,0	50572,0	269987,0	259183,0
2007	31	Sierra de Albarracín	9540,0	119248,0	96686,0	529504,0	506812,0
2007	32	Gúdar-Javalambre	17935,0	226507,0	208757,0	1223871,0	1173769,0
2007	33	Matarraña / Matarranya	10169,0	170360,0	149089,0	869316,0	832348,0
2008	01	La Jacetania	40008,0	975014,0	950685,0	7223903,0	7193974,0
2008	02	Alto Gállego	25052,0	544089,0	503189,0	3710991,0	3702669,0
2008	03	Sobrarbe	8444,0	169480,0	151105,0	1012516,0	1006825,0
2008	04	La Ribagorza	17662,0	435207,0	349394,0	2351149,0	2350692,0
2008	05	Cinco Villas	28701,0	835241,0	629937,0	3891023,0	3865233,0
2008	06	Hoya de Huesca / Plana de Uesca	61320,0	1703373,0	1523468,0	13032648,0	12888773,0
2008	07	Somontano de Barbastro	20391,0	532594,0	457331,0	3466820,0	3452331,0
2008	08	Cinca Medio	17881,0	360114,0	346246,0	3150266,0	3139622,0
2008	09	La Litera / La Llitera	14731,0	337880,0	293977,0	2393065,0	2388276,0
