Año	Municipio código	Municipio	Superficie (km2)
2015,0	44101	Ferreruela de Huerva	20,44
2015,0	44102	Fonfría	20,58
2015,0	44103	Formiche Alto	78,17
2015,0	44105	Fórnoles	32,63
2015,0	44106	Fortanete	168,21
2015,0	44107	Foz-Calanda	37,87
2015,0	44108	Fresneda (La)	39,48
2015,0	44109	Frías de Albarracín	50,79
2015,0	44110	Fuenferrada	24,53
2015,0	44111	Fuentes Calientes	25,01
2015,0	44112	Fuentes Claras	36,91
2015,0	44113	Fuentes de Rubielos	38,91
2015,0	44114	Fuentespalda	39,0
2015,0	44115	Galve	61,88
2015,0	44116	Gargallo	30,08
2015,0	44117	Gea de Albarracín	57,5
2015,0	44118	Ginebrosa (La)	80,1
2015,0	44119	Griegos	31,77
2015,0	44120	Guadalaviar	28,08
2015,0	44121	Gúdar	60,77
2015,0	44122	Híjar	165,36
2015,0	44123	Hinojosa de Jarque	36,47
2015,0	44124	Hoz de la Vieja (La)	43,73
2015,0	44125	Huesa del Común	61,69
2015,0	44126	Iglesuela del Cid (La)	40,29
2015,0	44127	Jabaloyas	61,73
2015,0	44128	Jarque de la Val	29,23
2015,0	44129	Jatiel	10,84
2015,0	44130	Jorcas	26,2
2015,0	44131	Josa	28,23
2015,0	44132	Lagueruela	26,32
2015,0	44133	Lanzuela	14,22
2015,0	44135	Libros	37,91
2015,0	44136	Lidón	40,4
2015,0	44137	Linares de Mora	116,28
2015,0	44138	Loscos	71,78
2015,0	44141	Lledó	15,61
2015,0	44142	Maicas	24,74
2015,0	44143	Manzanera	168,66
2015,0	44144	Martín del Río	54,88
2015,0	44145	Mas de las Matas	29,99
2015,0	44146	Mata de los Olmos (La)	23,73
2015,0	44147	Mazaleón	86,25
2015,0	44148	Mezquita de Jarque	31,14
2015,0	44149	Mirambel	45,47
2015,0	44150	Miravete de la Sierra	36,51
2015,0	44151	Molinos	79,61
2015,0	44152	Monforte de Moyuela	47,74
2015,0	44153	Monreal del Campo	89,05
2015,0	44154	Monroyo	79,23
2015,0	44155	Montalbán	82,04
2015,0	44156	Monteagudo del Castillo	44,36
2015,0	44157	Monterde de Albarracín	45,21
2015,0	44158	Mora de Rubielos	166,23
2015,0	44159	Moscardón	26,93
2015,0	44160	Mosqueruela	265,03
2015,0	44161	Muniesa	129,8
2015,0	44163	Noguera de Albarracín	47,44
2015,0	44164	Nogueras	18,85
2015,0	44165	Nogueruelas	99,49
2015,0	44167	Obón	68,38
2015,0	44168	Odón	74,24
2015,0	44169	Ojos Negros	90,92
2015,0	44171	Olba	20,99
2015,0	44172	Oliete	85,48
2015,0	44173	Olmos (Los)	43,97
2015,0	44174	Orihuela del Tremedal	71,52
2015,0	44175	Orrios	44,23
2015,0	44176	Palomar de Arroyos	33,62
2015,0	44177	Pancrudo	100,12
2015,0	44178	Parras de Castellote (Las)	42,13
2015,0	44179	Peñarroya de Tastavins	83,28
2015,0	44180	Peracense	28,66
2015,0	44181	Peralejos	36,1
2015,0	44182	Perales del Alfambra	104,24
2015,0	44183	Pitarque	54,35
2015,0	44184	Plou	17,21
2015,0	44185	Pobo (El)	63,6
2015,0	44187	Portellada (La)	21,37
2015,0	44189	Pozondón	67,64
2015,0	44190	Pozuel del Campo	27,85
2015,0	44191	Puebla de Híjar (La)	60,78
2015,0	44192	Puebla de Valverde (La)	282,78
2015,0	44193	Puertomingalvo	103,62
2015,0	44194	Ráfales	35,61
2015,0	44195	Rillo	53,31
2015,0	44196	Riodeva	34,34
2015,0	44197	Ródenas	44,26
2015,0	44198	Royuela	32,5
2015,0	44199	Rubiales	27,42
2015,0	44200	Rubielos de la Cérida	66,9
2015,0	44201	Rubielos de Mora	63,72
2015,0	44203	Salcedillo	16,89
2015,0	44204	Saldón	28,37
2015,0	44205	Samper de Calanda	142,8
2015,0	44206	San Agustín	56,57
2015,0	44207	San Martín del Río	16,58
2015,0	44208	Santa Cruz de Nogueras	15,18
2015,0	44209	Santa Eulalia	80,97
2015,0	44210	Sarrión	140,44
2015,0	44211	Segura de los Baños	54,15
2015,0	44212	Seno	17,85
2015,0	44213	Singra	36,72
2015,0	44215	Terriente	47,98
2015,0	44216	Teruel	440,41
2015,0	44217	Toril y Masegoso	30,67
2015,0	44218	Tormón	29,34
2015,0	44219	Tornos	48,95
2015,0	44220	Torralba de los Sisones	44,8
2015,0	44221	Torrecilla de Alcañiz	26,76
2015,0	44222	Torrecilla del Rebollar	63,45
2015,0	44223	Torre de Arcas	34,28
2015,0	44224	Torre de las Arcas	37,17
2015,0	44225	Torre del Compte	19,46
2015,0	44226	Torrelacárcel	35,54
2015,0	44227	Torre los Negros	29,15
2015,0	44228	Torremocha de Jiloca	33,94
2015,0	44229	Torres de Albarracín	28,31
2015,0	44230	Torrevelilla	33,44
2015,0	44231	Torrijas	57,34
2015,0	44232	Torrijo del Campo	44,04
2015,0	44234	Tramacastiel	47,29
2015,0	44235	Tramacastilla	24,81
2015,0	44236	Tronchón	57,11
2015,0	44237	Urrea de Gaén	41,12
2015,0	44238	Utrillas	39,82
2015,0	44239	Valacloche	15,02
2015,0	44240	Valbona	40,72
2015,0	44241	Valdealgorfa	46,93
2015,0	44243	Valdecuenca	18,64
2015,0	44244	Valdelinares	55,09
2015,0	44245	Valdeltormo	16,0
2015,0	44246	Valderrobres	124,04
2015,0	44247	Valjunquera	41,84
2015,0	44249	Vallecillo (El)	21,59
2015,0	44250	Veguillas de la Sierra	13,67
2015,0	44251	Villafranca del Campo	66,54
2015,0	44252	Villahermosa del Campo	19,2
2015,0	44256	Villanueva del Rebollar de la Sierra	18,99
2015,0	44257	Villar del Cobo	54,13
2015,0	44258	Villar del Salz	38,69
2015,0	44260	Villarluengo	157,89
2015,0	44261	Villarquemado	56,43
2015,0	44262	Villarroya de los Pinares	66,41
2015,0	44263	Villastar	39,05
2015,0	44264	Villel	85,38
2015,0	44265	Vinaceite	50,08
2015,0	44266	Visiedo	55,53
2015,0	44267	Vivel del Río Martín	51,16
2015,0	44268	Zoma (La)	14,5
2015,0	50001	Abanto	63,84
2015,0	50002	Acered	30,4
2015,0	50003	Agón	18,52
2015,0	50004	Aguarón	36,62
2015,0	50005	Aguilón	59,45
2015,0	50006	Ainzón	40,46
2015,0	50007	Aladrén	21,06
2015,0	50008	Alagón	24,22
2015,0	50009	Alarba	19,0
2015,0	50010	Alberite de San Juan	11,23
2015,0	50011	Albeta	2,65
2015,0	50012	Alborge	4,84
2015,0	50013	Alcalá de Ebro	9,87
2015,0	50014	Alcalá de Moncayo	13,76
2015,0	50015	Alconchel de Ariza	34,85
2015,0	50016	Aldehuela de Liestos	38,04
2015,0	50017	Alfajarín	137,57
2015,0	50018	Alfamén	102,04
2015,0	50019	Alforque	10,62
2015,0	50020	Alhama de Aragón	31,14
2015,0	50021	Almochuel	32,0
2015,0	50022	Almolda (La)	131,33
2015,0	50023	Almonacid de la Cuba	55,21
2015,0	50024	Almonacid de la Sierra	54,12
2015,0	50025	Almunia de Doña Godina (La)	56,65
2015,0	50026	Alpartir	32,54
2015,0	50027	Ambel	61,46
2015,0	50028	Anento	21,52
2015,0	50029	Aniñón	52,46
2015,0	50030	Añón de Moncayo	64,19
2015,0	50031	Aranda de Moncayo	91,2
2015,0	50032	Arándiga	50,22
2015,0	50033	Ardisa	27,28
2015,0	50034	Ariza	103,08
2015,0	50035	Artieda	13,57
2015,0	50036	Asín	18,47
2015,0	50037	Atea	34,67
2015,0	50038	Ateca	84,71
2015,0	50039	Azuara	165,81
2015,0	50040	Badules	20,09
2015,0	50041	Bagüés	30,72
2015,0	50042	Balconchán	19,4
2015,0	50043	Bárboles	15,68
2015,0	50044	Bardallur	27,34
2015,0	50045	Belchite	273,68
2015,0	50046	Belmonte de Gracián	43,68
2015,0	50047	Berdejo	19,39
2015,0	50048	Berrueco	19,5
2015,0	50050	Bijuesca	57,08
2015,0	50051	Biota	128,8
2015,0	50052	Bisimbre	11,22
2015,0	50053	Boquiñeni	18,87
2015,0	50054	Bordalba	41,58
2015,0	50055	Borja	107,29
2015,0	50056	Botorrita	19,81
2015,0	50057	Brea de Aragón	13,38
2015,0	50058	Bubierca	29,54
2015,0	50059	Bujaraloz	120,92
2015,0	50060	Bulbuente	25,44
2015,0	50061	Bureta	11,91
2015,0	50062	Burgo de Ebro (El)	24,86
2015,0	50063	Buste (El)	7,61
2015,0	50064	Cabañas de Ebro	8,53
2015,0	50065	Cabolafuente	39,24
2015,0	50066	Cadrete	11,86
2015,0	50067	Calatayud	154,25
2015,0	50068	Calatorao	48,15
2015,0	50069	Calcena	64,74
2015,0	50070	Calmarza	28,15
2015,0	50071	Campillo de Aragón	36,86
2015,0	50072	Carenas	31,22
2015,0	50073	Cariñena	82,51
2015,0	50074	Caspe	503,15
2015,0	50075	Castejón de Alarba	17,56
2015,0	50076	Castejón de las Armas	16,19
2015,0	50077	Castejón de Valdejasa	110,12
2015,0	50078	Castiliscar	40,68
2015,0	50079	Cervera de la Cañada	29,22
2015,0	50080	Cerveruela	23,49
2015,0	50081	Cetina	78,76
2015,0	50082	Cimballa	31,95
2015,0	50083	Cinco Olivas	2,25
2015,0	50084	Clarés de Ribota	18,7
2015,0	50085	Codo	11,36
2015,0	50086	Codos	62,69
2015,0	50087	Contamina	14,02
2015,0	50088	Cosuenda	31,68
2015,0	50089	Cuarte de Huerva	8,95
2015,0	50090	Cubel	58,62
2015,0	50091	Cuerlas (Las)	32,58
2015,0	50092	Chiprana	38,98
2015,0	50093	Chodes	15,97
2015,0	50094	Daroca	52,05
2015,0	50095	Ejea de los Caballeros	609,92
2015,0	50096	Embid de Ariza	41,26
2015,0	50098	Encinacorba	36,74
2015,0	50099	Épila	194,32
2015,0	50100	Erla	18,96
2015,0	50101	Escatrón	94,64
2015,0	50102	Fabara	101,63
2015,0	50104	Farlete	104,11
2015,0	50105	Fayón	67,19
2015,0	50106	Fayos (Los)	3,88
2015,0	50107	Figueruelas	16,99
2015,0	50108	Fombuena	26,37
2015,0	50109	Frago (El)	33,76
2015,0	50110	Frasno (El)	48,64
2015,0	50111	Fréscano	18,41
2015,0	50113	Fuendejalón	75,83
2015,0	50114	Fuendetodos	62,2
2015,0	50115	Fuentes de Ebro	141,73
2015,0	50116	Fuentes de Jiloca	27,35
2015,0	50117	Gallocanta	29,71
2015,0	50118	Gallur	41,71
2015,0	50119	Gelsa	72,04
2015,0	50120	Godojos	16,77
2015,0	50121	Gotor	15,52
2015,0	50122	Grisel	14,51
2015,0	50123	Grisén	4,75
2015,0	50124	Herrera de los Navarros	105,01
2015,0	50125	Ibdes	56,31
2015,0	50126	Illueca	24,86
2015,0	50128	Isuerre	20,05
2015,0	50129	Jaraba	42,81
2015,0	50130	Jarque	43,0
2015,0	50131	Jaulín	46,05
2015,0	50132	Joyosa (La)	6,52
2015,0	50133	Lagata	23,65
2015,0	50134	Langa del Castillo	50,13
2015,0	50135	Layana	3,69
2015,0	50136	Lécera	109,2
2015,0	50137	Leciñena	178,64
2015,0	50138	Lechón	17,46
2015,0	50139	Letux	30,15
2015,0	50140	Litago	15,3
2015,0	50141	Lituénigo	11,38
2015,0	50142	Lobera de Onsella	32,18
2015,0	50143	Longares	45,96
2015,0	50144	Longás	49,23
2015,0	50146	Lucena de Jalón	10,31
2015,0	50147	Luceni	27,08
2015,0	50148	Luesia	126,83
2015,0	50149	Luesma	29,4
2015,0	50150	Lumpiaque	29,55
2015,0	50151	Luna	308,93
2015,0	50152	Maella	174,88
2015,0	50153	Magallón	78,61
2015,0	50154	Mainar	34,02
2015,0	50155	Malanquilla	36,63
2015,0	50156	Maleján	0,08
2015,0	50157	Malón	5,66
2015,0	50159	Maluenda	40,09
2015,0	50160	Mallén	37,42
2015,0	50161	Manchones	26,83
2015,0	50162	Mara	21,09
2015,0	50163	María de Huerva	108,09
2015,0	50164	Mediana de Aragón	90,57
2015,0	50165	Mequinenza	307,45
2015,0	50166	Mesones de Isuela	48,55
2015,0	50167	Mezalocha	60,64
2015,0	50168	Mianos	14,82
2015,0	50169	Miedes de Aragón	55,38
2015,0	50170	Monegrillo	183,16
2015,0	50171	Moneva	61,4
2015,0	50172	Monreal de Ariza	62,06
2015,0	50173	Monterde	55,94
2015,0	50174	Montón	17,59
2015,0	50175	Morata de Jalón	45,87
2015,0	50176	Morata de Jiloca	23,09
2015,0	50177	Morés	21,46
2015,0	50178	Moros	53,5
2015,0	50179	Moyuela	42,76
2015,0	50180	Mozota	8,68
2015,0	50181	Muel	79,17
2015,0	50182	Muela (La)	143,49
2015,0	50183	Munébrega	40,99
2015,0	50184	Murero	18,25
2015,0	50185	Murillo de Gállego	54,71
2015,0	50186	Navardún	24,5
2015,0	50187	Nigüella	30,42
2015,0	50188	Nombrevilla	17,56
2015,0	50189	Nonaspe	111,45
2015,0	50190	Novallas	11,4
2015,0	50191	Novillas	25,28
2015,0	50192	Nuévalos	41,84
2015,0	50193	Nuez de Ebro	8,21
2015,0	50194	Olvés	20,18
2015,0	50195	Orcajo	28,45
2015,0	50196	Orera	19,82
2015,0	50197	Orés	54,52
2015,0	50198	Oseja	12,5
2015,0	50199	Osera de Ebro	24,56
2015,0	50200	Paniza	47,31
2015,0	50201	Paracuellos de Jiloca	32,0
2015,0	50202	Paracuellos de la Ribera	14,96
2015,0	50203	Pastriz	16,52
2015,0	50204	Pedrola	113,74
2015,0	50205	Pedrosas (Las)	18,26
2015,0	50206	Perdiguera	109,77
2015,0	50207	Piedratajada	22,66
2015,0	50208	Pina de Ebro	309,17
2015,0	50209	Pinseque	16,09
2015,0	50210	Pintanos (Los)	79,64
2015,0	50211	Plasencia de Jalón	34,77
2015,0	50212	Pleitas	2,14
2015,0	50213	Plenas	37,95
2015,0	50214	Pomer	33,11
2015,0	50215	Pozuel de Ariza	22,63
2015,0	50216	Pozuelo de Aragón	32,11
2015,0	50217	Pradilla de Ebro	25,45
2015,0	50218	Puebla de Albortón	76,31
2015,0	50219	Puebla de Alfindén (La)	17,03
2015,0	50220	Puendeluna	9,88
2015,0	50221	Purujosa	35,43
2015,0	50222	Quinto	118,26
2015,0	50223	Remolinos	18,51
2015,0	50224	Retascón	25,16
2015,0	50225	Ricla	90,67
2015,0	50227	Romanos	19,53
2015,0	50228	Rueda de Jalón	107,37
2015,0	50229	Ruesca	11,63
2015,0	50230	Sádaba	129,55
2015,0	50231	Salillas de Jalón	2,51
2015,0	50232	Salvatierra de Esca	81,24
2015,0	50233	Samper del Salz	11,49
2015,0	50234	San Martín de la Virgen de Moncayo	5,42
2015,0	50235	San Mateo de Gállego	71,62
2015,0	50236	Santa Cruz de Grío	19,51
2015,0	50237	Santa Cruz de Moncayo	3,97
2015,0	50238	Santa Eulalia de Gállego	29,58
2015,0	50239	Santed	17,81
2015,0	50240	Sástago	300,99
2015,0	50241	Saviñán	15,52
2015,0	50242	Sediles	11,71
2015,0	50243	Sestrica	40,88
2015,0	50244	Sierra de Luna	43,39
2015,0	50245	Sigüés	101,77
2015,0	50246	Sisamón	41,55
2015,0	50247	Sobradiel	12,06
2015,0	50248	Sos del Rey Católico	216,62
2015,0	50249	Tabuenca	85,72
2015,0	50250	Talamantes	46,94
2015,0	50251	Tarazona	244,01
2015,0	50252	Tauste	405,23
2015,0	50253	Terrer	33,75
2015,0	50254	Tierga	66,13
2015,0	50255	Tobed	32,39
2015,0	50256	Torralba de los Frailes	59,22
2015,0	50257	Torralba de Ribota	32,53
2015,0	50258	Torralbilla	25,86
2015,0	50259	Torrehermosa	21,13
2015,0	50260	Torrelapaja	15,68
2015,0	50261	Torrellas	2,53
2015,0	50262	Torres de Berrellén	53,81
2015,0	50263	Torrijo de la Cañada	74,57
2015,0	50264	Tosos	68,65
2015,0	50265	Trasmoz	18,26
2015,0	50266	Trasobares	71,76
2015,0	50267	Uncastillo	230,87
2015,0	50268	Undués de Lerda	42,99
2015,0	50269	Urrea de Jalón	25,64
2015,0	50270	Urriés	37,27
2015,0	50271	Used	85,29
2015,0	50272	Utebo	17,72
2015,0	50273	Valdehorna	7,95
2015,0	50274	Val de San Martín	25,66
2015,0	50275	Valmadrid	50,57
2015,0	50276	Valpalmas	39,79
2015,0	50277	Valtorres	3,29
2015,0	50278	Velilla de Ebro	59,79
2015,0	50279	Velilla de Jiloca	10,4
2015,0	50280	Vera de Moncayo	27,66
2015,0	50281	Vierlas	2,67
2015,0	50282	Vilueña (La)	8,61
2015,0	50283	Villadoz	17,18
2015,0	50284	Villafeliche	22,5
2015,0	50285	Villafranca de Ebro	63,64
2015,0	50286	Villalba de Perejil	13,33
2015,0	50287	Villalengua	40,16
2015,0	50288	Villanueva de Gállego	75,99
2015,0	50289	Villanueva de Jiloca	7,35
2015,0	50290	Villanueva de Huerva	78,38
2015,0	50291	Villar de los Navarros	49,5
2015,0	50292	Villarreal de Huerva	27,13
2015,0	50293	Villarroya de la Sierra	91,6
