CCAA código	CCAA nombre	Año	Siglas	Votos
02	Aragón	2015	UxA	60,0
02	Aragón	2015	AGRUPACION DE ELECTORES SAN JUAN DE PLAN	53,0
02	Aragón	2015	AE EL FRAGO	50,0
02	Aragón	2015	CAMBIAR	48,0
02	Aragón	2015	CAMBIAR	43,0
02	Aragón	2015	A.E.L.H.A.	42,0
02	Aragón	2015	CAMBIAR	42,0
02	Aragón	2015	IU-ZGZ	37,0
02	Aragón	2015	UCIN	26,0
02	Aragón	2015	JUNTOS POR ALADRÉN	23,0
02	Aragón	2015	GANAR-ZRZ	22,0
02	Aragón	2015	YA	19,0
02	Aragón	2015	CAMBIAR ARTIEDA-PUYALÓN DE CUCHAS	15,0
02	Aragón	2015	COMIENZOS NUEVOS	15,0
02	Aragón	2015	PNP	14,0
02	Aragón	2011	PP	251188,0
02	Aragón	2011	PSOE	213913,0
02	Aragón	2011	PAR	77593,0
02	Aragón	2011	CHA	53149,0
02	Aragón	2011	IU	39440,0
02	Aragón	2011	UPyD	13109,0
02	Aragón	2011	COMPROMISO CON ARAGON	4036,0
02	Aragón	2011	FIA	2634,0
02	Aragón	2011	ECOLO	2599,0
02	Aragón	2011	LV-GV	1505,0
02	Aragón	2011	PACMA	1107,0
02	Aragón	2011	CDL	1030,0
02	Aragón	2011	CPC	862,0
02	Aragón	2011	PUM+J	587,0
02	Aragón	2011	TA	500,0
02	Aragón	2011	pCUA	465,0
02	Aragón	2011	AES	418,0
02	Aragón	2011	PCPE	384,0
02	Aragón	2011	PFyV	301,0
02	Aragón	2011	CDF	281,0
02	Aragón	2011	PH	271,0
02	Aragón	2011	L'VIA	227,0
02	Aragón	2011	ACC	221,0
02	Aragón	2011	A E I POLEÑINO	94,0
02	Aragón	2011	AISOS	73,0
02	Aragón	2011	ESQUERRA-AM	66,0
02	Aragón	2011	CAVA	65,0
02	Aragón	2011	AELEF	63,0
02	Aragón	2011	ECOLO VERDES	53,0
02	Aragón	2011	PIRUM	47,0
02	Aragón	2011	INDEPENDIENTE CALCENA	43,0
02	Aragón	2011	UCL	43,0
02	Aragón	2011	CCD	40,0
02	Aragón	2011	UCE	31,0
02	Aragón	2011	A E I SABIÑAN	29,0
02	Aragón	2011	PYLN	29,0
02	Aragón	2011	A E NAVAL-MIPANAS	15,0
02	Aragón	2011	DN	11,0
02	Aragón	2011	LVE	3,0
02	Aragón	2007	PSOE	260667,0
02	Aragón	2007	PP	204120,0
02	Aragón	2007	PAR	94079,0
02	Aragón	2007	CHA	58463,0
02	Aragón	2007	IU	28947,0
02	Aragón	2007	LV-FIA	2364,0
02	Aragón	2007	CPC	1640,0
02	Aragón	2007	PCUA	1565,0
02	Aragón	2007	CDL	1220,0
02	Aragón	2007	IU-A	943,0
02	Aragón	2007	PACMA	916,0
02	Aragón	2007	CIPV	888,0
02	Aragón	2007	LV-GV	803,0
02	Aragón	2007	CC-IU	563,0
02	Aragón	2007	PUM+J	521,0
02	Aragón	2007	PFYV	500,0
02	Aragón	2007	PH	241,0
02	Aragón	2007	P.S.	236,0
02	Aragón	2007	ALCIVI	233,0
02	Aragón	2007	AEI-CP	184,0
02	Aragón	2007	GIC	154,0
02	Aragón	2007	IA	128,0
02	Aragón	2007	CAVA	108,0
02	Aragón	2007	PSD	104,0
02	Aragón	2007	A.E.S.	100,0
02	Aragón	2007	AI	91,0
02	Aragón	2007	I.E.I.	79,0
02	Aragón	2007	LV	74,0
02	Aragón	2007	L'ENTESA	69,0
02	Aragón	2007	IPN	64,0
02	Aragón	2007	UCL	55,0
02	Aragón	2007	AE	51,0
02	Aragón	2007	A AL	50,0
02	Aragón	2007	AESCSB	48,0
02	Aragón	2007	AIL	42,0
02	Aragón	2007	FIA	41,0
02	Aragón	2007	CDIG	31,0
02	Aragón	2007	FAMILIA Y V	30,0
02	Aragón	2007	IND	27,0
02	Aragón	2007	PAVIP	26,0
02	Aragón	2007	FV	15,0
02	Aragón	2007	AE NAVAL-MI	11,0
02	Aragón	2007	AIEADO	9,0
