Año	Municipio código	Municipio nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	22199	Sabiñánigo		7042,0	6323,0	47423,0	47423,0
2003	22200	Sahún		665,0	489,0	1712,0	1712,0
2003	22201	Salas Altas		686,0	656,0	4265,0	4265,0
2003	22202	Salas Bajas		488,0	488,0	3174,0	3174,0
2003	22203	Salillas		1915,0	1883,0	10356,0	10356,0
2003	22204	Sallent de Gállego		1073,0	1029,0	3087,0	3087,0
2003	22205	San Esteban de Litera		7625,0	7583,0	53084,0	53084,0
2003	22206	Sangarrén		4616,0	4440,0	31082,0	31082,0
2003	22207	San Juan de Plan		313,0	239,0	1551,0	1551,0
2003	22208	Santa Cilia		1044,0	917,0	5502,0	5502,0
2003	22209	Santa Cruz de la Serós		416,0	328,0	1804,0	1804,0
2003	22212	Santaliestra y San Quílez		324,0	316,0	1898,0	1898,0
2003	22213	Sariñena		31343,0	30684,0	208648,0	208648,0
2003	22214	Secastilla		475,0	469,0	1408,0	1408,0
2003	22215	Seira		447,0	192,0	1155,0	1155,0
2003	22217	Sena		12336,0	12238,0	85667,0	85667,0
2003	22218	Senés de Alcubierre		1000,0	972,0	5247,0	5247,0
2003	22220	Sesa		1735,0	1579,0	8682,0	8682,0
2003	22221	Sesué		190,0	168,0	1006,0	1006,0
2003	22222	Siétamo		2355,0	2346,0	15248,0	15248,0
2003	22223	Sopeira		514,0	456,0	2733,0	2733,0
2003	22225	Tamarite de Litera		20262,0	20060,0	126380,0	126380,0
2003	22226	Tardienta		4720,0	4117,0	35393,0	35393,0
2003	22227	Tella-Sin		452,0	313,0	995,0	995,0
2003	22228	Tierz		807,0	807,0	3633,0	3633,0
2003	22229	Tolva		1004,0	1004,0	6524,0	6524,0
2003	22230	Torla-Ordesa		1501,0	836,0	5435,0	5435,0
2003	22232	Torralba de Aragón		2084,0	2062,0	9472,0	9472,0
2003	22233	Torre la Ribera		294,0	257,0	974,0	974,0
2003	22234	Torrente de Cinca		7858,0	7799,0	50691,0	50691,0
2003	22235	Torres de Alcanadre		2183,0	2161,0	14045,0	14045,0
2003	22236	Torres de Barbués		1997,0	1985,0	11910,0	11910,0
2003	22239	Tramaced		2200,0	2194,0	14262,0	14262,0
2003	22242	Valfarta		2298,0	2269,0	12690,0	12690,0
2003	22243	Valle de Bardají		567,0	331,0	1753,0	1753,0
2003	22244	Valle de Lierp		543,0	414,0	2192,0	2192,0
2003	22245	Velilla de Cinca		4744,0	4240,0	33916,0	33916,0
2003	22246	Beranuy		402,0	354,0	1770,0	1770,0
2003	22247	Viacamp y Litera		916,0	849,0	5097,0	5097,0
2003	22248	Vicién		1348,0	1212,0	4848,0	4848,0
2003	22249	Villanova		193,0	159,0	796,0	796,0
2003	22250	Villanúa		1371,0	451,0	2930,0	2930,0
2003	22251	Villanueva de Sigena		11400,0	11123,0	66738,0	66738,0
2003	22252	Yebra de Basa		966,0	682,0	5797,0	5797,0
2003	22253	Yésero		498,0	208,0	625,0	625,0
2003	22254	Zaidín		20497,0	19629,0	98142,0	98142,0
2003	22901	Valle de Hecho		4000,0	884,0	5286,0	5286,0
2003	22902	Puente la Reina de Jaca		1838,0	1764,0	7937,0	7937,0
2003	22903	San Miguel del Cinca		17743,0	17498,0	68243,0	68243,0
2003	22904	Sotonera (La)		10636,0	10248,0	76863,0	76863,0
2003	22905	Lupiñén-Ortilla		9966,0	9819,0	50074,0	50074,0
2003	22906	Santa María de Dulcis		732,0	698,0	4176,0	4176,0
2003	22907	Aínsa-Sobrarbe		4889,0	4284,0	25703,0	25703,0
2003	22908	Hoz y Costeán		1310,0	1295,0	8419,0	8419,0
2003	22909	Vencillón		1871,0	1826,0	11872,0	11872,0
2003	44001	Ababuj		962,0	944,0	7554,0	7554,0
2003	44002	Abejuela		400,0	322,0	2089,0	2089,0
2003	44003	Aguatón		287,0	286,0	2294,0	2294,0
2003	44004	Aguaviva		1581,0	1511,0	7556,0	7556,0
2003	44005	Aguilar del Alfambra		928,0	906,0	7256,0	7256,0
2003	44006	Alacón		1403,0	1403,0	4210,0	4210,0
2003	44007	Alba		2493,0	2492,0	9972,0	9972,0
2003	44008	Albalate del Arzobispo		6042,0	5892,0	26513,0	26513,0
2003	44009	Albarracín		19699,0	3479,0	19140,0	19140,0
2003	44010	Albentosa		968,0	967,0	5805,0	5805,0
2003	44011	Alcaine		573,0	555,0	2291,0	2291,0
2003	44012	Alcalá de la Selva		1536,0	572,0	4919,0	4919,0
2003	44013	Alcañiz		19072,0	19052,0	76210,0	76210,0
2003	44014	Alcorisa		3389,0	2631,0	17103,0	17103,0
2003	44016	Alfambra		2731,0	2708,0	17603,0	17603,0
2003	44017	Aliaga		2898,0	1974,0	12047,0	12047,0
2003	44018	Almohaja		152,0	152,0	457,0	457,0
2003	44019	Alobras		253,0	129,0	387,0	387,0
2003	44020	Alpeñés		495,0	465,0	2097,0	2097,0
2003	44021	Allepuz		1354,0	1239,0	6198,0	6198,0
2003	44022	Alloza		1191,0	1057,0	4655,0	4655,0
2003	44023	Allueva		256,0	235,0	1882,0	1882,0
2003	44024	Anadón		224,0	223,0	1342,0	1342,0
2003	44025	Andorra		4087,0	3916,0	37598,0	37598,0
2003	44026	Arcos de las Salinas		573,0	534,0	3206,0	3206,0
2003	44027	Arens de Lledó		769,0	602,0	4820,0	4820,0
2003	44028	Argente		1817,0	1816,0	11805,0	11805,0
2003	44029	Ariño		1046,0	796,0	4780,0	4780,0
2003	44031	Azaila		1787,0	1786,0	11615,0	11615,0
2003	44032	Bádenas		481,0	476,0	2620,0	2620,0
2003	44033	Báguena		1422,0	1412,0	9182,0	9182,0
2003	44034	Bañón		1293,0	1197,0	4789,0	4789,0
2003	44035	Barrachina		606,0	606,0	2729,0	2729,0
2003	44036	Bea		243,0	240,0	1928,0	1928,0
2003	44037	Beceite		2560,0	470,0	2119,0	2119,0
2003	44038	Belmonte de San José		255,0	212,0	1380,0	1380,0
2003	44039	Bello		1855,0	1854,0	14837,0	14837,0
2003	44040	Berge		689,0	652,0	4244,0	4244,0
2003	44041	Bezas		865,0	818,0	2454,0	2454,0
2003	44042	Blancas		1149,0	1149,0	3447,0	3447,0
2003	44043	Blesa		1507,0	1503,0	5263,0	5263,0
2003	44044	Bordón		339,0	288,0	2484,0	2484,0
2003	44045	Bronchales		1143,0	543,0	3522,0	3522,0
2003	44046	Bueña		692,0	692,0	4501,0	4501,0
2003	44047	Burbáguena		1228,0	1172,0	5861,0	5861,0
2003	44048	Cabra de Mora		612,0	278,0	1671,0	1671,0
2003	44049	Calaceite		1922,0	1839,0	11958,0	11958,0
2003	44050	Calamocha		9552,0	9345,0	60749,0	60749,0
2003	44051	Calanda		5894,0	5893,0	38900,0	38900,0
