Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
28	Bajo Aragón	2017	Secano	17178,0	7928,0	0,0	0,0	0,0	4,0	0,0	38,0	4,0	0,0	0,0	19,0	7851,0	5,0	0,0	0,0	7,0	225,0	1,0	224,0	0,0	8878,0	8878,0	147,0	0,0
29	Comunidad de Teruel	2017	Regadío	117,0	95,0	85,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	6,0	2,0	0,0	0,0	1,0	1,0	0,0	1,0	0,0	0,0	0,0	21,0	0,0
29	Comunidad de Teruel	2017	Secano	1464,0	528,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	504,0	9,0	0,0	0,0	12,0	15,0	0,0	15,0	0,0	0,0	0,0	921,0	0,0
30	Maestrazgo	2017	Regadío	109,0	21,0	0,0	0,0	0,0	0,0	0,0	8,0	0,0	0,0	0,0	0,0	10,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	88,0	88,0	0,0	0,0
30	Maestrazgo	2017	Secano	1065,0	337,0	0,0	0,0	0,0	0,0	0,0	7,0	0,0	0,0	0,0	0,0	329,0	1,0	0,0	0,0	0,0	53,0	0,0	53,0	0,0	388,0	388,0	287,0	0,0
31	Sierra de Albarracín	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
31	Sierra de Albarracín	2017	Secano	384,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	382,0	0,0
32	Gúdar-Javalambre	2017	Regadío	673,0	21,0	0,0	0,0	0,0	0,0	9,0	0,0	0,0	0,0	0,0	5,0	5,0	0,0	0,0	0,0	2,0	1,0	0,0	1,0	0,0	0,0	0,0	651,0	0,0
32	Gúdar-Javalambre	2017	Secano	3951,0	391,0	0,0	0,0	0,0	0,0	32,0	0,0	0,0	0,0	0,0	3,0	337,0	4,0	0,0	0,0	15,0	3,0	0,0	3,0	0,0	0,0	0,0	3557,0	0,0
33	Matarraña / Matarranya	2017	Regadío	527,0	256,0	0,0	0,0	0,0	10,0	22,0	133,0	1,0	0,0	0,0	1,0	77,0	2,0	7,0	0,0	3,0	6,0	0,0	6,0	0,0	265,0	265,0	0,0	0,0
33	Matarraña / Matarranya	2017	Secano	19092,0	8572,0	1,0	0,0	0,0	0,0	25,0	12,0	1,0	0,0	0,0	0,0	8454,0	13,0	27,0	0,0	39,0	686,0	0,0	686,0	0,0	9552,0	9552,0	282,0	0,0
01	La Jacetania	2016	Regadío	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
01	La Jacetania	2016	Secano	77,0	65,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	65,0	0,0	0,0	0,0	0,0	12,0	0,0	12,0	0,0	0,0	0,0	0,0	0,0
02	Alto Gállego	2016	Regadío	26,0	26,0	20,0	0,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
02	Alto Gállego	2016	Secano	4,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	2,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0
03	Sobrarbe	2016	Regadío	2,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
03	Sobrarbe	2016	Secano	335,0	146,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	141,0	4,0	0,0	0,0	0,0	29,0	0,0	29,0	0,0	160,0	160,0	0,0	0,0
04	La Ribagorza	2016	Regadío	7,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	3,0	0,0	3,0	0,0	3,0	3,0	0,0	0,0
04	La Ribagorza	2016	Secano	985,0	436,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	417,0	9,0	4,0	0,0	4,0	171,0	0,0	171,0	0,0	378,0	378,0	0,0	0,0
05	Cinco Villas	2016	Regadío	1462,0	977,0	29,0	12,0	0,0	1,0	3,0	1,0	0,0	0,0	0,0	0,0	915,0	15,0	0,0	0,0	1,0	61,0	0,0	61,0	0,0	360,0	360,0	62,0	2,0
05	Cinco Villas	2016	Secano	1343,0	1013,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1003,0	0,0	0,0	0,0	10,0	171,0	0,0	171,0	0,0	154,0	154,0	0,0	5,0
06	Hoya de Huesca / Plana de Uesca	2016	Regadío	935,0	592,0	60,0	13,0	0,0	0,0	45,0	10,0	0,0	0,0	0,0	0,0	440,0	6,0	0,0	9,0	9,0	46,0	0,0	46,0	0,0	294,0	294,0	0,0	3,0
06	Hoya de Huesca / Plana de Uesca	2016	Secano	5952,0	4594,0	1,0	0,0	0,0	0,0	22,0	0,0	0,0	0,0	0,0	0,0	4547,0	2,0	0,0	0,0	22,0	427,0	1,0	426,0	0,0	928,0	928,0	0,0	3,0
07	Somontano de Barbastro	2016	Regadío	1572,0	235,0	2,0	42,0	0,0	3,0	41,0	4,0	12,0	0,0	0,0	0,0	102,0	9,0	0,0	19,0	1,0	1141,0	0,0	1141,0	0,0	196,0	196,0	0,0	0,0
07	Somontano de Barbastro	2016	Secano	7474,0	2559,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	2547,0	2,0	0,0	0,0	6,0	2578,0	4,0	2574,0	0,0	2334,0	2334,0	0,0	3,0
08	Cinca Medio	2016	Regadío	2708,0	2365,0	119,0	289,0	1,0	40,0	125,0	914,0	11,0	18,0	0,0	0,0	299,0	7,0	0,0	508,0	34,0	59,0	1,0	58,0	0,0	283,0	283,0	0,0	1,0
08	Cinca Medio	2016	Secano	354,0	117,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	115,0	0,0	0,0	0,0	1,0	16,0	0,0	16,0	0,0	221,0	221,0	0,0	0,0
09	La Litera / La Llitera	2016	Regadío	1697,0	1442,0	228,0	236,0	1,0	18,0	7,0	420,0	34,0	10,0	0,0	0,0	219,0	74,0	0,0	182,0	13,0	91,0	0,0	91,0	0,0	164,0	164,0	0,0	0,0
09	La Litera / La Llitera	2016	Secano	1564,0	602,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	601,0	1,0	0,0	0,0	0,0	15,0	0,0	15,0	0,0	947,0	947,0	0,0	0,0
10	Los Monegros	2016	Regadío	973,0	759,0	113,0	40,0	1,0	29,0	0,0	160,0	1,0	0,0	0,0	0,0	313,0	2,0	0,0	83,0	17,0	13,0	0,0	13,0	0,0	197,0	197,0	0,0	4,0
10	Los Monegros	2016	Secano	1268,0	677,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	673,0	0,0	0,0	0,0	4,0	182,0	0,0	182,0	0,0	409,0	409,0	0,0	0,0
11	Bajo Cinca / Baix Cinca	2016	Regadío	14775,0	13555,0	158,0	597,0	16,0	701,0	776,0	5378,0	64,0	7,0	0,0	35,0	1171,0	125,0	0,0	4380,0	147,0	355,0	34,0	321,0	0,0	861,0	861,0	0,0	4,0
11	Bajo Cinca / Baix Cinca	2016	Secano	2767,0	2209,0	2,0	0,0	0,0	71,0	121,0	77,0	17,0	0,0	0,0	14,0	1825,0	0,0	0,0	64,0	18,0	32,0	19,0	13,0	0,0	526,0	526,0	0,0	0,0
12	Tarazona y el Moncayo	2016	Regadío	772,0	292,0	3,0	4,0	0,0	3,0	16,0	0,0	0,0	0,0	0,0	0,0	257,0	8,0	0,0	0,0	1,0	101,0	0,0	101,0	0,0	379,0	379,0	0,0	0,0
12	Tarazona y el Moncayo	2016	Secano	753,0	543,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	538,0	0,0	0,0	0,0	4,0	104,0	0,0	104,0	0,0	106,0	106,0	0,0	0,0
13	Campo de Borja	2016	Regadío	4316,0	984,0	1,0	3,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	961,0	13,0	0,0	0,0	3,0	2297,0	0,0	2297,0	0,0	1031,0	1031,0	0,0	4,0
13	Campo de Borja	2016	Secano	8407,0	4142,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4135,0	0,0	0,0	0,0	7,0	3907,0	0,0	3907,0	0,0	358,0	358,0	0,0	0,0
14	Aranda	2016	Regadío	213,0	156,0	6,0	2,0	0,0	2,0	85,0	6,0	9,0	0,0	0,0	0,0	42,0	4,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	56,0	56,0	0,0	0,0
14	Aranda	2016	Secano	2588,0	2153,0	1,0	0,0	0,0	2,0	233,0	0,0	3,0	0,0	0,0	0,0	1914,0	0,0	0,0	0,0	0,0	168,0	0,0	168,0	0,0	267,0	267,0	0,0	0,0
15	Ribera Alta del Ebro	2016	Regadío	616,0	399,0	104,0	110,0	0,0	28,0	10,0	41,0	6,0	0,0	0,0	0,0	46,0	19,0	0,0	35,0	0,0	3,0	0,0	3,0	0,0	214,0	214,0	0,0	0,0
15	Ribera Alta del Ebro	2016	Secano	78,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	13,0	0,0	0,0	0,0	7,0	7,0	0,0	7,0	0,0	49,0	49,0	0,0	2,0
16	Valdejalón	2016	Regadío	8766,0	7635,0	1526,0	689,0	0,0	458,0	1650,0	1882,0	156,0	5,0	0,0	11,0	501,0	3,0	0,0	737,0	17,0	515,0	5,0	510,0	0,0	609,0	609,0	0,0	7,0
16	Valdejalón	2016	Secano	5502,0	3001,0	44,0	1,0	0,0	48,0	285,0	73,0	2,0	0,0	0,0	1,0	2510,0	1,0	0,0	31,0	5,0	1114,0	0,0	1114,0	0,0	1385,0	1385,0	0,0	2,0
17	D.C. Zaragoza	2016	Regadío	1620,0	1060,0	2,0	87,0	0,0	162,0	10,0	35,0	31,0	3,0	0,0	0,0	710,0	10,0	0,0	7,0	3,0	41,0	8,0	33,0	0,0	515,0	515,0	2,0	2,0
17	D.C. Zaragoza	2016	Secano	433,0	223,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	218,0	0,0	0,0	0,0	4,0	75,0	0,0	75,0	0,0	135,0	135,0	0,0	0,0
18	Ribera Baja del Ebro	2016	Regadío	2046,0	913,0	11,0	93,0	0,0	73,0	77,0	204,0	49,0	9,0	0,0	1,0	254,0	4,0	0,0	125,0	13,0	20,0	20,0	0,0	0,0	1113,0	1113,0	0,0	0,0
18	Ribera Baja del Ebro	2016	Secano	156,0	66,0	3,0	1,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	55,0	0,0	0,0	5,0	0,0	3,0	0,0	3,0	0,0	87,0	87,0	0,0	0,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Regadío	6652,0	5274,0	16,0	84,0	0,0	334,0	639,0	1385,0	173,0	9,0	0,0	39,0	1712,0	1,0	0,0	868,0	14,0	130,0	46,0	84,0	0,0	1233,0	1233,0	0,0	15,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Secano	8904,0	5292,0	0,0	2,0	0,0	44,0	101,0	148,0	12,0	0,0	0,0	0,0	4858,0	6,0	0,0	116,0	5,0	426,0	1,0	425,0	0,0	3179,0	3179,0	0,0	7,0
20	Comunidad de Calatayud	2016	Regadío	3929,0	3129,0	571,0	819,0	0,0	53,0	824,0	385,0	304,0	0,0	0,0	0,0	163,0	5,0	0,0	2,0	3,0	521,0	4,0	517,0	0,0	214,0	214,0	4,0	61,0
20	Comunidad de Calatayud	2016	Secano	14498,0	10216,0	65,0	29,0	0,0	17,0	2236,0	100,0	121,0	0,0	0,0	0,0	7631,0	4,0	0,0	0,0	13,0	3778,0	3,0	3775,0	0,0	500,0	500,0	0,0	4,0
