Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
22052	Belver de Cinca	2017	Regadío	1847,0	1474,0	7,0	23,0	1,0	30,0	140,0	527,0	2,0	8,0	0,0	0,0	180,0	132,0	0,0	424,0	0,0	317,0	0,0	317,0	0,0	49,0	49,0	7,0	0,0
22052	Belver de Cinca	2017	Secano	31,0	25,0	0,0	0,0	0,0	0,0	1,0	13,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	10,0	0,0	4,0	0,0	4,0	0,0	2,0	2,0	0,0	0,0
22053	Benabarre	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22053	Benabarre	2017	Secano	153,0	55,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	45,0	4,0	4,0	0,0	2,0	1,0	0,0	1,0	0,0	36,0	36,0	61,0	0,0
22054	Benasque	2017	Regadío	1,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22054	Benasque	2017	Secano	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22055	Berbegal	2017	Regadío	23,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	15,0	0,0	15,0	0,0	4,0	4,0	0,0	0,0
22055	Berbegal	2017	Secano	114,0	43,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	43,0	0,0	0,0	0,0	0,0	45,0	0,0	45,0	0,0	26,0	26,0	0,0	0,0
22057	Bielsa	2017	Regadío											0,0														
22057	Bielsa	2017	Secano											0,0														
22058	Bierge	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22058	Bierge	2017	Secano	294,0	121,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	121,0	0,0	0,0	0,0	0,0	26,0	0,0	26,0	0,0	146,0	146,0	1,0	0,0
22059	Biescas	2017	Regadío											0,0														
22059	Biescas	2017	Secano											0,0														
22060	Binaced	2017	Regadío	1128,0	1083,0	13,0	137,0	0,0	12,0	1,0	459,0	4,0	0,0	0,0	0,0	358,0	4,0	0,0	95,0	0,0	19,0	1,0	18,0	0,0	26,0	26,0	0,0	0,0
22060	Binaced	2017	Secano	73,0	63,0	0,0	0,0	0,0	0,0	0,0	41,0	0,0	0,0	0,0	0,0	16,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	10,0	10,0	0,0	0,0
22061	Binéfar	2017	Regadío	50,0	29,0	13,0	1,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	2,0	7,0	0,0	0,0	3,0	0,0	1,0	0,0	1,0	0,0	20,0	20,0	0,0	0,0
22061	Binéfar	2017	Secano	6,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0
22062	Bisaurri	2017	Regadío											0,0														
22062	Bisaurri	2017	Secano											0,0														
22063	Biscarrués	2017	Regadío	15,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	11,0	0,0	11,0	0,0	1,0	1,0	0,0	0,0
22063	Biscarrués	2017	Secano	118,0	93,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	93,0	0,0	0,0	0,0	0,0	16,0	0,0	13,0	3,0	9,0	9,0	0,0	0,0
22064	Blecua y Torres	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22064	Blecua y Torres	2017	Secano	89,0	43,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	43,0	0,0	0,0	0,0	0,0	40,0	0,0	40,0	0,0	6,0	6,0	0,0	0,0
22066	Boltaña	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22066	Boltaña	2017	Secano	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22067	Bonansa	2017	Regadío											0,0														
22067	Bonansa	2017	Secano											0,0														
22068	Borau	2017	Regadío											0,0														
22068	Borau	2017	Secano											0,0														
22069	Broto	2017	Regadío											0,0														
22069	Broto	2017	Secano											0,0														
22072	Caldearenas	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22072	Caldearenas	2017	Secano	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0
22074	Campo	2017	Regadío											0,0														
22074	Campo	2017	Secano											0,0														
