Año	Inscripcion municipio estrato	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Sexo	Nivel de estudios Código	Edad (grandes grupos)	Nivel de estudios Nombre	Personas
2009	6	44	Teruel	44013	Alcañiz	Mujer	0	16-64	Sin clasificar	15,0
2009	6	44	Teruel	44013	Alcañiz	Mujer	0	65 y más	Sin clasificar	24,0
2009	6	44	Teruel	44013	Alcañiz	Mujer	2	16-64	Inferior a graduado escolar o ESO	2,0
2009	6	44	Teruel	44013	Alcañiz	Mujer	2	65 y más	Inferior a graduado escolar o ESO	10,0
2009	6	44	Teruel	44013	Alcañiz	Mujer	3	16-64	Graduado escolar o ESO	17,0
2009	6	44	Teruel	44013	Alcañiz	Mujer	3	65 y más	Graduado escolar o ESO	11,0
2009	6	44	Teruel	44013	Alcañiz	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	22,0
2009	6	44	Teruel	44013	Alcañiz	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	2,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	0	0-15	Sin clasificar	14,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	0	16-64	Sin clasificar	25,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	0	65 y más	Sin clasificar	5,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	1	0-15	No sabe leer ni escribir	1,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	2	0-15	Inferior a graduado escolar o ESO	4,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	2	16-64	Inferior a graduado escolar o ESO	4,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	2	65 y más	Inferior a graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	3	16-64	Graduado escolar o ESO	10,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	3	65 y más	Graduado escolar o ESO	5,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	26,0
2009	6	50	Zaragoza	50067	Calatayud	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	3,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	0	0-15	Sin clasificar	16,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	0	16-64	Sin clasificar	19,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	0	65 y más	Sin clasificar	15,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	2	0-15	Inferior a graduado escolar o ESO	2,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	2	16-64	Inferior a graduado escolar o ESO	2,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	2	65 y más	Inferior a graduado escolar o ESO	9,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	3	16-64	Graduado escolar o ESO	14,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	3	65 y más	Graduado escolar o ESO	14,0
2009	6	50	Zaragoza	50067	Calatayud	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	29,0
2009	6	50	Zaragoza	50089	Cuarte de Huerva	Hombre	0	0-15	Sin clasificar	1,0
2009	6	50	Zaragoza	50089	Cuarte de Huerva	Hombre	0	16-64	Sin clasificar	3,0
2009	6	50	Zaragoza	50089	Cuarte de Huerva	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	5,0
2009	6	50	Zaragoza	50089	Cuarte de Huerva	Mujer	0	0-15	Sin clasificar	4,0
2009	6	50	Zaragoza	50089	Cuarte de Huerva	Mujer	0	16-64	Sin clasificar	2,0
2009	6	50	Zaragoza	50089	Cuarte de Huerva	Mujer	2	0-15	Inferior a graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50089	Cuarte de Huerva	Mujer	3	16-64	Graduado escolar o ESO	2,0
2009	6	50	Zaragoza	50089	Cuarte de Huerva	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	9,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	0	0-15	Sin clasificar	17,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	0	16-64	Sin clasificar	7,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	0	65 y más	Sin clasificar	9,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	2	0-15	Inferior a graduado escolar o ESO	2,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	2	16-64	Inferior a graduado escolar o ESO	3,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	2	65 y más	Inferior a graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	3	16-64	Graduado escolar o ESO	16,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	3	65 y más	Graduado escolar o ESO	7,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	27,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	2,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	0	0-15	Sin clasificar	11,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	0	16-64	Sin clasificar	20,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	0	65 y más	Sin clasificar	10,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	2	16-64	Inferior a graduado escolar o ESO	3,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	2	65 y más	Inferior a graduado escolar o ESO	4,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	3	16-64	Graduado escolar o ESO	21,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	3	65 y más	Graduado escolar o ESO	10,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	30,0
2009	6	50	Zaragoza	50095	Ejea de los Caballeros	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	2,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	0	0-15	Sin clasificar	8,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	0	16-64	Sin clasificar	10,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	0	65 y más	Sin clasificar	8,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	2	0-15	Inferior a graduado escolar o ESO	2,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	2	65 y más	Inferior a graduado escolar o ESO	2,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	3	16-64	Graduado escolar o ESO	13,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	3	65 y más	Graduado escolar o ESO	3,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	16,0
2009	6	50	Zaragoza	50251	Tarazona	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	6,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	0	0-15	Sin clasificar	9,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	0	16-64	Sin clasificar	20,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	0	65 y más	Sin clasificar	11,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	2	0-15	Inferior a graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	2	16-64	Inferior a graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	2	65 y más	Inferior a graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	3	0-15	Graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	3	16-64	Graduado escolar o ESO	8,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	3	65 y más	Graduado escolar o ESO	10,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	16,0
2009	6	50	Zaragoza	50251	Tarazona	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	4,0
2009	6	50	Zaragoza	50272	Utebo	Hombre	0	0-15	Sin clasificar	6,0
2009	6	50	Zaragoza	50272	Utebo	Hombre	0	16-64	Sin clasificar	3,0
2009	6	50	Zaragoza	50272	Utebo	Hombre	0	65 y más	Sin clasificar	6,0
2009	6	50	Zaragoza	50272	Utebo	Hombre	2	16-64	Inferior a graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50272	Utebo	Hombre	3	16-64	Graduado escolar o ESO	7,0
2009	6	50	Zaragoza	50272	Utebo	Hombre	3	65 y más	Graduado escolar o ESO	3,0
2009	6	50	Zaragoza	50272	Utebo	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	7,0
2009	6	50	Zaragoza	50272	Utebo	Mujer	0	0-15	Sin clasificar	3,0
2009	6	50	Zaragoza	50272	Utebo	Mujer	0	16-64	Sin clasificar	4,0
2009	6	50	Zaragoza	50272	Utebo	Mujer	0	65 y más	Sin clasificar	6,0
2009	6	50	Zaragoza	50272	Utebo	Mujer	2	16-64	Inferior a graduado escolar o ESO	1,0
2009	6	50	Zaragoza	50272	Utebo	Mujer	3	16-64	Graduado escolar o ESO	8,0
2009	6	50	Zaragoza	50272	Utebo	Mujer	3	65 y más	Graduado escolar o ESO	5,0
2009	6	50	Zaragoza	50272	Utebo	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	9,0
2009	7	22	Huesca	22125	Huesca	Hombre	0	0-15	Sin clasificar	59,0
2009	7	22	Huesca	22125	Huesca	Hombre	0	16-64	Sin clasificar	74,0
2009	7	22	Huesca	22125	Huesca	Hombre	0	65 y más	Sin clasificar	62,0
2009	7	22	Huesca	22125	Huesca	Hombre	2	0-15	Inferior a graduado escolar o ESO	7,0
2009	7	22	Huesca	22125	Huesca	Hombre	2	16-64	Inferior a graduado escolar o ESO	16,0
2009	7	22	Huesca	22125	Huesca	Hombre	2	65 y más	Inferior a graduado escolar o ESO	11,0
2009	7	22	Huesca	22125	Huesca	Hombre	3	0-15	Graduado escolar o ESO	1,0
2009	7	22	Huesca	22125	Huesca	Hombre	3	16-64	Graduado escolar o ESO	60,0
2009	7	22	Huesca	22125	Huesca	Hombre	3	65 y más	Graduado escolar o ESO	24,0
2009	7	22	Huesca	22125	Huesca	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	124,0
2009	7	22	Huesca	22125	Huesca	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	16,0
2009	7	22	Huesca	22125	Huesca	Mujer	0	0-15	Sin clasificar	62,0
2009	7	22	Huesca	22125	Huesca	Mujer	0	16-64	Sin clasificar	60,0
2009	7	22	Huesca	22125	Huesca	Mujer	0	65 y más	Sin clasificar	53,0
2009	7	22	Huesca	22125	Huesca	Mujer	2	0-15	Inferior a graduado escolar o ESO	7,0
2009	7	22	Huesca	22125	Huesca	Mujer	2	16-64	Inferior a graduado escolar o ESO	13,0
2009	7	22	Huesca	22125	Huesca	Mujer	2	65 y más	Inferior a graduado escolar o ESO	14,0
2009	7	22	Huesca	22125	Huesca	Mujer	3	0-15	Graduado escolar o ESO	2,0
2009	7	22	Huesca	22125	Huesca	Mujer	3	16-64	Graduado escolar o ESO	49,0
2009	7	22	Huesca	22125	Huesca	Mujer	3	65 y más	Graduado escolar o ESO	40,0
2009	7	22	Huesca	22125	Huesca	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	140,0
2009	7	22	Huesca	22125	Huesca	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	26,0
2009	7	44	Teruel	44216	Teruel	Hombre	0	0-15	Sin clasificar	48,0
2009	7	44	Teruel	44216	Teruel	Hombre	0	16-64	Sin clasificar	74,0
2009	7	44	Teruel	44216	Teruel	Hombre	0	65 y más	Sin clasificar	29,0
2009	7	44	Teruel	44216	Teruel	Hombre	2	0-15	Inferior a graduado escolar o ESO	14,0
2009	7	44	Teruel	44216	Teruel	Hombre	2	16-64	Inferior a graduado escolar o ESO	14,0
2009	7	44	Teruel	44216	Teruel	Hombre	2	65 y más	Inferior a graduado escolar o ESO	10,0
2009	7	44	Teruel	44216	Teruel	Hombre	3	0-15	Graduado escolar o ESO	2,0
2009	7	44	Teruel	44216	Teruel	Hombre	3	16-64	Graduado escolar o ESO	42,0
2009	7	44	Teruel	44216	Teruel	Hombre	3	65 y más	Graduado escolar o ESO	24,0
2009	7	44	Teruel	44216	Teruel	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	85,0
2009	7	44	Teruel	44216	Teruel	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	24,0
2009	7	44	Teruel	44216	Teruel	Mujer	0	0-15	Sin clasificar	42,0
2009	7	44	Teruel	44216	Teruel	Mujer	0	16-64	Sin clasificar	62,0
2009	7	44	Teruel	44216	Teruel	Mujer	0	65 y más	Sin clasificar	46,0
2009	7	44	Teruel	44216	Teruel	Mujer	1	16-64	No sabe leer ni escribir	1,0
2009	7	44	Teruel	44216	Teruel	Mujer	2	0-15	Inferior a graduado escolar o ESO	5,0
2009	7	44	Teruel	44216	Teruel	Mujer	2	16-64	Inferior a graduado escolar o ESO	10,0
2009	7	44	Teruel	44216	Teruel	Mujer	2	65 y más	Inferior a graduado escolar o ESO	8,0
2009	7	44	Teruel	44216	Teruel	Mujer	3	16-64	Graduado escolar o ESO	55,0
2009	7	44	Teruel	44216	Teruel	Mujer	3	65 y más	Graduado escolar o ESO	18,0
2009	7	44	Teruel	44216	Teruel	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	89,0
2009	7	44	Teruel	44216	Teruel	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	16,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	0	0-15	Sin clasificar	953,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	0	16-64	Sin clasificar	945,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	0	65 y más	Sin clasificar	400,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	1	0-15	No sabe leer ni escribir	13,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	1	16-64	No sabe leer ni escribir	1,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	2	0-15	Inferior a graduado escolar o ESO	138,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	2	16-64	Inferior a graduado escolar o ESO	129,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	2	65 y más	Inferior a graduado escolar o ESO	84,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	3	0-15	Graduado escolar o ESO	25,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	3	16-64	Graduado escolar o ESO	788,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	3	65 y más	Graduado escolar o ESO	279,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	4	0-15	BUP, Bachiller, LOGSE ó superior	5,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	1674,0
2009	7	50	Zaragoza	50297	Zaragoza	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	197,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	0	0-15	Sin clasificar	825,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	0	16-64	Sin clasificar	1137,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	0	65 y más	Sin clasificar	524,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	1	0-15	No sabe leer ni escribir	12,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	1	16-64	No sabe leer ni escribir	2,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	2	0-15	Inferior a graduado escolar o ESO	123,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	2	16-64	Inferior a graduado escolar o ESO	105,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	2	65 y más	Inferior a graduado escolar o ESO	122,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	3	0-15	Graduado escolar o ESO	23,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	3	16-64	Graduado escolar o ESO	906,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	3	65 y más	Graduado escolar o ESO	378,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	4	0-15	BUP, Bachiller, LOGSE ó superior	10,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	1998,0
2009	7	50	Zaragoza	50297	Zaragoza	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	217,0
2010	6	22	Huesca	22048	Barbastro	Hombre	0	0-15	Sin clasificar	20,0
2010	6	22	Huesca	22048	Barbastro	Hombre	0	16-64	Sin clasificar	29,0
2010	6	22	Huesca	22048	Barbastro	Hombre	0	65 y más	Sin clasificar	24,0
2010	6	22	Huesca	22048	Barbastro	Hombre	2	0-15	Inferior a graduado escolar o ESO	2,0
2010	6	22	Huesca	22048	Barbastro	Hombre	2	16-64	Inferior a graduado escolar o ESO	1,0
2010	6	22	Huesca	22048	Barbastro	Hombre	2	65 y más	Inferior a graduado escolar o ESO	9,0
2010	6	22	Huesca	22048	Barbastro	Hombre	3	16-64	Graduado escolar o ESO	16,0
2010	6	22	Huesca	22048	Barbastro	Hombre	3	65 y más	Graduado escolar o ESO	10,0
2010	6	22	Huesca	22048	Barbastro	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	32,0
2010	6	22	Huesca	22048	Barbastro	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	4,0
2010	6	22	Huesca	22048	Barbastro	Mujer	0	0-15	Sin clasificar	14,0
