Mes (código)	Mes y año	Sexo	Nacionalidad	Afiliaciones en alta
201506	Junio 2015	Mujeres	No consta	33
201506	Junio 2015	Hombres	Extranjeros comunitarios (UE-28)	15971
201506	Junio 2015	Mujeres	Extranjeros comunitarios (UE-28)	17325
201506	Junio 2015	Hombres	Extranjeros no comunitarios	20489
201506	Junio 2015	Mujeres	Extranjeros no comunitarios	12212
201506	Junio 2015	Hombres	Extranjeros comunitarios (UE-28)	2697
201506	Junio 2015	Mujeres	Extranjeros comunitarios (UE-28)	2168
201506	Junio 2015	Hombres	Extranjeros comunitarios (UE-28)	220
201506	Junio 2015	Mujeres	Extranjeros comunitarios (UE-28)	149
201503	Marzo 2015	Hombres	Españoles	247621
201503	Marzo 2015	Mujeres	Españoles	207534
201503	Marzo 2015	Hombres	No consta	22
201503	Marzo 2015	Mujeres	No consta	23
201503	Marzo 2015	Hombres	Extranjeros comunitarios (UE-28)	11539
201503	Marzo 2015	Mujeres	Extranjeros comunitarios (UE-28)	13289
201503	Marzo 2015	Hombres	Extranjeros no comunitarios	14570
201503	Marzo 2015	Mujeres	Extranjeros no comunitarios	11577
201503	Marzo 2015	Hombres	Extranjeros comunitarios (UE-28)	2473
201503	Marzo 2015	Mujeres	Extranjeros comunitarios (UE-28)	1783
201503	Marzo 2015	Hombres	Extranjeros comunitarios (UE-28)	242
201503	Marzo 2015	Mujeres	Extranjeros comunitarios (UE-28)	178
201412	Diciembre 2014	Hombres	Españoles	244188
201412	Diciembre 2014	Mujeres	Españoles	208423
201412	Diciembre 2014	Hombres	No consta	22
201412	Diciembre 2014	Mujeres	No consta	25
201412	Diciembre 2014	Hombres	Extranjeros comunitarios (UE-28)	11294
201412	Diciembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	13432
201412	Diciembre 2014	Hombres	Extranjeros no comunitarios	14320
201412	Diciembre 2014	Mujeres	Extranjeros no comunitarios	11697
201412	Diciembre 2014	Hombres	Extranjeros comunitarios (UE-28)	2436
201412	Diciembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	1806
201412	Diciembre 2014	Hombres	Extranjeros comunitarios (UE-28)	231
201412	Diciembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	175
201409	Septiembre 2014	Hombres	Españoles	244850
201409	Septiembre 2014	Mujeres	Españoles	203777
201409	Septiembre 2014	Hombres	No consta	21
