Mes y año	Comarca código	Comarca nombre	Edad (grupos quinquenales)	Sexo	Nº parados
Agosto 2021	02	Alto Gállego	55-59	Hombres	44
Agosto 2021	02	Alto Gállego	55-59	Mujeres	42
Agosto 2021	02	Alto Gállego	60-64	Hombres	25
Agosto 2021	02	Alto Gállego	60-64	Mujeres	64
Agosto 2021	03	Sobrarbe	16-19	Mujeres	1
Agosto 2021	03	Sobrarbe	20-24	Hombres	1
Agosto 2021	03	Sobrarbe	20-24	Mujeres	2
Agosto 2021	03	Sobrarbe	25-29	Hombres	2
Agosto 2021	03	Sobrarbe	25-29	Mujeres	2
Agosto 2021	03	Sobrarbe	30-34	Hombres	5
Agosto 2021	03	Sobrarbe	30-34	Mujeres	14
Agosto 2021	03	Sobrarbe	35-39	Hombres	8
Agosto 2021	03	Sobrarbe	35-39	Mujeres	20
Agosto 2021	03	Sobrarbe	40-44	Hombres	14
Agosto 2021	03	Sobrarbe	40-44	Mujeres	13
Agosto 2021	03	Sobrarbe	45-49	Hombres	12
Agosto 2021	03	Sobrarbe	45-49	Mujeres	11
Agosto 2021	03	Sobrarbe	50-54	Hombres	9
Agosto 2021	03	Sobrarbe	50-54	Mujeres	11
Agosto 2021	03	Sobrarbe	55-59	Hombres	19
Agosto 2021	03	Sobrarbe	55-59	Mujeres	12
Agosto 2021	03	Sobrarbe	60-64	Hombres	15
Agosto 2021	03	Sobrarbe	60-64	Mujeres	12
Agosto 2021	04	La Ribagorza	16-19	Hombres	1
Agosto 2021	04	La Ribagorza	16-19	Mujeres	1
Agosto 2021	04	La Ribagorza	20-24	Hombres	9
Agosto 2021	04	La Ribagorza	20-24	Mujeres	2
Agosto 2021	04	La Ribagorza	25-29	Hombres	8
Agosto 2021	04	La Ribagorza	25-29	Mujeres	11
Agosto 2021	04	La Ribagorza	30-34	Hombres	13
Agosto 2021	04	La Ribagorza	30-34	Mujeres	16
Agosto 2021	04	La Ribagorza	35-39	Hombres	17
Agosto 2021	04	La Ribagorza	35-39	Mujeres	23
Agosto 2021	04	La Ribagorza	40-44	Hombres	18
Agosto 2021	04	La Ribagorza	40-44	Mujeres	30
Agosto 2021	04	La Ribagorza	45-49	Hombres	13
Agosto 2021	04	La Ribagorza	45-49	Mujeres	20
Agosto 2021	04	La Ribagorza	50-54	Hombres	13
Agosto 2021	04	La Ribagorza	50-54	Mujeres	29
Agosto 2021	04	La Ribagorza	55-59	Hombres	20
Agosto 2021	04	La Ribagorza	55-59	Mujeres	31
Agosto 2021	04	La Ribagorza	60-64	Hombres	24
Agosto 2021	04	La Ribagorza	60-64	Mujeres	42
Agosto 2021	05	Cinco Villas	16-19	Hombres	19
Agosto 2021	05	Cinco Villas	16-19	Mujeres	13
Agosto 2021	05	Cinco Villas	20-24	Hombres	50
Agosto 2021	05	Cinco Villas	20-24	Mujeres	38
Agosto 2021	05	Cinco Villas	25-29	Hombres	49
Agosto 2021	05	Cinco Villas	25-29	Mujeres	71
Agosto 2021	05	Cinco Villas	30-34	Hombres	62
Agosto 2021	05	Cinco Villas	30-34	Mujeres	82
Agosto 2021	05	Cinco Villas	35-39	Hombres	48
Agosto 2021	05	Cinco Villas	35-39	Mujeres	80
Agosto 2021	05	Cinco Villas	40-44	Hombres	48
Agosto 2021	05	Cinco Villas	40-44	Mujeres	94
Agosto 2021	05	Cinco Villas	45-49	Hombres	57
Agosto 2021	05	Cinco Villas	45-49	Mujeres	99
Agosto 2021	05	Cinco Villas	50-54	Hombres	61
Agosto 2021	05	Cinco Villas	50-54	Mujeres	96
Agosto 2021	05	Cinco Villas	55-59	Hombres	81
Agosto 2021	05	Cinco Villas	55-59	Mujeres	133
Agosto 2021	05	Cinco Villas	60-64	Hombres	76
Agosto 2021	05	Cinco Villas	60-64	Mujeres	141
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	16-19	Hombres	66
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	16-19	Mujeres	47
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	20-24	Hombres	116
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	20-24	Mujeres	120
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	25-29	Hombres	132
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	25-29	Mujeres	171
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	30-34	Hombres	109
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	30-34	Mujeres	170
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	35-39	Hombres	112
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	35-39	Mujeres	191
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	40-44	Hombres	131
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	40-44	Mujeres	217
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	45-49	Hombres	148
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	45-49	Mujeres	227
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	50-54	Hombres	140
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	50-54	Mujeres	189
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	55-59	Hombres	167
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	55-59	Mujeres	186
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	60-64	Hombres	155
Agosto 2021	06	Hoya de Huesca / Plana de Uesca	60-64	Mujeres	226
Agosto 2021	07	Somontano de Barbastro	16-19	Hombres	10
Agosto 2021	07	Somontano de Barbastro	16-19	Mujeres	9
Agosto 2021	07	Somontano de Barbastro	20-24	Hombres	31
Agosto 2021	07	Somontano de Barbastro	20-24	Mujeres	30
Agosto 2021	07	Somontano de Barbastro	25-29	Hombres	27
Agosto 2021	07	Somontano de Barbastro	25-29	Mujeres	48
Agosto 2021	07	Somontano de Barbastro	30-34	Hombres	42
Agosto 2021	07	Somontano de Barbastro	30-34	Mujeres	74
Agosto 2021	07	Somontano de Barbastro	35-39	Hombres	34
Agosto 2021	07	Somontano de Barbastro	35-39	Mujeres	67
Agosto 2021	07	Somontano de Barbastro	40-44	Hombres	49
Agosto 2021	07	Somontano de Barbastro	40-44	Mujeres	81
Agosto 2021	07	Somontano de Barbastro	45-49	Hombres	46
Agosto 2021	07	Somontano de Barbastro	45-49	Mujeres	65
Agosto 2021	07	Somontano de Barbastro	50-54	Hombres	43
Agosto 2021	07	Somontano de Barbastro	50-54	Mujeres	67
Agosto 2021	07	Somontano de Barbastro	55-59	Hombres	65
Agosto 2021	07	Somontano de Barbastro	55-59	Mujeres	79
Agosto 2021	07	Somontano de Barbastro	60-64	Hombres	46
Agosto 2021	07	Somontano de Barbastro	60-64	Mujeres	102
Agosto 2021	08	Cinca Medio	16-19	Hombres	19
Agosto 2021	08	Cinca Medio	16-19	Mujeres	7
Agosto 2021	08	Cinca Medio	20-24	Hombres	50
Agosto 2021	08	Cinca Medio	20-24	Mujeres	38
Agosto 2021	08	Cinca Medio	25-29	Hombres	51
Agosto 2021	08	Cinca Medio	25-29	Mujeres	58
Agosto 2021	08	Cinca Medio	30-34	Hombres	35
Agosto 2021	08	Cinca Medio	30-34	Mujeres	72
Agosto 2021	08	Cinca Medio	35-39	Hombres	38
Agosto 2021	08	Cinca Medio	35-39	Mujeres	73
Agosto 2021	08	Cinca Medio	40-44	Hombres	48
Agosto 2021	08	Cinca Medio	40-44	Mujeres	84
Agosto 2021	08	Cinca Medio	45-49	Hombres	61
Agosto 2021	08	Cinca Medio	45-49	Mujeres	70
Agosto 2021	08	Cinca Medio	50-54	Hombres	54
Agosto 2021	08	Cinca Medio	50-54	Mujeres	74
Agosto 2021	08	Cinca Medio	55-59	Hombres	58
Agosto 2021	08	Cinca Medio	55-59	Mujeres	97
Agosto 2021	08	Cinca Medio	60-64	Hombres	44
Agosto 2021	08	Cinca Medio	60-64	Mujeres	83
Agosto 2021	09	La Litera / La Llitera	16-19	Hombres	15
Agosto 2021	09	La Litera / La Llitera	16-19	Mujeres	8
Agosto 2021	09	La Litera / La Llitera	20-24	Hombres	22
Agosto 2021	09	La Litera / La Llitera	20-24	Mujeres	20
Agosto 2021	09	La Litera / La Llitera	25-29	Hombres	32
Agosto 2021	09	La Litera / La Llitera	25-29	Mujeres	38
Agosto 2021	09	La Litera / La Llitera	30-34	Hombres	30
Agosto 2021	09	La Litera / La Llitera	30-34	Mujeres	42
Agosto 2021	09	La Litera / La Llitera	35-39	Hombres	21
Agosto 2021	09	La Litera / La Llitera	35-39	Mujeres	47
Agosto 2021	09	La Litera / La Llitera	40-44	Hombres	28
Agosto 2021	09	La Litera / La Llitera	40-44	Mujeres	47
Agosto 2021	09	La Litera / La Llitera	45-49	Hombres	30
Agosto 2021	09	La Litera / La Llitera	45-49	Mujeres	30
Agosto 2021	09	La Litera / La Llitera	50-54	Hombres	39
Agosto 2021	09	La Litera / La Llitera	50-54	Mujeres	31
Agosto 2021	09	La Litera / La Llitera	55-59	Hombres	42
Agosto 2021	09	La Litera / La Llitera	55-59	Mujeres	55
Agosto 2021	09	La Litera / La Llitera	60-64	Hombres	30
Agosto 2021	09	La Litera / La Llitera	60-64	Mujeres	36
Agosto 2021	10	Los Monegros	16-19	Hombres	6
Agosto 2021	10	Los Monegros	16-19	Mujeres	5
Agosto 2021	10	Los Monegros	20-24	Hombres	6
Agosto 2021	10	Los Monegros	20-24	Mujeres	20
Agosto 2021	10	Los Monegros	25-29	Hombres	21
Agosto 2021	10	Los Monegros	25-29	Mujeres	30
Agosto 2021	10	Los Monegros	30-34	Hombres	17
Agosto 2021	10	Los Monegros	30-34	Mujeres	37
Agosto 2021	10	Los Monegros	35-39	Hombres	12
Agosto 2021	10	Los Monegros	35-39	Mujeres	39
Agosto 2021	10	Los Monegros	40-44	Hombres	30
Agosto 2021	10	Los Monegros	40-44	Mujeres	40
Agosto 2021	10	Los Monegros	45-49	Hombres	16
Agosto 2021	10	Los Monegros	45-49	Mujeres	35
Agosto 2021	10	Los Monegros	50-54	Hombres	27
Agosto 2021	10	Los Monegros	50-54	Mujeres	32
Agosto 2021	10	Los Monegros	55-59	Hombres	39
Agosto 2021	10	Los Monegros	55-59	Mujeres	43
Agosto 2021	10	Los Monegros	60-64	Hombres	25
Agosto 2021	10	Los Monegros	60-64	Mujeres	38
Agosto 2021	11	Bajo Cinca / Baix Cinca	16-19	Hombres	22
Agosto 2021	11	Bajo Cinca / Baix Cinca	16-19	Mujeres	8
Agosto 2021	11	Bajo Cinca / Baix Cinca	20-24	Hombres	36
Agosto 2021	11	Bajo Cinca / Baix Cinca	20-24	Mujeres	36
Agosto 2021	11	Bajo Cinca / Baix Cinca	25-29	Hombres	27
Agosto 2021	11	Bajo Cinca / Baix Cinca	25-29	Mujeres	50
Agosto 2021	11	Bajo Cinca / Baix Cinca	30-34	Hombres	37
Agosto 2021	11	Bajo Cinca / Baix Cinca	30-34	Mujeres	58
Agosto 2021	11	Bajo Cinca / Baix Cinca	35-39	Hombres	35
Agosto 2021	11	Bajo Cinca / Baix Cinca	35-39	Mujeres	49
Agosto 2021	11	Bajo Cinca / Baix Cinca	40-44	Hombres	38
Agosto 2021	11	Bajo Cinca / Baix Cinca	40-44	Mujeres	56
Agosto 2021	11	Bajo Cinca / Baix Cinca	45-49	Hombres	41
Agosto 2021	11	Bajo Cinca / Baix Cinca	45-49	Mujeres	51
Agosto 2021	11	Bajo Cinca / Baix Cinca	50-54	Hombres	41
Agosto 2021	11	Bajo Cinca / Baix Cinca	50-54	Mujeres	51
Agosto 2021	11	Bajo Cinca / Baix Cinca	55-59	Hombres	53
Agosto 2021	11	Bajo Cinca / Baix Cinca	55-59	Mujeres	58
Agosto 2021	11	Bajo Cinca / Baix Cinca	60-64	Hombres	39
Agosto 2021	11	Bajo Cinca / Baix Cinca	60-64	Mujeres	60
Agosto 2021	12	Tarazona y el Moncayo	16-19	Hombres	9
Agosto 2021	12	Tarazona y el Moncayo	16-19	Mujeres	2
Agosto 2021	12	Tarazona y el Moncayo	20-24	Hombres	25
Agosto 2021	12	Tarazona y el Moncayo	20-24	Mujeres	15
Agosto 2021	12	Tarazona y el Moncayo	25-29	Hombres	19
Agosto 2021	12	Tarazona y el Moncayo	25-29	Mujeres	35
Agosto 2021	12	Tarazona y el Moncayo	30-34	Hombres	19
Agosto 2021	12	Tarazona y el Moncayo	30-34	Mujeres	37
Agosto 2021	12	Tarazona y el Moncayo	35-39	Hombres	21
Agosto 2021	12	Tarazona y el Moncayo	35-39	Mujeres	37
Agosto 2021	12	Tarazona y el Moncayo	40-44	Hombres	21
Agosto 2021	12	Tarazona y el Moncayo	40-44	Mujeres	35
Agosto 2021	12	Tarazona y el Moncayo	45-49	Hombres	22
Agosto 2021	12	Tarazona y el Moncayo	45-49	Mujeres	46
Agosto 2021	12	Tarazona y el Moncayo	50-54	Hombres	34
Agosto 2021	12	Tarazona y el Moncayo	50-54	Mujeres	53
Agosto 2021	12	Tarazona y el Moncayo	55-59	Hombres	42
Agosto 2021	12	Tarazona y el Moncayo	55-59	Mujeres	61
Agosto 2021	12	Tarazona y el Moncayo	60-64	Hombres	37
Agosto 2021	12	Tarazona y el Moncayo	60-64	Mujeres	89
Agosto 2021	13	Campo de Borja	16-19	Hombres	3
Agosto 2021	13	Campo de Borja	16-19	Mujeres	1
Agosto 2021	13	Campo de Borja	20-24	Hombres	23
Agosto 2021	13	Campo de Borja	20-24	Mujeres	21
Agosto 2021	13	Campo de Borja	25-29	Hombres	27
Agosto 2021	13	Campo de Borja	25-29	Mujeres	33
Agosto 2021	13	Campo de Borja	30-34	Hombres	17
Agosto 2021	13	Campo de Borja	30-34	Mujeres	31
Agosto 2021	13	Campo de Borja	35-39	Hombres	26
Agosto 2021	13	Campo de Borja	35-39	Mujeres	34
Agosto 2021	13	Campo de Borja	40-44	Hombres	20
Agosto 2021	13	Campo de Borja	40-44	Mujeres	47
Agosto 2021	13	Campo de Borja	45-49	Hombres	24
Agosto 2021	13	Campo de Borja	45-49	Mujeres	35
Agosto 2021	13	Campo de Borja	50-54	Hombres	30
Agosto 2021	13	Campo de Borja	50-54	Mujeres	46
Agosto 2021	13	Campo de Borja	55-59	Hombres	46
Agosto 2021	13	Campo de Borja	55-59	Mujeres	49
Agosto 2021	13	Campo de Borja	60-64	Hombres	44
Agosto 2021	13	Campo de Borja	60-64	Mujeres	65
Agosto 2021	14	Aranda	16-19	Hombres	3
Agosto 2021	14	Aranda	16-19	Mujeres	2
Agosto 2021	14	Aranda	20-24	Hombres	7
Agosto 2021	14	Aranda	20-24	Mujeres	10
Agosto 2021	14	Aranda	25-29	Hombres	7
Agosto 2021	14	Aranda	25-29	Mujeres	8
Agosto 2021	14	Aranda	30-34	Hombres	8
Agosto 2021	14	Aranda	30-34	Mujeres	14
Agosto 2021	14	Aranda	35-39	Hombres	11
Agosto 2021	14	Aranda	35-39	Mujeres	14
Agosto 2021	14	Aranda	40-44	Hombres	6
Agosto 2021	14	Aranda	40-44	Mujeres	16
Agosto 2021	14	Aranda	45-49	Hombres	10
Agosto 2021	14	Aranda	45-49	Mujeres	34
Agosto 2021	14	Aranda	50-54	Hombres	16
Agosto 2021	14	Aranda	50-54	Mujeres	43
Agosto 2021	14	Aranda	55-59	Hombres	22
Agosto 2021	14	Aranda	55-59	Mujeres	51
Agosto 2021	14	Aranda	60-64	Hombres	24
Agosto 2021	14	Aranda	60-64	Mujeres	58
Agosto 2021	15	Ribera Alta del Ebro	16-19	Hombres	18
Agosto 2021	15	Ribera Alta del Ebro	16-19	Mujeres	12
Agosto 2021	15	Ribera Alta del Ebro	20-24	Hombres	46
Agosto 2021	15	Ribera Alta del Ebro	20-24	Mujeres	51
Agosto 2021	15	Ribera Alta del Ebro	25-29	Hombres	55
Agosto 2021	15	Ribera Alta del Ebro	25-29	Mujeres	65
Agosto 2021	15	Ribera Alta del Ebro	30-34	Hombres	46
Agosto 2021	15	Ribera Alta del Ebro	30-34	Mujeres	81
Agosto 2021	15	Ribera Alta del Ebro	35-39	Hombres	55
Agosto 2021	15	Ribera Alta del Ebro	35-39	Mujeres	94
Agosto 2021	15	Ribera Alta del Ebro	40-44	Hombres	69
Agosto 2021	15	Ribera Alta del Ebro	40-44	Mujeres	122
Agosto 2021	15	Ribera Alta del Ebro	45-49	Hombres	68
Agosto 2021	15	Ribera Alta del Ebro	45-49	Mujeres	102
Agosto 2021	15	Ribera Alta del Ebro	50-54	Hombres	71
Agosto 2021	15	Ribera Alta del Ebro	50-54	Mujeres	104
Agosto 2021	15	Ribera Alta del Ebro	55-59	Hombres	49
Agosto 2021	15	Ribera Alta del Ebro	55-59	Mujeres	123
Agosto 2021	15	Ribera Alta del Ebro	60-64	Hombres	119
Agosto 2021	15	Ribera Alta del Ebro	60-64	Mujeres	178
Agosto 2021	16	Valdejalón	16-19	Hombres	10
Agosto 2021	16	Valdejalón	16-19	Mujeres	11
Agosto 2021	16	Valdejalón	20-24	Hombres	64
Agosto 2021	16	Valdejalón	20-24	Mujeres	63
Agosto 2021	16	Valdejalón	25-29	Hombres	60
Agosto 2021	16	Valdejalón	25-29	Mujeres	104
Agosto 2021	16	Valdejalón	30-34	Hombres	55
Agosto 2021	16	Valdejalón	30-34	Mujeres	130
Agosto 2021	16	Valdejalón	35-39	Hombres	65
Agosto 2021	16	Valdejalón	35-39	Mujeres	103
Agosto 2021	16	Valdejalón	40-44	Hombres	71
Agosto 2021	16	Valdejalón	40-44	Mujeres	120
Agosto 2021	16	Valdejalón	45-49	Hombres	89
Agosto 2021	16	Valdejalón	45-49	Mujeres	119
Agosto 2021	16	Valdejalón	50-54	Hombres	79
Agosto 2021	16	Valdejalón	50-54	Mujeres	121
Agosto 2021	16	Valdejalón	55-59	Hombres	89
Agosto 2021	16	Valdejalón	55-59	Mujeres	142
Agosto 2021	16	Valdejalón	60-64	Hombres	90
Agosto 2021	16	Valdejalón	60-64	Mujeres	142
Agosto 2021	17	Central	16-19	Hombres	546
Agosto 2021	17	Central	16-19	Mujeres	436
Agosto 2021	17	Central	20-24	Hombres	1230
Agosto 2021	17	Central	20-24	Mujeres	1234
Agosto 2021	17	Central	25-29	Hombres	1493
Agosto 2021	17	Central	25-29	Mujeres	2090
Agosto 2021	17	Central	30-34	Hombres	1400
Agosto 2021	17	Central	30-34	Mujeres	2402
Agosto 2021	17	Central	35-39	Hombres	1455
Agosto 2021	17	Central	35-39	Mujeres	2760
Agosto 2021	17	Central	40-44	Hombres	1734
Agosto 2021	17	Central	40-44	Mujeres	3228
Agosto 2021	17	Central	45-49	Hombres	1927
Agosto 2021	17	Central	45-49	Mujeres	3194
Agosto 2021	17	Central	50-54	Hombres	2159
Agosto 2021	17	Central	50-54	Mujeres	3275
Agosto 2021	17	Central	55-59	Hombres	2410
Agosto 2021	17	Central	55-59	Mujeres	3579
Agosto 2021	17	Central	60-64	Hombres	2450
Agosto 2021	17	Central	60-64	Mujeres	3785
Agosto 2021	18	Ribera Baja del Ebro	16-19	Hombres	5
Agosto 2021	18	Ribera Baja del Ebro	16-19	Mujeres	2
Agosto 2021	18	Ribera Baja del Ebro	20-24	Hombres	11
Agosto 2021	18	Ribera Baja del Ebro	20-24	Mujeres	11
Agosto 2021	18	Ribera Baja del Ebro	25-29	Hombres	11
Agosto 2021	18	Ribera Baja del Ebro	25-29	Mujeres	15
Agosto 2021	18	Ribera Baja del Ebro	30-34	Hombres	20
Agosto 2021	18	Ribera Baja del Ebro	30-34	Mujeres	20
Agosto 2021	18	Ribera Baja del Ebro	35-39	Hombres	5
Agosto 2021	18	Ribera Baja del Ebro	35-39	Mujeres	21
Agosto 2021	18	Ribera Baja del Ebro	40-44	Hombres	12
Agosto 2021	18	Ribera Baja del Ebro	40-44	Mujeres	27
Agosto 2021	18	Ribera Baja del Ebro	45-49	Hombres	15
Agosto 2021	18	Ribera Baja del Ebro	45-49	Mujeres	20
Agosto 2021	18	Ribera Baja del Ebro	50-54	Hombres	21
Agosto 2021	18	Ribera Baja del Ebro	50-54	Mujeres	23
Agosto 2021	18	Ribera Baja del Ebro	55-59	Hombres	15
Agosto 2021	18	Ribera Baja del Ebro	55-59	Mujeres	45
Agosto 2021	18	Ribera Baja del Ebro	60-64	Hombres	28
Agosto 2021	18	Ribera Baja del Ebro	60-64	Mujeres	43
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16-19	Hombres	11
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16-19	Mujeres	10
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	20-24	Hombres	35
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	20-24	Mujeres	16
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	25-29	Hombres	29
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	25-29	Mujeres	35
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	30-34	Hombres	17
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	30-34	Mujeres	54
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	35-39	Hombres	29
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	35-39	Mujeres	39
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	40-44	Hombres	30
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	40-44	Mujeres	43
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	45-49	Hombres	37
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	45-49	Mujeres	47
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	50-54	Hombres	47
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	50-54	Mujeres	39
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	55-59	Hombres	32
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	55-59	Mujeres	60
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	60-64	Hombres	37
Agosto 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	60-64	Mujeres	77
Agosto 2021	20	Comunidad de Calatayud	16-19	Hombres	11
Agosto 2021	20	Comunidad de Calatayud	16-19	Mujeres	13
Agosto 2021	20	Comunidad de Calatayud	20-24	Hombres	47
Agosto 2021	20	Comunidad de Calatayud	20-24	Mujeres	41
Agosto 2021	20	Comunidad de Calatayud	25-29	Hombres	55
Agosto 2021	20	Comunidad de Calatayud	25-29	Mujeres	81
Agosto 2021	20	Comunidad de Calatayud	30-34	Hombres	47
Agosto 2021	20	Comunidad de Calatayud	30-34	Mujeres	82
Agosto 2021	20	Comunidad de Calatayud	35-39	Hombres	54
Agosto 2021	20	Comunidad de Calatayud	35-39	Mujeres	113
Agosto 2021	20	Comunidad de Calatayud	40-44	Hombres	53
Agosto 2021	20	Comunidad de Calatayud	40-44	Mujeres	115
Agosto 2021	20	Comunidad de Calatayud	45-49	Hombres	79
Agosto 2021	20	Comunidad de Calatayud	45-49	Mujeres	119
Agosto 2021	20	Comunidad de Calatayud	50-54	Hombres	93
Agosto 2021	20	Comunidad de Calatayud	50-54	Mujeres	139
Agosto 2021	20	Comunidad de Calatayud	55-59	Hombres	114
Agosto 2021	20	Comunidad de Calatayud	55-59	Mujeres	158
Agosto 2021	20	Comunidad de Calatayud	60-64	Hombres	135
Agosto 2021	20	Comunidad de Calatayud	60-64	Mujeres	147
Agosto 2021	21	Campo de Cariñena	16-19	Hombres	3
Agosto 2021	21	Campo de Cariñena	16-19	Mujeres	2
Agosto 2021	21	Campo de Cariñena	20-24	Hombres	10
Agosto 2021	21	Campo de Cariñena	20-24	Mujeres	7
Agosto 2021	21	Campo de Cariñena	25-29	Hombres	14
Agosto 2021	21	Campo de Cariñena	25-29	Mujeres	13
Agosto 2021	21	Campo de Cariñena	30-34	Hombres	12
Agosto 2021	21	Campo de Cariñena	30-34	Mujeres	14
Agosto 2021	21	Campo de Cariñena	35-39	Hombres	18
Agosto 2021	21	Campo de Cariñena	35-39	Mujeres	29
Agosto 2021	21	Campo de Cariñena	40-44	Hombres	12
Agosto 2021	21	Campo de Cariñena	40-44	Mujeres	26
Agosto 2021	21	Campo de Cariñena	45-49	Hombres	22
Agosto 2021	21	Campo de Cariñena	45-49	Mujeres	29
Agosto 2021	21	Campo de Cariñena	50-54	Hombres	23
Agosto 2021	21	Campo de Cariñena	50-54	Mujeres	29
Agosto 2021	21	Campo de Cariñena	55-59	Hombres	27
Agosto 2021	21	Campo de Cariñena	55-59	Mujeres	31
Agosto 2021	21	Campo de Cariñena	60-64	Hombres	20
Agosto 2021	21	Campo de Cariñena	60-64	Mujeres	40
Agosto 2021	22	Campo de Belchite	16-19	Mujeres	2
Agosto 2021	22	Campo de Belchite	20-24	Hombres	2
Agosto 2021	22	Campo de Belchite	20-24	Mujeres	5
Agosto 2021	22	Campo de Belchite	25-29	Hombres	2
Agosto 2021	22	Campo de Belchite	25-29	Mujeres	4
Agosto 2021	22	Campo de Belchite	30-34	Hombres	3
Agosto 2021	22	Campo de Belchite	30-34	Mujeres	2
Agosto 2021	22	Campo de Belchite	35-39	Hombres	3
Agosto 2021	22	Campo de Belchite	35-39	Mujeres	9
Agosto 2021	22	Campo de Belchite	40-44	Hombres	8
Agosto 2021	22	Campo de Belchite	40-44	Mujeres	4
Agosto 2021	22	Campo de Belchite	45-49	Hombres	7
Agosto 2021	22	Campo de Belchite	45-49	Mujeres	6
Agosto 2021	22	Campo de Belchite	50-54	Hombres	7
