Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
11	Bajo Cinca / Baix Cinca	2011	14	4,0	P-LIB
11	Bajo Cinca / Baix Cinca	2011	15	0,0	SXT
12	Tarazona y el Moncayo	2011	1	11826,0	PP-PAR
12	Tarazona y el Moncayo	2011	2	7689,0	PSOE
12	Tarazona y el Moncayo	2011	3	1995,0	CHA-IU
12	Tarazona y el Moncayo	2011	4	226,0	UPyD
12	Tarazona y el Moncayo	2011	5	126,0	EQUO
12	Tarazona y el Moncayo	2011	6	85,0	PACMA
12	Tarazona y el Moncayo	2011	7	121,0	Eb
12	Tarazona y el Moncayo	2011	8	39,0	PCPE
12	Tarazona y el Moncayo	2011	9	25,0	PUM+J
12	Tarazona y el Moncayo	2011	11	19,0	UCE
12	Tarazona y el Moncayo	2011	12	20,0	DeC
12	Tarazona y el Moncayo	2011	13	13,0	PH
12	Tarazona y el Moncayo	2011	14	10,0	P-LIB
12	Tarazona y el Moncayo	2011	15	0,0	SXT
13	Campo de Borja	2011	1	11301,0	PP-PAR
13	Campo de Borja	2011	2	9596,0	PSOE
13	Campo de Borja	2011	3	1336,0	CHA-IU
13	Campo de Borja	2011	4	180,0	UPyD
13	Campo de Borja	2011	5	86,0	EQUO
13	Campo de Borja	2011	6	101,0	PACMA
13	Campo de Borja	2011	7	84,0	Eb
13	Campo de Borja	2011	8	17,0	PCPE
13	Campo de Borja	2011	9	29,0	PUM+J
13	Campo de Borja	2011	11	10,0	UCE
13	Campo de Borja	2011	12	25,0	DeC
13	Campo de Borja	2011	13	11,0	PH
13	Campo de Borja	2011	14	12,0	P-LIB
13	Campo de Borja	2011	15	0,0	SXT
14	Aranda	2011	1	7035,0	PP-PAR
14	Aranda	2011	2	3622,0	PSOE
14	Aranda	2011	3	607,0	CHA-IU
14	Aranda	2011	4	53,0	UPyD
14	Aranda	2011	5	22,0	EQUO
14	Aranda	2011	6	17,0	PACMA
14	Aranda	2011	7	36,0	Eb
14	Aranda	2011	8	10,0	PCPE
14	Aranda	2011	9	10,0	PUM+J
14	Aranda	2011	11	0,0	UCE
14	Aranda	2011	12	5,0	DeC
14	Aranda	2011	13	2,0	PH
14	Aranda	2011	14	6,0	P-LIB
14	Aranda	2011	15	0,0	SXT
15	Ribera Alta del Ebro	2011	1	17962,0	PP-PAR
15	Ribera Alta del Ebro	2011	2	16650,0	PSOE
15	Ribera Alta del Ebro	2011	3	3596,0	CHA-IU
15	Ribera Alta del Ebro	2011	4	500,0	UPyD
15	Ribera Alta del Ebro	2011	5	166,0	EQUO
15	Ribera Alta del Ebro	2011	6	224,0	PACMA
15	Ribera Alta del Ebro	2011	7	172,0	Eb
15	Ribera Alta del Ebro	2011	8	34,0	PCPE
15	Ribera Alta del Ebro	2011	9	46,0	PUM+J
15	Ribera Alta del Ebro	2011	11	17,0	UCE
15	Ribera Alta del Ebro	2011	12	32,0	DeC
15	Ribera Alta del Ebro	2011	13	24,0	PH
15	Ribera Alta del Ebro	2011	14	24,0	P-LIB
15	Ribera Alta del Ebro	2011	15	0,0	SXT
16	Valdejalón	2011	1	20732,0	PP-PAR
16	Valdejalón	2011	2	12251,0	PSOE
16	Valdejalón	2011	3	2671,0	CHA-IU
16	Valdejalón	2011	4	525,0	UPyD
16	Valdejalón	2011	5	217,0	EQUO
16	Valdejalón	2011	6	182,0	PACMA
16	Valdejalón	2011	7	208,0	Eb
16	Valdejalón	2011	8	44,0	PCPE
16	Valdejalón	2011	9	53,0	PUM+J
16	Valdejalón	2011	11	15,0	UCE
16	Valdejalón	2011	12	37,0	DeC
16	Valdejalón	2011	13	18,0	PH
16	Valdejalón	2011	14	28,0	P-LIB
16	Valdejalón	2011	15	0,0	SXT
17	D.C. Zaragoza	2011	1	495348,0	PP-PAR
17	D.C. Zaragoza	2011	2	302381,0	PSOE
17	D.C. Zaragoza	2011	3	121856,0	CHA-IU
17	D.C. Zaragoza	2011	4	28462,0	UPyD
17	D.C. Zaragoza	2011	5	10336,0	EQUO
17	D.C. Zaragoza	2011	6	8777,0	PACMA
17	D.C. Zaragoza	2011	7	11385,0	Eb
17	D.C. Zaragoza	2011	8	1479,0	PCPE
17	D.C. Zaragoza	2011	9	2416,0	PUM+J
17	D.C. Zaragoza	2011	11	627,0	UCE
17	D.C. Zaragoza	2011	12	1593,0	DeC
17	D.C. Zaragoza	2011	13	1031,0	PH
17	D.C. Zaragoza	2011	14	850,0	P-LIB
17	D.C. Zaragoza	2011	15	0,0	SXT
18	Ribera Baja del Ebro	2011	1	6644,0	PP-PAR
18	Ribera Baja del Ebro	2011	2	5864,0	PSOE
18	Ribera Baja del Ebro	2011	3	927,0	CHA-IU
18	Ribera Baja del Ebro	2011	4	173,0	UPyD
18	Ribera Baja del Ebro	2011	5	35,0	EQUO
18	Ribera Baja del Ebro	2011	6	73,0	PACMA
18	Ribera Baja del Ebro	2011	7	43,0	Eb
18	Ribera Baja del Ebro	2011	8	16,0	PCPE
18	Ribera Baja del Ebro	2011	9	17,0	PUM+J
18	Ribera Baja del Ebro	2011	11	5,0	UCE
18	Ribera Baja del Ebro	2011	12	8,0	DeC
18	Ribera Baja del Ebro	2011	13	9,0	PH
18	Ribera Baja del Ebro	2011	14	4,0	P-LIB
18	Ribera Baja del Ebro	2011	15	0,0	SXT
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	1	9619,0	PP-PAR
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	2	7572,0	PSOE
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	3	1157,0	CHA-IU
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	4	233,0	UPyD
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	5	93,0	EQUO
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	6	99,0	PACMA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	7	95,0	Eb
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	8	18,0	PCPE
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	9	31,0	PUM+J
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	11	7,0	UCE
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	12	31,0	DeC
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	13	12,0	PH
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	14	13,0	P-LIB
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	15	0,0	SXT
20	Comunidad de Calatayud	2011	1	31610,0	PP-PAR
20	Comunidad de Calatayud	2011	2	21037,0	PSOE
20	Comunidad de Calatayud	2011	3	3253,0	CHA-IU
20	Comunidad de Calatayud	2011	4	722,0	UPyD
20	Comunidad de Calatayud	2011	5	230,0	EQUO
20	Comunidad de Calatayud	2011	6	265,0	PACMA
20	Comunidad de Calatayud	2011	7	264,0	Eb
20	Comunidad de Calatayud	2011	8	71,0	PCPE
20	Comunidad de Calatayud	2011	9	71,0	PUM+J
20	Comunidad de Calatayud	2011	11	36,0	UCE
20	Comunidad de Calatayud	2011	12	52,0	DeC
20	Comunidad de Calatayud	2011	13	36,0	PH
20	Comunidad de Calatayud	2011	14	34,0	P-LIB
20	Comunidad de Calatayud	2011	15	0,0	SXT
21	Campo de Cariñena	2011	1	8215,0	PP-PAR
21	Campo de Cariñena	2011	2	6255,0	PSOE
21	Campo de Cariñena	2011	3	1149,0	CHA-IU
21	Campo de Cariñena	2011	4	139,0	UPyD
21	Campo de Cariñena	2011	5	55,0	EQUO
21	Campo de Cariñena	2011	6	45,0	PACMA
21	Campo de Cariñena	2011	7	47,0	Eb
21	Campo de Cariñena	2011	8	13,0	PCPE
21	Campo de Cariñena	2011	9	14,0	PUM+J
21	Campo de Cariñena	2011	11	6,0	UCE
21	Campo de Cariñena	2011	12	9,0	DeC
21	Campo de Cariñena	2011	13	5,0	PH
21	Campo de Cariñena	2011	14	5,0	P-LIB
21	Campo de Cariñena	2011	15	0,0	SXT
22	Campo de Belchite	2011	1	5715,0	PP-PAR
22	Campo de Belchite	2011	2	3032,0	PSOE
22	Campo de Belchite	2011	3	464,0	CHA-IU
22	Campo de Belchite	2011	4	84,0	UPyD
22	Campo de Belchite	2011	5	30,0	EQUO
22	Campo de Belchite	2011	6	28,0	PACMA
22	Campo de Belchite	2011	7	40,0	Eb
22	Campo de Belchite	2011	8	3,0	PCPE
22	Campo de Belchite	2011	9	9,0	PUM+J
22	Campo de Belchite	2011	11	3,0	UCE
22	Campo de Belchite	2011	12	12,0	DeC
22	Campo de Belchite	2011	13	1,0	PH
22	Campo de Belchite	2011	14	2,0	P-LIB
22	Campo de Belchite	2011	15	0,0	SXT
23	Bajo Martín	2011	1	5509,0	PP-PAR
23	Bajo Martín	2011	2	4609,0	PSOE
23	Bajo Martín	2011	3	832,0	CHA-IU
23	Bajo Martín	2011	4	65,0	UPyD
