Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2018	22112	Fraga	66	Actividades auxiliares a los servicios financieros y a los seguros	55
2018	22112	Fraga	68	Actividades inmobiliarias	287
2018	22112	Fraga	69	Actividades jurídicas y de contabilidad	79
2018	22112	Fraga	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	67
2018	22112	Fraga	72	Investigación y desarrollo	11
2018	22112	Fraga	73	Publicidad y estudios de mercado	15
2018	22112	Fraga	74	Otras actividades profesionales, científicas y técnicas	37
2018	22112	Fraga	75	Actividades veterinarias	5
2018	22112	Fraga	77	Actividades de alquiler	35
2018	22112	Fraga	78	Actividades relacionadas con el empleo	10
2018	22112	Fraga	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	6
2018	22112	Fraga	81	Servicios a edificios y actividades de jardinería	13
2018	22112	Fraga	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	47
2018	22112	Fraga	85	Educación	75
2018	22112	Fraga	86	Actividades sanitarias	49
2018	22112	Fraga	87	Asistencia en establecimientos residenciales	5
2018	22112	Fraga	88	Actividades de servicios sociales sin alojamiento	6
2018	22112	Fraga	90	Actividades de creación, artísticas y espectáculos	16
2018	22112	Fraga	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	3
2018	22112	Fraga	92	Actividades de juegos de azar y apuestas	9
2018	22112	Fraga	93	Actividades deportivas, recreativas y de entretenimiento	24
2018	22112	Fraga	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	27
2018	22112	Fraga	96	Otros servicios personales	73
2018	22125	Huesca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	202
2018	22125	Huesca	02	Silvicultura y explotación forestal	8
2018	22125	Huesca	05	Extracción de antracita, hulla y lignito	1
2018	22125	Huesca	08	Otras industrias extractivas	1
2018	22125	Huesca	10	Industria de la alimentación	35
2018	22125	Huesca	11	Fabricación de bebidas	1
2018	22125	Huesca	13	Industria textil	11
2018	22125	Huesca	14	Confección de prendas de vestir	17
2018	22125	Huesca	15	Industria del cuero y del calzado	4
2018	22125	Huesca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	22
2018	22125	Huesca	17	Industria del papel	2
2018	22125	Huesca	18	Artes gráficas y reproducción de soportes grabados	42
2018	22125	Huesca	20	Industria química	11
2018	22125	Huesca	21	Fabricación de productos farmacéuticos	2
2018	22125	Huesca	22	Fabricación de productos de caucho y plásticos	5
2018	22125	Huesca	23	Fabricación de otros productos minerales no metálicos	7
2018	22125	Huesca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	84
2018	22125	Huesca	26	Fabricación de productos informáticos, electrónicos y ópticos	5
2018	22125	Huesca	27	Fabricación de material y equipo eléctrico	8
2018	22125	Huesca	28	Fabricación de maquinaria y equipo n.c.o.p.	22
2018	22125	Huesca	29	Fabricación de vehículos de motor, remolques y semirremolques	8
2018	22125	Huesca	30	Fabricación de otro material de transporte	6
2018	22125	Huesca	31	Fabricación de muebles	21
2018	22125	Huesca	32	Otras industrias manufactureras	24
2018	22125	Huesca	33	Reparación e instalación de maquinaria y equipo	29
2018	22125	Huesca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	45
2018	22125	Huesca	36	Captación, depuración y distribución de agua	4
2018	22125	Huesca	37	Recogida y tratamiento de aguas residuales	5
2018	22125	Huesca	38	Recogida, tratamiento y eliminación de residuos; valorización	11
2018	22125	Huesca	39	Actividades de descontaminación y otros servicios de gestión de residuos	14
2018	22125	Huesca	41	Construcción de edificios	336
2018	22125	Huesca	42	Ingeniería civil	84
2018	22125	Huesca	43	Actividades de construcción especializada	723
2018	22125	Huesca	45	Venta y reparación de vehículos de motor y motocicletas	286
2018	22125	Huesca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	522
2018	22125	Huesca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	1555
2018	22125	Huesca	49	Transporte terrestre y por tubería	272
2018	22125	Huesca	52	Almacenamiento y actividades anexas al transporte	34
2018	22125	Huesca	53	Actividades postales y de correos	31
2018	22125	Huesca	55	Servicios de alojamiento	46
2018	22125	Huesca	56	Servicios de comidas y bebidas	513
2018	22125	Huesca	58	Edición	43
2018	22125	Huesca	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	37
2018	22125	Huesca	60	Actividades de programación y emisión de radio y televisión	9
2018	22125	Huesca	61	Telecomunicaciones	12
2018	22125	Huesca	62	Programación, consultoría y otras actividades relacionadas con la informática	108
2018	22125	Huesca	63	Servicios de información	7
2018	22125	Huesca	64	Servicios financieros, excepto seguros y fondos de pensiones	40
2018	22125	Huesca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	21
2018	22125	Huesca	66	Actividades auxiliares a los servicios financieros y a los seguros	172
2018	22125	Huesca	68	Actividades inmobiliarias	1102
2018	22125	Huesca	69	Actividades jurídicas y de contabilidad	302
2018	22125	Huesca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	412
2018	22125	Huesca	72	Investigación y desarrollo	64
2018	22125	Huesca	73	Publicidad y estudios de mercado	132
2018	22125	Huesca	74	Otras actividades profesionales, científicas y técnicas	225
2018	22125	Huesca	75	Actividades veterinarias	25
2018	22125	Huesca	77	Actividades de alquiler	113
2018	22125	Huesca	78	Actividades relacionadas con el empleo	22
2018	22125	Huesca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	51
2018	22125	Huesca	80	Actividades de seguridad e investigación	16
2018	22125	Huesca	81	Servicios a edificios y actividades de jardinería	129
2018	22125	Huesca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	216
2018	22125	Huesca	85	Educación	601
2018	22125	Huesca	86	Actividades sanitarias	364
2018	22125	Huesca	87	Asistencia en establecimientos residenciales	30
2018	22125	Huesca	88	Actividades de servicios sociales sin alojamiento	36
2018	22125	Huesca	90	Actividades de creación, artísticas y espectáculos	230
2018	22125	Huesca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	66
2018	22125	Huesca	92	Actividades de juegos de azar y apuestas	31
2018	22125	Huesca	93	Actividades deportivas, recreativas y de entretenimiento	128
2018	22125	Huesca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	129
2018	22125	Huesca	96	Otros servicios personales	358
2018	22130	Jaca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	58
2018	22130	Jaca	02	Silvicultura y explotación forestal	4
2018	22130	Jaca	06	Extracción de crudo de petróleo y gas natural	1
2018	22130	Jaca	10	Industria de la alimentación	8
2018	22130	Jaca	11	Fabricación de bebidas	3
2018	22130	Jaca	13	Industria textil	2
2018	22130	Jaca	14	Confección de prendas de vestir	5
2018	22130	Jaca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	8
2018	22130	Jaca	18	Artes gráficas y reproducción de soportes grabados	8
2018	22130	Jaca	23	Fabricación de otros productos minerales no metálicos	3
2018	22130	Jaca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	14
2018	22130	Jaca	27	Fabricación de material y equipo eléctrico	2
2018	22130	Jaca	28	Fabricación de maquinaria y equipo n.c.o.p.	2
2018	22130	Jaca	30	Fabricación de otro material de transporte	1
