Año	Nº Accidentes	Temporalidad	Ord_Temporalidad	Sector Código	Sector Descripción	CCAA
2012,0	76	Sin clasificar	3	3	Construcción	Aragón
2012,0	81	Sin clasificar	3	4	Servicios	Aragón
2013,0	147	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2013,0	32	Sin clasificar	3	2	Industria y energía	Aragón
2013,0	67	Sin clasificar	3	3	Construcción	Aragón
2013,0	85	Sin clasificar	3	4	Servicios	Aragón
2014,0	134	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2014,0	20	Sin clasificar	3	2	Industria y energía	Aragón
2014,0	69	Sin clasificar	3	3	Construcción	Aragón
2014,0	95	Sin clasificar	3	4	Servicios	Aragón
2015,0	130	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2015,0	17	Sin clasificar	3	2	Industria y energía	Aragón
2015,0	53	Sin clasificar	3	3	Construcción	Aragón
2015,0	98	Sin clasificar	3	4	Servicios	Aragón
2019,0	205	Sin clasificar	3	1	Agricultura, ganadería y pesca	Aragón
2019,0	139	Sin clasificar	3	2	Industria y energía	Aragón
2019,0	259	Sin clasificar	3	3	Construcción	Aragón
2019,0	397	Sin clasificar	3	4	Servicios	Aragón
