Año	Renta disponible bruta	Código	Comarca
2015	332467341,0	08	Cinca Medio
2015	242516711,0	09	La Litera / La Llitera
2015	215407262,0	10	Los Monegros
2015	312262178,0	11	Bajo Cinca / Baix Cinca
2015	173024080,0	12	Tarazona y el Moncayo
2015	167234060,0	13	Campo de Borja
2015	74725060,0	14	Aranda
2015	336708477,0	15	Ribera Alta del Ebro
2015	322272633,0	16	Valdejalón
2015	12475563659,0	17	D.C. Zaragoza
2015	108900048,0	18	Ribera Baja del Ebro
2015	164952087,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	459949990,0	20	Comunidad de Calatayud
2015	106345627,0	21	Campo de Cariñena
2015	39602867,0	22	Campo de Belchite
2015	71487224,0	23	Bajo Martín
2015	64739512,0	24	Campo de Daroca
2015	143535073,0	25	Jiloca
2015	105864284,0	26	Cuencas Mineras
2015	158706580,0	27	Andorra-Sierra de Arcos
2015	388637273,0	28	Bajo Aragón
2015	703352426,0	29	Comunidad de Teruel
2015	35676470,0	30	Maestrazgo
2015	48018621,0	31	Sierra de Albarracín
2015	88849627,0	32	Gúdar-Javalambre
2015	86644712,0	33	Matarraña / Matarranya
2014	321822448,0	01	La Jacetania
2014	223396211,0	02	Alto Gállego
2014	109764295,0	03	Sobrarbe
2014	177586185,0	04	La Ribagorza
2014	374163843,0	05	Cinco Villas
2014	1134335595,0	06	Hoya de Huesca / Plana de Uesca
2014	341656559,0	07	Somontano de Barbastro
2014	325409715,0	08	Cinca Medio
2014	234508829,0	09	La Litera / La Llitera
2014	208988552,0	10	Los Monegros
2014	301198761,0	11	Bajo Cinca / Baix Cinca
2014	167860075,0	12	Tarazona y el Moncayo
2014	162544613,0	13	Campo de Borja
2014	74785451,0	14	Aranda
2014	327770471,0	15	Ribera Alta del Ebro
2014	313928044,0	16	Valdejalón
2014	12136005371,0	17	D.C. Zaragoza
2014	105261858,0	18	Ribera Baja del Ebro
2014	161094457,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	456902183,0	20	Comunidad de Calatayud
2014	107071900,0	21	Campo de Cariñena
2014	41348612,0	22	Campo de Belchite
2014	69735582,0	23	Bajo Martín
2014	65640904,0	24	Campo de Daroca
2014	141156286,0	25	Jiloca
2014	105816919,0	26	Cuencas Mineras
2014	157947643,0	27	Andorra-Sierra de Arcos
2014	380959665,0	28	Bajo Aragón
2014	689776637,0	29	Comunidad de Teruel
2014	35202942,0	30	Maestrazgo
2014	46804963,0	31	Sierra de Albarracín
2014	87825286,0	32	Gúdar-Javalambre
2014	84362142,0	33	Matarraña / Matarranya
2013	325414515,0	01	La Jacetania
2013	225886566,0	02	Alto Gállego
2013	110277574,0	03	Sobrarbe
2013	178292525,0	04	La Ribagorza
2013	383118202,0	05	Cinco Villas
2013	1149038518,0	06	Hoya de Huesca / Plana de Uesca
2013	345089456,0	07	Somontano de Barbastro
2013	328810349,0	08	Cinca Medio
2013	238498618,0	09	La Litera / La Llitera
2013	217917747,0	10	Los Monegros
2013	306256434,0	11	Bajo Cinca / Baix Cinca
2013	168317068,0	12	Tarazona y el Moncayo
2013	163584248,0	13	Campo de Borja
2013	76246064,0	14	Aranda
2013	326953976,0	15	Ribera Alta del Ebro
2013	319053419,0	16	Valdejalón
2013	12282033544,0	17	D.C. Zaragoza
2013	106743213,0	18	Ribera Baja del Ebro
2013	161726890,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	472599837,0	20	Comunidad de Calatayud
2013	106303280,0	21	Campo de Cariñena
2013	41201366,0	22	Campo de Belchite
2013	70255581,0	23	Bajo Martín
2013	66716937,0	24	Campo de Daroca
2013	143209965,0	25	Jiloca
2013	108382687,0	26	Cuencas Mineras
2013	162075975,0	27	Andorra-Sierra de Arcos
2013	383422399,0	28	Bajo Aragón
2013	699283669,0	29	Comunidad de Teruel
2013	35634596,0	30	Maestrazgo
2013	47735693,0	31	Sierra de Albarracín
2013	89015874,0	32	Gúdar-Javalambre
2013	82304208,0	33	Matarraña / Matarranya
2012	339819228,0	01	La Jacetania
2012	238767165,0	02	Alto Gállego
2012	113514379,0	03	Sobrarbe
2012	184027867,0	04	La Ribagorza
2012	398655627,0	05	Cinco Villas
2012	1187189612,0	06	Hoya de Huesca / Plana de Uesca
2012	362754236,0	07	Somontano de Barbastro
2012	337905001,0	08	Cinca Medio
2012	247911382,0	09	La Litera / La Llitera
2012	215162334,0	10	Los Monegros
2012	323717018,0	11	Bajo Cinca / Baix Cinca
2012	176082668,0	12	Tarazona y el Moncayo
2012	170345162,0	13	Campo de Borja
2012	80270796,0	14	Aranda
2012	342805870,0	15	Ribera Alta del Ebro
2012	332071239,0	16	Valdejalón
2012	12081529942,0	17	D.C. Zaragoza
2012	108395503,0	18	Ribera Baja del Ebro
2012	165125625,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2012	492134240,0	20	Comunidad de Calatayud
2012	110812331,0	21	Campo de Cariñena
2012	40186788,0	22	Campo de Belchite
2012	73523240,0	23	Bajo Martín
2012	67171096,0	24	Campo de Daroca
2012	148447191,0	25	Jiloca
2012	112711400,0	26	Cuencas Mineras
2012	173311442,0	27	Andorra-Sierra de Arcos
2012	401721365,0	28	Bajo Aragón
2012	723142348,0	29	Comunidad de Teruel
2012	37545732,0	30	Maestrazgo
2012	49202130,0	31	Sierra de Albarracín
2012	92433352,0	32	Gúdar-Javalambre
2012	84142706,0	33	Matarraña / Matarranya
2011	364931501,0	01	La Jacetania
2011	252466795,0	02	Alto Gállego
2011	119436268,0	03	Sobrarbe
2011	194229055,0	04	La Ribagorza
2011	422715317,0	05	Cinco Villas
2011	1266582130,0	06	Hoya de Huesca / Plana de Uesca
2011	389267654,0	07	Somontano de Barbastro
2011	356579601,0	08	Cinca Medio
2011	260040639,0	09	La Litera / La Llitera
2011	233331536,0	10	Los Monegros
2011	331369091,0	11	Bajo Cinca / Baix Cinca
2011	187025255,0	12	Tarazona y el Moncayo
2011	180152465,0	13	Campo de Borja
2011	83831681,0	14	Aranda
2011	363498926,0	15	Ribera Alta del Ebro
2011	349724069,0	16	Valdejalón
2011	12768817900,0	17	D.C. Zaragoza
2011	115263129,0	18	Ribera Baja del Ebro
2011	171604097,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2011	516515635,0	20	Comunidad de Calatayud
2011	115301551,0	21	Campo de Cariñena
2011	43285427,0	22	Campo de Belchite
2011	77975577,0	23	Bajo Martín
2011	72875573,0	24	Campo de Daroca
2011	159154415,0	25	Jiloca
2011	120913546,0	26	Cuencas Mineras
2011	185564028,0	27	Andorra-Sierra de Arcos
2011	427212778,0	28	Bajo Aragón
2011	771649244,0	29	Comunidad de Teruel
2011	38954663,0	30	Maestrazgo
2011	53138217,0	31	Sierra de Albarracín
2011	96354095,0	32	Gúdar-Javalambre
2011	88735140,0	33	Matarraña / Matarranya
2010	362020778,0	01	La Jacetania
2010	255428970,0	02	Alto Gállego
2010	118675008,0	03	Sobrarbe
2010	192834630,0	04	La Ribagorza
2010	417880033,0	05	Cinco Villas
