Mes (código)	Mes y año	Municipio nombre	Municipio código	Sexo	Nacionalidad	Afiliaciones en alta
201209	Septiembre 2012	Saviñán	50241	Hombres	Extranjeros no comunitarios	62
201209	Septiembre 2012	Saviñán	50241	Mujeres	Extranjeros no comunitarios	4
201209	Septiembre 2012	Saviñán	50241	Hombres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Saviñán	50241	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Secastilla	22214	Hombres	Españoles	37
201209	Septiembre 2012	Secastilla	22214	Mujeres	Españoles	65
201209	Septiembre 2012	Secastilla	22214	Hombres	Extranjeros comunitarios (UE-27)	3
201209	Septiembre 2012	Secastilla	22214	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Secastilla	22214	Hombres	Extranjeros no comunitarios	2
201209	Septiembre 2012	Secastilla	22214	Mujeres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Secastilla	22214	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sediles	50242	Hombres	Españoles	2
201209	Septiembre 2012	Sediles	50242	Mujeres	Españoles	3
201209	Septiembre 2012	Sediles	50242	Hombres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Sediles	50242	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sediles	50242	Hombres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Segura de los Baños	44211	Mujeres	Españoles	1
201209	Septiembre 2012	Seira	22215	Hombres	Españoles	9
201209	Septiembre 2012	Seira	22215	Mujeres	Españoles	6
201209	Septiembre 2012	Seira	22215	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sena	22217	Hombres	Españoles	73
201209	Septiembre 2012	Sena	22217	Mujeres	Españoles	28
201209	Septiembre 2012	Sena	22217	Hombres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Sena	22217	Mujeres	Extranjeros comunitarios (UE-27)	4
201209	Septiembre 2012	Sena	22217	Hombres	Extranjeros no comunitarios	10
201209	Septiembre 2012	Sena	22217	Mujeres	Extranjeros no comunitarios	2
201209	Septiembre 2012	Seno	44212	Hombres	Españoles	6
201209	Septiembre 2012	Seno	44212	Mujeres	Españoles	1
201209	Septiembre 2012	Seno	44212	Hombres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Senés de Alcubierre	22218	Hombres	Españoles	8
201209	Septiembre 2012	Senés de Alcubierre	22218	Mujeres	Españoles	2
201209	Septiembre 2012	Senés de Alcubierre	22218	Hombres	Extranjeros comunitarios (UE-27)	2
201209	Septiembre 2012	Sesa	22220	Hombres	Españoles	43
201209	Septiembre 2012	Sesa	22220	Mujeres	Españoles	6
201209	Septiembre 2012	Sesa	22220	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sesa	22220	Hombres	Extranjeros no comunitarios	2
201209	Septiembre 2012	Sesa	22220	Hombres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sesa	22220	Mujeres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Sestrica	50243	Hombres	Españoles	54
201209	Septiembre 2012	Sestrica	50243	Mujeres	Españoles	18
201209	Septiembre 2012	Sestrica	50243	Hombres	Extranjeros comunitarios (UE-27)	3
201209	Septiembre 2012	Sestrica	50243	Mujeres	Extranjeros comunitarios (UE-27)	1
201209	Septiembre 2012	Sestrica	50243	Hombres	Extranjeros no comunitarios	4
201209	Septiembre 2012	Sestrica	50243	Mujeres	Extranjeros no comunitarios	1
201209	Septiembre 2012	Sesué	22221	Hombres	Españoles	26
201209	Septiembre 2012	Sesué	22221	Mujeres	Españoles	12
201209	Septiembre 2012	Sesué	22221	Hombres	Extranjeros comunitarios (UE-27)	1
