Municipio código	Municipio nombre	Año	Orden	Siglas	Votos
22047	Banastás	2011	1	PP	111,0
22047	Banastás	2011	2	PSOE	76,0
22047	Banastás	2015	6	PSOE	80,0
22047	Banastás	2015	8	PP	109,0
22048	Barbastro	2007	1	PSOE	4325,0
22048	Barbastro	2007	2	PP	2106,0
22048	Barbastro	2007	3	PAR	481,0
22048	Barbastro	2007	4	CHA	695,0
22048	Barbastro	2007	5	IU	520,0
22048	Barbastro	2011	1	PP	2881,0
22048	Barbastro	2011	2	PSOE	3685,0
22048	Barbastro	2011	3	PAR	659,0
22048	Barbastro	2011	4	CHA	430,0
22048	Barbastro	2011	5	IU	547,0
22048	Barbastro	2015	4	C's	826,0
22048	Barbastro	2015	5	PAR	727,0
22048	Barbastro	2015	6	PSOE	3132,0
22048	Barbastro	2015	7	CHA	362,0
22048	Barbastro	2015	8	PP	1917,0
22048	Barbastro	2015	13	ARAGONSIPUEDE	221,0
22048	Barbastro	2015	36	CAMBIAR	601,0
22048	Barbastro	2015	47	C.P.Btro	327,0
22049	Barbués	2007	1	PSOE	38,0
22049	Barbués	2007	2	PP	49,0
22049	Barbués	2007	3	PAR	1,0
22049	Barbués	2007	4	CHA	0,0
22049	Barbués	2011	1	PP	42,0
22049	Barbués	2011	2	PSOE	24,0
22049	Barbués	2011	3	PAR	2,0
22049	Barbués	2015	5	PAR	1,0
22049	Barbués	2015	6	PSOE	31,0
22049	Barbués	2015	8	PP	31,0
22050	Barbuñales	2007	1	PSOE	39,0
22050	Barbuñales	2007	2	PP	48,0
22050	Barbuñales	2007	3	PAR	8,0
22050	Barbuñales	2007	4	CHA	6,0
22050	Barbuñales	2011	1	PP	48,0
22050	Barbuñales	2011	2	PSOE	41,0
22050	Barbuñales	2011	3	PAR	2,0
22050	Barbuñales	2015	5	PAR	5,0
22050	Barbuñales	2015	6	PSOE	39,0
22050	Barbuñales	2015	8	PP	11,0
22051	Bárcabo	2007	1	PSOE	45,0
22051	Bárcabo	2007	2	PP	39,0
22051	Bárcabo	2007	4	CHA	28,0
22051	Bárcabo	2011	1	PP	36,0
22051	Bárcabo	2011	2	PSOE	64,0
22051	Bárcabo	2011	3	PAR	19,0
22051	Bárcabo	2011	4	CHA	6,0
22051	Bárcabo	2015	5	PAR	13,0
22051	Bárcabo	2015	6	PSOE	56,0
22051	Bárcabo	2015	7	CHA	18,0
22051	Bárcabo	2015	8	PP	20,0
22052	Belver de Cinca	2007	1	PSOE	478,0
22052	Belver de Cinca	2007	2	PP	247,0
22052	Belver de Cinca	2007	3	PAR	93,0
22052	Belver de Cinca	2011	1	PP	249,0
22052	Belver de Cinca	2011	2	PSOE	367,0
22052	Belver de Cinca	2011	3	PAR	128,0
22052	Belver de Cinca	2015	5	PAR	206,0
22052	Belver de Cinca	2015	6	PSOE	314,0
22052	Belver de Cinca	2015	8	PP	183,0
22053	Benabarre	2007	1	PSOE	382,0
22053	Benabarre	2007	2	PP	124,0
22053	Benabarre	2007	3	PAR	52,0
22053	Benabarre	2007	4	CHA	111,0
22053	Benabarre	2011	1	PP	198,0
22053	Benabarre	2011	2	PSOE	327,0
22053	Benabarre	2011	4	CHA	55,0
22053	Benabarre	2011	20	CDF	14,0
22053	Benabarre	2015	5	PAR	6,0
22053	Benabarre	2015	6	PSOE	242,0
22053	Benabarre	2015	8	PP	213,0
22053	Benabarre	2015	13	ARAGONSIPUEDE	84,0
22054	Benasque	2007	1	PSOE	230,0
22054	Benasque	2007	2	PP	141,0
22054	Benasque	2007	3	PAR	434,0
22054	Benasque	2007	4	CHA	25,0
22054	Benasque	2007	5	IU	100,0
22054	Benasque	2011	1	PP	315,0
22054	Benasque	2011	2	PSOE	188,0
22054	Benasque	2011	3	PAR	381,0
22054	Benasque	2011	5	IU	145,0
22054	Benasque	2011	33	CCD	40,0
22054	Benasque	2015	4	C's	45,0
22054	Benasque	2015	5	PAR	394,0
22054	Benasque	2015	6	PSOE	191,0
22054	Benasque	2015	7	CHA	34,0
22054	Benasque	2015	8	PP	291,0
22054	Benasque	2015	70	CAMBIAR	107,0
22055	Berbegal	2007	1	PSOE	121,0
22055	Berbegal	2007	2	PP	38,0
22055	Berbegal	2007	4	CHA	178,0
22055	Berbegal	2011	1	PP	44,0
22055	Berbegal	2011	2	PSOE	121,0
22055	Berbegal	2011	4	CHA	138,0
22055	Berbegal	2011	8	FIA	6,0
22055	Berbegal	2015	6	PSOE	143,0
22055	Berbegal	2015	8	PP	123,0
22057	Bielsa	2007	1	PSOE	236,0
22057	Bielsa	2007	2	PP	7,0
22057	Bielsa	2007	4	CHA	102,0
22057	Bielsa	2011	2	PSOE	230,0
22057	Bielsa	2011	4	CHA	86,0
22057	Bielsa	2015	6	PSOE	180,0
22057	Bielsa	2015	7	CHA	76,0
22058	Bierge	2007	1	PSOE	78,0
22058	Bierge	2007	2	PP	28,0
22058	Bierge	2007	3	PAR	29,0
22058	Bierge	2007	4	CHA	39,0
22058	Bierge	2011	1	PP	68,0
22058	Bierge	2011	2	PSOE	68,0
22058	Bierge	2011	3	PAR	14,0
22058	Bierge	2015	5	PAR	9,0
22058	Bierge	2015	6	PSOE	87,0
22058	Bierge	2015	8	PP	58,0
22058	Bierge	2015	83	CAMBIAR	43,0
22059	Biescas	2007	1	PSOE	271,0
22059	Biescas	2007	2	PP	73,0
22059	Biescas	2007	3	PAR	363,0
22059	Biescas	2007	4	CHA	112,0
22059	Biescas	2007	5	IU	100,0
22059	Biescas	2011	1	PP	155,0
22059	Biescas	2011	2	PSOE	232,0
22059	Biescas	2011	3	PAR	301,0
22059	Biescas	2011	4	CHA	65,0
22059	Biescas	2011	5	IU	97,0
22059	Biescas	2015	5	PAR	402,0
22059	Biescas	2015	6	PSOE	266,0
22059	Biescas	2015	8	PP	130,0
22060	Binaced	2007	1	PSOE	529,0
22060	Binaced	2007	2	PP	245,0
22060	Binaced	2007	3	PAR	198,0
22060	Binaced	2007	5	IU	40,0
22060	Binaced	2011	1	PP	241,0
22060	Binaced	2011	2	PSOE	414,0
22060	Binaced	2011	3	PAR	259,0
22060	Binaced	2015	5	PAR	310,0
22060	Binaced	2015	6	PSOE	404,0
22060	Binaced	2015	8	PP	154,0
22061	Binéfar	2007	1	PSOE	1617,0
22061	Binéfar	2007	2	PP	1299,0
22061	Binéfar	2007	3	PAR	634,0
22061	Binéfar	2007	4	CHA	277,0
22061	Binéfar	2007	10	IU-A	265,0
22061	Binéfar	2011	1	PP	1562,0
22061	Binéfar	2011	2	PSOE	1484,0
22061	Binéfar	2011	3	PAR	935,0
22061	Binéfar	2011	4	CHA	202,0
22061	Binéfar	2011	5	IU	227,0
22061	Binéfar	2015	5	PAR	444,0
22061	Binéfar	2015	6	PSOE	1258,0
22061	Binéfar	2015	7	CHA	134,0
22061	Binéfar	2015	8	PP	1339,0
22061	Binéfar	2015	31	CAMBIAR	924,0
22062	Bisaurri	2007	1	PSOE	68,0
22062	Bisaurri	2007	2	PP	54,0
22062	Bisaurri	2007	3	PAR	2,0
22062	Bisaurri	2007	4	CHA	9,0
22062	Bisaurri	2011	1	PP	63,0
22062	Bisaurri	2011	2	PSOE	21,0
22062	Bisaurri	2011	3	PAR	59,0
22062	Bisaurri	2015	5	PAR	6,0
