Año	Municipio código	Municipio nombre	Contenedores de envases	Kg recogidos envases	Provincia codigo
2018	44060	Cañada de Benatanduz	1	403	44
2018	44061	Cañada de Verich (La)	2	1220	44
2018	44062	Cañada Vellida	1	336	44
2018	44063	Cañizar del Olivar	1	893	44
2018	44064	Cascante del Río	1	701	44
2018	44065	Castejón de Tornos	1	852	44
2018	44066	Castel de Cabra	1	1076	44
2018	44067	Castelnou	5	2109	44
2018	44068	Castelserás	16	11810	44
2018	44070	Castellar (El)	2	519	44
2018	44071	Castellote	11	6610	44
2018	44074	Cedrillas	5	5870	44
2018	44075	Celadas	2	3920	44
2018	44076	Cella	12	25362	44
2018	44077	Cerollera (La)	4	1406	44
2018	44080	Codoñera (La)	8	5195	44
2018	44082	Corbalán	1	1047	44
2018	44084	Cortes de Aragón	1	548	44
2018	44085	Cosa	2	756	44
2018	44086	Cretas	32	14698	44
2018	44087	Crivillén	10	1005	44
2018	44088	Cuba (La)	1	346	44
2018	44089	Cubla	1	528	44
2018	44090	Cucalón	2	1251	44
2018	44092	Cuervo (El)	1	893	44
2018	44093	Cuevas de Almudén	1	1326	44
2018	44094	Cuevas Labradas	1	1210	44
2018	44096	Ejulve	10	2647	44
2018	44097	Escorihuela	1	1412	44
2018	44099	Escucha	5	8771	44
2018	44100	Estercuel	10	3157	44
2018	44101	Ferreruela de Huerva	4	893	44
2018	44102	Fonfría	1	412	44
2018	44103	Formiche Alto	2	1489	44
2018	44105	Fórnoles	3	2004	44
2018	44106	Fortanete	1	1950	44
2018	44107	Foz-Calanda	4	3731	44
2018	44108	Fresneda (La)	20	11203	44
2018	44109	Frías de Albarracín	1	1201	44
2018	44110	Fuenferrada	1	490	44
2018	44111	Fuentes Calientes	1	1066	44
2018	44112	Fuentes Claras	9	6625	44
2018	44113	Fuentes de Rubielos	2	1076	44
2018	44114	Fuentespalda	11	7657	44
2018	44115	Galve	2	1556	44
2018	44116	Gargallo	10	1430	44
2018	44117	Gea de Albarracín	4	3574	44
2018	44118	Ginebrosa (La)	6	2827	44
2018	44119	Griegos	1	1451	44
2018	44120	Guadalaviar	2	2315	44
2018	44121	Gúdar	2	778	44
2018	44122	Híjar	25	24510	44
2018	44123	Hinojosa de Jarque	2	1268	44
2018	44124	Hoz de la Vieja (La)	0	826	44
2018	44125	Huesa del Común	1	644	44
2018	44126	Iglesuela del Cid (La)	2	3977	44
2018	44127	Jabaloyas	4	653	44
2018	44128	Jarque de la Val	1	692	44
2018	44129	Jatiel	3	592	44
2018	44130	Jorcas	1	307	44
2018	44131	Josa	1	307	44
2018	44132	Lagueruela	2	1154	44
2018	44133	Lanzuela	1	371	44
2018	44135	Libros	1	990	44
2018	44136	Lidón	1	509	44
2018	44137	Linares de Mora	3	2498	44
2018	44138	Loscos	3	1910	44
2018	44141	Lledó	10	4265	44
2018	44142	Maicas	1	298	44
2018	44143	Manzanera	11	4919	44
2018	44144	Martín del Río	4	4150	44
2018	44145	Mas de las Matas	25	18224	44
2018	44146	Mata de los Olmos (La)	5	3903	44
2018	44147	Mazaleón	15	13953	44
2018	44148	Mezquita de Jarque	1	980	44
2018	44149	Mirambel	1	1143	44
2018	44150	Miravete de la Sierra	0	298	44
2018	44151	Molinos	3	2354	44
2018	44152	Monforte de Moyuela	1	880	44
2018	44153	Monreal del Campo	47	34057	44
2018	44154	Monroyo	21	8608	44
2018	44155	Montalbán	7	12066	44
2018	44156	Monteagudo del Castillo	1	490	44
2018	44157	Monterde de Albarracín	1	596	44
2018	44158	Mora de Rubielos	12	15035	44
2018	44159	Moscardón	1	548	44
2018	44160	Mosqueruela	8	5361	44
2018	44161	Muniesa	4	6052	44
2018	44163	Noguera de Albarracín	1	1287	44
2018	44164	Nogueras	2	385	44
2018	44165	Nogueruelas	3	2027	44
2018	44167	Obón	1	423	44
2018	44168	Odón	4	2982	44
2018	44169	Ojos Negros	6	5401	44
2018	44171	Olba	7	2181	44
2018	44172	Oliete	10	5054	44
2018	44173	Olmos (Los)	3	1751	44
2018	44174	Orihuela del Tremedal	5	4736	44
2018	44175	Orrios	1	1220	44
2018	44176	Palomar de Arroyos	1	1624	44
2018	44177	Pancrudo	4	1143	44
2018	44178	Parras de Castellote (Las)	3	875	44
2018	44179	Peñarroya de Tastavins	21	11846	44
2018	44180	Peracense	3	1031	44
2018	44181	Peralejos	1	836	44
2018	44182	Perales del Alfambra	2	2123	44
2018	44183	Pitarque	3	807	44
2018	44184	Plou	1	432	44
2018	44185	Pobo (El)	1	1239	44
2018	44187	Portellada (La)	12	6321	44
2018	44189	Pozondón	1	519	44
2018	44190	Pozuel del Campo	2	962	44
2018	44191	Puebla de Híjar (La)	23	13635	44
2018	44192	Puebla de Valverde (La)	7	4390	44
2018	44193	Puertomingalvo	3	1124	44
2018	44194	Ráfales	5	3752	44
2018	44195	Rillo	2	884	44
2018	44196	Riodeva	1	1431	44
2018	44197	Ródenas	1	596	44
2018	44198	Royuela	1	2008	44
2018	44199	Rubiales	1	500	44
2018	44200	Rubielos de la Cérida	1	522	44
2018	44201	Rubielos de Mora	9	6014	44
2018	44203	Salcedillo	1	163	44
2018	44204	Saldón	1	250	44
2018	44205	Samper de Calanda	15	11858	44
2018	44206	San Agustín	3	1259	44
2018	44207	San Martín del Río	3	2130	44
2018	44208	Santa Cruz de Nogueras	2	522	44
2018	44209	Santa Eulalia	7	9924	44
2018	44210	Sarrión	11	10808	44
2018	44211	Segura de los Baños	1	413	44
2018	44212	Seno	3	574	44
2018	44213	Singra	1	1086	44
2018	44215	Terriente	2	1710	44
2018	44216	Teruel	137	313145	44
2018	44217	Toril y Masegoso	1	279	44
2018	44218	Tormón	1	327	44
2018	44219	Tornos	3	3051	44
2018	44220	Torralba de los Sisones	3	2227	44
2018	44221	Torrecilla de Alcañiz	10	6113	44
2018	44222	Torrecilla del Rebollar	4	1869	44
2018	44223	Torre de Arcas	3	2133	44
2018	44224	Torre de las Arcas	1	269	44
2018	44225	Torre del Compte	10	3340	44
2018	44226	Torrelacárcel	1	1624	44
2018	44227	Torre los Negros	1	1182	44
2018	44228	Torremocha de Jiloca	1	1028	44
2018	44229	Torres de Albarracín	1	1710	44
2018	44230	Torrevelilla	4	2755	44
2018	44231	Torrijas	2	375	44
2018	44232	Torrijo del Campo	5	6143	44
2018	44234	Tramacastiel	2	644	44
2018	44235	Tramacastilla	1	1028	44
2018	44236	Tronchón	1	663	44
2018	44237	Urrea de Gaén	7	6658	44
2018	44238	Utrillas	15	28955	44
2018	44239	Valacloche	1	221	44
2018	44240	Valbona	2	1739	44
2018	44241	Valdealgorfa	9	9069	44
2018	44243	Valdecuenca	1	355	44
2018	44244	Valdelinares	1	855	44
2018	44245	Valdeltormo	11	7657	44
2018	44246	Valderrobres	92	60076	44
2018	44247	Valjunquera	20	8762	44
2018	44249	Vallecillo (El)	1	471	44
2018	44250	Veguillas de la Sierra	1	183	44
2018	44251	Villafranca del Campo	5	3972	44
2018	44252	Villahermosa del Campo	2	1292	44
2018	44256	Villanueva del Rebollar de la Sierra	1	413	44
2018	44257	Villar del Cobo	1	1681	44
2018	44258	Villar del Salz	1	811	44
2018	44260	Villarluengo	2	1624	44
2018	44261	Villarquemado	5	8406	44
2018	44262	Villarroya de los Pinares	1	1489	44
2018	44263	Villastar	2	4813	44
2018	44264	Villel	2	3170	44
2018	44265	Vinaceite	8	3784	44
2018	44266	Visiedo	1	1297	44
2018	44267	Vivel del Río Martín	1	682	44
2018	44268	Zoma (La)	1	173	44
2018	50001	Abanto	2	1126	50
2018	50002	Acered	3	1960	50
2018	50003	Agón	6	2750	50
2018	50004	Aguarón	7	12068	50
2018	50005	Aguilón	3	4199	50
2018	50006	Ainzón	26	20627	50
2018	50007	Aladrén	1	829	50
2018	50008	Alagón	93	99779	50
2018	50009	Alarba	2	1655	50
2018	50010	Alberite de San Juan	4	1450	50
2018	50011	Albeta	5	2524	50
2018	50012	Alborge	3	1291	50
2018	50013	Alcalá de Ebro	5	3835	50
2018	50014	Alcalá de Moncayo	2	3344	50
2018	50015	Alconchel de Ariza	2	805	50
2018	50016	Aldehuela de Liestos	2	607	50
2018	50017	Alfajarín	38	27006	50
2018	50018	Alfamén	16	25758	50
2018	50019	Alforque	2	701	50
2018	50020	Alhama de Aragón	12	12103	50
2018	50021	Almochuel	1	433	50
2018	50022	Almolda (La)	12	8943	50
2018	50023	Almonacid de la Cuba	3	1964	50
2018	50024	Almonacid de la Sierra	9	8573	50
2018	50025	Almunia de Doña Godina (La)	71	93677	50
2018	50026	Alpartir	9	6677	50
2018	50027	Ambel	5	4785	50
2018	50028	Anento	3	1066	50
2018	50029	Aniñón	9	8310	50
2018	50030	Añón de Moncayo	4	4400	50
2018	50031	Aranda de Moncayo	3	1690	50
2018	50032	Arándiga	5	3540	50
2018	50033	Ardisa	5	755	50
2018	50034	Ariza	13	13023	50
2018	50035	Artieda	2	2060	50
2018	50036	Asín	2	1070	50
2018	50037	Atea	3	1662	50
2018	50038	Ateca	21	20977	50
2018	50039	Azuara	9	4161	50
2018	50040	Badules	3	997	50
2018	50041	Bagüés	2	115	50
2018	50042	Balconchán	2	183	50
2018	50043	Bárboles	5	4431	50
2018	50044	Bardallur	5	3155	50
2018	50045	Belchite	20	11524	50
2018	50046	Belmonte de Gracián	3	2368	50
2018	50047	Berdejo	1	586	50
2018	50048	Berrueco	2	378	50
2018	50050	Bijuesca	2	1138	50
2018	50051	Biota	18	10061	50
2018	50052	Bisimbre	3	1865	50
2018	50053	Boquiñeni	12	11988	50
2018	50054	Bordalba	1	667	50
2018	50055	Borja	97	93168	50
2018	50056	Botorrita	8	5970	50
