Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2008,0	1	14	Extracción de minerales no metálicos ni energéticos	30	Maestrazgo
2008,0	1	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	30	Maestrazgo
2008,0	1	55	Hostelería	30	Maestrazgo
2008,0	1	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo
2008,0	1	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2008,0	1	36	Fabricación de muebles; otras industrias manufactureras	31	Sierra de Albarracín
2008,0	1	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	31	Sierra de Albarracín
2008,0	1	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	31	Sierra de Albarracín
2008,0	1	55	Hostelería	31	Sierra de Albarracín
2007,0	3143	45	Construcción	17	D.C. Zaragoza
2007,0	943	28	Fabricación de productos metálicos, excepto maquinaria y equipo	17	D.C. Zaragoza
2007,0	785	29	Industria de la construción de maquinaria y equipo mecánico	17	D.C. Zaragoza
2007,0	678	60	Transporte terrestre; transporte por tuberías	17	D.C. Zaragoza
2007,0	558	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza
2007,0	446	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2007,0	357	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2007,0	185	45	Construcción	05	Cinco Villas
2007,0	183	45	Construcción	15	Ribera Alta del Ebro
2007,0	175	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2007,0	155	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2007,0	143	45	Construcción	08	Cinca Medio
2007,0	140	45	Construcción	20	Comunidad de Calatayud
2007,0	139	45	Construcción	02	Alto Gállego
2007,0	137	45	Construcción	28	Bajo Aragón
2007,0	136	45	Construcción	29	Comunidad de Teruel
2007,0	132	45	Construcción	16	Valdejalón
2007,0	128	45	Construcción	07	Somontano de Barbastro
2007,0	122	45	Construcción	11	Bajo Cinca / Baix Cinca
2007,0	103	45	Construcción	09	La Litera / La Llitera
2007,0	94	45	Construcción	10	Los Monegros
2007,0	92	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2007,0	91	45	Construcción	01	La Jacetania
2007,0	84	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón
2007,0	81	28	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2007,0	71	45	Construcción	13	Campo de Borja
2007,0	69	28	Fabricación de productos metálicos, excepto maquinaria y equipo	16	Valdejalón
2007,0	66	45	Construcción	12	Tarazona y el Moncayo
2007,0	63	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera
2007,0	62	45	Construcción	04	La Ribagorza
2007,0	60	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	05	Cinco Villas
2007,0	60	45	Construcción	27	Andorra-Sierra de Arcos
2007,0	57	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón
2007,0	56	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
2007,0	55	60	Transporte terrestre; transporte por tuberías	06	Hoya de Huesca / Plana de Uesca
2007,0	54	26	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2007,0	54	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	06	Hoya de Huesca / Plana de Uesca
2007,0	51	29	Industria de la construción de maquinaria y equipo mecánico	06	Hoya de Huesca / Plana de Uesca
2007,0	51	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro
2007,0	50	28	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio
2007,0	50	45	Construcción	25	Jiloca
2007,0	49	45	Construcción	18	Ribera Baja del Ebro
2007,0	49	45	Construcción	32	Gúdar-Javalambre
2007,0	48	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007,0	47	60	Transporte terrestre; transporte por tuberías	16	Valdejalón
2007,0	45	60	Transporte terrestre; transporte por tuberías	15	Ribera Alta del Ebro
