Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2005,0	21	60	Transporte terrestre; transporte por tuberías	20	Comunidad de Calatayud
2005,0	20	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	09	La Litera / La Llitera
2005,0	20	28	Fabricación de productos metálicos, excepto maquinaria y equipo	11	Bajo Cinca / Baix Cinca
2005,0	19	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania
2005,0	19	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro
2005,0	19	26	Fabricación de otros productos minerales no metálicos	08	Cinca Medio
2005,0	19	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12	Tarazona y el Moncayo
2005,0	19	28	Fabricación de productos metálicos, excepto maquinaria y equipo	18	Ribera Baja del Ebro
2005,0	19	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	28	Bajo Aragón
2005,0	19	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya
2005,0	18	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	11	Bajo Cinca / Baix Cinca
2005,0	18	75	Administración pública, defensa y seguridad social obligatoria	11	Bajo Cinca / Baix Cinca
2005,0	18	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005,0	18	28	Fabricación de productos metálicos, excepto maquinaria y equipo	20	Comunidad de Calatayud
2005,0	18	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos
2005,0	17	28	Fabricación de productos metálicos, excepto maquinaria y equipo	13	Campo de Borja
2005,0	17	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena
2005,0	17	60	Transporte terrestre; transporte por tuberías	27	Andorra-Sierra de Arcos
2005,0	16	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca
2005,0	15	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego
2005,0	15	24	Industria química	18	Ribera Baja del Ebro
2005,0	15	45	Construcción	26	Cuencas Mineras
2005,0	14	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro
2005,0	14	45	Construcción	18	Ribera Baja del Ebro
2005,0	13	60	Transporte terrestre; transporte por tuberías	09	La Litera / La Llitera
2005,0	13	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	09	La Litera / La Llitera
2005,0	13	75	Administración pública, defensa y seguridad social obligatoria	09	La Litera / La Llitera
2005,0	13	45	Construcción	24	Campo de Daroca
2005,0	13	28	Fabricación de productos metálicos, excepto maquinaria y equipo	NC	Municipio del centro de trabajo fuera de Aragón
2005,0	12	27	Metalurgia	07	Somontano de Barbastro
2005,0	12	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	07	Somontano de Barbastro
2005,0	12	75	Administración pública, defensa y seguridad social obligatoria	12	Tarazona y el Moncayo
2005,0	12	45	Construcción	14	Aranda
2005,0	12	45	Construcción	30	Maestrazgo
2005,0	11	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	01	La Jacetania
2005,0	11	28	Fabricación de productos metálicos, excepto maquinaria y equipo	02	Alto Gállego
2005,0	11	15	Industria de productos alimenticios y bebidas	10	Los Monegros
2005,0	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	12	Tarazona y el Moncayo
2005,0	11	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo
2005,0	11	34	Fabricación de vehículos de motor, remolques y semirremolques	NC	Municipio del centro de trabajo fuera de Aragón
2005,0	10	55	Hostelería	02	Alto Gállego
2005,0	10	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10	Los Monegros
2005,0	10	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005,0	10	45	Construcción	22	Campo de Belchite
2005,0	10	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2005,0	10	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca
2005,0	9	15	Industria de productos alimenticios y bebidas	18	Ribera Baja del Ebro
2005,0	9	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	18	Ribera Baja del Ebro
2005,0	9	21	Industria del papel	27	Andorra-Sierra de Arcos
2005,0	9	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	NC	Municipio del centro de trabajo fuera de Aragón
2005,0	8	55	Hostelería	01	La Jacetania
2005,0	8	55	Hostelería	03	Sobrarbe
2005,0	8	14	Extracción de minerales no metálicos ni energéticos	04	La Ribagorza
2005,0	8	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza
2005,0	8	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	10	Los Monegros
2005,0	8	60	Transporte terrestre; transporte por tuberías	10	Los Monegros
2005,0	8	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda
2005,0	8	26	Fabricación de otros productos minerales no metálicos	25	Jiloca
2005,0	8	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras
2005,0	8	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2005,0	7	15	Industria de productos alimenticios y bebidas	04	La Ribagorza
2005,0	7	55	Hostelería	04	La Ribagorza
2005,0	7	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza
2005,0	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005,0	7	24	Industria química	26	Cuencas Mineras
2005,0	6	92	Actividades recreativas, culturales y deportivas	02	Alto Gállego
2005,0	6	28	Fabricación de productos metálicos, excepto maquinaria y equipo	23	Bajo Martín
2005,0	6	45	Construcción	31	Sierra de Albarracín
2005,0	6	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre
2005,0	6	60	Transporte terrestre; transporte por tuberías	32	Gúdar-Javalambre
2005,0	5	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe
2005,0	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	14	Aranda
2005,0	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	22	Campo de Belchite
2005,0	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín
2005,0	5	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca
2005,0	5	92	Actividades recreativas, culturales y deportivas	32	Gúdar-Javalambre
2005,0	4	26	Fabricación de otros productos minerales no metálicos	22	Campo de Belchite
2005,0	4	75	Administración pública, defensa y seguridad social obligatoria	22	Campo de Belchite
2005,0	4	91	Actividades asociativas	24	Campo de Daroca
2005,0	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	30	Maestrazgo
2005,0	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32	Gúdar-Javalambre
2005,0	4	24	Industria química	32	Gúdar-Javalambre
2005,0	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2005,0	3	14	Extracción de minerales no metálicos ni energéticos	03	Sobrarbe
2005,0	3	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda
2005,0	3	29	Industria de la construción de maquinaria y equipo mecánico	22	Campo de Belchite
2005,0	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2005,0	3	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2005,0	3	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	33	Matarraña / Matarranya
2005,0	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2005,0	2	15	Industria de productos alimenticios y bebidas	03	Sobrarbe
2005,0	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	03	Sobrarbe
2005,0	2	92	Actividades recreativas, culturales y deportivas	03	Sobrarbe
2005,0	2	13	Extracción de minerales metálicos	14	Aranda
2005,0	2	17	Industria textil	14	Aranda
2005,0	2	21	Industria del papel	14	Aranda
2005,0	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2005,0	2	80	Educación	31	Sierra de Albarracín
2005,0	1	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2005,0	1	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	30	Maestrazgo
2005,0	1	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	30	Maestrazgo
2005,0	1	60	Transporte terrestre; transporte por tuberías	30	Maestrazgo
2005,0	1	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo
2005,0	1	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2005,0	1	29	Industria de la construción de maquinaria y equipo mecánico	31	Sierra de Albarracín
2005,0	1	36	Fabricación de muebles; otras industrias manufactureras	31	Sierra de Albarracín
2004,0	2432	45	Construcción	17	D.C. Zaragoza
2004,0	822	28	Fabricación de productos metálicos, excepto maquinaria y equipo	17	D.C. Zaragoza
2004,0	799	29	Industria de la construción de maquinaria y equipo mecánico	17	D.C. Zaragoza
2004,0	615	60	Transporte terrestre; transporte por tuberías	17	D.C. Zaragoza
2004,0	521	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza
2004,0	295	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2004,0	278	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2004,0	175	45	Construcción	05	Cinco Villas
2004,0	145	45	Construcción	29	Comunidad de Teruel
2004,0	123	45	Construcción	28	Bajo Aragón
2004,0	122	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2004,0	115	45	Construcción	01	La Jacetania
2004,0	110	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2004,0	95	45	Construcción	16	Valdejalón
2004,0	91	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón
2004,0	89	45	Construcción	07	Somontano de Barbastro
2004,0	86	45	Construcción	02	Alto Gállego
2004,0	83	45	Construcción	08	Cinca Medio
2004,0	82	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2004,0	80	45	Construcción	20	Comunidad de Calatayud
2004,0	74	45	Construcción	15	Ribera Alta del Ebro
2004,0	68	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera
2004,0	67	28	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2004,0	67	60	Transporte terrestre; transporte por tuberías	15	Ribera Alta del Ebro
2004,0	65	45	Construcción	11	Bajo Cinca / Baix Cinca
2004,0	64	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	05	Cinco Villas
2004,0	60	26	Fabricación de otros productos minerales no metálicos	06	Hoya de Huesca / Plana de Uesca
2004,0	57	45	Construcción	13	Campo de Borja
2004,0	56	29	Industria de la construción de maquinaria y equipo mecánico	06	Hoya de Huesca / Plana de Uesca
2004,0	56	28	Fabricación de productos metálicos, excepto maquinaria y equipo	16	Valdejalón
2004,0	55	45	Construcción	10	Los Monegros
2004,0	54	45	Construcción	32	Gúdar-Javalambre
2004,0	51	45	Construcción	04	La Ribagorza
2004,0	47	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	29	Comunidad de Teruel
2004,0	45	45	Construcción	09	La Litera / La Llitera
2004,0	44	29	Industria de la construción de maquinaria y equipo mecánico	05	Cinco Villas
2004,0	44	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón
2004,0	44	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	20	Comunidad de Calatayud
2004,0	44	15	Industria de productos alimenticios y bebidas	25	Jiloca
2004,0	43	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2004,0	41	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca
2004,0	41	45	Construcción	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004,0	41	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
2004,0	38	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004,0	37	29	Industria de la construción de maquinaria y equipo mecánico	07	Somontano de Barbastro
2004,0	37	36	Fabricación de muebles; otras industrias manufactureras	21	Campo de Cariñena
2004,0	37	60	Transporte terrestre; transporte por tuberías	23	Bajo Martín
2004,0	36	45	Construcción	12	Tarazona y el Moncayo
2004,0	36	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena
2004,0	35	15	Industria de productos alimenticios y bebidas	05	Cinco Villas
2004,0	35	60	Transporte terrestre; transporte por tuberías	20	Comunidad de Calatayud
2004,0	34	45	Construcción	27	Andorra-Sierra de Arcos
2004,0	33	28	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio
2004,0	33	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja
2004,0	31	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	09	La Litera / La Llitera
2004,0	31	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2004,0	31	45	Construcción	25	Jiloca
2004,0	29	26	Fabricación de otros productos minerales no metálicos	15	Ribera Alta del Ebro
2004,0	29	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón
2004,0	29	45	Construcción	21	Campo de Cariñena
2004,0	28	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel
2004,0	27	19	Preparación curtido y acabado del cuero; fabricación de artículos de marroquinería y viaje; artículos de guarnicionería talabartería y zapatería	14	Aranda
2004,0	27	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón
2004,0	26	26	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2004,0	26	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja
2004,0	26	15	Industria de productos alimenticios y bebidas	20	Comunidad de Calatayud
2004,0	26	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2004,0	26	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	29	Comunidad de Teruel
2004,0	25	60	Transporte terrestre; transporte por tuberías	01	La Jacetania
2004,0	24	45	Construcción	03	Sobrarbe
2004,0	24	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	10	Los Monegros
2004,0	24	15	Industria de productos alimenticios y bebidas	13	Campo de Borja
2004,0	24	34	Fabricación de vehículos de motor, remolques y semirremolques	29	Comunidad de Teruel
2004,0	24	60	Transporte terrestre; transporte por tuberías	29	Comunidad de Teruel
2004,0	22	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	07	Somontano de Barbastro
2004,0	22	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004,0	21	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro
2004,0	21	24	Industria química	08	Cinca Medio
2004,0	21	60	Transporte terrestre; transporte por tuberías	28	Bajo Aragón
2004,0	20	29	Industria de la construción de maquinaria y equipo mecánico	08	Cinca Medio
2004,0	20	60	Transporte terrestre; transporte por tuberías	11	Bajo Cinca / Baix Cinca
2004,0	20	25	Fabricacion de productos de caucho y materias plasticas	12	Tarazona y el Moncayo
2004,0	20	34	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo
2004,0	20	27	Metalurgia	25	Jiloca
2004,0	20	45	Construcción	26	Cuencas Mineras
2004,0	19	60	Transporte terrestre; transporte por tuberías	08	Cinca Medio
2004,0	19	28	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2004,0	19	28	Fabricación de productos metálicos, excepto maquinaria y equipo	13	Campo de Borja
2004,0	19	75	Administración pública, defensa y seguridad social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004,0	19	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca
2004,0	19	28	Fabricación de productos metálicos, excepto maquinaria y equipo	NC	Municipio del centro de trabajo fuera de Aragón
2004,0	18	45	Construcción	14	Aranda
2004,0	18	26	Fabricación de otros productos minerales no metálicos	21	Campo de Cariñena
2004,0	17	15	Industria de productos alimenticios y bebidas	07	Somontano de Barbastro
2004,0	17	28	Fabricación de productos metálicos, excepto maquinaria y equipo	11	Bajo Cinca / Baix Cinca
2004,0	17	27	Metalurgia	26	Cuencas Mineras
2004,0	17	60	Transporte terrestre; transporte por tuberías	27	Andorra-Sierra de Arcos
2004,0	16	34	Fabricación de vehículos de motor, remolques y semirremolques	09	La Litera / La Llitera
2004,0	16	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	11	Bajo Cinca / Baix Cinca
2004,0	16	15	Industria de productos alimenticios y bebidas	28	Bajo Aragón
2004,0	15	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania
2004,0	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera
2004,0	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	18	Ribera Baja del Ebro
2004,0	15	45	Construcción	33	Matarraña / Matarranya
2004,0	14	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena
2004,0	14	45	Construcción	24	Campo de Daroca
2004,0	14	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	NC	Municipio del centro de trabajo fuera de Aragón
2004,0	14	60	Transporte terrestre; transporte por tuberías	NC	Municipio del centro de trabajo fuera de Aragón
2004,0	13	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10	Los Monegros
2004,0	13	45	Construcción	23	Bajo Martín
2004,0	12	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	01	La Jacetania
2004,0	12	55	Hostelería	01	La Jacetania
2004,0	12	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego
2004,0	12	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza
2004,0	12	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo
2004,0	12	45	Construcción	18	Ribera Baja del Ebro
2004,0	12	15	Industria de productos alimenticios y bebidas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004,0	12	26	Fabricación de otros productos minerales no metálicos	27	Andorra-Sierra de Arcos
2004,0	12	26	Fabricación de otros productos minerales no metálicos	NC	Municipio del centro de trabajo fuera de Aragón
2004,0	11	24	Industria química	02	Alto Gállego
2004,0	11	26	Fabricación de otros productos minerales no metálicos	18	Ribera Baja del Ebro
2004,0	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	28	Bajo Aragón
2004,0	10	15	Industria de productos alimenticios y bebidas	04	La Ribagorza
2004,0	9	15	Industria de productos alimenticios y bebidas	10	Los Monegros
2004,0	9	29	Industria de la construción de maquinaria y equipo mecánico	10	Los Monegros
2004,0	9	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	10	Los Monegros
2004,0	9	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre
2004,0	9	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya
2004,0	8	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	02	Alto Gállego
2004,0	8	14	Extracción de minerales no metálicos ni energéticos	04	La Ribagorza
2004,0	8	24	Industria química	18	Ribera Baja del Ebro
2004,0	8	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras
2004,0	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro
2004,0	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	18	Ribera Baja del Ebro
2004,0	7	15	Industria de productos alimenticios y bebidas	23	Bajo Martín
2004,0	7	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2004,0	7	24	Industria química	32	Gúdar-Javalambre
2004,0	6	28	Fabricación de productos metálicos, excepto maquinaria y equipo	02	Alto Gállego
2004,0	6	75	Administración pública, defensa y seguridad social obligatoria	02	Alto Gállego
2004,0	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	04	La Ribagorza
2004,0	6	55	Hostelería	04	La Ribagorza
2004,0	6	85	Actividades sanitarias y veterinarias, servicio social	04	La Ribagorza
2004,0	6	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	25	Jiloca
2004,0	6	28	Fabricación de productos metálicos, excepto maquinaria y equipo	26	Cuencas Mineras
2004,0	6	45	Construcción	30	Maestrazgo
2004,0	6	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	31	Sierra de Albarracín
2004,0	6	60	Transporte terrestre; transporte por tuberías	32	Gúdar-Javalambre
2004,0	5	13	Extracción de minerales metálicos	14	Aranda
2004,0	5	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca
2004,0	5	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2004,0	5	45	Construcción	31	Sierra de Albarracín
2004,0	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2004,0	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	22	Campo de Belchite
2004,0	4	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca
2004,0	4	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	24	Campo de Daroca
2004,0	4	40	Producción y distribución de energía eléctrica, gas, vapor y agua caliente	27	Andorra-Sierra de Arcos
2004,0	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	30	Maestrazgo
2004,0	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2004,0	3	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe
2004,0	3	21	Industria del papel	14	Aranda
2004,0	3	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda
2004,0	3	90	Actividades de saneamiento público	14	Aranda
2004,0	3	75	Administración pública, defensa y seguridad social obligatoria	22	Campo de Belchite
2004,0	3	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	23	Bajo Martín
2004,0	3	74	Otras actividades empresariales	31	Sierra de Albarracín
2004,0	3	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32	Gúdar-Javalambre
2004,0	3	55	Hostelería	32	Gúdar-Javalambre
2004,0	3	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	33	Matarraña / Matarranya
2004,0	2	14	Extracción de minerales no metálicos ni energéticos	03	Sobrarbe
2004,0	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	03	Sobrarbe
2004,0	2	55	Hostelería	03	Sobrarbe
2004,0	2	14	Extracción de minerales no metálicos ni energéticos	22	Campo de Belchite
2004,0	2	29	Industria de la construción de maquinaria y equipo mecánico	22	Campo de Belchite
2004,0	2	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite
2004,0	2	45	Construcción	22	Campo de Belchite
2004,0	2	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2004,0	2	15	Industria de productos alimenticios y bebidas	30	Maestrazgo
2004,0	2	55	Hostelería	30	Maestrazgo
2004,0	2	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2004,0	2	31	Fabricación de maquinaria y material eléctrico	33	Matarraña / Matarranya
2004,0	2	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	33	Matarraña / Matarranya
2004,0	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	33	Matarraña / Matarranya
2004,0	2	73	Investigacion y desarrollo	33	Matarraña / Matarranya
2004,0	2	75	Administración pública, defensa y seguridad social obligatoria	33	Matarraña / Matarranya
2003,0	2447	45	Construcción	17	D.C. Zaragoza
2003,0	819	29	Industria de la construción de maquinaria y equipo mecánico	17	D.C. Zaragoza
2003,0	817	28	Fabricación de productos metálicos, excepto maquinaria y equipo	17	D.C. Zaragoza
2003,0	606	60	Transporte terrestre; transporte por tuberías	17	D.C. Zaragoza
2003,0	519	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza
2003,0	388	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2003,0	247	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2003,0	162	45	Construcción	29	Comunidad de Teruel
2003,0	156	45	Construcción	05	Cinco Villas
2003,0	122	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2003,0	121	45	Construcción	28	Bajo Aragón
2003,0	111	45	Construcción	15	Ribera Alta del Ebro
2003,0	108	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2003,0	105	45	Construcción	01	La Jacetania
2003,0	92	45	Construcción	16	Valdejalón
2003,0	84	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2003,0	82	45	Construcción	20	Comunidad de Calatayud
2003,0	81	45	Construcción	08	Cinca Medio
2003,0	80	45	Construcción	11	Bajo Cinca / Baix Cinca
2003,0	78	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja
2003,0	72	45	Construcción	12	Tarazona y el Moncayo
2003,0	70	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera
2003,0	69	45	Construcción	02	Alto Gállego
2003,0	69	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón
2003,0	69	45	Construcción	27	Andorra-Sierra de Arcos
2003,0	66	45	Construcción	07	Somontano de Barbastro
2003,0	65	60	Transporte terrestre; transporte por tuberías	15	Ribera Alta del Ebro
2003,0	62	45	Construcción	10	Los Monegros
2003,0	62	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2003,0	61	28	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2003,0	60	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón
2003,0	60	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
