Comarca código	Comarca nombre	Superficie (km2)	Población	Densidad de población (hab/km2)	Año
11	Bajo Cinca / Baix Cinca	1419,91	24619,0	17,3384228577868	2015
11	Bajo Cinca / Baix Cinca	1419,91	24817,0	17,4778683155975	2014
11	Bajo Cinca / Baix Cinca	1419,91	24800,0	17,4658957257854	2013
11	Bajo Cinca / Baix Cinca	1419,91	24828,0	17,4856152854758	2012
11	Bajo Cinca / Baix Cinca	1419,91	24609,0	17,3313801578973	2011
11	Bajo Cinca / Baix Cinca	1419,91	24670,0	17,3743406272229	2010
11	Bajo Cinca / Baix Cinca	1419,91	24663,0	17,3694107373003	2009
11	Bajo Cinca / Baix Cinca	1419,91	24092,0	16,9672725736138	2008
11	Bajo Cinca / Baix Cinca	1419,91	23645,0	16,6524638885563	2007
11	Bajo Cinca / Baix Cinca	1419,91	23366,0	16,4559725616412	2006
11	Bajo Cinca / Baix Cinca	1419,91	23446,0	16,5123141607567	2005
11	Bajo Cinca / Baix Cinca	1419,91	23071,0	16,2482129149031	2004
11	Bajo Cinca / Baix Cinca	1419,91	22961,0	16,1707432161193	2003
11	Bajo Cinca / Baix Cinca	1419,91	22688,0	15,9784775091379	2002
11	Bajo Cinca / Baix Cinca	1419,91	22336,0	15,73057447303	2001
11	Bajo Cinca / Baix Cinca	1419,91	22216,0	15,6460620743568	2000
11	Bajo Cinca / Baix Cinca	1419,91	22301,0	15,705925023417	1999
11	Bajo Cinca / Baix Cinca	1419,91	22268,0	15,6826841137819	1998
11	Bajo Cinca / Baix Cinca	1419,91	22383,0	15,7636751625103	1996
12	Tarazona y el Moncayo	452,22	13811,0	30,5404449161912	2020
12	Tarazona y el Moncayo	452,22	13792,0	30,4984299677148	2019
12	Tarazona y el Moncayo	452,22	14106,0	31,1927822741144	2016
12	Tarazona y el Moncayo	452,22	14258,0	31,5289018619256	2015
12	Tarazona y el Moncayo	452,22	14405,0	31,8539648843483	2014
12	Tarazona y el Moncayo	452,22	14471,0	31,9999115474769	2013
12	Tarazona y el Moncayo	452,22	14666,0	32,4311175976295	2012
12	Tarazona y el Moncayo	452,22	14765,0	32,6500375923223	2011
12	Tarazona y el Moncayo	452,22	14730,0	32,5726416346026	2010
12	Tarazona y el Moncayo	452,22	14825,0	32,7827163769847	2009
12	Tarazona y el Moncayo	452,22	14747,0	32,6102339569236	2008
12	Tarazona y el Moncayo	452,22	14690,0	32,4841891114944	2007
12	Tarazona y el Moncayo	452,22	14575,0	32,2298881075583	2006
12	Tarazona y el Moncayo	452,22	14467,0	31,9910662951661	2005
12	Tarazona y el Moncayo	452,22	14382,0	31,8031046835611	2004
12	Tarazona y el Moncayo	452,22	14346,0	31,7234974127637	2003
12	Tarazona y el Moncayo	452,22	14287,0	31,5930299411791	2002
12	Tarazona y el Moncayo	452,22	14208,0	31,4183362080403	2001
12	Tarazona y el Moncayo	452,22	14106,0	31,1927822741144	2000
12	Tarazona y el Moncayo	452,22	14151,0	31,2922913626111	1999
