Año	Municipio código	Municipio nombre	Tipo licencias código	Tipo licencias descripción	Autorizaciones según tipo
2020	22014	Alcalá de Gurrea	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22014	Alcalá de Gurrea	VT-N	Licencias taxi	0
2020	22014	Alcalá de Gurrea	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22015	Alcalá del Obispo	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22015	Alcalá del Obispo	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22015	Alcalá del Obispo	MDP-N	Transporte mercancías pesadas nacionales servicio público	2
2020	22015	Alcalá del Obispo	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1
2020	22015	Alcalá del Obispo	MPC-N	Transporte mercancías propias nacional	1
2020	22015	Alcalá del Obispo	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1
2020	22015	Alcalá del Obispo	OT	Operador de transporte	0
2020	22015	Alcalá del Obispo	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22015	Alcalá del Obispo	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22015	Alcalá del Obispo	VPC-N	Transporte privado de viajeros nacional	1
2020	22015	Alcalá del Obispo	VPCE-N	Transporte privado de viajeros	1
2020	22015	Alcalá del Obispo	VS-N	Ambulancias nacionales servicio público	0
2020	22015	Alcalá del Obispo	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22015	Alcalá del Obispo	VSPC-N	Transporte privado ambulancias nacional	0
2020	22015	Alcalá del Obispo	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22015	Alcalá del Obispo	VT-N	Licencias taxi	0
2020	22015	Alcalá del Obispo	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22016	Alcampell	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22016	Alcampell	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22016	Alcampell	MDP-N	Transporte mercancías pesadas nacionales servicio público	0
2020	22016	Alcampell	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	0
2020	22016	Alcampell	MPC-N	Transporte mercancías propias nacional	5
2020	22016	Alcampell	MPCE-N	transporte mercancías propias nacional autorizado por empresa	3
2020	22016	Alcampell	OT	Operador de transporte	0
2020	22016	Alcampell	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22016	Alcampell	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22016	Alcampell	VPC-N	Transporte privado de viajeros nacional	0
2020	22016	Alcampell	VPCE-N	Transporte privado de viajeros	0
2020	22016	Alcampell	VS-N	Ambulancias nacionales servicio público	0
2020	22016	Alcampell	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22016	Alcampell	VSPC-N	Transporte privado ambulancias nacional	0
