Año	Municipio código	Municipio nombre	Población
1900	22069	Broto	1758,0
1900	22072	Caldearenas	1483,0
1900	22074	Campo	806,0
1900	22075	Camporrells	997,0
1900	22076	Canal de Berdún	2022,0
1900	22077	Candasnos	1063,0
1900	22078	Canfranc	770,0
1900	22079	Capdesaso	490,0
1900	22080	Capella	1008,0
1900	22081	Casbas de Huesca	2195,0
1900	22082	Castejón del Puente	621,0
1900	22083	Castejón de Monegros	1594,0
1900	22084	Castejón de Sos	813,0
1900	22085	Castelflorite	247,0
1900	22086	Castiello de Jaca	523,0
1900	22087	Castigaleu	266,0
1900	22088	Castillazuelo	757,0
1900	22089	Castillonroy	863,0
1900	22090	Colungo	702,0
1900	22094	Chalamera	427,0
1900	22095	Chía	602,0
1900	22096	Chimillas	189,0
1900	22099	Esplús	549,0
1900	22102	Estada	524,0
1900	22103	Estadilla	1752,0
1900	22105	Estopiñán del Castillo	1486,0
1900	22106	Fago	419,0
1900	22107	Fanlo	1065,0
1900	22109	Fiscal	2505,0
1900	22110	Fonz	2006,0
1900	22111	Foradada del Toscar	665,0
1900	22112	Fraga	6934,0
1900	22113	Fueva (La)	2691,0
1900	22114	Gistaín	444,0
1900	22115	Grado (El)	1605,0
1900	22116	Grañén	1431,0
1900	22117	Graus	6259,0
1900	22119	Gurrea de Gállego	1401,0
1900	22122	Hoz de Jaca	160,0
1900	22124	Huerto	970,0
1900	22125	Huesca	13683,0
1900	22126	Ibieca	417,0
1900	22127	Igriés	446,0
1900	22128	Ilche	720,0
1900	22129	Isábena	1246,0
1900	22130	Jaca	8964,0
1900	22131	Jasa	467,0
1900	22133	Labuerda	425,0
1900	22135	Laluenga	794,0
1900	22136	Lalueza	867,0
1900	22137	Lanaja	1839,0
1900	22139	Laperdiguera	369,0
1900	22141	Lascellas-Ponzano	996,0
1900	22142	Lascuarre	581,0
1900	22143	Laspaúles	1065,0
1900	22144	Laspuña	501,0
1900	22149	Loarre	1771,0
1900	22150	Loporzano	3139,0
1900	22151	Loscorrales	371,0
1900	22155	Monesma y Cajigar	513,0
1900	22156	Monflorite-Lascasas	452,0
1900	22157	Montanuy	1395,0
1900	22158	Monzón	5037,0
1900	22160	Naval	1550,0
1900	22162	Novales	400,0
1900	22163	Nueno	1249,0
1900	22164	Olvena	384,0
1900	22165	Ontiñena	1862,0
1900	22167	Osso de Cinca	728,0
1900	22168	Palo	288,0
1900	22170	Panticosa	889,0
1900	22172	Peñalba	1158,0
1900	22173	Peñas de Riglos (Las)	2226,0
1900	22174	Peralta de Alcofea	2207,0
1900	22175	Peralta de Calasanz	2404,0
1900	22176	Peraltilla	439,0
1900	22177	Perarrúa	689,0
1900	22178	Pertusa	705,0
1900	22181	Piracés	242,0
1900	22182	Plan	1124,0
1900	22184	Poleñino	512,0
1900	22186	Pozán de Vero	885,0
1900	22187	Puebla de Castro (La)	887,0
1900	22188	Puente de Montañana	822,0
1900	22189	Puértolas	1049,0
1900	22190	Pueyo de Araguás (El)	492,0
1900	22193	Pueyo de Santa Cruz	420,0
1900	22195	Quicena	259,0
1900	22197	Robres	1064,0
1900	22199	Sabiñánigo	4884,0
1900	22200	Sahún	871,0
1900	22201	Salas Altas	998,0
1900	22202	Salas Bajas	601,0
1900	22203	Salillas	367,0
1900	22204	Sallent de Gállego	1420,0
1900	22205	San Esteban de Litera	1532,0
1900	22206	Sangarrén	509,0
1900	22207	San Juan de Plan	361,0
1900	22208	Santa Cilia	567,0
1900	22209	Santa Cruz de la Serós	422,0
1900	22212	Santaliestra y San Quílez	366,0
1900	22213	Sariñena	4029,0
