Año	Población	Comarca código	Comarca nombre
2003	10715,0	21	Campo de Cariñena
2003	5336,0	22	Campo de Belchite
2003	7290,0	23	Bajo Martín
2003	6450,0	24	Campo de Daroca
2003	13800,0	25	Jiloca
2003	9477,0	26	Cuencas Mineras
2003	11138,0	27	Andorra-Sierra de Arcos
2003	27705,0	28	Bajo Aragón
2003	43854,0	29	Comunidad de Teruel
2003	3691,0	30	Maestrazgo
2003	4939,0	31	Sierra de Albarracín
2003	8053,0	32	Gúdar-Javalambre
2003	8739,0	33	Matarraña / Matarranya
2004	17622,0	01	La Jacetania
2004	12749,0	02	Alto Gállego
2004	6953,0	03	Sobrarbe
2004	12549,0	04	La Ribagorza
2004	33029,0	05	Cinco Villas
2004	62417,0	06	Hoya de Huesca / Plana de Uesca
2004	23215,0	07	Somontano de Barbastro
2004	22609,0	08	Cinca Medio
2004	18730,0	09	La Litera / La Llitera
2004	20871,0	10	Los Monegros
2004	23071,0	11	Bajo Cinca / Baix Cinca
2004	14382,0	12	Tarazona y el Moncayo
2004	14330,0	13	Campo de Borja
2004	7992,0	14	Aranda
2004	23554,0	15	Ribera Alta del Ebro
2004	25177,0	16	Valdejalón
2004	685873,0	17	D.C. Zaragoza
2004	9230,0	18	Ribera Baja del Ebro
2004	12895,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004	40564,0	20	Comunidad de Calatayud
2004	10719,0	21	Campo de Cariñena
2004	5281,0	22	Campo de Belchite
2004	7274,0	23	Bajo Martín
2004	6439,0	24	Campo de Daroca
2004	13761,0	25	Jiloca
2004	9406,0	26	Cuencas Mineras
2004	11139,0	27	Andorra-Sierra de Arcos
2004	28137,0	28	Bajo Aragón
2004	44141,0	29	Comunidad de Teruel
2004	3749,0	30	Maestrazgo
2004	4921,0	31	Sierra de Albarracín
2004	8144,0	32	Gúdar-Javalambre
2004	8661,0	33	Matarraña / Matarranya
2005	17930,0	01	La Jacetania
2005	13121,0	02	Alto Gállego
2005	7151,0	03	Sobrarbe
2005	12705,0	04	La Ribagorza
2005	33361,0	05	Cinco Villas
2005	63434,0	06	Hoya de Huesca / Plana de Uesca
2005	23411,0	07	Somontano de Barbastro
2005	22936,0	08	Cinca Medio
2005	18798,0	09	La Litera / La Llitera
2005	20829,0	10	Los Monegros
2005	23446,0	11	Bajo Cinca / Baix Cinca
2005	14467,0	12	Tarazona y el Moncayo
2005	14460,0	13	Campo de Borja
2005	7833,0	14	Aranda
2005	24354,0	15	Ribera Alta del Ebro
2005	26084,0	16	Valdejalón
2005	697532,0	17	D.C. Zaragoza
2005	9223,0	18	Ribera Baja del Ebro
2005	13241,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	41027,0	20	Comunidad de Calatayud
2005	10861,0	21	Campo de Cariñena
2005	5221,0	22	Campo de Belchite
2005	7276,0	23	Bajo Martín
2005	6511,0	24	Campo de Daroca
2005	13940,0	25	Jiloca
2005	9450,0	26	Cuencas Mineras
2005	11158,0	27	Andorra-Sierra de Arcos
2005	28722,0	28	Bajo Aragón
2005	44806,0	29	Comunidad de Teruel
2005	3739,0	30	Maestrazgo
2005	4872,0	31	Sierra de Albarracín
2005	8398,0	32	Gúdar-Javalambre
2005	8730,0	33	Matarraña / Matarranya
2006	18166,0	01	La Jacetania
2006	13457,0	02	Alto Gállego
2006	7293,0	03	Sobrarbe
2006	12811,0	04	La Ribagorza
2006	33154,0	05	Cinco Villas
2006	64531,0	06	Hoya de Huesca / Plana de Uesca
2006	23464,0	07	Somontano de Barbastro
2006	23072,0	08	Cinca Medio
2006	18847,0	09	La Litera / La Llitera
2006	20896,0	10	Los Monegros
2006	23366,0	11	Bajo Cinca / Baix Cinca
2006	14575,0	12	Tarazona y el Moncayo
2006	14524,0	13	Campo de Borja
2006	7681,0	14	Aranda
2006	24875,0	15	Ribera Alta del Ebro
2006	26437,0	16	Valdejalón
2006	702662,0	17	D.C. Zaragoza
2006	9197,0	18	Ribera Baja del Ebro
2006	13606,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
