Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2018	22	Huesca	92	Actividades de juegos de azar y apuestas	154
2018	22	Huesca	93	Actividades deportivas, recreativas y de entretenimiento	525
2018	22	Huesca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	360
2018	22	Huesca	96	Otros servicios personales	1298
2018	44	Teruel	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	1582
2018	44	Teruel	02	Silvicultura y explotación forestal	71
2018	44	Teruel	05	Extracción de antracita, hulla y lignito	11
2018	44	Teruel	08	Otras industrias extractivas	122
2018	44	Teruel	10	Industria de la alimentación	421
2018	44	Teruel	11	Fabricación de bebidas	42
2018	44	Teruel	13	Industria textil	30
2018	44	Teruel	14	Confección de prendas de vestir	39
2018	44	Teruel	15	Industria del cuero y del calzado	9
2018	44	Teruel	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	153
2018	44	Teruel	17	Industria del papel	9
2018	44	Teruel	18	Artes gráficas y reproducción de soportes grabados	67
2018	44	Teruel	20	Industria química	44
2018	44	Teruel	21	Fabricación de productos farmacéuticos	3
2018	44	Teruel	22	Fabricación de productos de caucho y plásticos	14
2018	44	Teruel	23	Fabricación de otros productos minerales no metálicos	140
2018	44	Teruel	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	12
2018	44	Teruel	25	Fabricación de productos metálicos, excepto maquinaria y equipo	241
2018	44	Teruel	26	Fabricación de productos informáticos, electrónicos y ópticos	5
2018	44	Teruel	27	Fabricación de material y equipo eléctrico	7
2018	44	Teruel	28	Fabricación de maquinaria y equipo n.c.o.p.	40
2018	44	Teruel	29	Fabricación de vehículos de motor, remolques y semirremolques	19
2018	44	Teruel	30	Fabricación de otro material de transporte	6
2018	44	Teruel	31	Fabricación de muebles	70
2018	44	Teruel	32	Otras industrias manufactureras	32
2018	44	Teruel	33	Reparación e instalación de maquinaria y equipo	45
2018	44	Teruel	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	355
2018	44	Teruel	36	Captación, depuración y distribución de agua	22
