Mes y año	Mes (código)	Año	Mes nombre	Comarca código	Comarca nombre	Sexo	Temporalidad	Días duración contrato	Sector código	Sector descripción	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Mujeres	Temporal	1	2	Industria y energía	14	196	14
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Hombres	Temporal	0	3	Construcción	28	0	0
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Hombres	Temporal	1	3	Construcción	10	719	71,9
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Mujeres	Temporal	0	3	Construcción	1	0	0
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Mujeres	Temporal	1	3	Construcción	1	210	210
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Hombres	Temporal	0	4	Servicios	77	0	0
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Hombres	Temporal	1	4	Servicios	221	11240	50,85972850678733031674208144796380090498
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Mujeres	Temporal	0	4	Servicios	89	0	0
Julio 2021	202107	2021	Julio	07	Somontano de Barbastro	Mujeres	Temporal	1	4	Servicios	185	10617	57,38918918918918918918918918918918918919
Julio 2021	202107	2021	Julio	08	Cinca Medio	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	260	0	0
Julio 2021	202107	2021	Julio	08	Cinca Medio	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	13	981	75,46153846153846153846153846153846153846
Julio 2021	202107	2021	Julio	08	Cinca Medio	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	14	0	0
Julio 2021	202107	2021	Julio	08	Cinca Medio	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	5	522	104,4
Julio 2021	202107	2021	Julio	08	Cinca Medio	Hombres	Temporal	0	2	Industria y energía	106	0	0
Julio 2021	202107	2021	Julio	08	Cinca Medio	Hombres	Temporal	1	2	Industria y energía	28	7076	252,714285714285714285714285714285714286
Julio 2021	202107	2021	Julio	08	Cinca Medio	Mujeres	Temporal	0	2	Industria y energía	74	0	0
Julio 2021	202107	2021	Julio	08	Cinca Medio	Mujeres	Temporal	1	2	Industria y energía	8	610	76,25
Julio 2021	202107	2021	Julio	08	Cinca Medio	Hombres	Temporal	0	3	Construcción	33	0	0
Julio 2021	202107	2021	Julio	08	Cinca Medio	Hombres	Temporal	1	3	Construcción	13	1493	114,846153846153846153846153846153846154
Julio 2021	202107	2021	Julio	08	Cinca Medio	Mujeres	Temporal	0	3	Construcción	1	0	0
Julio 2021	202107	2021	Julio	08	Cinca Medio	Mujeres	Temporal	1	3	Construcción	2	235	117,5
Julio 2021	202107	2021	Julio	08	Cinca Medio	Hombres	Temporal	0	4	Servicios	40	0	0
Julio 2021	202107	2021	Julio	08	Cinca Medio	Hombres	Temporal	1	4	Servicios	120	6643	55,35833333333333333333333333333333333333
Julio 2021	202107	2021	Julio	08	Cinca Medio	Mujeres	Temporal	0	4	Servicios	91	0	0
Julio 2021	202107	2021	Julio	08	Cinca Medio	Mujeres	Temporal	1	4	Servicios	231	7907	34,22943722943722943722943722943722943723
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	139	0	0
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	67	3022	45,10447761194029850746268656716417910448
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	12	0	0
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	32	1004	31,375
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Hombres	Temporal	0	2	Industria y energía	14	0	0
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Hombres	Temporal	1	2	Industria y energía	164	24853	151,542682926829268292682926829268292683
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Mujeres	Temporal	0	2	Industria y energía	4	0	0
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Mujeres	Temporal	1	2	Industria y energía	38	5131	135,026315789473684210526315789473684211
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Hombres	Temporal	0	3	Construcción	14	0	0
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Hombres	Temporal	1	3	Construcción	21	2513	119,666666666666666666666666666666666667
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Mujeres	Temporal	1	3	Construcción	2	148	74
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Hombres	Temporal	0	4	Servicios	24	0	0
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Hombres	Temporal	1	4	Servicios	108	7862	72,7962962962962962962962962962962962963
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Mujeres	Temporal	0	4	Servicios	70	0	0
Julio 2021	202107	2021	Julio	09	La Litera / La Llitera	Mujeres	Temporal	1	4	Servicios	88	3939	44,76136363636363636363636363636363636364
Julio 2021	202107	2021	Julio	10	Los Monegros	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	59	0	0
Julio 2021	202107	2021	Julio	10	Los Monegros	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	27	2801	103,740740740740740740740740740740740741
Julio 2021	202107	2021	Julio	10	Los Monegros	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	20	0	0
Julio 2021	202107	2021	Julio	10	Los Monegros	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	9	722	80,22222222222222222222222222222222222222
Julio 2021	202107	2021	Julio	10	Los Monegros	Hombres	Temporal	0	2	Industria y energía	16	0	0
Julio 2021	202107	2021	Julio	10	Los Monegros	Hombres	Temporal	1	2	Industria y energía	3	187	62,33333333333333333333333333333333333333
Julio 2021	202107	2021	Julio	10	Los Monegros	Mujeres	Temporal	0	2	Industria y energía	2	0	0
Julio 2021	202107	2021	Julio	10	Los Monegros	Mujeres	Temporal	1	2	Industria y energía	1	90	90
Julio 2021	202107	2021	Julio	10	Los Monegros	Hombres	Temporal	0	3	Construcción	7	0	0
Julio 2021	202107	2021	Julio	10	Los Monegros	Hombres	Temporal	1	3	Construcción	8	564	70,5
Julio 2021	202107	2021	Julio	10	Los Monegros	Mujeres	Temporal	0	3	Construcción	1	0	0
Julio 2021	202107	2021	Julio	10	Los Monegros	Hombres	Temporal	0	4	Servicios	30	0	0
Julio 2021	202107	2021	Julio	10	Los Monegros	Hombres	Temporal	1	4	Servicios	36	3363	93,41666666666666666666666666666666666667
Julio 2021	202107	2021	Julio	10	Los Monegros	Mujeres	Temporal	0	4	Servicios	35	0	0
Julio 2021	202107	2021	Julio	10	Los Monegros	Mujeres	Temporal	1	4	Servicios	66	4252	64,42424242424242424242424242424242424242
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	777	0	0
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	194	8914	45,9484536082474226804123711340206185567
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	176	0	0
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	26	380	14,61538461538461538461538461538461538462
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	0	2	Industria y energía	34	0	0
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	1	2	Industria y energía	147	5159	35,0952380952380952380952380952380952381
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	0	2	Industria y energía	13	0	0
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	1	2	Industria y energía	334	5423	16,23652694610778443113772455089820359281
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	0	3	Construcción	17	0	0
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	1	3	Construcción	12	853	71,08333333333333333333333333333333333333
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	0	4	Servicios	155	0	0
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Hombres	Temporal	1	4	Servicios	128	9622	75,171875
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	0	4	Servicios	242	0	0
Julio 2021	202107	2021	Julio	11	Bajo Cinca / Baix Cinca	Mujeres	Temporal	1	4	Servicios	134	7446	55,56716417910447761194029850746268656716
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	8	0	0
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	2	2	1
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	4	0	0
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Hombres	Temporal	0	2	Industria y energía	9	0	0
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Hombres	Temporal	1	2	Industria y energía	187	6126	32,75935828877005347593582887700534759358
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Mujeres	Temporal	1	2	Industria y energía	170	832	4,89411764705882352941176470588235294118
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Hombres	Temporal	0	3	Construcción	5	0	0
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Hombres	Temporal	0	4	Servicios	32	0	0
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Hombres	Temporal	1	4	Servicios	78	3434	44,02564102564102564102564102564102564103
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Mujeres	Temporal	0	4	Servicios	48	0	0
Julio 2021	202107	2021	Julio	12	Tarazona y el Moncayo	Mujeres	Temporal	1	4	Servicios	74	3252	43,94594594594594594594594594594594594595
Julio 2021	202107	2021	Julio	13	Campo de Borja	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	37	0	0
Julio 2021	202107	2021	Julio	13	Campo de Borja	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	4	360	90
Julio 2021	202107	2021	Julio	13	Campo de Borja	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	7	0	0
Julio 2021	202107	2021	Julio	13	Campo de Borja	Hombres	Temporal	0	2	Industria y energía	6	0	0
Julio 2021	202107	2021	Julio	13	Campo de Borja	Hombres	Temporal	1	2	Industria y energía	61	1938	31,7704918032786885245901639344262295082
Julio 2021	202107	2021	Julio	13	Campo de Borja	Mujeres	Temporal	0	2	Industria y energía	3	0	0
Julio 2021	202107	2021	Julio	13	Campo de Borja	Mujeres	Temporal	1	2	Industria y energía	50	1233	24,66
Julio 2021	202107	2021	Julio	13	Campo de Borja	Hombres	Temporal	0	3	Construcción	7	0	0
Julio 2021	202107	2021	Julio	13	Campo de Borja	Hombres	Temporal	1	3	Construcción	4	402	100,5
Julio 2021	202107	2021	Julio	13	Campo de Borja	Mujeres	Temporal	0	3	Construcción	1	0	0
Julio 2021	202107	2021	Julio	13	Campo de Borja	Hombres	Temporal	0	4	Servicios	74	0	0
Julio 2021	202107	2021	Julio	13	Campo de Borja	Hombres	Temporal	1	4	Servicios	41	2131	51,97560975609756097560975609756097560976
Julio 2021	202107	2021	Julio	13	Campo de Borja	Mujeres	Temporal	0	4	Servicios	62	0	0
Julio 2021	202107	2021	Julio	13	Campo de Borja	Mujeres	Temporal	1	4	Servicios	77	4241	55,07792207792207792207792207792207792208
Julio 2021	202107	2021	Julio	14	Aranda	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	42	0	0
Julio 2021	202107	2021	Julio	14	Aranda	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	3	204	68
Julio 2021	202107	2021	Julio	14	Aranda	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	9	0	0
Julio 2021	202107	2021	Julio	14	Aranda	Hombres	Temporal	0	2	Industria y energía	25	0	0
Julio 2021	202107	2021	Julio	14	Aranda	Hombres	Temporal	1	2	Industria y energía	1	39	39
Julio 2021	202107	2021	Julio	14	Aranda	Mujeres	Temporal	0	2	Industria y energía	5	0	0
Julio 2021	202107	2021	Julio	14	Aranda	Mujeres	Temporal	1	2	Industria y energía	1	30	30
Julio 2021	202107	2021	Julio	14	Aranda	Hombres	Temporal	0	3	Construcción	9	0	0
Julio 2021	202107	2021	Julio	14	Aranda	Hombres	Temporal	1	3	Construcción	1	90	90
Julio 2021	202107	2021	Julio	14	Aranda	Mujeres	Temporal	1	3	Construcción	1	11	11
Julio 2021	202107	2021	Julio	14	Aranda	Hombres	Temporal	0	4	Servicios	9	0	0
Julio 2021	202107	2021	Julio	14	Aranda	Hombres	Temporal	1	4	Servicios	9	1143	127
Julio 2021	202107	2021	Julio	14	Aranda	Mujeres	Temporal	0	4	Servicios	29	0	0
Julio 2021	202107	2021	Julio	14	Aranda	Mujeres	Temporal	1	4	Servicios	18	1570	87,22222222222222222222222222222222222222
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	38	0	0
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	45	1209	26,86666666666666666666666666666666666667
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	14	0	0
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	16	564	35,25
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Hombres	Temporal	0	2	Industria y energía	92	0	0
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Hombres	Temporal	1	2	Industria y energía	586	19399	33,10409556313993174061433447098976109215
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Mujeres	Temporal	0	2	Industria y energía	20	0	0
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Mujeres	Temporal	1	2	Industria y energía	174	8355	48,01724137931034482758620689655172413793
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Hombres	Temporal	0	3	Construcción	26	0	0
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Hombres	Temporal	1	3	Construcción	18	1306	72,55555555555555555555555555555555555556
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Hombres	Temporal	0	4	Servicios	127	0	0
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Hombres	Temporal	1	4	Servicios	475	7427	15,63578947368421052631578947368421052632
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Mujeres	Temporal	0	4	Servicios	112	0	0
Julio 2021	202107	2021	Julio	15	Ribera Alta del Ebro	Mujeres	Temporal	1	4	Servicios	338	8821	26,09763313609467455621301775147928994083
Julio 2021	202107	2021	Julio	16	Valdejalón	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	896	0	0
Julio 2021	202107	2021	Julio	16	Valdejalón	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	365	7260	19,89041095890410958904109589041095890411
Julio 2021	202107	2021	Julio	16	Valdejalón	Mujeres	Temporal	0	1	Agricultura, ganadería y pesca	277	0	0
Julio 2021	202107	2021	Julio	16	Valdejalón	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	100	2274	22,74
Julio 2021	202107	2021	Julio	16	Valdejalón	Hombres	Temporal	0	2	Industria y energía	55	0	0
Julio 2021	202107	2021	Julio	16	Valdejalón	Hombres	Temporal	1	2	Industria y energía	320	7977	24,928125
Julio 2021	202107	2021	Julio	16	Valdejalón	Mujeres	Temporal	0	2	Industria y energía	54	0	0
Julio 2021	202107	2021	Julio	16	Valdejalón	Mujeres	Temporal	1	2	Industria y energía	120	3653	30,44166666666666666666666666666666666667
Julio 2021	202107	2021	Julio	16	Valdejalón	Hombres	Temporal	0	3	Construcción	25	0	0
Julio 2021	202107	2021	Julio	16	Valdejalón	Hombres	Temporal	1	3	Construcción	17	2109	124,058823529411764705882352941176470588
