Año	Municipio código	Municipio nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	22069	Broto	1244071,32	92300,0	19950,0	71294,78	162364,9	51220,0	0,0	786840,43	0,0	60101,21	Presupuestos	Consolidada
2004	22072	Caldearenas	552509,29	72314,0	7500,0	24800,0	172995,29	33000,0	0,0	241900,0	0,0	0,0	Presupuestos	Consolidada
2004	22074	Campo	1000696,77	92421,45	140000,0	202400,0	119250,0	422,9	0,0	275202,42	0,0	171000,0	Presupuestos	Consolidada
2004	22075	Camporrells	652608,49	24390,0	4220,0	71592,44	115181,77	780,3	0,0	406443,98	0,0	30000,0	Presupuestos	Consolidada
2004	22076	Canal de Berdún	577840,0	62208,0	10000,0	24896,0	155772,0	117991,0	5409,0	201264,0	0,0	300,0	Presupuestos	Consolidada
2004	22077	Candasnos											Presupuestos	Sin información
2004	22078	Canfranc	1545745,21	343002,72	98500,0	111473,96	191126,52	127431,18	6,46	674185,47	6,22	12,68	Presupuestos	Consolidada
2004	22079	Capdesaso	177988,37	23535,43	0,0	44575,24	37147,51	34470,53	0,0	38259,66	0,0	0,0	Presupuestos	Consolidada
2004	22080	Capella	210740,0	44000,0	600,0	53200,0	76290,0	200,0	0,0	36450,0	0,0	0,0	Presupuestos	Consolidada
2004	22081	Casbas de Huesca	516392,6	48672,4	0,0	56829,0	85025,2	5500,0	0,0	320366,0	0,0	0,0	Presupuestos	Consolidada
2004	22082	Castejón del Puente	818639,11	95879,54	10761,21	52787,47	223333,66	40249,84	0,0	365627,39	0,0	30000,0	Presupuestos	Consolidada
2004	22083	Castejón de Monegros	622820,45	80230,0	15000,0	81982,45	137523,0	41085,0	0,0	109000,0	0,0	158000,0	Presupuestos	Consolidada
2004	22084	Castejón de Sos	2017494,0	127418,0	184833,0	351356,0	523810,0	39571,0	0,0	790506,0	0,0	0,0	Presupuestos	Consolidada
2004	22085	Castelflorite	121730,0	29117,0	0,0	16090,0	43973,0	3400,0	0,0	29150,0	0,0	0,0	Presupuestos	Consolidada
2004	22086	Castiello de Jaca	472777,38	106854,33	150000,0	59117,8	39663,38	19151,82	29574,61	68415,44	0,0	0,0	Presupuestos	Consolidada
2004	22087	Castigaleu	88700,0	9200,0	0,0	3380,0	39190,0	8500,0	0,0	28430,0	0,0	0,0	Presupuestos	Consolidada
2004	22088	Castillazuelo	273414,79	27862,4	0,0	26629,15	73478,66	13271,11	0,0	132173,47	0,0	0,0	Presupuestos	Consolidada
2004	22089	Castillonroy	374610,0	81900,0	9500,0	67600,0	104800,0	31400,0	0,0	79410,0	0,0	0,0	Presupuestos	Consolidada
2004	22090	Colungo	219265,72	13710,15	4000,0	13196,35	44765,82	6400,0	0,0	137193,4	0,0	0,0	Presupuestos	Consolidada
2004	22094	Chalamera											Presupuestos	Sin información
2004	22095	Chía	133340,0	16250,0	15410,0	19510,0	38900,0	18160,0	0,0	25110,0	0,0	0,0	Presupuestos	Consolidada
2004	22096	Chimillas	177000,0	37000,0	20000,0	13680,0	72600,0	520,0	0,0	33200,0	0,0	0,0	Presupuestos	Consolidada
2004	22099	Esplús	559291,46	255643,0	13200,0	75700,46	170670,0	11528,0	0,0	32550,0	0,0	0,0	Presupuestos	Consolidada
2004	22102	Estada	210000,0	55026,26	3000,0	28102,0	61510,32	3171,42	0,0	59190,0	0,0	0,0	Presupuestos	Consolidada
2004	22103	Estadilla	1500900,0	149278,16	17250,0	282673,31	245138,93	753269,6	0,0	53290,0	0,0	0,0	Presupuestos	Consolidada
2004	22105	Estopiñán del Castillo	555684,82	110500,0	41000,0	21922,17	63200,0	23400,0	0,0	295662,65	0,0	0,0	Presupuestos	Consolidada
2004	22106	Fago	686307,6	3795,25	2404,05	3415,0	53900,0	200,0	0,0	599593,3	0,0	23000,0	Presupuestos	Consolidada
2004	22107	Fanlo	479152,0	12190,0	0,0	13505,0	101866,0	26291,0	0,0	325300,0	0,0	0,0	Presupuestos	Consolidada
2004	22109	Fiscal	734680,34	76412,02	15426,62	25257,0	121804,0	23001,0	0,0	297779,7	0,0	175000,0	Presupuestos	Consolidada
2004	22110	Fonz	1061175,0	145860,0	12500,0	173649,0	173296,0	25000,0	0,0	404981,0	0,0	125889,0	Presupuestos	Consolidada
2004	22111	Foradada del Toscar	122668,37	17602,0	0,0	441,0	54125,37	500,0	0,0	50000,0	0,0	0,0	Presupuestos	Consolidada
2004	22112	Fraga	14732800,0	3201000,0	450000,0	2444633,0	2505867,0	382500,0	180000,0	4756020,0	0,0	812780,0	Presupuestos	Consolidada
2004	22113	Fueva (La)	2402722,53	381762,21	0,0	38300,0	213564,32	9150,0	4176,0	1139020,0	0,0	616750,0	Presupuestos	Consolidada
2004	22114	Gistaín	248377,77	10813,78	0,0	57121,17	43963,47	13778,45	0,0	122700,9	0,0	0,0	Presupuestos	Consolidada
2004	22115	Grado (El)	697730,0	284900,0	15000,0	72450,0	141080,0	17300,0	0,0	167000,0	0,0	0,0	Presupuestos	Consolidada
2004	22116	Grañén	1419686,12	376000,0	37000,0	115204,0	405064,0	10234,0	6000,0	280184,12	0,0	190000,0	Presupuestos	Consolidada
2004	22117	Graus	5692116,0	678231,0	90700,0	1082864,0	1137876,0	46500,0	150000,0	2231104,0	0,0	274841,0	Presupuestos	Consolidada
2004	22119	Gurrea de Gállego	1616090,0	302000,0	210000,0	170300,0	403800,0	15700,0	10,0	514280,0	0,0	0,0	Presupuestos	Consolidada
2004	22122	Hoz de Jaca	219506,43	30671,0	20000,0	13986,0	22539,43	18902,0	60016,0	53392,0	0,0	0,0	Presupuestos	Consolidada
2004	22124	Huerto	242403,0	82740,0	3005,0	10865,0	61775,0	24658,0	0,0	59360,0	0,0	0,0	Presupuestos	Consolidada
2004	22125	Huesca	44219723,1	12961412,0	2329676,18	8829643,42	7609190,74	506986,0	6592487,26	5363327,5	27000,0	0,0	Presupuestos	Consolidada
2004	22126	Ibieca	168040,0	13200,0	2100,0	11790,0	30500,0	7450,0	0,0	103000,0	0,0	0,0	Presupuestos	Consolidada
2004	22127	Igriés	275900,0	55500,0	50000,0	24200,0	76500,0	27700,0	10000,0	32000,0	0,0	0,0	Presupuestos	Consolidada
2004	22128	Ilche	200535,0	69900,0	100,0	4095,0	80970,0	8220,0	31250,0	6000,0	0,0	0,0	Presupuestos	Consolidada
2004	22129	Isábena	461951,25	32700,0	6043,64	10542,02	81697,16	2651,2	0,0	304276,75	0,0	24040,48	Presupuestos	Consolidada
2004	22130	Jaca	21793000,0	5230640,0	1000010,0	7659275,05	3402138,73	189999,22	429187,0	2115350,0	0,0	1766400,0	Presupuestos	Consolidada
2004	22131	Jasa	145108,0	11390,0	25000,0	3782,0	37821,0	2340,0	0,0	64775,0	0,0	0,0	Presupuestos	Consolidada
2004	22133	Labuerda	369784,97	25075,1	18000,0	45461,29	52743,6	13906,28	0,0	188725,88	0,0	25872,82	Presupuestos	Consolidada
2004	22135	Laluenga	643467,81	42471,11	20000,0	48175,42	56802,64	10060,46	0,0	405857,18	0,0	60101,0	Presupuestos	Consolidada
2004	22136	Lalueza	773122,4	242000,0	16000,0	97174,06	267400,0	13315,0	5588,65	131644,69	0,0	0,0	Presupuestos	Consolidada
2004	22137	Lanaja	838467,0	280256,0	13050,0	124418,0	265308,0	41535,0	0,0	113900,0	0,0	0,0	Presupuestos	Consolidada
2004	22139	Laperdiguera	555514,92	13857,94	3000,0	20024,24	28532,68	3600,0	0,0	486500,06	0,0	0,0	Presupuestos	Consolidada
2004	22141	Lascellas-Ponzano	922343,52	27173,49	30000,0	39842,28	40775,32	5502,43	0,0	779050,0	0,0	0,0	Presupuestos	Consolidada
2004	22142	Lascuarre	122270,0	24800,0	0,0	26700,0	38730,0	4500,0	0,0	27540,0	0,0	0,0	Presupuestos	Consolidada
