Año	Provincia código	Provincia nombre	Estado de la información	Licencias, total	Licencias, nueva planta, total	Licencias, nueva planta, con demolición	Licencias, nueva planta, sin demolición	Licencias, rehabilitación, total	Licencias, rehabilitación, con demolición	Licencias, rehabilitación, sin demolición	Licencias, rehabilitación locales	Licencias, demolición
2005	22	Huesca	ESTIMACIÓN	1114,0	683,0	51,0	632,0	337,0	223,0	114,0	54,0	40,0
2005	44	Teruel	ESTIMACIÓN	726,0	491,0	24,0	467,0	176,0	116,0	60,0	11,0	48,0
2005	50	Zaragoza	ESTIMACIÓN	2841,0	1131,0	74,0	1057,0	619,0	226,0	393,0	813,0	278,0
2004	22	Huesca	ESTIMACIÓN	996,0	647,0	44,0	603,0	287,0	182,0	105,0	42,0	20,0
2004	44	Teruel	ESTIMACIÓN	705,0	440,0	17,0	423,0	199,0	131,0	68,0	16,0	50,0
2004	50	Zaragoza	ESTIMACIÓN	2748,0	1117,0	93,0	1024,0	621,0	220,0	401,0	774,0	236,0
2003	22	Huesca	ESTIMACIÓN	970,0	649,0	28,0	621,0	275,0	174,0	101,0	33,0	13,0
2003	44	Teruel	ESTIMACIÓN	645,0	459,0	17,0	442,0	148,0	115,0	33,0	5,0	33,0
2003	50	Zaragoza	ESTIMACIÓN	2444,0	1020,0	64,0	956,0	520,0	203,0	317,0	706,0	198,0
2002	22	Huesca	ESTIMACIÓN	811,0	524,0	25,0	499,0	223,0	148,0	75,0	53,0	11,0
2002	44	Teruel	ESTIMACIÓN	596,0	370,0	13,0	357,0	180,0	134,0	46,0	22,0	24,0
2002	50	Zaragoza	ESTIMACIÓN	2514,0	994,0	58,0	936,0	554,0	233,0	321,0	787,0	179,0
2001	22	Huesca	ESTIMACIÓN	784,0	531,0	34,0	497,0	216,0	134,0	82,0	29,0	8,0
2001	44	Teruel	ESTIMACIÓN	610,0	379,0	19,0	360,0	197,0	124,0	73,0	12,0	22,0
2001	50	Zaragoza	ESTIMACIÓN	2699,0	1128,0	64,0	1064,0	465,0	222,0	243,0	939,0	167,0
2000	22	Huesca	ESTIMACIÓN	904,0	600,0	29,0	571,0	250,0	174,0	76,0	38,0	16,0
2000	44	Teruel	ESTIMACIÓN	634,0	376,0	17,0	359,0	234,0	158,0	76,0	10,0	14,0
2000	50	Zaragoza	ESTIMACIÓN	2533,0	1166,0	72,0	1094,0	435,0	254,0	181,0	777,0	155,0
