Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	18	Ribera Baja del Ebro
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	9	3	Técnicos; profesionales de apoyo	Hombres	20	Comunidad de Calatayud
2019,0	4	3	Técnicos; profesionales de apoyo	Mujeres	20	Comunidad de Calatayud
2019,0	2	3	Técnicos; profesionales de apoyo	Hombres	21	Campo de Cariñena
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	23	Bajo Martín
2019,0	2	3	Técnicos; profesionales de apoyo	Mujeres	25	Jiloca
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	26	Cuencas Mineras
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	26	Cuencas Mineras
2019,0	4	3	Técnicos; profesionales de apoyo	Hombres	27	Andorra-Sierra de Arcos
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	28	Bajo Aragón
2019,0	4	3	Técnicos; profesionales de apoyo	Mujeres	28	Bajo Aragón
2019,0	11	3	Técnicos; profesionales de apoyo	Hombres	29	Comunidad de Teruel
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	29	Comunidad de Teruel
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	30	Maestrazgo
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	31	Sierra de Albarracín
2019,0	2	3	Técnicos; profesionales de apoyo	Hombres	32	Gúdar-Javalambre
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	33	Matarraña / Matarranya
2019,0	4	3	Técnicos; profesionales de apoyo	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	01	La Jacetania
2019,0	5	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	01	La Jacetania
2019,0	3	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	02	Alto Gállego
2019,0	4	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	02	Alto Gállego
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	03	Sobrarbe
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	03	Sobrarbe
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	04	La Ribagorza
2019,0	12	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	12	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	07	Somontano de Barbastro
2019,0	4	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	07	Somontano de Barbastro
2019,0	5	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	08	Cinca Medio
2019,0	4	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	09	La Litera / La Llitera
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	10	Los Monegros
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	11	Bajo Cinca / Baix Cinca
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	12	Tarazona y el Moncayo
2019,0	4	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	12	Tarazona y el Moncayo
2019,0	6	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	15	Ribera Alta del Ebro
2019,0	5	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	15	Ribera Alta del Ebro
2019,0	6	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	16	Valdejalón
2019,0	7	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	16	Valdejalón
2019,0	86	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	17	D.C. Zaragoza
2019,0	118	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	17	D.C. Zaragoza
2019,0	6	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	20	Comunidad de Calatayud
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	21	Campo de Cariñena
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	21	Campo de Cariñena
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	23	Bajo Martín
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	23	Bajo Martín
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	24	Campo de Daroca
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	26	Cuencas Mineras
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	27	Andorra-Sierra de Arcos
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	28	Bajo Aragón
2019,0	5	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	28	Bajo Aragón
2019,0	8	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	29	Comunidad de Teruel
2019,0	11	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	29	Comunidad de Teruel
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	31	Sierra de Albarracín
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	32	Gúdar-Javalambre
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	33	Matarraña / Matarranya
2019,0	24	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	01	La Jacetania
