Año	Nº Accidentes	Código	Municipio	Ord_Temporalidad	Temporalidad	Sector Código	Sector Descripción
2005,0	34	50089	Cuarte de Huerva	1	Indefinido	3	Construcción
2005,0	99	50089	Cuarte de Huerva	2	Temporal	3	Construcción
2005,0	77	50089	Cuarte de Huerva	1	Indefinido	4	Servicios
2005,0	60	50089	Cuarte de Huerva	2	Temporal	4	Servicios
2005,0	20	50095	Ejea de los Caballeros	1	Indefinido	1	Agricultura, ganadería y pesca
2005,0	27	50095	Ejea de los Caballeros	2	Temporal	1	Agricultura, ganadería y pesca
2005,0	87	50095	Ejea de los Caballeros	1	Indefinido	2	Industria y energía
2005,0	92	50095	Ejea de los Caballeros	2	Temporal	2	Industria y energía
2005,0	25	50095	Ejea de los Caballeros	1	Indefinido	3	Construcción
2005,0	90	50095	Ejea de los Caballeros	2	Temporal	3	Construcción
2005,0	45	50095	Ejea de los Caballeros	1	Indefinido	4	Servicios
2005,0	38	50095	Ejea de los Caballeros	2	Temporal	4	Servicios
2005,0	2	50163	María de Huerva	2	Temporal	1	Agricultura, ganadería y pesca
2005,0	27	50163	María de Huerva	1	Indefinido	2	Industria y energía
2005,0	13	50163	María de Huerva	2	Temporal	2	Industria y energía
2005,0	4	50163	María de Huerva	1	Indefinido	3	Construcción
2005,0	28	50163	María de Huerva	2	Temporal	3	Construcción
2005,0	1	50163	María de Huerva	1	Indefinido	4	Servicios
2005,0	3	50163	María de Huerva	2	Temporal	4	Servicios
2005,0	65	50182	Muela (La)	1	Indefinido	2	Industria y energía
2005,0	93	50182	Muela (La)	2	Temporal	2	Industria y energía
2005,0	3	50182	Muela (La)	1	Indefinido	3	Construcción
2005,0	23	50182	Muela (La)	2	Temporal	3	Construcción
2005,0	27	50182	Muela (La)	1	Indefinido	4	Servicios
2005,0	47	50182	Muela (La)	2	Temporal	4	Servicios
2005,0	1	50219	Puebla de Alfindén (La)	1	Indefinido	1	Agricultura, ganadería y pesca
2005,0	1	50219	Puebla de Alfindén (La)	3	Sin clasificar	1	Agricultura, ganadería y pesca
2005,0	149	50219	Puebla de Alfindén (La)	1	Indefinido	2	Industria y energía
2005,0	107	50219	Puebla de Alfindén (La)	2	Temporal	2	Industria y energía
2005,0	22	50219	Puebla de Alfindén (La)	1	Indefinido	3	Construcción
2005,0	49	50219	Puebla de Alfindén (La)	2	Temporal	3	Construcción
2005,0	1	50219	Puebla de Alfindén (La)	3	Sin clasificar	3	Construcción
2005,0	63	50219	Puebla de Alfindén (La)	1	Indefinido	4	Servicios
2005,0	55	50219	Puebla de Alfindén (La)	2	Temporal	4	Servicios
2005,0	4	50251	Tarazona	1	Indefinido	1	Agricultura, ganadería y pesca
2005,0	1	50251	Tarazona	2	Temporal	1	Agricultura, ganadería y pesca
2005,0	57	50251	Tarazona	1	Indefinido	2	Industria y energía
2005,0	21	50251	Tarazona	2	Temporal	2	Industria y energía
2005,0	9	50251	Tarazona	1	Indefinido	3	Construcción
2005,0	12	50251	Tarazona	2	Temporal	3	Construcción
2005,0	33	50251	Tarazona	1	Indefinido	4	Servicios
2005,0	27	50251	Tarazona	2	Temporal	4	Servicios
2005,0	2	50251	Tarazona	3	Sin clasificar	4	Servicios
2005,0	17	50252	Tauste	1	Indefinido	1	Agricultura, ganadería y pesca
2005,0	11	50252	Tauste	2	Temporal	1	Agricultura, ganadería y pesca
2005,0	66	50252	Tauste	1	Indefinido	2	Industria y energía
2005,0	22	50252	Tauste	2	Temporal	2	Industria y energía
2005,0	18	50252	Tauste	1	Indefinido	3	Construcción
2005,0	26	50252	Tauste	2	Temporal	3	Construcción
2005,0	17	50252	Tauste	1	Indefinido	4	Servicios
2005,0	11	50252	Tauste	2	Temporal	4	Servicios
2005,0	2	50272	Utebo	1	Indefinido	1	Agricultura, ganadería y pesca
2005,0	5	50272	Utebo	2	Temporal	1	Agricultura, ganadería y pesca
2005,0	98	50272	Utebo	1	Indefinido	2	Industria y energía
2005,0	77	50272	Utebo	2	Temporal	2	Industria y energía
2005,0	29	50272	Utebo	1	Indefinido	3	Construcción
2005,0	81	50272	Utebo	2	Temporal	3	Construcción
2005,0	57	50272	Utebo	1	Indefinido	4	Servicios
2005,0	41	50272	Utebo	2	Temporal	4	Servicios
2005,0	42	50297	Zaragoza	1	Indefinido	1	Agricultura, ganadería y pesca
2005,0	33	50297	Zaragoza	2	Temporal	1	Agricultura, ganadería y pesca
2005,0	1	50297	Zaragoza	3	Sin clasificar	1	Agricultura, ganadería y pesca
2005,0	1660	50297	Zaragoza	1	Indefinido	2	Industria y energía
2005,0	878	50297	Zaragoza	2	Temporal	2	Industria y energía
2005,0	545	50297	Zaragoza	1	Indefinido	3	Construcción
2005,0	1597	50297	Zaragoza	2	Temporal	3	Construcción
2005,0	5	50297	Zaragoza	3	Sin clasificar	3	Construcción
2005,0	2925	50297	Zaragoza	1	Indefinido	4	Servicios
2005,0	2056	50297	Zaragoza	2	Temporal	4	Servicios
2005,0	8	50297	Zaragoza	3	Sin clasificar	4	Servicios
2005,0	4	50298	Zuera	1	Indefinido	1	Agricultura, ganadería y pesca
2005,0	47	50298	Zuera	1	Indefinido	2	Industria y energía
2005,0	46	50298	Zuera	2	Temporal	2	Industria y energía
2005,0	10	50298	Zuera	1	Indefinido	3	Construcción
2005,0	22	50298	Zuera	2	Temporal	3	Construcción
2005,0	28	50298	Zuera	1	Indefinido	4	Servicios
2005,0	21	50298	Zuera	2	Temporal	4	Servicios
2004,0	4	22048	Barbastro	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	9	22048	Barbastro	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	42	22048	Barbastro	1	Indefinido	2	Industria y energía
2004,0	32	22048	Barbastro	2	Temporal	2	Industria y energía
2004,0	11	22048	Barbastro	1	Indefinido	3	Construcción
2004,0	56	22048	Barbastro	2	Temporal	3	Construcción
2004,0	51	22048	Barbastro	1	Indefinido	4	Servicios
2004,0	49	22048	Barbastro	2	Temporal	4	Servicios
2004,0	5	22061	Binéfar	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	74	22061	Binéfar	1	Indefinido	2	Industria y energía
2004,0	42	22061	Binéfar	2	Temporal	2	Industria y energía
2004,0	7	22061	Binéfar	1	Indefinido	3	Construcción
2004,0	26	22061	Binéfar	2	Temporal	3	Construcción
2004,0	38	22061	Binéfar	1	Indefinido	4	Servicios
2004,0	16	22061	Binéfar	2	Temporal	4	Servicios
2004,0	6	22112	Fraga	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	16	22112	Fraga	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	34	22112	Fraga	1	Indefinido	2	Industria y energía
2004,0	31	22112	Fraga	2	Temporal	2	Industria y energía
2004,0	9	22112	Fraga	1	Indefinido	3	Construcción
2004,0	34	22112	Fraga	2	Temporal	3	Construcción
2004,0	44	22112	Fraga	1	Indefinido	4	Servicios
2004,0	41	22112	Fraga	2	Temporal	4	Servicios
2004,0	13	22125	Huesca	1	Indefinido	1	Agricultura, ganadería y pesca
2004,0	11	22125	Huesca	2	Temporal	1	Agricultura, ganadería y pesca
2004,0	132	22125	Huesca	1	Indefinido	2	Industria y energía
2004,0	69	22125	Huesca	2	Temporal	2	Industria y energía
2004,0	58	22125	Huesca	1	Indefinido	3	Construcción
2004,0	201	22125	Huesca	2	Temporal	3	Construcción
2004,0	205	22125	Huesca	1	Indefinido	4	Servicios
2004,0	170	22125	Huesca	2	Temporal	4	Servicios
2004,0	5	22130	Jaca	1	Indefinido	2	Industria y energía
2004,0	5	22130	Jaca	2	Temporal	2	Industria y energía
2004,0	23	22130	Jaca	1	Indefinido	3	Construcción
2004,0	67	22130	Jaca	2	Temporal	3	Construcción
2004,0	54	22130	Jaca	1	Indefinido	4	Servicios
2004,0	31	22130	Jaca	2	Temporal	4	Servicios
