Año	Comarca código	Comarca nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2014	16	Valdejalón	117	206460
2014	17	Central	2248	13136089
2014	18	Ribera Baja del Ebro	50	81780
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	54	118081
2014	20	Comunidad de Calatayud	201	326843
2014	21	Campo de Cariñena	89	113631
2014	22	Campo de Belchite	30	31515
2014	23	Bajo Martín	112	107519
2014	24	Campo de Daroca	67	64959
2014	25	Jiloca	62	71481
2014	26	Cuencas Mineras	66	89280
2014	27	Andorra-Sierra de Arcos	127	145238
2014	28	Bajo Aragón	218	388245
2014	29	Comunidad de Teruel	194	476811
2014	30	Maestrazgo	53	35005
2014	31	Sierra de Albarracín	46	48335
2014	32	Gúdar-Javalambre	97	80409
2014	33	Matarraña / Matarranya	175	206619
2015	01	La Jacetania	206	500853
2015	02	Alto Gállego	321	443174
2015	03	Sobrarbe	81	197200
2015	04	La Ribagorza	407	377261
2015	05	Cinco Villas	139	352102
2015	06	Hoya de Huesca / Plana de Uesca	632	2141916
2015	07	Somontano de Barbastro	71	277197
2015	08	Cinca Medio	143	341785
2015	09	La Litera / La Llitera	233	375093
2015	10	Los Monegros	455	428042
2015	11	Bajo Cinca / Baix Cinca	119	375290
2015	12	Tarazona y el Moncayo	125	266012
2015	13	Campo de Borja	322	486276
2015	14	Aranda	66	43110
2015	15	Ribera Alta del Ebro	361	497400
2015	16	Valdejalón	141	246986
2015	17	Central	2262	12579620
2015	18	Ribera Baja del Ebro	50	86821
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	55	101380
2015	20	Comunidad de Calatayud	201	339139
2015	21	Campo de Cariñena	105	133718
2015	22	Campo de Belchite	30	31856
2015	23	Bajo Martín	120	128887
2015	24	Campo de Daroca	67	73542
2015	25	Jiloca	66	108238
2015	26	Cuencas Mineras	67	86158
2015	27	Andorra-Sierra de Arcos	127	146711
2015	28	Bajo Aragón	220	390701
2015	29	Comunidad de Teruel	194	509451
2015	30	Maestrazgo	53	33688
2015	31	Sierra de Albarracín	46	46440
2015	32	Gúdar-Javalambre	98	77038
2015	33	Matarraña / Matarranya	178	221781
2016	01	La Jacetania	203	513756
2016	02	Alto Gállego	330	455332
2016	03	Sobrarbe	86	192779
2016	04	La Ribagorza	407	407079
2016	05	Cinco Villas	139	360481
2016	06	Hoya de Huesca / Plana de Uesca	659	2243568
2016	07	Somontano de Barbastro	89	291996
2016	08	Cinca Medio	143	323880
2016	09	La Litera / La Llitera	277	421323
2016	10	Los Monegros	463	435531
2016	11	Bajo Cinca / Baix Cinca	127	412480
2016	12	Tarazona y el Moncayo	127	237401
2016	13	Campo de Borja	322	353833
2016	14	Aranda	66	61942
2016	15	Ribera Alta del Ebro	389	495359
2016	16	Valdejalón	185	267670
2016	17	Central	2275	12591882
2016	18	Ribera Baja del Ebro	50	94901
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	55	118999
2016	20	Comunidad de Calatayud	201	367035
2016	21	Campo de Cariñena	105	138503
2016	22	Campo de Belchite	87	43504
2016	23	Bajo Martín	120	122358
2016	24	Campo de Daroca	67	74319
2016	25	Jiloca	66	109058
2016	26	Cuencas Mineras	67	96644
2016	27	Andorra-Sierra de Arcos	127	154339
2016	28	Bajo Aragón	234	432185
2016	29	Comunidad de Teruel	192	504937
2016	30	Maestrazgo	54	37494
2016	31	Sierra de Albarracín	46	52333
2016	32	Gúdar-Javalambre	97	86284
2016	33	Matarraña / Matarranya	178	241321
2017	01	La Jacetania	202	495842
2017	02	Alto Gállego	335	423722
2017	03	Sobrarbe	86	201981
2017	04	La Ribagorza	407	403632
2017	05	Cinco Villas	146	369859
2017	06	Hoya de Huesca / Plana de Uesca	670	2251803
2017	07	Somontano de Barbastro	89	271761
2017	08	Cinca Medio	147	332778
2017	09	La Litera / La Llitera	283	426113
2017	10	Los Monegros	514	437880
2017	11	Bajo Cinca / Baix Cinca	127	403400
2017	12	Tarazona y el Moncayo	127	255744
2017	13	Campo de Borja	339	328430
2017	14	Aranda	66	56861
2017	15	Ribera Alta del Ebro	399	482681
2017	16	Valdejalón	185	236841
2017	17	Central	2289	12518435
2017	18	Ribera Baja del Ebro	50	91540
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	55	115996
2017	20	Comunidad de Calatayud	201	428446
2017	21	Campo de Cariñena	105	161301
2017	22	Campo de Belchite	96	48676
2017	23	Bajo Martín	120	134687
2017	24	Campo de Daroca	67	88282
2017	25	Jiloca	66	107540
2017	26	Cuencas Mineras	67	92799
2017	27	Andorra-Sierra de Arcos	127	143669
2017	28	Bajo Aragón	233	438341
2017	29	Comunidad de Teruel	192	495131
2017	30	Maestrazgo	54	36037
2017	31	Sierra de Albarracín	46	50378
2017	32	Gúdar-Javalambre	97	82613
2017	33	Matarraña / Matarranya	178	243189
