Mes y año	Mes (código)	Comarca código	Comarca nombre	Sexo	Nivel formativo grupo IAEST descripción	Nivel formativo grupo IAEST código	Número de contratos
Octubre 2021	202110	05	Cinco Villas	Mujeres	Enseñanza media de formación profesional	32	19
Octubre 2021	202110	05	Cinco Villas	Hombres	Enseñanza superior de formación profesional	41	8
Octubre 2021	202110	05	Cinco Villas	Mujeres	Enseñanza superior de formación profesional	41	7
Octubre 2021	202110	05	Cinco Villas	Hombres	Enseñanza superior universitaria	42	24
Octubre 2021	202110	05	Cinco Villas	Mujeres	Enseñanza superior universitaria	42	29
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Hombres	Educación Primaria o inferior	10	295
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Mujeres	Educación Primaria o inferior	10	383
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Hombres	Primera etapa de educación secundaria	20	543
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Mujeres	Primera etapa de educación secundaria	20	493
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Hombres	Bachillerato	31	140
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Mujeres	Bachillerato	31	118
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Hombres	Enseñanza media de formación profesional	32	34
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Mujeres	Enseñanza media de formación profesional	32	61
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Hombres	Enseñanza superior de formación profesional	41	16
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Mujeres	Enseñanza superior de formación profesional	41	35
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Hombres	Enseñanza superior universitaria	42	91
Octubre 2021	202110	06	Hoya de Huesca / Plana de Uesca	Mujeres	Enseñanza superior universitaria	42	173
Octubre 2021	202110	07	Somontano de Barbastro	Hombres	Educación Primaria o inferior	10	110
Octubre 2021	202110	07	Somontano de Barbastro	Mujeres	Educación Primaria o inferior	10	100
Octubre 2021	202110	07	Somontano de Barbastro	Hombres	Primera etapa de educación secundaria	20	160
Octubre 2021	202110	07	Somontano de Barbastro	Mujeres	Primera etapa de educación secundaria	20	122
Octubre 2021	202110	07	Somontano de Barbastro	Hombres	Bachillerato	31	32
Octubre 2021	202110	07	Somontano de Barbastro	Mujeres	Bachillerato	31	38
Octubre 2021	202110	07	Somontano de Barbastro	Hombres	Enseñanza media de formación profesional	32	18
Octubre 2021	202110	07	Somontano de Barbastro	Mujeres	Enseñanza media de formación profesional	32	17
Octubre 2021	202110	07	Somontano de Barbastro	Hombres	Enseñanza superior de formación profesional	41	6
Octubre 2021	202110	07	Somontano de Barbastro	Mujeres	Enseñanza superior de formación profesional	41	9
Octubre 2021	202110	07	Somontano de Barbastro	Hombres	Enseñanza superior universitaria	42	16
Octubre 2021	202110	07	Somontano de Barbastro	Mujeres	Enseñanza superior universitaria	42	20
Octubre 2021	202110	08	Cinca Medio	Hombres	Educación Primaria o inferior	10	252
Octubre 2021	202110	08	Cinca Medio	Mujeres	Educación Primaria o inferior	10	203
Octubre 2021	202110	08	Cinca Medio	Hombres	Primera etapa de educación secundaria	20	132
Octubre 2021	202110	08	Cinca Medio	Mujeres	Primera etapa de educación secundaria	20	122
Octubre 2021	202110	08	Cinca Medio	Hombres	Bachillerato	31	19
Octubre 2021	202110	08	Cinca Medio	Mujeres	Bachillerato	31	11
Octubre 2021	202110	08	Cinca Medio	Hombres	Enseñanza media de formación profesional	32	28
Octubre 2021	202110	08	Cinca Medio	Mujeres	Enseñanza media de formación profesional	32	21
Octubre 2021	202110	08	Cinca Medio	Hombres	Enseñanza superior de formación profesional	41	11
Octubre 2021	202110	08	Cinca Medio	Mujeres	Enseñanza superior de formación profesional	41	9
Octubre 2021	202110	08	Cinca Medio	Hombres	Enseñanza superior universitaria	42	30
Octubre 2021	202110	08	Cinca Medio	Mujeres	Enseñanza superior universitaria	42	32
Octubre 2021	202110	09	La Litera / La Llitera	Hombres	Educación Primaria o inferior	10	248
Octubre 2021	202110	09	La Litera / La Llitera	Mujeres	Educación Primaria o inferior	10	98
Octubre 2021	202110	09	La Litera / La Llitera	Hombres	Primera etapa de educación secundaria	20	119
Octubre 2021	202110	09	La Litera / La Llitera	Mujeres	Primera etapa de educación secundaria	20	88
Octubre 2021	202110	09	La Litera / La Llitera	Hombres	Bachillerato	31	14
Octubre 2021	202110	09	La Litera / La Llitera	Mujeres	Bachillerato	31	11
Octubre 2021	202110	09	La Litera / La Llitera	Hombres	Enseñanza media de formación profesional	32	13
Octubre 2021	202110	09	La Litera / La Llitera	Mujeres	Enseñanza media de formación profesional	32	14
Octubre 2021	202110	09	La Litera / La Llitera	Hombres	Enseñanza superior de formación profesional	41	7
Octubre 2021	202110	09	La Litera / La Llitera	Mujeres	Enseñanza superior de formación profesional	41	13
Octubre 2021	202110	09	La Litera / La Llitera	Hombres	Enseñanza superior universitaria	42	22
Octubre 2021	202110	09	La Litera / La Llitera	Mujeres	Enseñanza superior universitaria	42	14
Octubre 2021	202110	10	Los Monegros	Hombres	Educación Primaria o inferior	10	80
Octubre 2021	202110	10	Los Monegros	Mujeres	Educación Primaria o inferior	10	70
Octubre 2021	202110	10	Los Monegros	Hombres	Primera etapa de educación secundaria	20	80
Octubre 2021	202110	10	Los Monegros	Mujeres	Primera etapa de educación secundaria	20	37
Octubre 2021	202110	10	Los Monegros	Hombres	Bachillerato	31	12
Octubre 2021	202110	10	Los Monegros	Mujeres	Bachillerato	31	10
Octubre 2021	202110	10	Los Monegros	Hombres	Enseñanza media de formación profesional	32	4
Octubre 2021	202110	10	Los Monegros	Mujeres	Enseñanza media de formación profesional	32	3
Octubre 2021	202110	10	Los Monegros	Hombres	Enseñanza superior de formación profesional	41	5
Octubre 2021	202110	10	Los Monegros	Mujeres	Enseñanza superior de formación profesional	41	8
Octubre 2021	202110	10	Los Monegros	Hombres	Enseñanza superior universitaria	42	12
Octubre 2021	202110	10	Los Monegros	Mujeres	Enseñanza superior universitaria	42	14
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Hombres	Educación Primaria o inferior	10	445
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Mujeres	Educación Primaria o inferior	10	282
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Hombres	Primera etapa de educación secundaria	20	108
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Mujeres	Primera etapa de educación secundaria	20	213
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Hombres	Bachillerato	31	42
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Mujeres	Bachillerato	31	54
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Hombres	Enseñanza media de formación profesional	32	28
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Mujeres	Enseñanza media de formación profesional	32	69
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Hombres	Enseñanza superior de formación profesional	41	10
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Mujeres	Enseñanza superior de formación profesional	41	28
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Hombres	Enseñanza superior universitaria	42	50
Octubre 2021	202110	11	Bajo Cinca / Baix Cinca	Mujeres	Enseñanza superior universitaria	42	114
Octubre 2021	202110	12	Tarazona y el Moncayo	Hombres	Educación Primaria o inferior	10	74
Octubre 2021	202110	12	Tarazona y el Moncayo	Mujeres	Educación Primaria o inferior	10	29
Octubre 2021	202110	12	Tarazona y el Moncayo	Hombres	Primera etapa de educación secundaria	20	112
Octubre 2021	202110	12	Tarazona y el Moncayo	Mujeres	Primera etapa de educación secundaria	20	86
Octubre 2021	202110	12	Tarazona y el Moncayo	Hombres	Bachillerato	31	98
Octubre 2021	202110	12	Tarazona y el Moncayo	Mujeres	Bachillerato	31	91
Octubre 2021	202110	12	Tarazona y el Moncayo	Hombres	Enseñanza media de formación profesional	32	9
Octubre 2021	202110	12	Tarazona y el Moncayo	Mujeres	Enseñanza media de formación profesional	32	17
Octubre 2021	202110	12	Tarazona y el Moncayo	Hombres	Enseñanza superior de formación profesional	41	4
Octubre 2021	202110	12	Tarazona y el Moncayo	Mujeres	Enseñanza superior de formación profesional	41	5
Octubre 2021	202110	12	Tarazona y el Moncayo	Hombres	Enseñanza superior universitaria	42	9
Octubre 2021	202110	12	Tarazona y el Moncayo	Mujeres	Enseñanza superior universitaria	42	13
Octubre 2021	202110	13	Campo de Borja	Hombres	Educación Primaria o inferior	10	188
Octubre 2021	202110	13	Campo de Borja	Mujeres	Educación Primaria o inferior	10	66
Octubre 2021	202110	13	Campo de Borja	Hombres	Primera etapa de educación secundaria	20	200
Octubre 2021	202110	13	Campo de Borja	Mujeres	Primera etapa de educación secundaria	20	111
Octubre 2021	202110	13	Campo de Borja	Hombres	Bachillerato	31	15
Octubre 2021	202110	13	Campo de Borja	Mujeres	Bachillerato	31	16
Octubre 2021	202110	13	Campo de Borja	Hombres	Enseñanza media de formación profesional	32	5
Octubre 2021	202110	13	Campo de Borja	Mujeres	Enseñanza media de formación profesional	32	14
Octubre 2021	202110	13	Campo de Borja	Hombres	Enseñanza superior de formación profesional	41	5
Octubre 2021	202110	13	Campo de Borja	Mujeres	Enseñanza superior de formación profesional	41	3
Octubre 2021	202110	13	Campo de Borja	Hombres	Enseñanza superior universitaria	42	20
Octubre 2021	202110	13	Campo de Borja	Mujeres	Enseñanza superior universitaria	42	28
Octubre 2021	202110	14	Aranda	Hombres	Educación Primaria o inferior	10	9
Octubre 2021	202110	14	Aranda	Mujeres	Educación Primaria o inferior	10	10
Octubre 2021	202110	14	Aranda	Hombres	Primera etapa de educación secundaria	20	21
Octubre 2021	202110	14	Aranda	Mujeres	Primera etapa de educación secundaria	20	35
Octubre 2021	202110	14	Aranda	Hombres	Bachillerato	31	5
Octubre 2021	202110	14	Aranda	Mujeres	Bachillerato	31	3
Octubre 2021	202110	14	Aranda	Hombres	Enseñanza media de formación profesional	32	1
Octubre 2021	202110	14	Aranda	Mujeres	Enseñanza media de formación profesional	32	3
Octubre 2021	202110	14	Aranda	Hombres	Enseñanza superior de formación profesional	41	1
Octubre 2021	202110	14	Aranda	Mujeres	Enseñanza superior de formación profesional	41	1
Octubre 2021	202110	14	Aranda	Hombres	Enseñanza superior universitaria	42	2
Octubre 2021	202110	14	Aranda	Mujeres	Enseñanza superior universitaria	42	2
Octubre 2021	202110	15	Ribera Alta del Ebro	Hombres	Educación Primaria o inferior	10	349
Octubre 2021	202110	15	Ribera Alta del Ebro	Mujeres	Educación Primaria o inferior	10	176
Octubre 2021	202110	15	Ribera Alta del Ebro	Hombres	Primera etapa de educación secundaria	20	383
Octubre 2021	202110	15	Ribera Alta del Ebro	Mujeres	Primera etapa de educación secundaria	20	185
Octubre 2021	202110	15	Ribera Alta del Ebro	Hombres	Bachillerato	31	174
Octubre 2021	202110	15	Ribera Alta del Ebro	Mujeres	Bachillerato	31	150
Octubre 2021	202110	15	Ribera Alta del Ebro	Hombres	Enseñanza media de formación profesional	32	47
Octubre 2021	202110	15	Ribera Alta del Ebro	Mujeres	Enseñanza media de formación profesional	32	27
Octubre 2021	202110	15	Ribera Alta del Ebro	Hombres	Enseñanza superior de formación profesional	41	30
Octubre 2021	202110	15	Ribera Alta del Ebro	Mujeres	Enseñanza superior de formación profesional	41	27
Octubre 2021	202110	15	Ribera Alta del Ebro	Hombres	Enseñanza superior universitaria	42	67
Octubre 2021	202110	15	Ribera Alta del Ebro	Mujeres	Enseñanza superior universitaria	42	61
Octubre 2021	202110	16	Valdejalón	Hombres	Educación Primaria o inferior	10	409
Octubre 2021	202110	16	Valdejalón	Mujeres	Educación Primaria o inferior	10	166
Octubre 2021	202110	16	Valdejalón	Hombres	Primera etapa de educación secundaria	20	345
Octubre 2021	202110	16	Valdejalón	Mujeres	Primera etapa de educación secundaria	20	262
Octubre 2021	202110	16	Valdejalón	Hombres	Bachillerato	31	140
Octubre 2021	202110	16	Valdejalón	Mujeres	Bachillerato	31	61
Octubre 2021	202110	16	Valdejalón	Hombres	Enseñanza media de formación profesional	32	40
Octubre 2021	202110	16	Valdejalón	Mujeres	Enseñanza media de formación profesional	32	25
Octubre 2021	202110	16	Valdejalón	Hombres	Enseñanza superior de formación profesional	41	30
Octubre 2021	202110	16	Valdejalón	Mujeres	Enseñanza superior de formación profesional	41	27
Octubre 2021	202110	16	Valdejalón	Hombres	Enseñanza superior universitaria	42	41
Octubre 2021	202110	16	Valdejalón	Mujeres	Enseñanza superior universitaria	42	32
Octubre 2021	202110	17	Central	Hombres	Educación Primaria o inferior	10	4863
Octubre 2021	202110	17	Central	Mujeres	Educación Primaria o inferior	10	4784
Octubre 2021	202110	17	Central	Hombres	Primera etapa de educación secundaria	20	4759
Octubre 2021	202110	17	Central	Mujeres	Primera etapa de educación secundaria	20	4290
Octubre 2021	202110	17	Central	Hombres	Bachillerato	31	3843
Octubre 2021	202110	17	Central	Mujeres	Bachillerato	31	3459
Octubre 2021	202110	17	Central	Hombres	Enseñanza media de formación profesional	32	1080
Octubre 2021	202110	17	Central	Mujeres	Enseñanza media de formación profesional	32	990
Octubre 2021	202110	17	Central	Hombres	Enseñanza superior de formación profesional	41	775
Octubre 2021	202110	17	Central	Mujeres	Enseñanza superior de formación profesional	41	644
Octubre 2021	202110	17	Central	Hombres	Enseñanza superior universitaria	42	1643
Octubre 2021	202110	17	Central	Mujeres	Enseñanza superior universitaria	42	2226
Octubre 2021	202110	18	Ribera Baja del Ebro	Hombres	Educación Primaria o inferior	10	105
Octubre 2021	202110	18	Ribera Baja del Ebro	Mujeres	Educación Primaria o inferior	10	108
Octubre 2021	202110	18	Ribera Baja del Ebro	Hombres	Primera etapa de educación secundaria	20	81
Octubre 2021	202110	18	Ribera Baja del Ebro	Mujeres	Primera etapa de educación secundaria	20	58
Octubre 2021	202110	18	Ribera Baja del Ebro	Hombres	Bachillerato	31	9
Octubre 2021	202110	18	Ribera Baja del Ebro	Mujeres	Bachillerato	31	12
Octubre 2021	202110	18	Ribera Baja del Ebro	Hombres	Enseñanza media de formación profesional	32	14
Octubre 2021	202110	18	Ribera Baja del Ebro	Mujeres	Enseñanza media de formación profesional	32	11
Octubre 2021	202110	18	Ribera Baja del Ebro	Hombres	Enseñanza superior de formación profesional	41	7
Octubre 2021	202110	18	Ribera Baja del Ebro	Mujeres	Enseñanza superior de formación profesional	41	7
Octubre 2021	202110	18	Ribera Baja del Ebro	Hombres	Enseñanza superior universitaria	42	8
Octubre 2021	202110	18	Ribera Baja del Ebro	Mujeres	Enseñanza superior universitaria	42	22
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Educación Primaria o inferior	10	109
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Educación Primaria o inferior	10	48
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Primera etapa de educación secundaria	20	22
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Primera etapa de educación secundaria	20	19
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Bachillerato	31	1
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Bachillerato	31	9
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Enseñanza media de formación profesional	32	6
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Enseñanza media de formación profesional	32	18
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Enseñanza superior de formación profesional	41	3
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Enseñanza superior de formación profesional	41	10
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Enseñanza superior universitaria	42	2
Octubre 2021	202110	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Enseñanza superior universitaria	42	10
Octubre 2021	202110	20	Comunidad de Calatayud	Hombres	Educación Primaria o inferior	10	533
Octubre 2021	202110	20	Comunidad de Calatayud	Mujeres	Educación Primaria o inferior	10	272
Octubre 2021	202110	20	Comunidad de Calatayud	Hombres	Primera etapa de educación secundaria	20	152
Octubre 2021	202110	20	Comunidad de Calatayud	Mujeres	Primera etapa de educación secundaria	20	172
Octubre 2021	202110	20	Comunidad de Calatayud	Hombres	Bachillerato	31	75
Octubre 2021	202110	20	Comunidad de Calatayud	Mujeres	Bachillerato	31	108
Octubre 2021	202110	20	Comunidad de Calatayud	Hombres	Enseñanza media de formación profesional	32	30
Octubre 2021	202110	20	Comunidad de Calatayud	Mujeres	Enseñanza media de formación profesional	32	27
Octubre 2021	202110	20	Comunidad de Calatayud	Hombres	Enseñanza superior de formación profesional	41	18
Octubre 2021	202110	20	Comunidad de Calatayud	Mujeres	Enseñanza superior de formación profesional	41	10
Octubre 2021	202110	20	Comunidad de Calatayud	Hombres	Enseñanza superior universitaria	42	27
Octubre 2021	202110	20	Comunidad de Calatayud	Mujeres	Enseñanza superior universitaria	42	48
Octubre 2021	202110	21	Campo de Cariñena	Hombres	Educación Primaria o inferior	10	150
Octubre 2021	202110	21	Campo de Cariñena	Mujeres	Educación Primaria o inferior	10	68
Octubre 2021	202110	21	Campo de Cariñena	Hombres	Primera etapa de educación secundaria	20	197
Octubre 2021	202110	21	Campo de Cariñena	Mujeres	Primera etapa de educación secundaria	20	83
Octubre 2021	202110	21	Campo de Cariñena	Hombres	Bachillerato	31	17
Octubre 2021	202110	21	Campo de Cariñena	Mujeres	Bachillerato	31	16
Octubre 2021	202110	21	Campo de Cariñena	Hombres	Enseñanza media de formación profesional	32	14
Octubre 2021	202110	21	Campo de Cariñena	Mujeres	Enseñanza media de formación profesional	32	7
Octubre 2021	202110	21	Campo de Cariñena	Hombres	Enseñanza superior de formación profesional	41	11
Octubre 2021	202110	21	Campo de Cariñena	Mujeres	Enseñanza superior de formación profesional	41	4
Octubre 2021	202110	21	Campo de Cariñena	Hombres	Enseñanza superior universitaria	42	18
Octubre 2021	202110	21	Campo de Cariñena	Mujeres	Enseñanza superior universitaria	42	22
Octubre 2021	202110	22	Campo de Belchite	Hombres	Educación Primaria o inferior	10	20
Octubre 2021	202110	22	Campo de Belchite	Mujeres	Educación Primaria o inferior	10	15
Octubre 2021	202110	22	Campo de Belchite	Hombres	Primera etapa de educación secundaria	20	9
Octubre 2021	202110	22	Campo de Belchite	Mujeres	Primera etapa de educación secundaria	20	3
Octubre 2021	202110	22	Campo de Belchite	Hombres	Bachillerato	31	12
Octubre 2021	202110	22	Campo de Belchite	Mujeres	Bachillerato	31	4
Octubre 2021	202110	22	Campo de Belchite	Hombres	Enseñanza media de formación profesional	32	4
Octubre 2021	202110	22	Campo de Belchite	Hombres	Enseñanza superior de formación profesional	41	1
Octubre 2021	202110	22	Campo de Belchite	Hombres	Enseñanza superior universitaria	42	2
Octubre 2021	202110	22	Campo de Belchite	Mujeres	Enseñanza superior universitaria	42	3
Octubre 2021	202110	23	Bajo Martín	Hombres	Educación Primaria o inferior	10	109
Octubre 2021	202110	23	Bajo Martín	Mujeres	Educación Primaria o inferior	10	57
Octubre 2021	202110	23	Bajo Martín	Hombres	Primera etapa de educación secundaria	20	7
Octubre 2021	202110	23	Bajo Martín	Mujeres	Primera etapa de educación secundaria	20	11
Octubre 2021	202110	23	Bajo Martín	Hombres	Bachillerato	31	3
Octubre 2021	202110	23	Bajo Martín	Mujeres	Bachillerato	31	6
Octubre 2021	202110	23	Bajo Martín	Hombres	Enseñanza media de formación profesional	32	3
Octubre 2021	202110	23	Bajo Martín	Mujeres	Enseñanza media de formación profesional	32	2
Octubre 2021	202110	23	Bajo Martín	Hombres	Enseñanza superior de formación profesional	41	3
Octubre 2021	202110	23	Bajo Martín	Hombres	Enseñanza superior universitaria	42	5
Octubre 2021	202110	23	Bajo Martín	Mujeres	Enseñanza superior universitaria	42	4
Octubre 2021	202110	24	Campo de Daroca	Hombres	Educación Primaria o inferior	10	58
Octubre 2021	202110	24	Campo de Daroca	Mujeres	Educación Primaria o inferior	10	44
Octubre 2021	202110	24	Campo de Daroca	Hombres	Primera etapa de educación secundaria	20	13
Octubre 2021	202110	24	Campo de Daroca	Mujeres	Primera etapa de educación secundaria	20	11
Octubre 2021	202110	24	Campo de Daroca	Hombres	Bachillerato	31	8
Octubre 2021	202110	24	Campo de Daroca	Mujeres	Bachillerato	31	2
Octubre 2021	202110	24	Campo de Daroca	Hombres	Enseñanza media de formación profesional	32	2
Octubre 2021	202110	24	Campo de Daroca	Mujeres	Enseñanza media de formación profesional	32	2
Octubre 2021	202110	24	Campo de Daroca	Mujeres	Enseñanza superior de formación profesional	41	1
Octubre 2021	202110	24	Campo de Daroca	Hombres	Enseñanza superior universitaria	42	10
Octubre 2021	202110	24	Campo de Daroca	Mujeres	Enseñanza superior universitaria	42	15
Octubre 2021	202110	25	Jiloca	Hombres	Educación Primaria o inferior	10	51
Octubre 2021	202110	25	Jiloca	Mujeres	Educación Primaria o inferior	10	34
Octubre 2021	202110	25	Jiloca	Hombres	Primera etapa de educación secundaria	20	37
Octubre 2021	202110	25	Jiloca	Mujeres	Primera etapa de educación secundaria	20	37
Octubre 2021	202110	25	Jiloca	Hombres	Bachillerato	31	9
Octubre 2021	202110	25	Jiloca	Mujeres	Bachillerato	31	5
Octubre 2021	202110	25	Jiloca	Mujeres	Enseñanza media de formación profesional	32	9
Octubre 2021	202110	25	Jiloca	Hombres	Enseñanza superior de formación profesional	41	7
Octubre 2021	202110	25	Jiloca	Mujeres	Enseñanza superior de formación profesional	41	1
Octubre 2021	202110	25	Jiloca	Hombres	Enseñanza superior universitaria	42	11
Octubre 2021	202110	25	Jiloca	Mujeres	Enseñanza superior universitaria	42	13
Octubre 2021	202110	26	Cuencas Mineras	Hombres	Educación Primaria o inferior	10	42
Octubre 2021	202110	26	Cuencas Mineras	Mujeres	Educación Primaria o inferior	10	42
Octubre 2021	202110	26	Cuencas Mineras	Hombres	Primera etapa de educación secundaria	20	21
Octubre 2021	202110	26	Cuencas Mineras	Mujeres	Primera etapa de educación secundaria	20	23
Octubre 2021	202110	26	Cuencas Mineras	Hombres	Bachillerato	31	1
Octubre 2021	202110	26	Cuencas Mineras	Mujeres	Bachillerato	31	4
Octubre 2021	202110	26	Cuencas Mineras	Hombres	Enseñanza media de formación profesional	32	3
Octubre 2021	202110	26	Cuencas Mineras	Mujeres	Enseñanza media de formación profesional	32	4
Octubre 2021	202110	26	Cuencas Mineras	Hombres	Enseñanza superior de formación profesional	41	2
Octubre 2021	202110	26	Cuencas Mineras	Mujeres	Enseñanza superior de formación profesional	41	3
Octubre 2021	202110	26	Cuencas Mineras	Hombres	Enseñanza superior universitaria	42	1
Octubre 2021	202110	26	Cuencas Mineras	Mujeres	Enseñanza superior universitaria	42	8
