Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Gastos, fondo de contingencia
2004	22116	Grañén	Presupuestos	Consolidada	1419686,12	366340,0	270078,27	36830,0	138493,0	479098,85	0,0	0,0	128846,0	
2004	22117	Graus	Presupuestos	Consolidada	5692116,0	1222588,0	1274003,0	51709,0	291450,0	1891575,0	3444,0	744805,0	212542,0	
2004	22119	Gurrea de Gállego	Presupuestos	Consolidada	1616010,0	276300,0	338600,0	97610,0	227300,0	618700,0	0,0	0,0	57500,0	
2004	22122	Hoz de Jaca	Presupuestos	Consolidada	219506,43	6300,0	74973,0	0,0	2854,0	135379,43	0,0	0,0	0,0	
2004	22124	Huerto	Presupuestos	Consolidada	242403,0	47400,0	96294,0	4056,0	16653,0	78000,0	0,0	0,0	0,0	
2004	22125	Huesca	Presupuestos	Consolidada	44219723,1	13769068,06	11418011,0	900000,0	1859594,94	11665314,76	352000,0	27000,0	4228734,34	
2004	22126	Ibieca	Presupuestos	Consolidada	168040,0	10950,0	29910,0	400,0	13700,0	113080,0	0,0	0,0	0,0	
2004	22127	Igriés	Presupuestos	Consolidada	275900,0	53000,0	116800,0	1100,0	5000,0	100000,0	0,0	0,0	0,0	
2004	22128	Ilche	Presupuestos	Consolidada	200535,0	46120,0	85460,0	2105,0	15250,0	45600,0	0,0	0,0	6000,0	
2004	22129	Isábena	Presupuestos	Consolidada	461951,25	44534,9	58445,22	1576,17	7620,0	341051,73	0,0	0,0	8723,23	
2004	22130	Jaca	Presupuestos	Consolidada	21793000,0	5866085,76	4060976,64	383479,09	734290,78	9125733,65	49217,71	0,0	1573216,37	
2004	22131	Jasa	Presupuestos	Consolidada	145108,0	19633,0	38275,0	50,0	1050,0	86100,0	0,0	0,0	0,0	
2004	22133	Labuerda	Presupuestos	Consolidada	369784,97	39947,8	48457,46	430,56	14701,51	253171,24	12000,0	0,0	1076,4	
2004	22135	Laluenga	Presupuestos	Consolidada	643467,81	23500,0	130260,0	2571,0	15210,0	412438,16	0,0	0,0	59488,65	
2004	22136	Lalueza	Presupuestos	Consolidada	773122,4	178705,71	203784,0	11635,93	104300,0	240458,55	12000,0	0,0	22238,21	
2004	22137	Lanaja	Presupuestos	Consolidada	838467,0	247184,63	311241,21	4000,0	55100,0	219725,29	1215,87	0,0	0,0	
2004	22139	Laperdiguera	Presupuestos	Consolidada	555514,92	9530,0	66234,0	901,0	6000,0	469249,92	0,0	0,0	3600,0	
2004	22141	Lascellas-Ponzano	Presupuestos	Consolidada	922343,52	14661,0	71716,0	1546,0	6420,0	820797,59	0,0	0,0	7202,93	
2004	22142	Lascuarre	Presupuestos	Consolidada	122270,0	27470,0	46200,0	300,0	9000,0	34600,0	0,0	0,0	4700,0	
2004	22143	Laspaúles	Presupuestos	Consolidada	480300,0	135235,0	57115,0	4350,0	24300,0	247200,0	0,0	0,0	12100,0	
2004	22144	Laspuña	Presupuestos	Consolidada	451220,52	66000,0	162100,0	9000,0	13850,0	182240,0	0,0	0,0	18030,52	
2004	22149	Loarre	Presupuestos	Consolidada	902114,92	85772,91	81042,0	9200,0	30003,0	670996,01	101,0	0,0	25000,0	
2004	22150	Loporzano	Presupuestos	Consolidada	972395,57	77062,0	159781,07	900,0	12450,0	718575,39	0,0	0,0	3627,11	
2004	22151	Loscorrales	Presupuestos	Consolidada	99880,0	11080,0	38700,0	1320,0	3550,0	43205,0	0,0	0,0	2025,0	
2004	22155	Monesma y Cajigar	Presupuestos	Consolidada	75000,0	10719,0	29981,0	0,0	3000,0	31300,0	0,0	0,0	0,0	
2004	22156	Monflorite-Lascasas	Presupuestos	Consolidada	291950,0	41610,0	48640,0	1500,0	24700,0	169400,0	0,0	0,0	6100,0	
2004	22157	Montanuy	Presupuestos	Sin información										
2004	22158	Monzón	Presupuestos	Consolidada	13529948,92	5016205,76	3507763,22	397636,1	287397,04	3244846,8	25000,0	0,0	1051100,0	
