Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
44243	Valdecuenca	2007	2	PP	0,0
44243	Valdecuenca	2007	3	PAR	1,0
44243	Valdecuenca	2011	2	PSOE	0,0
44243	Valdecuenca	2011	3	PAR	1,0
44243	Valdecuenca	2015	8	PP	1,0
44244	Valdelinares	2007	1	PSOE	4,0
44244	Valdelinares	2007	2	PP	1,0
44244	Valdelinares	2007	3	PAR	0,0
44244	Valdelinares	2007	4	CHA	0,0
44244	Valdelinares	2007	5	IU	0,0
44244	Valdelinares	2011	1	PP	1,0
44244	Valdelinares	2011	2	PSOE	3,0
44244	Valdelinares	2011	3	PAR	1,0
44244	Valdelinares	2015	5	PAR	0,0
44244	Valdelinares	2015	6	PSOE	1,0
44244	Valdelinares	2015	8	PP	2,0
44245	Valdeltormo	2007	1	PSOE	2,0
44245	Valdeltormo	2007	3	PAR	5,0
44245	Valdeltormo	2011	1	PP	3,0
44245	Valdeltormo	2011	3	PAR	4,0
44245	Valdeltormo	2015	5	PAR	4,0
44245	Valdeltormo	2015	6	PSOE	0,0
44245	Valdeltormo	2015	8	PP	3,0
44246	Valderrobres	2007	1	PSOE	2,0
44246	Valderrobres	2007	2	PP	6,0
44246	Valderrobres	2007	3	PAR	2,0
44246	Valderrobres	2007	4	CHA	1,0
44246	Valderrobres	2007	5	IU	0,0
44246	Valderrobres	2011	1	PP	7,0
44246	Valderrobres	2011	2	PSOE	1,0
44246	Valderrobres	2011	3	PAR	2,0
44246	Valderrobres	2011	4	CHA	1,0
44246	Valderrobres	2015	5	PAR	1,0
44246	Valderrobres	2015	6	PSOE	1,0
44246	Valderrobres	2015	7	CHA	3,0
44246	Valderrobres	2015	8	PP	6,0
44247	Valjunquera	2007	1	PSOE	3,0
44247	Valjunquera	2007	2	PP	1,0
44247	Valjunquera	2007	3	PAR	3,0
44247	Valjunquera	2011	1	PP	1,0
44247	Valjunquera	2011	2	PSOE	2,0
44247	Valjunquera	2011	3	PAR	4,0
44247	Valjunquera	2015	5	PAR	2,0
44247	Valjunquera	2015	6	PSOE	4,0
44247	Valjunquera	2015	8	PP	1,0
44247	Valjunquera	2015	26	CHA	0,0
44249	Vallecillo (El)	2007	1	PSOE	1,0
44249	Vallecillo (El)	2007	2	PP	0,0
44249	Vallecillo (El)	2007	3	PAR	0,0
44249	Vallecillo (El)	2011	1	PP	1,0
44249	Vallecillo (El)	2011	2	PSOE	0,0
44249	Vallecillo (El)	2015	5	PAR	0,0
44249	Vallecillo (El)	2015	7	CHA	0,0
44249	Vallecillo (El)	2015	8	PP	1,0
44250	Veguillas de la Sierra	2007	1	PSOE	0,0
44250	Veguillas de la Sierra	2007	2	PP	0,0
44250	Veguillas de la Sierra	2007	3	PAR	1,0
44250	Veguillas de la Sierra	2011	1	PP	0,0
44250	Veguillas de la Sierra	2011	2	PSOE	0,0
44250	Veguillas de la Sierra	2011	3	PAR	1,0
44250	Veguillas de la Sierra	2015	5	PAR	0,0
44250	Veguillas de la Sierra	2015	8	PP	1,0
44251	Villafranca del Campo	2007	1	PSOE	1,0
44251	Villafranca del Campo	2007	2	PP	4,0
44251	Villafranca del Campo	2007	3	PAR	2,0
44251	Villafranca del Campo	2011	1	PP	4,0
44251	Villafranca del Campo	2011	2	PSOE	2,0
44251	Villafranca del Campo	2011	3	PAR	1,0
44251	Villafranca del Campo	2015	5	PAR	3,0
44251	Villafranca del Campo	2015	6	PSOE	1,0
44251	Villafranca del Campo	2015	8	PP	3,0
44252	Villahermosa del Campo	2007	1	PSOE	0,0
44252	Villahermosa del Campo	2007	2	PP	0,0
44252	Villahermosa del Campo	2007	3	PAR	1,0
44252	Villahermosa del Campo	2007	4	CHA	0,0
44252	Villahermosa del Campo	2011	1	PP	0,0
44252	Villahermosa del Campo	2011	2	PSOE	0,0
44252	Villahermosa del Campo	2011	3	PAR	3,0
44252	Villahermosa del Campo	2015	5	PAR	4,0
44252	Villahermosa del Campo	2015	6	PSOE	1,0
44256	Villanueva del Rebollar de la Sierra	2007	1	PSOE	0,0
